fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41053,Polk,47398,0,16,16,Other,100,46585,>98%,>98% reported,edison,6,all,,,,,22820,22874,925,725,54,0,0,0,0,0,2020-11-11T03:25:26Z,0.11393,R+0.11,Perkins +0.11,republican,oregon,2020-11-13T00:42:00.761584Z
41055,Sherman,1170,0,5,5,Other,100,1165,>98%,>98% reported,edison,2,unknown,,,,,298,840,26,6,0,0,0,0,0,0,2020-11-11T03:25:26Z,46.32479,R+46,Perkins +46,republican,oregon,2020-11-13T00:42:00.761584Z
41057,Tillamook,16436,0,29,29,Other,100,15735,>98%,>98% reported,edison,2,all,,,,,8220,7726,267,211,12,0,0,0,0,0,2020-11-11T03:25:27Z,3.0056,D+3,Merkley +3,democrat,oregon,2020-11-13T00:42:00.761584Z
41059,Umatilla,31738,0,45,45,Other,100,31461,>98%,>98% reported,edison,2,unknown,,,,,11053,19652,675,328,30,0,0,0,0,0,2020-11-11T03:25:28Z,27.0937,R+27,Perkins +27,republican,oregon,2020-11-13T00:42:00.761584Z
41061,Union,14528,0,19,19,Other,98,14784,98%,98% reported,edison,2,unknown,,,,,4516,9630,230,141,11,0,0,0,0,0,2020-11-11T03:25:29Z,35.20099,R+35,Perkins +35,republican,oregon,2020-11-13T00:42:00.761584Z
41063,Wallowa,4955,0,12,12,Other,100,4977,>98%,>98% reported,edison,4,unknown,,,,,1679,3178,61,37,0,0,0,0,0,0,2020-11-11T20:24:15Z,30.25227,R+30,Perkins +30,republican,oregon,2020-11-13T00:42:00.761584Z
41065,Wasco,13590,0,14,14,Other,100,13639,>98%,>98% reported,edison,2,unknown,,,,,6591,6509,274,203,13,0,0,0,0,0,2020-11-11T03:25:30Z,0.60338,D+0.60,Merkley +0.60,democrat,oregon,2020-11-13T00:42:00.761584Z
41067,Washington,310364,0,143,143,Other,100,306924,>98%,>98% reported,edison,4,all,,,,,200692,97426,6104,6142,,0,0,0,0,,2020-11-11T03:25:30Z,33.27254,D+33,Merkley +33,democrat,oregon,2020-11-13T00:42:00.761584Z
41069,Wheeler,930,0,3,3,Other,96,967,96%,96% reported,edison,2,unknown,,,,,262,644,16,8,0,0,0,0,0,0,2020-11-11T03:25:31Z,41.07527,R+41,Perkins +41,republican,oregon,2020-11-13T00:42:00.761584Z
41071,Yamhill,56252,0,22,22,Other,100,55578,>98%,>98% reported,edison,2,unknown,,,,,26421,27620,1292,867,52,0,0,0,0,0,2020-11-11T03:25:32Z,2.13148,R+2,Perkins +2,republican,oregon,2020-11-13T00:42:00.761584Z
