fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_pflugera,results_hoggj,results_codyw,results_absentee_pflugera,results_absentee_hoggj,results_absentee_codyw,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48143,Erath,9023,7130,11,12,Released as a precinct as first report of the night,94,9561,94%,94% reported,edison,2,unknown,13085,7448,1349,226,5895,1084,151,2020-11-14T16:42:56Z,67.59393,R+68,Pfluger +68,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48173,Glasscock,649,486,4,5,Released as a precinct as first report of the night,84,777,84%,84% reported,edison,2,unknown,495,612,32,5,454,28,4,2020-11-14T16:42:54Z,89.36826,R+89,Pfluger +89,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48221,Hood,31581,25057,15,16,Released as a precinct as first report of the night,100,31581,>98%,>98% reported,edison,6,some,23816,25957,5062,562,20445,4267,345,2020-11-14T16:42:56Z,66.1632,R+66,Pfluger +66,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48235,Irion,879,663,4,5,Released as a precinct as first report of the night,90,980,90%,90% reported,edison,2,unknown,640,757,109,13,567,86,10,2020-11-14T16:42:54Z,73.72014,R+74,Pfluger +74,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48267,Kimble,2234,1763,7,8,Released as a precinct as first report of the night,89,2509,89%,89% reported,edison,2,unknown,1950,1963,231,40,1548,187,28,2020-11-14T16:42:55Z,77.5291,R+78,Pfluger +78,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48299,Llano,12310,10986,9,10,Released as a precinct as first report of the night,92,13408,92%,92% reported,edison,2,unknown,11573,9944,2176,190,8819,2025,142,2020-11-14T16:42:55Z,63.10317,R+63,Pfluger +63,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48317,Martin,2109,1669,6,6,Released as a precinct as first report of the night,93,2267,93%,93% reported,edison,2,unknown,738,1811,266,32,1446,201,22,2020-11-14T16:42:55Z,73.25747,R+73,Pfluger +73,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48319,Mason,2538,2266,5,5,Released as a precinct as first report of the night,96,2650,96%,96% reported,edison,2,unknown,2092,1979,530,29,1768,474,24,2020-11-14T16:42:55Z,57.0922,R+57,Pfluger +57,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48307,McCulloch,3365,2620,3,4,Released as a precinct as first report of the night,84,3991,84%,84% reported,edison,2,unknown,3128,2833,444,88,2190,366,64,2020-11-14T16:42:55Z,70.99554,R+71,Pfluger +71,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48327,Menard,998,781,6,7,Released as a precinct as first report of the night,90,1112,90%,90% reported,edison,2,unknown,813,796,185,17,621,148,12,2020-11-14T16:42:55Z,61.22244,R+61,Pfluger +61,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48329,Midland,58017,49316,41,45,Released as a precinct as first report of the night,92,63040,92%,92% reported,edison,2,unknown,52107,45695,11075,1247,38896,9493,927,2020-11-14T16:42:55Z,59.67217,R+60,Pfluger +60,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48333,Mills,2461,1915,7,8,Released as a precinct as first report of the night,85,2891,85%,85% reported,edison,2,unknown,2437,2186,240,35,1683,204,28,2020-11-14T16:42:55Z,79.07355,R+79,Pfluger +79,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48335,Mitchell,2525,1858,6,7,Released as a precinct as first report of the night,89,2826,89%,89% reported,edison,2,some,2166,2131,354,40,1563,267,28,2020-11-14T16:42:55Z,70.37624,R+70,Pfluger +70,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
