fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cassidyb,results_perkinsa,results_edwardsd,results_murphyd,results_piercea,results_knightd,results_bourgeoisj,results_billiotb,results_siglera,results_johnx,results_wenstrupp,results_pricem,results_daretr,results_montgomeryj,results_mendozav,results_absentee_cassidyb,results_absentee_perkinsa,results_absentee_edwardsd,results_absentee_murphyd,results_absentee_piercea,results_absentee_knightd,results_absentee_bourgeoisj,results_absentee_billiotb,results_absentee_siglera,results_absentee_johnx,results_absentee_wenstrupp,results_absentee_pricem,results_absentee_daretr,results_absentee_montgomeryj,results_absentee_mendozav,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
22047,Iberville,15818,0,34,39,Released as a separate subtotal as first report of the night,83,19056,83%,83% reported,edison,2,unknown,,4955,,,7907,3490,2490,195,654,353,176,178,54,23,82,62,52,23,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:26Z,27.92388,R+28,Cassidy +28,republican,louisiana,2020-11-11T00:36:26.207703Z
22049,Jackson,7406,0,27,31,Released as a separate subtotal as first report of the night,88,8432,88%,88% reported,edison,2,unknown,,2581,,,5143,989,591,255,97,96,45,45,27,15,28,24,22,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:27Z,56.08966,R+56,Cassidy +56,republican,louisiana,2020-11-11T00:36:26.207703Z
22053,Jeff Davis,14359,0,20,22,Released as a separate subtotal as first report of the night,90,15990,90%,90% reported,edison,2,unknown,,5659,,,10937,1184,988,423,182,198,114,99,71,17,52,34,18,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:28Z,67.92256,R+68,Cassidy +68,republican,louisiana,2020-11-11T00:36:26.207703Z
22051,Jefferson,185983,0,249,273,Released as a separate subtotal as first report of the night,91,203436,91%,91% reported,edison,4,none,,38152,,,104645,37965,23680,2574,4564,3558,1556,2166,996,259,1432,713,388,344,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:15:57Z,35.85274,R+36,Cassidy +36,republican,louisiana,2020-11-11T00:36:26.207703Z
22059,LaSalle,6845,0,22,24,Released as a separate subtotal as first report of the night,93,7361,93%,93% reported,edison,2,unknown,,2909,,,5962,190,226,223,31,62,33,37,14,9,16,20,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T19:45:57Z,83.79839,R+84,Cassidy +84,republican,louisiana,2020-11-11T00:36:26.207703Z
22055,Lafayette,111505,0,120,127,Released as a separate subtotal as first report of the night,94,118275,94%,94% reported,edison,2,unknown,,17606,,,71361,17762,10267,2043,3372,1625,1161,745,814,271,619,503,194,332,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:32Z,48.0687,R+48,Cassidy +48,republican,louisiana,2020-11-11T00:36:26.207703Z
22057,Lafourche,43702,0,68,73,Released as a separate subtotal as first report of the night,94,46642,94%,94% reported,edison,2,unknown,,11030,,,34345,2869,2772,838,576,456,462,576,177,45,201,127,101,42,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:32Z,72.02416,R+72,Cassidy +72,republican,louisiana,2020-11-11T00:36:26.207703Z
22061,Lincoln,18656,0,51,57,Released as a separate subtotal as first report of the night,88,21272,88%,88% reported,edison,2,unknown,,7274,,,11307,3052,1963,353,591,357,141,127,134,14,154,74,40,280,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:29Z,44.2485,R+44,Cassidy +44,republican,louisiana,2020-11-11T00:36:26.207703Z
22063,Livingston,63764,0,78,79,Released as a separate subtotal as first report of the night,99,64658,>98%,>98% reported,edison,2,unknown,,13622,,,52385,3748,2629,1965,605,475,347,365,526,46,192,140,82,64,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:31Z,76.27658,R+76,Cassidy +76,republican,louisiana,2020-11-11T00:36:26.207703Z
22065,Madison,4441,0,22,26,Released as a separate subtotal as first report of the night,76,5809,76%,76% reported,edison,2,unknown,,2077,,,1990,929,886,55,159,181,46,52,5,11,60,18,18,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:29Z,23.89102,R+24,Cassidy +24,republican,louisiana,2020-11-11T00:36:26.207703Z
22067,Morehouse,10932,0,35,43,Released as a separate subtotal as first report of the night,77,14128,77%,77% reported,edison,2,unknown,,5808,,,6288,1844,1562,228,268,295,68,117,24,17,92,27,31,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:30Z,40.6513,R+41,Cassidy +41,republican,louisiana,2020-11-11T00:36:26.207703Z
22069,Natchitoches,15985,0,43,50,Released as a separate subtotal as first report of the night,83,19329,83%,83% reported,edison,2,unknown,,6918,,,9197,3605,1435,289,284,276,99,153,64,19,125,63,27,299,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:31Z,34.9828,R+35,Cassidy +35,republican,louisiana,2020-11-11T00:36:26.207703Z
22071,Orleans,167935,0,317,351,Released as a separate subtotal as first report of the night,90,185709,90%,90% reported,edison,2,unknown,,48486,,,29745,77263,33660,943,11720,5024,1525,1450,958,305,2673,1080,356,508,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T19:45:57Z,25.96421,D+26,Perkins +26,democrat,louisiana,2020-11-11T00:36:26.207703Z
22073,Ouachita,66726,0,76,87,Released as a separate subtotal as first report of the night,87,76691,87%,87% reported,edison,2,unknown,,21843,,,41472,10353,7325,1654,1737,1610,444,503,320,76,494,234,120,136,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,46.63699,R+47,Cassidy +47,republican,louisiana,2020-11-11T00:36:26.207703Z
22075,Plaquemines,10648,0,14,16,Released as a separate subtotal as first report of the night,90,11842,90%,90% reported,edison,2,unknown,,5386,,,7227,1259,1071,188,202,198,104,134,61,16,62,40,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:10Z,56.04808,R+56,Cassidy +56,republican,louisiana,2020-11-11T00:36:26.207703Z
22077,Pointe Coupee,11762,0,25,28,Released as a separate subtotal as first report of the night,86,13605,86%,86% reported,edison,2,unknown,,3397,,,7445,1916,1341,131,257,205,128,124,33,10,73,23,29,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:35Z,47.00731,R+47,Cassidy +47,republican,louisiana,2020-11-11T00:36:26.207703Z
22079,Rapides,56648,0,101,113,Released as a separate subtotal as first report of the night,87,64981,87%,87% reported,edison,2,unknown,,15102,,,37597,6544,6784,1120,1205,1155,374,402,322,62,387,252,108,137,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,54.3938,R+54,Cassidy +54,republican,louisiana,2020-11-11T00:36:26.207703Z
22081,Red River,3995,0,15,18,Released as a separate subtotal as first report of the night,74,5384,74%,74% reported,edison,2,unknown,,2171,,,2291,1194,245,67,43,32,34,25,9,2,14,10,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:36Z,27.45932,R+27,Cassidy +27,republican,louisiana,2020-11-11T00:36:26.207703Z
22083,Richland,9424,0,20,23,Released as a separate subtotal as first report of the night,88,10749,88%,88% reported,edison,2,unknown,,3563,,,6460,1043,1032,216,169,199,52,78,16,9,54,34,30,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:36Z,57.4809,R+57,Cassidy +57,republican,louisiana,2020-11-11T00:36:26.207703Z
22085,Sabine,10180,0,36,39,Released as a separate subtotal as first report of the night,90,11259,90%,90% reported,edison,2,unknown,,3214,,,8176,987,374,246,69,75,56,68,23,10,26,28,13,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:37Z,70.61886,R+71,Cassidy +71,republican,louisiana,2020-11-11T00:36:26.207703Z
22087,St. Bernard,16859,0,30,31,Released as a separate subtotal as first report of the night,95,17713,95%,95% reported,edison,2,unknown,,4363,,,10563,1992,2260,330,434,326,181,216,107,24,145,81,41,40,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,49.24966,R+49,Cassidy +49,republican,louisiana,2020-11-11T00:36:26.207703Z
22089,St. Charles,27462,0,42,45,Released as a separate subtotal as first report of the night,94,29335,94%,94% reported,edison,2,unknown,,7869,,,17798,3687,3392,480,616,410,242,222,142,33,156,82,56,43,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:37Z,51.38373,R+51,Cassidy +51,republican,louisiana,2020-11-11T00:36:26.207703Z
22091,St. Helena,5809,0,10,11,Released as a separate subtotal as first report of the night,81,7161,81%,81% reported,edison,2,unknown,,2034,,,2647,1386,977,75,122,187,66,167,21,9,58,30,25,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:38Z,21.70769,R+22,Cassidy +22,republican,louisiana,2020-11-11T00:36:26.207703Z
22093,St. James,11882,0,26,30,Released as a separate subtotal as first report of the night,86,13882,86%,86% reported,edison,2,unknown,,4059,,,5927,2753,2040,134,310,230,126,114,15,15,99,48,27,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,26.71267,R+27,Cassidy +27,republican,louisiana,2020-11-11T00:36:26.207703Z
22095,St. John the Baptist,20295,0,34,39,Released as a separate subtotal as first report of the night,86,23658,86%,86% reported,edison,2,unknown,,7978,,,7518,4815,5355,225,773,641,176,219,64,22,191,102,54,49,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T19:45:59Z,10.6578,R+11,Cassidy +11,republican,louisiana,2020-11-11T00:36:26.207703Z
22097,St. Landry,38917,0,80,92,Released as a separate subtotal as first report of the night,83,46645,83%,83% reported,edison,2,unknown,,8342,,,22285,7083,5127,1062,962,717,478,357,104,66,250,154,99,69,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,39.06262,R+39,Cassidy +39,republican,louisiana,2020-11-11T00:36:26.207703Z
22099,St. Martin,25861,0,46,51,Released as a separate subtotal as first report of the night,90,28840,90%,90% reported,edison,2,unknown,,7030,,,17457,3252,2522,486,610,406,254,235,99,39,149,168,62,51,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:41Z,54.92827,R+55,Cassidy +55,republican,louisiana,2020-11-11T00:36:26.207703Z
22101,St. Mary,22203,0,44,51,Released as a separate subtotal as first report of the night,84,26477,84%,84% reported,edison,2,unknown,,8451,,,14062,3606,2017,447,621,363,281,305,77,47,111,74,49,54,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,47.09274,R+47,Cassidy +47,republican,louisiana,2020-11-11T00:36:26.207703Z
22103,St. Tammany,136953,0,166,169,Released as a separate subtotal as first report of the night,98,139319,98%,98% reported,edison,4,some,,44325,,,98016,15777,10438,2732,2525,1890,738,747,1103,144,969,471,174,464,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,60.04907,R+60,Cassidy +60,republican,louisiana,2020-11-11T00:36:26.207703Z
22105,Tangipahoa,55831,0,83,87,Released as a separate subtotal as first report of the night,95,58706,95%,95% reported,edison,2,unknown,,14341,,,36230,7842,5955,1053,822,951,481,996,395,86,351,201,111,116,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,50.8463,R+51,Cassidy +51,republican,louisiana,2020-11-11T00:36:26.207703Z
22107,Tensas,2404,0,13,16,Released as a separate subtotal as first report of the night,76,3149,76%,76% reported,edison,2,unknown,,1576,,,1210,329,528,32,92,82,30,23,7,3,34,11,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,28.36938,R+28,Cassidy +28,republican,louisiana,2020-11-11T00:36:26.207703Z
22109,Terrebonne,44421,0,83,92,Released as a separate subtotal as first report of the night,90,49164,90%,90% reported,edison,2,unknown,,8712,,,32703,4255,3243,943,700,575,368,686,214,54,225,151,80,65,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:44Z,64.04178,R+64,Cassidy +64,republican,louisiana,2020-11-11T00:36:26.207703Z
22111,Union,10712,0,25,29,Released as a separate subtotal as first report of the night,88,12201,88%,88% reported,edison,2,unknown,,3944,,,7992,949,785,352,137,161,63,75,27,16,55,32,21,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:39Z,65.74869,R+66,Cassidy +66,republican,louisiana,2020-11-11T00:36:26.207703Z
22113,Vermilion,26181,0,50,55,Released as a separate subtotal as first report of the night,91,28708,91%,91% reported,edison,2,unknown,,6541,,,20644,1828,1415,612,312,250,279,186,110,51,105,74,44,198,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:45Z,71.86891,R+72,Cassidy +72,republican,louisiana,2020-11-11T00:36:26.207703Z
22115,Vernon,16569,0,65,73,Released as a separate subtotal as first report of the night,89,18629,89%,89% reported,edison,2,unknown,,6008,,,12951,794,1177,630,200,214,91,129,117,18,74,54,25,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:38Z,71.06041,R+71,Cassidy +71,republican,louisiana,2020-11-11T00:36:26.207703Z
22117,Washington,18858,0,37,41,Released as a separate subtotal as first report of the night,90,20863,90%,90% reported,edison,2,unknown,,6894,,,12747,2386,1896,372,267,367,108,190,57,20,123,113,44,110,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:38Z,54.9422,R+55,Cassidy +55,republican,louisiana,2020-11-11T00:36:26.207703Z
22119,Webster,17652,0,34,39,Released as a separate subtotal as first report of the night,86,20626,86%,86% reported,edison,2,unknown,,5992,,,11306,4079,1035,386,162,202,123,100,55,13,60,31,37,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,40.94154,R+41,Cassidy +41,republican,louisiana,2020-11-11T00:36:26.207703Z
22121,West Baton Rouge,13711,0,28,29,Released as a separate subtotal as first report of the night,96,14307,96%,96% reported,edison,2,unknown,,5213,,,7804,2827,1821,173,384,239,90,101,51,16,57,39,27,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:46Z,36.29932,R+36,Cassidy +36,republican,louisiana,2020-11-11T00:36:26.207703Z
22123,West Carroll,4831,0,15,17,Released as a separate subtotal as first report of the night,91,5330,91%,91% reported,edison,2,unknown,,2541,,,3999,274,198,188,24,45,27,25,7,5,14,8,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:47Z,77.10619,R+77,Cassidy +77,republican,louisiana,2020-11-11T00:36:26.207703Z
22125,West Feliciana,6084,0,33,35,Released as a separate subtotal as first report of the night,94,6495,94%,94% reported,edison,2,unknown,,2666,,,3905,1017,670,84,117,78,51,52,25,6,33,13,12,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:48Z,47.46877,R+47,Cassidy +47,republican,louisiana,2020-11-11T00:36:26.207703Z
22127,Winn,5942,0,26,31,Released as a separate subtotal as first report of the night,81,7318,81%,81% reported,edison,2,unknown,,2606,,,4382,560,458,165,69,71,39,54,19,3,53,22,16,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:09Z,64.32178,R+64,Cassidy +64,republican,louisiana,2020-11-11T00:36:26.207703Z
