fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_inhofej,results_broylesa,results_murphyr,results_farrj,results_nesbita,results_absentee_inhofej,results_absentee_broylesa,results_absentee_murphyr,results_absentee_farrj,results_absentee_nesbita,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
40031,Comanche,35488,10474,38,39,Released as a separate subtotal as first report of the night,100,35616,>98%,>98% reported,edison,6,all,,8736,,,21026,12687,852,596,327,4732,5351,179,134,78,2020-11-07T00:28:43Z,23.49808,R+23,Inhofe +23,republican,oklahoma,2020-11-11T00:36:55.871334Z
40033,Cotton,2562,795,8,9,Released as a separate subtotal as first report of the night,94,2736,94%,94% reported,edison,2,unknown,,760,,,2114,358,39,33,18,639,132,12,8,4,2020-11-04T10:44:09Z,68.5402,R+69,Inhofe +69,republican,oklahoma,2020-11-11T00:36:55.871334Z
40035,Craig,6007,1366,11,12,Released as a separate subtotal as first report of the night,99,6083,>98%,>98% reported,edison,2,unknown,,944,,,4278,1446,144,94,45,825,481,29,23,8,2020-11-04T10:44:09Z,47.145,R+47,Inhofe +47,republican,oklahoma,2020-11-11T00:36:55.871334Z
40037,Creek,30426,6060,33,35,Released as a separate subtotal as first report of the night,100,30318,>98%,>98% reported,edison,2,all,,6525,,,22097,6956,688,486,199,3494,2354,93,87,32,2020-11-07T00:28:42Z,49.76336,R+50,Inhofe +50,republican,oklahoma,2020-11-11T00:36:55.871334Z
40039,Custer,10663,2549,12,13,Released as a separate subtotal as first report of the night,92,11556,92%,92% reported,edison,2,unknown,,2330,,,7735,2454,275,134,65,1629,854,33,21,12,2020-11-07T00:28:41Z,49.5264,R+50,Inhofe +50,republican,oklahoma,2020-11-11T00:36:55.871334Z
40041,Delaware,17181,4224,21,22,Released as a separate subtotal as first report of the night,100,16527,>98%,>98% reported,edison,4,all,,3314,,,12829,3700,283,249,120,2663,1431,54,53,23,2020-11-07T00:28:39Z,53.13428,R+53,Inhofe +53,republican,oklahoma,2020-11-11T00:36:55.871334Z
40043,Dewey,2354,371,8,9,Released as a separate subtotal as first report of the night,98,2401,98%,98% reported,edison,2,unknown,,440,,,2045,253,29,20,7,315,51,0,5,0,2020-11-07T00:28:38Z,76.12574,R+76,Inhofe +76,republican,oklahoma,2020-11-11T00:36:55.871334Z
40045,Ellis,1866,387,6,7,Released as a separate subtotal as first report of the night,96,1951,96%,96% reported,edison,2,unknown,,469,,,1621,187,28,18,12,315,60,6,5,1,2020-11-07T00:28:53Z,76.84887,R+77,Inhofe +77,republican,oklahoma,2020-11-11T00:36:55.871334Z
40047,Garfield,22348,5329,28,30,Released as a separate subtotal as first report of the night,100,22407,>98%,>98% reported,edison,6,all,,5979,,,16306,5006,519,332,185,3274,1882,87,56,30,2020-11-07T00:28:53Z,50.56381,R+51,Inhofe +51,republican,oklahoma,2020-11-11T00:36:55.871334Z
40049,Garvin,10887,2287,16,17,Released as a separate subtotal as first report of the night,98,11091,98%,98% reported,edison,2,unknown,,2240,,,8504,1993,164,137,89,1630,607,21,18,11,2020-11-07T00:28:52Z,59.80527,R+60,Inhofe +60,republican,oklahoma,2020-11-11T00:36:55.871334Z
40051,Grady,23043,5507,26,28,Released as a separate subtotal as first report of the night,100,23047,>98%,>98% reported,edison,6,all,,4398,,,17700,4503,397,283,160,3622,1713,79,62,31,2020-11-07T00:28:51Z,57.27119,R+57,Inhofe +57,republican,oklahoma,2020-11-11T00:36:55.871334Z
40053,Grant,2215,433,6,7,Released as a separate subtotal as first report of the night,94,2350,94%,94% reported,edison,2,unknown,,400,,,1835,304,37,24,15,320,99,8,3,3,2020-11-04T10:43:26Z,69.11964,R+69,Inhofe +69,republican,oklahoma,2020-11-11T00:36:55.871334Z
40055,Greer,1958,500,7,8,Released as a separate subtotal as first report of the night,98,1994,98%,98% reported,edison,2,unknown,,514,,,1534,347,40,19,18,349,135,7,5,4,2020-11-07T00:28:51Z,60.62308,R+61,Inhofe +61,republican,oklahoma,2020-11-11T00:36:55.871334Z
40057,Harmon,933,280,6,7,Released as a separate subtotal as first report of the night,89,1043,89%,89% reported,edison,2,unknown,,288,,,730,182,12,6,3,209,66,1,2,2,2020-11-04T10:43:28Z,58.73526,R+59,Inhofe +59,republican,oklahoma,2020-11-11T00:36:55.871334Z
40059,Harper,1482,306,5,6,Released as a separate subtotal as first report of the night,93,1601,93%,93% reported,edison,2,unknown,,291,,,1290,144,18,22,8,250,46,2,5,3,2020-11-07T00:28:50Z,77.32794,R+77,Inhofe +77,republican,oklahoma,2020-11-11T00:36:55.871334Z
40061,Haskell,4977,1368,10,11,Released as a separate subtotal as first report of the night,100,4983,>98%,>98% reported,edison,2,unknown,,1104,,,3892,926,81,49,29,1018,319,17,11,3,2020-11-07T00:28:50Z,59.59413,R+60,Inhofe +60,republican,oklahoma,2020-11-11T00:36:55.871334Z
40063,Hughes,4828,938,15,16,Released as a separate subtotal as first report of the night,100,4759,>98%,>98% reported,edison,2,unknown,,832,,,3660,1002,75,65,26,657,258,14,5,4,2020-11-04T10:43:29Z,55.05385,R+55,Inhofe +55,republican,oklahoma,2020-11-11T00:36:55.871334Z
40065,Jackson,8189,2162,14,15,Released as a separate subtotal as first report of the night,97,8457,97%,97% reported,edison,2,unknown,,2832,,,6407,1447,194,100,41,1541,552,40,16,13,2020-11-07T00:28:49Z,60.56906,R+61,Inhofe +61,republican,oklahoma,2020-11-11T00:36:55.871334Z
40067,Jefferson,2359,522,9,10,Released as a separate subtotal as first report of the night,95,2471,95%,95% reported,edison,2,unknown,,656,,,1943,323,45,32,16,430,82,4,2,4,2020-11-07T00:28:49Z,68.67317,R+69,Inhofe +69,republican,oklahoma,2020-11-11T00:36:55.871334Z
40069,Johnston,4218,998,13,14,Released as a separate subtotal as first report of the night,100,4225,>98%,>98% reported,edison,2,unknown,,1016,,,3318,749,68,57,26,736,238,13,8,3,2020-11-07T00:28:48Z,60.90564,R+61,Inhofe +61,republican,oklahoma,2020-11-11T00:36:55.871334Z
40071,Kay,17194,3746,26,28,Released as a separate subtotal as first report of the night,100,17240,>98%,>98% reported,edison,6,all,,2845,,,12219,4159,369,286,161,2299,1348,41,41,17,2020-11-07T00:28:47Z,46.87682,R+47,Inhofe +47,republican,oklahoma,2020-11-11T00:36:55.871334Z
40073,Kingfisher,6454,1647,13,14,Released as a separate subtotal as first report of the night,99,6548,>98%,>98% reported,edison,2,unknown,,1557,,,5332,895,130,73,24,1292,309,28,15,3,2020-11-07T00:28:47Z,68.74806,R+69,Inhofe +69,republican,oklahoma,2020-11-11T00:36:55.871334Z
40075,Kiowa,3421,852,12,14,Released as a separate subtotal as first report of the night,93,3673,93%,93% reported,edison,2,unknown,,818,,,2592,730,57,23,19,593,248,6,3,2,2020-11-07T00:28:46Z,54.42853,R+54,Inhofe +54,republican,oklahoma,2020-11-11T00:36:55.871334Z
40077,Latimer,4219,929,11,12,Released as a separate subtotal as first report of the night,99,4266,>98%,>98% reported,edison,2,unknown,,992,,,3172,883,67,57,40,604,300,9,7,9,2020-11-07T00:28:46Z,54.25456,R+54,Inhofe +54,republican,oklahoma,2020-11-11T00:36:55.871334Z
40079,LeFlore,18645,3954,36,37,Released as a separate subtotal as first report of the night,100,18110,>98%,>98% reported,edison,2,unknown,,3581,,,14484,3462,320,269,110,2746,1096,56,39,17,2020-11-07T00:28:45Z,59.11504,R+59,Inhofe +59,republican,oklahoma,2020-11-11T00:36:55.871334Z
40081,Lincoln,14833,3016,20,21,Released as a separate subtotal as first report of the night,100,14869,>98%,>98% reported,edison,6,all,,2651,,,11445,2767,312,205,104,1995,906,64,40,11,2020-11-07T00:28:44Z,58.50469,R+59,Inhofe +59,republican,oklahoma,2020-11-11T00:36:55.871334Z
40083,Logan,21490,6695,22,22,Released as a separate subtotal as first report of the night,100,21558,>98%,>98% reported,edison,6,all,,5138,,,15044,5542,516,247,141,3931,2563,110,61,30,2020-11-07T00:28:44Z,44.21591,R+44,Inhofe +44,republican,oklahoma,2020-11-11T00:36:55.871334Z
40085,Love,4059,1075,11,12,Released as a separate subtotal as first report of the night,100,3985,>98%,>98% reported,edison,2,unknown,,830,,,3230,701,56,44,28,814,232,15,9,5,2020-11-07T00:28:43Z,62.30599,R+62,Inhofe +62,republican,oklahoma,2020-11-11T00:36:55.871334Z
40093,Major,3461,940,7,8,Released as a separate subtotal as first report of the night,97,3583,97%,97% reported,edison,2,unknown,,987,,,2992,348,71,39,11,756,158,14,11,1,2020-11-07T00:28:42Z,76.39411,R+76,Inhofe +76,republican,oklahoma,2020-11-11T00:36:55.871334Z
40095,Marshall,6048,1564,11,11,Released as a separate subtotal as first report of the night,100,5775,>98%,>98% reported,edison,2,unknown,,1757,,,4769,1088,90,63,38,1162,372,13,8,9,2020-11-07T00:28:42Z,60.8631,R+61,Inhofe +61,republican,oklahoma,2020-11-11T00:36:55.871334Z
40097,Mayes,16558,3003,25,27,Released as a separate subtotal as first report of the night,100,16619,>98%,>98% reported,edison,6,all,,3038,,,11826,3973,353,272,134,1752,1147,43,39,22,2020-11-07T00:28:41Z,47.42723,R+47,Inhofe +47,republican,oklahoma,2020-11-11T00:36:55.871334Z
40087,McClain,19193,4070,26,26,Released as a separate subtotal as first report of the night,100,18004,>98%,>98% reported,edison,2,unknown,,3157,,,14603,3861,397,213,119,2613,1343,59,34,21,2020-11-07T00:28:41Z,55.96832,R+56,Inhofe +56,republican,oklahoma,2020-11-11T00:36:55.871334Z
40089,McCurtain,11332,2104,28,30,Released as a separate subtotal as first report of the night,100,11279,>98%,>98% reported,edison,2,unknown,,1856,,,9021,1941,172,132,66,1459,603,19,15,8,2020-11-07T00:28:40Z,62.47794,R+62,Inhofe +62,republican,oklahoma,2020-11-11T00:36:55.871334Z
40091,McIntosh,8290,1914,13,14,Released as a separate subtotal as first report of the night,99,8374,>98%,>98% reported,edison,2,unknown,,1342,,,5733,2235,143,114,65,1180,687,18,18,11,2020-11-07T00:28:39Z,42.19542,R+42,Inhofe +42,republican,oklahoma,2020-11-11T00:36:55.871334Z
40099,Murray,5874,2259,9,10,Released as a separate subtotal as first report of the night,100,5813,>98%,>98% reported,edison,2,unknown,,1429,,,4400,1252,108,75,39,1604,589,30,18,18,2020-11-07T00:28:38Z,53.5921,R+54,Inhofe +54,republican,oklahoma,2020-11-11T00:36:55.871334Z
40101,Muskogee,25021,7062,30,33,Released as a separate subtotal as first report of the night,100,25035,>98%,>98% reported,edison,6,all,,6520,,,15529,8381,504,396,211,3476,3364,82,95,45,2020-11-07T00:28:58Z,28.568,R+29,Inhofe +29,republican,oklahoma,2020-11-11T00:36:55.871334Z
40103,Noble,4934,1347,11,12,Released as a separate subtotal as first report of the night,95,5209,95%,95% reported,edison,2,unknown,,1789,,,3603,1098,123,71,39,919,377,20,22,9,2020-11-07T00:28:58Z,50.77017,R+51,Inhofe +51,republican,oklahoma,2020-11-11T00:36:55.871334Z
40105,Nowata,4380,1136,10,11,Released as a separate subtotal as first report of the night,98,4455,98%,98% reported,edison,2,unknown,,1032,,,3374,814,90,69,33,832,277,13,10,4,2020-11-04T10:43:46Z,58.44749,R+58,Inhofe +58,republican,oklahoma,2020-11-11T00:36:55.871334Z
40107,Okfuskee,4016,937,12,13,Released as a separate subtotal as first report of the night,97,4146,97%,97% reported,edison,2,unknown,,851,,,2865,991,69,62,29,581,325,15,11,5,2020-11-07T00:28:57Z,46.66335,R+47,Inhofe +47,republican,oklahoma,2020-11-11T00:36:55.871334Z
40109,Oklahoma,294247,102732,246,257,Released as a precinct as first report of the night,100,294460,>98%,>98% reported,edison,6,all,,49208,,,142092,139559,6545,3799,2252,36215,63659,1435,889,534,2020-11-07T00:28:57Z,0.86084,R+0.86,Inhofe +0.86,republican,oklahoma,2020-11-11T00:36:55.871334Z
40111,Okmulgee,14274,3451,22,24,Released as a separate subtotal as first report of the night,97,14669,97%,97% reported,edison,2,unknown,,2506,,,9114,4510,295,229,126,1783,1541,55,52,20,2020-11-07T00:28:56Z,32.25445,R+32,Inhofe +32,republican,oklahoma,2020-11-11T00:36:55.871334Z
40113,Osage,20491,6456,27,28,Released as a separate subtotal as first report of the night,100,19945,>98%,>98% reported,edison,4,all,,2789,,,13276,6336,429,314,136,3459,2825,78,68,26,2020-11-07T00:28:56Z,33.86853,R+34,Inhofe +34,republican,oklahoma,2020-11-11T00:36:55.871334Z
