fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
38087,Slope,427,0,3,3,Merged into voters' home precincts and released with cumulative results,100,427,>98%,>98% reported,edison,10,unknown,,336,,,380,44,2,1,0,0,0,0,2020-11-17T03:08:56Z,78.68852,R+79,Trump +79,republican,78.68852,430,74.2,437,59.04,north-dakota,2020-11-21T00:43:17.245801Z
38089,Stark,15050,6883,6,6,Merged into voters' home precincts and released with cumulative results,100,15050,>98%,>98% reported,edison,10,all,,6735,,,12110,2499,396,45,4973,1689,199,22,2020-11-16T15:48:10Z,63.86047,R+64,Trump +64,republican,63.86047,12322,64.9,11633,49.08,north-dakota,2020-11-21T00:43:17.245801Z
38091,Steele,1088,0,5,5,None,100,1088,>98%,>98% reported,edison,10,unknown,,1853,,,652,392,38,6,0,0,0,0,2020-11-16T15:48:11Z,23.89706,R+24,Trump +24,republican,23.89706,999,17.7,1042,-1.92,north-dakota,2020-11-21T00:43:17.245801Z
38093,Stutsman,9959,0,12,12,Merged into voters' home precincts and released with cumulative results,100,9959,>98%,>98% reported,edison,10,unknown,,4200,,,6994,2676,249,40,0,0,0,0,2020-11-17T03:07:06Z,43.35777,R+43,Trump +43,republican,43.35777,10155,41.6,9558,21.97,north-dakota,2020-11-21T00:43:17.245801Z
38095,Towner,1174,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1174,>98%,>98% reported,edison,10,unknown,,1520,,,830,317,25,2,0,0,0,0,2020-11-16T15:48:12Z,43.69676,R+44,Trump +44,republican,43.69676,1157,37,1182,9.05,north-dakota,2020-11-21T00:43:17.245801Z
38097,Traill,4136,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4136,>98%,>98% reported,edison,10,unknown,,4857,,,2522,1493,110,11,0,0,0,0,2020-11-17T03:07:13Z,24.87911,R+25,Trump +25,republican,24.87911,3933,26,3921,4.72,north-dakota,2020-11-21T00:43:17.245801Z
38099,Walsh,4783,0,2,2,Merged into voters' home precincts and released with cumulative results,100,4783,>98%,>98% reported,edison,10,some,,8924,,,3324,1333,95,31,0,0,0,0,2020-11-16T15:48:13Z,41.62659,R+42,Trump +42,republican,41.62659,4636,39.4,5096,13.52,north-dakota,2020-11-21T00:43:17.245801Z
38101,Ward,28246,0,18,18,Merged into voters' home precincts and released with cumulative results,100,28246,>98%,>98% reported,edison,10,unknown,,15399,,,19974,7293,845,134,0,0,0,0,2020-11-17T03:07:18Z,44.89485,R+45,Trump +45,republican,44.89485,27412,46.8,25463,30.59,north-dakota,2020-11-21T00:43:17.245801Z
38103,Wells,2374,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2374,>98%,>98% reported,edison,10,unknown,,1575,,,1893,442,32,7,0,0,0,0,2020-11-17T03:07:23Z,61.12047,R+61,Trump +61,republican,61.12047,2383,57.8,2379,41.24,north-dakota,2020-11-21T00:43:17.245801Z
38105,Williams,14334,0,15,15,Merged into voters' home precincts and released with cumulative results,100,14334,>98%,>98% reported,edison,10,unknown,,8895,,,11739,2169,362,64,0,0,0,0,2020-11-17T03:09:04Z,66.76434,R+67,Trump +67,republican,66.76434,12807,65.1,9808,49.57,north-dakota,2020-11-21T00:43:17.245801Z
