fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
45067,Marion,14704,8791,15,15,Released as a separate subtotal as first report of the night,100,14717,>98%,>98% reported,edison,10,unknown,,4710,,,5711,8872,63,40,18,2777,5955,31,20,8,2020-11-16T15:47:42Z,21.49755,D+21,Biden +21,democrat,-21.49755,14276,-21.9,14986,-30.19,south-carolina,2020-11-21T00:43:36.706783Z
45069,Marlboro,11446,7722,11,11,Merged into voters' home precincts AFTER election night,100,11448,>98%,>98% reported,edison,10,unknown,,7086,,,5044,6290,69,33,10,2824,4839,35,21,3,2020-11-16T15:47:43Z,10.8859,D+11,Biden +11,democrat,-10.8859,10389,-16.2,9853,-24.6,south-carolina,2020-11-21T00:43:36.706783Z
45065,McCormick,5697,3848,17,17,Released as a separate subtotal at the end of tabulation,100,5720,>98%,>98% reported,edison,10,unknown,,3494,,,2958,2687,28,20,4,1778,2036,17,14,3,2020-11-16T15:47:39Z,4.75689,R+5,Trump +5,republican,4.75689,5216,3.3,5160,-3.6,south-carolina,2020-11-21T00:43:36.706783Z
45071,Newberry,18631,9281,30,30,Released as a precinct as first report of the night,100,18631,>98%,>98% reported,edison,10,unknown,,3907,,,11443,6958,152,60,18,5054,4129,59,26,13,2020-11-16T15:47:44Z,24.07278,R+24,Trump +24,republican,24.07278,16807,22.6,16351,14.35,south-carolina,2020-11-21T00:43:36.706783Z
45073,Oconee,40668,19684,31,31,Released as a precinct as first report of the night,100,40668,>98%,>98% reported,edison,10,all,,11104,,,29698,10414,443,88,25,12738,6768,131,37,10,2020-11-16T15:47:45Z,47.41812,R+47,Trump +47,republican,47.41812,33635,48.1,30666,42.59,south-carolina,2020-11-21T00:43:36.706783Z
45075,Orangeburg,41205,25673,53,53,"As a precinct in the FIRST cumulative report, along with regular precincts",100,41240,>98%,>98% reported,edison,10,unknown,,17131,,,13603,27295,172,106,29,6501,19048,70,44,10,2020-11-16T15:47:46Z,33.22898,D+33,Biden +33,democrat,-33.22898,38910,-37,43041,-43.44,south-carolina,2020-11-21T00:43:36.706783Z
45077,Pickens,57546,24482,61,61,Released as a precinct as first report of the night,100,57546,>98%,>98% reported,edison,10,unknown,,7925,,,42907,13645,793,162,39,15760,8393,257,54,18,2020-11-16T15:47:46Z,50.84975,R+51,Trump +51,republican,50.84975,49049,52.8,45549,49,south-carolina,2020-11-21T00:43:36.706783Z
45079,Richland,193822,0,149,149,Released as a separate subtotal as first report of the night,100,194045,>98%,>98% reported,edison,10,unknown,,56221,,,58313,132570,2027,732,180,0,0,0,0,0,2020-11-16T15:47:47Z,38.31196,D+38,Biden +38,democrat,-38.31196,168722,-32.9,159154,-31.97,south-carolina,2020-11-21T00:43:36.706783Z
45081,Saluda,9274,3902,18,18,Released as a separate subtotal as first report of the night,100,9279,>98%,>98% reported,edison,10,unknown,,1664,,,6210,2963,75,21,5,2166,1697,25,12,2,2020-11-16T15:47:48Z,35.01186,R+35,Trump +35,republican,35.01186,8564,31.7,8564,21.1,south-carolina,2020-11-21T00:43:36.706783Z
45083,Spartanburg,148655,63900,98,98,Released as a precinct as first report of the night,100,148655,>98%,>98% reported,edison,10,all,,30728,,,93560,52926,1702,377,90,32387,30853,499,131,30,2020-11-16T15:47:49Z,27.33443,R+27,Trump +27,republican,27.33443,121090,30,109906,23.21,south-carolina,2020-11-21T00:43:36.706783Z
45085,Sumter,48920,31851,58,58,Released as a precinct in the middle of the night,100,48920,>98%,>98% reported,edison,10,unknown,,24925,,,21000,27379,355,152,34,11831,19749,178,77,16,2020-11-16T15:47:50Z,13.03966,D+13,Biden +13,democrat,-13.03966,44086,-12,47309,-17.58,south-carolina,2020-11-21T00:43:36.706783Z
45087,Union,13257,5678,23,23,Released as a precinct as first report of the night,100,13257,>98%,>98% reported,edison,10,unknown,,2534,,,8183,4935,96,36,7,3109,2569,0,0,0,2020-11-16T15:47:51Z,24.50026,R+25,Trump +25,republican,24.50026,12092,19.3,12541,6.28,south-carolina,2020-11-21T00:43:36.706783Z
45089,Williamsburg,15985,9398,28,28,None,100,16009,>98%,>98% reported,edison,10,unknown,,5763,,,5532,10289,81,62,21,2340,6989,29,28,12,2020-11-16T15:47:52Z,29.75915,D+30,Biden +30,democrat,-29.75915,15054,-33.8,16304,-39.93,south-carolina,2020-11-21T00:43:36.706783Z
45091,York,144050,69783,96,96,None,100,144050,>98%,>98% reported,edison,10,unknown,,33674,,,82727,59008,1807,398,110,32413,36606,567,157,40,2020-11-16T15:47:53Z,16.46581,R+16,Trump +16,republican,16.46581,114357,22,100210,20.37,south-carolina,2020-11-21T00:43:36.706783Z
