fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_write_ins,results_kennedya,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_write_ins,results_absentee_kennedya,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27051,Grant,3654,0,23,23,Merged into voters' home precincts and released with cumulative results,98,3728,98%,98% reported,edison,2,all,,855,,,1300,2269,43,8,10,10,7,4,2,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:27:09Z,26.51888,R+27,Trump +27,republican,26.51888,3473,27.6,3487,2.9,minnesota,2020-11-27T00:46:30.478791Z
27053,Hennepin,755969,0,425,425,Merged into voters' home precincts and released with cumulative results,96,788773,96%,96% reported,edison,2,all,,179553,,,532623,205973,7526,2448,1025,1937,1038,2787,164,448,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:27:44Z,43.20944,D+43,Biden +43,democrat,-43.20944,679977,-34.9,680065,-27.04,minnesota,2020-11-27T00:46:30.478791Z
27055,Houston,11440,0,27,27,Merged into voters' home precincts and released with cumulative results,98,11678,98%,98% reported,edison,4,all,,1965,,,4853,6334,114,29,32,29,20,21,4,4,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:28:16Z,12.9458,R+13,Trump +13,republican,12.9458,10604,13.9,10446,-3.16,minnesota,2020-11-27T00:46:30.478791Z
27057,Hubbard,12965,0,38,38,Merged into voters' home precincts and released with cumulative results,97,13346,97%,97% reported,edison,2,all,,3437,,,4462,8202,134,48,24,30,23,38,2,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:28:44Z,28.8469,R+29,Trump +29,republican,28.8469,11505,33.4,11520,16.89,minnesota,2020-11-27T00:46:30.478791Z
27059,Isanti,24235,0,19,19,Merged into voters' home precincts and released with cumulative results,100,22477,>98%,>98% reported,edison,2,all,,3609,,,7138,16491,304,79,34,53,51,73,5,7,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:29:10Z,38.59294,R+39,Trump +39,republican,38.59294,21016,38,20217,18.06,minnesota,2020-11-27T00:46:30.478791Z
27061,Itasca,26561,0,76,76,Merged into voters' home precincts and released with cumulative results,100,25925,>98%,>98% reported,edison,6,all,,5760,,,10786,15239,247,77,50,63,44,50,3,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:29:44Z,16.76518,R+17,Trump +17,republican,16.76518,23880,16.4,23919,-9.83,minnesota,2020-11-27T00:46:30.478791Z
27063,Jackson,5819,0,28,28,Merged into voters' home precincts and released with cumulative results,96,6039,96%,96% reported,edison,2,all,,917,,,1745,3948,53,12,19,19,15,6,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:30:11Z,37.85874,R+38,Trump +38,republican,37.85874,5484,38.6,5430,14.29,minnesota,2020-11-27T00:46:30.478791Z
27065,Kanabec,9242,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8745,>98%,>98% reported,edison,4,all,,1575,,,2774,6278,93,23,21,17,12,18,1,5,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:30:41Z,37.91387,R+38,Trump +38,republican,37.91387,8177,35.5,8150,9.02,minnesota,2020-11-27T00:46:30.478791Z
27067,Kandiyohi,23367,0,48,48,Merged into voters' home precincts and released with cumulative results,97,23977,97%,97% reported,edison,2,all,,5181,,,8440,14437,211,53,48,63,44,54,11,6,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:31:09Z,25.6644,R+26,Trump +26,republican,25.6644,21772,25.3,21465,6.69,minnesota,2020-11-27T00:46:30.478791Z
27069,Kittson,2639,0,39,39,Merged into voters' home precincts and released with cumulative results,100,2627,>98%,>98% reported,edison,6,all,,501,,,1006,1546,44,8,7,12,7,9,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:31:36Z,20.4623,R+20,Trump +20,republican,20.4623,2385,22.1,2420,-6.03,minnesota,2020-11-27T00:46:30.478791Z
