fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26083,Keweenaw,1557,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1557,>98%,>98% reported,edison,6,unknown,,297,,,672,862,17,2,4,0,0,0,0,0,0,0,0,0,2020-11-24T13:21:45Z,12.20295,R+12,Trump +12,republican,12.20295,1434,20,1392,13.79,michigan,2020-11-27T00:46:32.907092Z
26085,Lake,6332,0,15,15,Merged into voters' home precincts and released with cumulative results,100,6332,>98%,>98% reported,edison,6,all,,646,,,2288,3946,65,9,12,3,9,0,0,0,0,0,0,0,2020-11-24T13:21:47Z,26.18446,R+26,Trump +26,republican,26.18446,5358,22.8,5287,-5.01,michigan,2020-11-27T00:46:32.907092Z
26087,Lapeer,52640,14351,38,38,Merged into voters' home precincts and released with cumulative results,100,52639,>98%,>98% reported,edison,6,unknown,,8988,,,16367,35482,573,78,113,27,0,6521,7743,19,27,34,7,0,2020-11-24T13:21:51Z,36.31269,R+36,Trump +36,republican,36.31269,45183,38.3,43115,11.45,michigan,2020-11-27T00:46:32.907092Z
26089,Leelanau,16933,9245,13,13,Merged into voters' home precincts and released with cumulative results,100,16930,>98%,>98% reported,edison,6,all,,3904,,,8795,7916,134,9,40,4,35,5766,3381,54,5,19,1,19,2020-11-24T13:21:55Z,5.19105,D+5,Biden +5,democrat,-5.19105,14892,3.1,14176,6.4,michigan,2020-11-27T00:46:32.907092Z
26091,Lenawee,53452,0,46,60,Released with cumulative results periodically election night,100,53448,>98%,>98% reported,edison,6,unknown,,7041,,,20918,31541,690,84,119,22,78,0,0,0,0,0,0,0,2020-11-24T13:21:59Z,19.87391,R+20,Trump +20,republican,19.87391,46298,20.9,44724,1.29,michigan,2020-11-27T00:46:32.907092Z
26093,Livingston,127166,76370,80,80,Merged into voters' home precincts and released with cumulative results,100,127162,>98%,>98% reported,edison,6,all,,28208,,,48220,76982,1511,133,263,57,,37504,37755,815,96,162,38,,2020-11-24T13:22:01Z,22.61768,R+23,Trump +23,republican,22.61768,106489,29.4,98337,23.25,michigan,2020-11-27T00:46:32.907092Z
26095,Luce,3001,0,4,4,Merged into voters' home precincts and released with cumulative results,97,3101,97%,97% reported,edison,6,unknown,,312,,,842,2109,27,11,8,4,0,0,0,0,0,0,0,0,2020-11-24T13:22:02Z,42.21926,R+42,Trump +42,republican,42.21926,2591,41.5,2596,22.69,michigan,2020-11-27T00:46:32.907092Z
26097,Mackinac,7015,0,14,14,Merged into voters' home precincts and released with cumulative results,100,6922,>98%,>98% reported,edison,6,unknown,,966,,,2632,4304,56,8,13,2,,0,0,0,0,0,0,,2020-11-24T13:22:02Z,23.83464,R+24,Trump +24,republican,23.83464,6144,27,6099,12.22,michigan,2020-11-27T00:46:32.907092Z
26099,Macomb,494219,0,343,343,Released with cumulative results periodically election night,100,496523,>98%,>98% reported,edison,6,some,,126608,,,223952,263863,4462,551,1149,242,0,0,0,0,0,0,0,0,2020-11-24T13:22:03Z,8.07557,R+8,Trump +8,republican,8.07557,419312,11.5,404086,-3.99,michigan,2020-11-27T00:46:32.907092Z
26101,Manistee,14654,4938,20,20,Merged into voters' home precincts and released with cumulative results,100,14654,>98%,>98% reported,edison,6,unknown,,2797,,,6107,8321,154,28,34,10,0,2731,2125,54,11,13,4,0,2020-11-24T13:22:04Z,15.1085,R+15,Trump +15,republican,15.1085,12660,15.3,12402,-5.93,michigan,2020-11-27T00:46:32.907092Z
26103,Marquette,37458,0,35,36,None,100,37460,>98%,>98% reported,edison,6,all,,5238,,,20465,16286,511,43,131,22,0,0,0,0,0,0,0,0,2020-11-24T13:22:07Z,11.1565,D+11,Biden +11,democrat,-11.1565,33218,-4.2,32194,-14.01,michigan,2020-11-27T00:46:32.907092Z
26105,Mason,17249,0,25,25,Merged into voters' home precincts and released with cumulative results,100,17249,>98%,>98% reported,edison,6,unknown,,2178,,,6802,10207,143,21,57,19,0,0,0,0,0,0,0,0,2020-11-24T13:22:09Z,19.74027,R+20,Trump +20,republican,19.74027,14792,21.8,14604,4.96,michigan,2020-11-27T00:46:32.907092Z
26107,Mecosta,21081,0,20,20,Merged into voters' home precincts and released with cumulative results,100,21077,>98%,>98% reported,edison,6,all,,3522,,,7375,13267,303,37,51,13,35,0,0,0,0,0,0,0,2020-11-24T13:22:10Z,27.94934,R+28,Trump +28,republican,27.94934,17259,25.9,16913,9.82,michigan,2020-11-27T00:46:32.907092Z
26109,Menominee,12621,0,21,21,Merged into voters' home precincts and released with cumulative results,100,12622,>98%,>98% reported,edison,6,unknown,,1040,,,4316,8117,125,22,24,2,15,0,0,0,0,0,0,0,2020-11-24T13:22:12Z,30.11647,R+30,Trump +30,republican,30.11647,10824,29.2,10923,2.95,michigan,2020-11-27T00:46:32.907092Z
26111,Midland,49175,0,50,50,Merged into voters' home precincts and released with cumulative results,100,49165,>98%,>98% reported,edison,6,unknown,,5342,,,20493,27675,701,67,116,21,102,0,0,0,0,0,0,0,2020-11-24T13:22:13Z,14.60498,R+15,Trump +15,republican,14.60498,42776,19.2,41754,15.49,michigan,2020-11-27T00:46:32.907092Z
26113,Missaukee,8755,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8755,>98%,>98% reported,edison,6,all,,1148,,,1967,6648,111,10,16,2,1,0,0,0,0,0,0,0,2020-11-24T13:22:14Z,53.46659,R+53,Trump +53,republican,53.46659,7317,52.2,7027,34.03,michigan,2020-11-27T00:46:32.907092Z
26115,Monroe,87148,0,76,76,Merged into voters' home precincts and released with cumulative results,100,87148,>98%,>98% reported,edison,6,all,,13943,,,32975,52710,1086,143,193,41,,0,0,0,0,0,0,,2020-11-24T13:22:15Z,22.64538,R+23,Trump +23,republican,22.64538,74655,22,72853,-0.98,michigan,2020-11-27T00:46:32.907092Z
26117,Montcalm,32086,0,29,29,Merged into voters' home precincts and released with cumulative results,100,32086,>98%,>98% reported,edison,6,unknown,,4913,,,9703,21815,428,67,56,17,0,0,0,0,0,0,0,0,2020-11-24T13:22:15Z,37.74855,R+38,Trump +38,republican,37.74855,26760,33.8,25431,8.62,michigan,2020-11-27T00:46:32.907092Z
26119,Montmorency,5863,0,9,9,Merged into voters' home precincts and released with cumulative results,100,5863,>98%,>98% reported,edison,6,unknown,,856,,,1628,4171,11,38,11,0,4,0,0,0,0,0,0,0,2020-11-24T13:22:17Z,43.3737,R+43,Trump +43,republican,43.3737,5032,43.9,5051,17.4,michigan,2020-11-27T00:46:32.907092Z
26121,Muskegon,92435,47732,67,67,Merged into voters' home precincts and released with cumulative results,98,94497,98%,98% reported,edison,6,all,,16292,,,45643,45133,1219,134,269,37,0,29951,17061,494,82,123,21,0,2020-11-24T13:22:22Z,0.55174,D+0.55,Biden +0.55,democrat,-0.55174,78723,-1.5,76163,-17.79,michigan,2020-11-27T00:46:32.907092Z
26123,Newaygo,27156,0,31,31,Merged into voters' home precincts and released with cumulative results,100,27164,>98%,>98% reported,edison,6,unknown,,3272,,,7873,18857,331,28,56,11,0,0,0,0,0,0,0,0,2020-11-24T13:22:23Z,40.44778,R+40,Trump +40,republican,40.44778,22782,39.3,21478,17.36,michigan,2020-11-27T00:46:32.907092Z
