fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02919,ED 19,4670,2520,5,6,Released as a separate subtotal as first report of the night,85,5511,85%,85% reported,edison,2,unknown,,4000,,,1723,2771,91,45,20,8,12,638,1808,37,22,6,6,3,2020-11-11T13:18:16Z,22.44111,D+22,Biden +22,democrat,-22.44111,4792,-21.6,alaska,2020-11-13T00:38:32.233223Z
02902,ED 2,5968,2536,3,4,Released as a separate subtotal as first report of the night,94,6316,94%,94% reported,edison,2,unknown,,4000,,,3571,2048,279,29,18,14,9,1213,1223,78,10,6,4,2,2020-11-12T16:41:29Z,25.51944,R+26,Trump +26,republican,25.51944,5492,29.2,alaska,2020-11-13T00:38:32.233223Z
02920,ED 20,6669,4672,7,9,Released as a separate subtotal as first report of the night,81,8211,81%,81% reported,edison,2,unknown,,4000,,,2070,4423,115,42,6,13,0,1136,3452,51,26,2,5,0,2020-11-11T13:18:16Z,35.28265,D+35,Biden +35,democrat,-35.28265,7140,-27.5,alaska,2020-11-13T00:38:32.233223Z
02921,ED 21,8607,5181,7,8,Released as a separate subtotal as first report of the night,87,9944,87%,87% reported,edison,2,unknown,,4000,,,3355,4974,175,59,25,16,3,1452,3610,71,31,9,5,3,2020-11-11T13:18:15Z,18.81027,D+19,Biden +19,democrat,-18.81027,8647,-8.6,alaska,2020-11-13T00:38:32.233223Z
02922,ED 22,5388,1448,4,7,Released as a separate subtotal as first report of the night,56,9628,56%,56% reported,edison,2,unknown,,4000,,,3289,1937,121,23,6,10,2,703,703,25,9,1,6,1,2020-11-12T16:41:21Z,25.0928,R+25,Trump +25,republican,25.0928,8372,11.1,alaska,2020-11-13T00:38:32.233223Z
02923,ED 23,7178,3678,7,8,Released as a separate subtotal as first report of the night,90,7963,90%,90% reported,edison,2,unknown,,4000,,,3421,3513,153,46,19,13,13,1301,2278,60,23,8,3,5,2020-11-12T16:41:40Z,1.28169,D+1.3,Biden +1.3,democrat,-1.28169,6924,5.1,alaska,2020-11-13T00:38:32.233223Z
02924,ED 24,5923,1825,4,7,Released as a separate subtotal as first report of the night,55,10684,55%,55% reported,edison,2,unknown,,4000,,,3720,2032,127,25,6,10,3,893,894,29,7,1,1,0,2020-11-11T13:18:23Z,28.49907,R+28,Trump +28,republican,28.49907,9290,12.2,alaska,2020-11-13T00:38:32.233223Z
02925,ED 25,8683,4724,6,7,Released as a separate subtotal as first report of the night,93,9346,93%,93% reported,edison,2,unknown,,4000,,,4102,4302,179,57,18,11,14,1543,3051,83,23,9,3,12,2020-11-12T16:41:38Z,2.30335,D+2,Biden +2,democrat,-2.30335,8127,5.4,alaska,2020-11-13T00:38:32.233223Z
02926,ED 26,9201,5321,7,8,Released as a separate subtotal as first report of the night,90,10241,90%,90% reported,edison,2,unknown,,4000,,,4784,4152,176,52,16,20,1,2168,3033,77,29,8,6,0,2020-11-12T16:41:37Z,6.86882,R+7,Trump +7,republican,6.86882,8905,13.2,alaska,2020-11-13T00:38:32.233223Z
02927,ED 27,8642,4925,6,8,Released as a separate subtotal as first report of the night,86,10100,86%,86% reported,edison,2,unknown,,4000,,,3975,4386,192,48,17,19,5,1657,3157,68,23,9,9,2,2020-11-12T16:41:37Z,4.75584,D+5,Biden +5,democrat,-4.75584,8783,4.1,alaska,2020-11-13T00:38:32.233223Z
02928,ED 28,6863,2022,4,9,Released as a separate subtotal as first report of the night,52,13141,52%,52% reported,edison,2,unknown,,4000,,,4120,2549,138,42,8,5,1,996,986,26,12,2,0,0,2020-11-11T13:18:21Z,22.89086,R+23,Trump +23,republican,22.89086,11427,5.9,alaska,2020-11-13T00:38:32.233223Z
02929,ED 29,8744,2821,8,11,Released as a separate subtotal as first report of the night,81,10803,81%,81% reported,edison,2,unknown,,4000,,,6150,2360,145,52,24,10,3,1430,1347,20,15,8,0,1,2020-11-11T13:18:21Z,43.34401,R+43,Trump +43,republican,43.34401,9394,45.2,alaska,2020-11-13T00:38:32.233223Z
02903,ED 3,8237,2983,5,5,Released as a separate subtotal as first report of the night,94,8755,94%,94% reported,edison,2,unknown,,4000,,,5989,1861,301,41,26,13,6,1708,1131,114,17,8,3,2,2020-11-12T16:41:28Z,50.11533,R+50,Trump +50,republican,50.11533,7613,54.7,alaska,2020-11-13T00:38:32.233223Z
02930,ED 30,9742,4687,5,6,Released as a separate subtotal as first report of the night,95,10293,95%,95% reported,edison,2,unknown,,4000,,,6865,2543,254,38,25,16,1,2797,1777,92,9,6,5,1,2020-11-12T16:41:35Z,44.36461,R+44,Trump +44,republican,44.36461,8950,48.9,alaska,2020-11-13T00:38:32.233223Z
02931,ED 31,5381,1,4,9,Released as a separate subtotal as first report of the night,46,11709,46%,46% reported,edison,2,unknown,,4000,,,3913,1261,131,52,11,10,3,0,1,0,0,0,0,0,2020-11-11T03:25:05Z,49.28452,R+49,Trump +49,republican,49.28452,10182,21.1,alaska,2020-11-13T00:38:32.233223Z
02932,ED 32,4081,0,7,14,Released as a separate subtotal as first report of the night,47,8593,47%,47% reported,edison,2,unknown,,4000,,,2572,1298,127,58,11,12,3,0,0,0,0,0,0,0,2020-11-12T16:41:33Z,31.21784,R+31,Trump +31,republican,31.21784,7472,14.2,alaska,2020-11-13T00:38:32.233223Z
02933,ED 33,6045,2888,5,11,Released as a separate subtotal as first report of the night,53,11424,53%,53% reported,edison,2,unknown,,4000,,,2117,3696,131,63,15,17,6,701,2117,43,20,2,3,2,2020-11-12T16:41:33Z,26.12076,D+26,Biden +26,democrat,-26.12076,9934,-32.7,alaska,2020-11-13T00:38:32.233223Z
02934,ED 34,9926,7198,6,7,Released as a separate subtotal as first report of the night,92,10846,92%,92% reported,edison,2,unknown,,4000,,,4197,5356,249,57,30,32,5,2531,4455,131,38,20,22,1,2020-11-11T13:18:18Z,11.67641,D+12,Biden +12,democrat,-11.67641,9431,-2.8,alaska,2020-11-13T00:38:32.233223Z
02935,ED 35,9433,5177,12,14,Released as a separate subtotal as first report of the night,91,10398,91%,91% reported,edison,2,unknown,,4000,,,4385,4755,155,88,30,14,6,1862,3180,78,37,15,5,0,2020-11-12T16:41:32Z,3.9224,D+4,Biden +4,democrat,-3.9224,9042,3.9,alaska,2020-11-13T00:38:32.233223Z
02936,ED 36,5117,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3251,1642,131,58,18,11,6,0,1,0,0,0,0,0,2020-11-11T03:26:15Z,31.44421,R+31,Trump +31,republican,31.44421,8264,21.4,alaska,2020-11-13T00:38:32.233223Z
02937,ED 37,3123,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1492,1486,45,37,37,14,12,0,0,0,0,0,0,0,2020-11-11T03:24:51Z,0.19212,R+0.19,Trump +0.19,republican,0.19212,5062,-9.5,alaska,2020-11-13T00:38:32.233223Z
02938,ED 38,3800,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1327,2176,77,99,47,50,24,0,0,0,0,0,0,0,2020-11-11T03:24:56Z,22.34211,D+22,Biden +22,democrat,-22.34211,5095,-31.7,alaska,2020-11-13T00:38:32.233223Z
02939,ED 39,4822,282,24,33,Released as a separate subtotal as first report of the night,74,6485,74%,74% reported,edison,2,unknown,,4000,,,1556,2946,99,90,68,44,19,93,176,6,2,2,3,0,2020-11-12T16:41:29Z,28.82621,D+29,Biden +29,democrat,-28.82621,5639,-30.8,alaska,2020-11-13T00:38:32.233223Z
02904,ED 4,10893,6231,6,7,Released as a separate subtotal as first report of the night,99,10949,>98%,>98% reported,edison,2,unknown,,4000,,,4660,5769,313,92,27,28,4,1872,4157,149,36,7,10,0,2020-11-11T13:18:24Z,10.18085,D+10,Biden +10,democrat,-10.18085,9521,-1,alaska,2020-11-13T00:38:32.233223Z
02940,ED 40,3261,0,14,23,Released as a separate subtotal as first report of the night,62,5302,62%,62% reported,edison,2,unknown,,4000,,,1507,1518,72,64,41,37,22,0,0,0,0,0,0,0,2020-11-12T16:41:29Z,0.33732,D+0.34,Biden +0.34,democrat,-0.33732,4610,-20.8,alaska,2020-11-13T00:38:32.233223Z
02905,ED 5,8476,4335,8,9,Released as a separate subtotal as first report of the night,93,9092,93%,93% reported,edison,2,unknown,,4000,,,4011,4104,250,67,20,16,8,1431,2757,107,25,7,4,4,2020-11-12T16:41:34Z,1.09722,D+1.1,Biden +1.1,democrat,-1.09722,7906,6.3,alaska,2020-11-13T00:38:32.233223Z
02906,ED 6,9075,5,30,33,Released as a separate subtotal as first report of the night,93,9729,93%,93% reported,edison,2,unknown,,4000,,,5568,3107,253,80,32,29,6,2,2,0,1,0,0,0,2020-11-12T16:41:33Z,27.11846,R+27,Trump +27,republican,27.11846,8460,28.3,alaska,2020-11-13T00:38:32.233223Z
02907,ED 7,8773,5090,6,7,Released as a separate subtotal as first report of the night,92,9538,92%,92% reported,edison,2,unknown,,4000,,,6416,2029,233,46,34,11,4,3421,1502,113,21,22,8,3,2020-11-11T03:25:54Z,50.0057,R+50,Trump +50,republican,50.0057,8294,53.4,alaska,2020-11-13T00:38:32.233223Z
02908,ED 8,8957,3931,5,6,Released as a separate subtotal as first report of the night,96,9284,96%,96% reported,edison,2,unknown,,4000,,,6874,1797,204,38,25,15,4,2636,1214,59,13,7,1,1,2020-11-11T13:18:22Z,56.68192,R+57,Trump +57,republican,56.68192,8073,60.8,alaska,2020-11-13T00:38:32.233223Z
02909,ED 9,10377,4,11,11,Released as a separate subtotal as first report of the night,100,10297,>98%,>98% reported,edison,2,unknown,,4000,,,7366,2596,284,74,38,16,3,2,2,0,0,0,0,0,2020-11-12T16:41:31Z,45.96704,R+46,Trump +46,republican,45.96704,8954,47.5,alaska,2020-11-13T00:38:32.233223Z
