fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47021,Cheatham,20091,16532,8,8,Released as a separate subtotal as first report of the night,100,20091,>98%,>98% reported,edison,6,all,,12907,,,14328,5457,205,23,30,27,5,1,15,,11501,4806,154,13,22,20,2,1,13,,2020-11-11T03:25:38Z,44.1541,R+44,Trump +44,republican,44.1541,15924,46.6,15182,36.95,tennessee,2020-11-13T00:39:23.881716Z
47023,Chester,7578,0,11,11,Released as a separate subtotal as first report of the night,97,7821,97%,97% reported,edison,2,unknown,,4605,,,5951,1411,86,71,23,7,15,6,8,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:05Z,59.91027,R+60,Trump +60,republican,59.91027,6507,59,6410,47.74,tennessee,2020-11-13T00:39:23.881716Z
47025,Claiborne,12935,0,16,16,Released as a separate subtotal as first report of the night,100,12908,>98%,>98% reported,edison,2,unknown,,6758,,,10598,2201,82,22,11,6,8,0,7,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:06Z,64.91689,R+65,Trump +65,republican,64.91689,10740,63,10178,50.93,tennessee,2020-11-13T00:39:23.881716Z
47027,Clay,3506,0,7,7,Released as a separate subtotal as first report of the night,100,3509,>98%,>98% reported,edison,2,unknown,,1984,,,2733,735,22,4,5,4,2,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:06Z,56.98802,R+57,Trump +57,republican,56.98802,2920,49.1,2820,25.18,tennessee,2020-11-13T00:39:23.881716Z
47029,Cocke,14870,0,19,19,Other,99,15000,>98%,>98% reported,edison,2,unknown,,8249,,,12182,2524,93,20,12,23,7,4,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:07Z,64.94956,R+65,Trump +65,republican,64.94956,12126,64.4,11454,49.37,tennessee,2020-11-13T00:39:23.881716Z
47031,Coffee,24313,17194,23,23,Released as a separate subtotal as first report of the night,100,24313,>98%,>98% reported,edison,6,all,,13744,,,17863,5704,242,219,59,49,71,30,24,52,12231,4536,137,130,33,27,40,21,12,27,2020-11-11T03:26:08Z,50.01028,R+50,Trump +50,republican,50.01028,19971,48.4,19259,37.14,tennessee,2020-11-13T00:39:23.881716Z
47033,Crockett,6114,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",96,6378,96%,96% reported,edison,2,unknown,,3380,,,4673,1382,30,12,3,6,4,1,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:08Z,53.82728,R+54,Trump +54,republican,53.82728,5397,49.6,5498,38.45,tennessee,2020-11-13T00:39:23.881716Z
47035,Cumberland,32307,22942,24,24,Released as a separate subtotal as first report of the night,100,32307,>98%,>98% reported,edison,6,all,,21382,,,25167,6728,232,35,62,31,13,1,9,29,17195,5511,122,17,46,23,7,1,7,13,2020-11-11T03:25:15Z,57.07432,R+57,Trump +57,republican,57.07432,26360,57.7,25247,49.08,tennessee,2020-11-13T00:39:23.881716Z
47037,Davidson,308325,253821,160,160,Released as a separate subtotal as first report of the night,100,306783,>98%,>98% reported,edison,6,unknown,,227158,,,99415,197846,3520,2590,595,722,630,1066,399,1542,74619,171859,2291,1619,410,510,436,732,271,1074,2020-11-11T03:25:20Z,31.92443,D+32,Biden +32,democrat,-31.92443,249068,-25.8,244873,-18.58,tennessee,2020-11-13T00:39:23.881716Z
47041,DeKalb,8501,0,15,15,Released as a precinct as first report of the night,100,8360,>98%,>98% reported,edison,2,unknown,,4360,,,6663,1747,60,9,9,6,1,2,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:23Z,57.82849,R+58,Trump +58,republican,57.82849,6955,51.8,6422,30.66,tennessee,2020-11-13T00:39:23.881716Z
47039,Decatur,5250,3762,13,13,"Released as first report, then NOT included in cumulative results",99,5327,>98%,>98% reported,edison,2,some,,3109,,,4229,904,21,42,15,10,12,4,4,9,2979,715,16,16,9,10,8,3,3,3,2020-11-11T03:25:22Z,63.33333,R+63,Trump +63,republican,63.33333,4592,58.7,4251,36.96,tennessee,2020-11-13T00:39:23.881716Z
47043,Dickson,24342,17006,17,17,Released as a separate subtotal as first report of the night,100,24342,>98%,>98% reported,edison,6,all,,12625,,,17619,6098,260,134,55,40,39,29,16,52,11843,4786,151,74,32,20,27,21,13,39,2020-11-11T03:25:27Z,47.32972,R+47,Trump +47,republican,47.32972,18699,45.5,17835,28.39,tennessee,2020-11-13T00:39:23.881716Z
47045,Dyer,15074,0,16,16,Released as a separate subtotal as first report of the night,91,16586,91%,91% reported,edison,2,unknown,,9314,,,11766,3157,96,13,16,7,9,1,9,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:28Z,57.11158,R+57,Trump +57,republican,57.11158,13336,55.2,13800,44.67,tennessee,2020-11-13T00:39:23.881716Z
47047,Fayette,22928,0,15,15,Merged into voters' home precincts and released with cumulative results,94,24284,94%,94% reported,edison,2,unknown,,13370,,,15661,7000,145,42,18,30,16,7,9,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:10Z,37.77477,R+38,Trump +38,republican,37.77477,19394,37,19574,30.66,tennessee,2020-11-13T00:39:23.881716Z
47049,Fentress,8687,0,13,13,Other,100,8506,>98%,>98% reported,edison,2,unknown,,6047,,,7403,1210,36,10,18,6,2,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:12Z,71.29043,R+71,Trump +71,republican,71.29043,7333,67.3,6895,53.4,tennessee,2020-11-13T00:39:23.881716Z
47051,Franklin,19146,10667,18,18,Released as a separate subtotal as first report of the night,100,19146,>98%,>98% reported,edison,6,some,,10688,,,13977,4863,164,33,30,27,7,8,7,30,7463,3060,82,11,15,16,1,7,4,8,2020-11-11T03:25:15Z,47.60263,R+48,Trump +48,republican,47.60263,16404,43.6,16119,28.9,tennessee,2020-11-13T00:39:23.881716Z
47053,Gibson,22336,14655,28,28,Released as a separate subtotal as first report of the night,100,22336,>98%,>98% reported,edison,6,all,,10676,,,16245,5764,160,31,48,32,15,5,8,28,10521,3955,92,13,30,14,8,2,4,16,2020-11-11T03:25:20Z,46.92425,R+47,Trump +47,republican,46.92425,19547,43.6,19667,32.13,tennessee,2020-11-13T00:39:23.881716Z
47055,Giles,13202,0,14,14,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,13386,>98%,>98% reported,edison,2,unknown,,7703,,,9783,3298,68,22,14,9,3,2,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:21Z,49.12135,R+49,Trump +49,republican,49.12135,11137,45.4,10799,29.22,tennessee,2020-11-13T00:39:23.881716Z
47057,Grainger,10123,0,10,10,Released as a separate subtotal as first report of the night,99,10200,>98%,>98% reported,edison,2,unknown,,4964,,,8559,1463,61,13,12,9,2,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:22Z,70.0978,R+70,Trump +70,republican,70.0978,8008,68.3,7252,52.43,tennessee,2020-11-13T00:39:23.881716Z
47059,Greene,28057,28057,16,17,Released as a precinct as first report of the night,100,28057,>98%,>98% reported,edison,6,all,,13642,,,22185,5183,203,180,87,64,58,23,11,63,22185,5183,203,180,87,64,58,23,11,63,2020-11-11T03:26:15Z,60.59807,R+61,Trump +61,republican,60.59807,23583,60.8,23887,46.13,tennessee,2020-11-13T00:39:23.881716Z
47061,Grundy,5844,0,10,10,Released as a precinct as first report of the night,99,5900,>98%,>98% reported,edison,2,unknown,,2619,,,4795,985,34,6,11,9,1,0,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:16Z,65.19507,R+65,Trump +65,republican,65.19507,4763,55.4,4237,20.6,tennessee,2020-11-13T00:39:23.881716Z
47063,Hamblen,24606,0,16,16,Released as a separate subtotal as first report of the night,99,24870,>98%,>98% reported,edison,4,some,,13898,,,18789,5497,195,37,33,20,17,8,10,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:17Z,54.01934,R+54,Trump +54,republican,54.01934,20692,56.9,20032,46.37,tennessee,2020-11-13T00:39:23.881716Z
47065,Hamilton,170735,0,135,135,Released as a separate subtotal as first report of the night,100,165193,>98%,>98% reported,edison,2,unknown,,94364,,,91991,75360,2227,393,281,273,66,62,82,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:18Z,9.74083,R+10,Trump +10,republican,9.74083,142408,16.4,141181,14.94,tennessee,2020-11-13T00:39:23.881716Z
47067,Hancock,2744,0,7,7,Released as a precinct as first report of the night,99,2760,>98%,>98% reported,edison,2,unknown,,1141,,,2372,362,4,1,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:18Z,73.25073,R+73,Trump +73,republican,73.25073,2231,68.2,2046,51.42,tennessee,2020-11-13T00:39:23.881716Z
47069,Hardeman,10058,0,12,13,None,83,12109,83%,83% reported,edison,2,unknown,,5839,,,5760,4180,40,13,33,8,11,6,7,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:19Z,15.70889,R+16,Trump +16,republican,15.70889,9273,7.9,10439,-5.91,tennessee,2020-11-13T00:39:23.881716Z
47071,Hardin,11534,0,14,14,"Released as first report, then NOT included in cumulative results",95,12174,95%,95% reported,edison,2,unknown,,6210,,,9556,1774,52,70,28,6,28,13,7,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:11Z,67.47009,R+67,Trump +67,republican,67.47009,9949,64.2,10495,51.63,tennessee,2020-11-13T00:39:23.881716Z
47073,Hawkins,24776,0,20,20,Released as a separate subtotal as first report of the night,100,24094,>98%,>98% reported,edison,2,unknown,,14007,,,20372,4069,207,32,42,26,10,8,10,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:11Z,65.80158,R+66,Trump +66,republican,65.80158,20774,63.3,19797,46.95,tennessee,2020-11-13T00:39:23.881716Z
47075,Haywood,7420,0,10,11,Released as a separate subtotal as first report of the night,85,8780,85%,85% reported,edison,2,unknown,,4957,,,3338,4000,31,15,15,7,7,3,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:12Z,8.92183,D+9,Biden +9,democrat,-8.92183,6834,-10.2,7569,-21.26,tennessee,2020-11-13T00:39:23.881716Z
47077,Henderson,12020,0,14,14,Released as a separate subtotal as first report of the night,100,11852,>98%,>98% reported,edison,2,unknown,,7043,,,9797,2092,80,14,17,6,7,3,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:12Z,64.1015,R+64,Trump +64,republican,64.1015,10217,62,10055,48.77,tennessee,2020-11-13T00:39:23.881716Z
47079,Henry,15034,0,13,13,Other,97,15559,97%,97% reported,edison,2,unknown,,8915,,,11230,3547,164,24,25,20,7,5,12,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:13Z,51.10416,R+51,Trump +51,republican,51.10416,12945,49.8,12739,30.25,tennessee,2020-11-13T00:39:23.881716Z
47081,Hickman,9832,0,14,14,Released as a separate subtotal as first report of the night,99,9900,>98%,>98% reported,edison,2,unknown,,5573,,,7577,2130,74,17,15,6,4,4,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:13Z,55.40073,R+55,Trump +55,republican,55.40073,7813,49.5,7602,27.1,tennessee,2020-11-13T00:39:23.881716Z
47083,Houston,3681,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3675,>98%,>98% reported,edison,2,unknown,,2292,,,2715,869,18,38,14,3,13,8,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:08Z,50.14942,R+50,Trump +50,republican,50.14942,3168,41.5,3027,5.91,tennessee,2020-11-13T00:39:23.881716Z
47085,Humphreys,8232,0,8,8,Released as a separate subtotal as first report of the night,99,8297,>98%,>98% reported,edison,2,unknown,,5279,,,6116,2017,46,14,20,14,2,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:09Z,49.79349,R+50,Trump +50,republican,49.79349,7153,41.4,6863,13.52,tennessee,2020-11-13T00:39:23.881716Z
47087,Jackson,5308,0,12,12,Released as a precinct as first report of the night,100,5181,>98%,>98% reported,edison,2,unknown,,2474,,,4106,1133,48,6,4,3,5,0,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:09Z,56.0098,R+56,Trump +56,republican,56.0098,4466,47.2,4184,15.39,tennessee,2020-11-13T00:39:23.881716Z
47089,Jefferson,23562,0,11,11,Released as a separate subtotal as first report of the night,100,22921,>98%,>98% reported,edison,2,unknown,,13703,,,18609,4645,184,35,45,20,10,3,11,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:09Z,59.26492,R+59,Trump +59,republican,59.26492,19072,59.2,17559,50.15,tennessee,2020-11-13T00:39:23.881716Z
47091,Johnson,7793,0,10,10,Released as a separate subtotal as first report of the night,100,7632,>98%,>98% reported,edison,2,unknown,,5107,,,6466,1242,45,10,13,12,3,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:10Z,67.03452,R+67,Trump +67,republican,67.03452,6579,67.2,6194,50.5,tennessee,2020-11-13T00:39:23.881716Z
47093,Knox,219869,173529,89,89,Released as a separate subtotal as first report of the night,100,219869,>98%,>98% reported,edison,4,unknown,,164850,,,124339,91097,2876,466,360,414,102,89,126,0,94321,76453,1780,255,237,271,69,55,88,0,2020-11-11T03:26:11Z,15.119,R+15,Trump +15,republican,15.119,180697,23.7,172507,29.16,tennessee,2020-11-13T00:39:23.881716Z
47095,Lake,2034,0,3,3,"Released as first report, then NOT included in cumulative results",84,2421,84%,84% reported,edison,2,unknown,,1301,,,1492,526,9,5,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:05Z,47.49263,R+47,Trump +47,republican,47.49263,1970,39.6,2087,13.37,tennessee,2020-11-13T00:39:23.881716Z
47097,Lauderdale,8963,0,10,10,Released as a separate subtotal as first report of the night,89,10079,89%,89% reported,edison,2,unknown,,5858,,,5672,3193,49,18,9,11,7,1,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:06Z,27.65815,R+28,Trump +28,republican,27.65815,8087,22.6,8689,6.96,tennessee,2020-11-13T00:39:23.881716Z
47099,Lawrence,18718,0,24,24,Released as a separate subtotal as first report of the night,99,18900,>98%,>98% reported,edison,2,unknown,,8631,,,15334,3195,116,15,27,18,6,5,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:06Z,64.85201,R+65,Trump +65,republican,64.85201,15666,61.3,15219,42.93,tennessee,2020-11-13T00:39:23.881716Z
47101,Lewis,5604,0,9,9,Released as a precinct as first report of the night,100,5620,>98%,>98% reported,edison,2,unknown,,3363,,,4473,1068,27,15,4,8,7,2,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:07Z,60.76017,R+61,Trump +61,republican,60.76017,4622,58.3,4694,35.58,tennessee,2020-11-13T00:39:23.881716Z
47103,Lincoln,15575,0,20,20,Released as a separate subtotal as first report of the night,97,16043,97%,97% reported,edison,2,unknown,,7444,,,12258,2909,126,147,33,23,41,15,23,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:07Z,60.02568,R+60,Trump +60,republican,60.02568,13348,58.8,13268,49.09,tennessee,2020-11-13T00:39:23.881716Z
47105,Loudon,29375,24651,15,15,Released as a separate subtotal as first report of the night,100,29375,>98%,>98% reported,edison,6,all,,22705,,,21684,6933,270,181,76,49,55,32,16,79,17883,6218,177,136,66,37,41,22,11,60,2020-11-11T03:26:08Z,50.21617,R+50,Trump +50,republican,50.21617,23391,54.3,22073,52.77,tennessee,2020-11-13T00:39:23.881716Z
47111,Macon,9486,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8705,>98%,>98% reported,edison,2,unknown,,5998,,,8095,1307,43,9,15,10,3,0,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:03Z,71.55809,R+72,Trump +72,republican,71.55809,7504,69.2,6905,53.7,tennessee,2020-11-13T00:39:23.881716Z
47113,Madison,42847,30120,32,33,Released as a separate subtotal as first report of the night,91,47214,91%,91% reported,edison,2,all,,27329,,,23922,18309,327,83,74,48,35,23,26,0,15975,13819,154,41,47,28,22,16,18,0,2020-11-11T03:26:04Z,13.1001,R+13,Trump +13,republican,13.1001,38120,15.4,40702,8.91,tennessee,2020-11-13T00:39:23.881716Z
47115,Marion,13204,0,17,17,Merged into voters' home precincts and released with cumulative results,100,12600,>98%,>98% reported,edison,2,unknown,,6153,,,9873,3165,92,16,29,20,3,2,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:04Z,50.80279,R+51,Trump +51,republican,50.80279,10862,44.8,10409,22.28,tennessee,2020-11-13T00:39:23.881716Z
47117,Marshall,14862,0,9,9,Released as a separate subtotal as first report of the night,100,13765,>98%,>98% reported,edison,2,unknown,,8159,,,11029,3603,126,34,14,32,13,6,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:05Z,49.96636,R+50,Trump +50,republican,49.96636,11455,46.5,10741,28.93,tennessee,2020-11-13T00:39:23.881716Z
47119,Maury,46561,28375,21,21,Released as a separate subtotal as first report of the night,100,46105,>98%,>98% reported,edison,6,all,,27483,,,31408,14386,485,92,71,57,25,10,27,,19136,8886,227,40,28,30,11,5,12,,2020-11-11T03:25:59Z,36.55849,R+37,Trump +37,republican,36.55849,35369,38.9,33006,26.91,tennessee,2020-11-13T00:39:23.881716Z
47107,McMinn,22815,0,15,15,Released as a separate subtotal as first report of the night,100,22541,>98%,>98% reported,edison,2,unknown,,11950,,,18175,4357,182,29,33,22,4,5,8,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:02Z,60.56542,R+61,Trump +61,republican,60.56542,18755,59.6,17834,46.87,tennessee,2020-11-13T00:39:23.881716Z
47109,McNairy,11267,0,15,16,Other,97,11644,97%,97% reported,edison,2,unknown,,5879,,,9085,1943,56,93,22,15,33,15,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:03Z,63.38866,R+63,Trump +63,republican,63.38866,10038,59.7,9802,44.58,tennessee,2020-11-13T00:39:23.881716Z
47121,Meigs,5529,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5550,>98%,>98% reported,edison,2,unknown,,3052,,,4464,1008,34,6,11,5,0,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:00Z,62.50678,R+63,Trump +63,republican,62.50678,4320,57.5,3964,39.63,tennessee,2020-11-13T00:39:23.881716Z
47123,Monroe,20749,0,13,13,None,100,19824,>98%,>98% reported,edison,2,unknown,,12043,,,16742,3760,149,24,37,24,3,2,8,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:00Z,62.56687,R+63,Trump +63,republican,62.56687,17093,59.6,16338,45.04,tennessee,2020-11-13T00:39:23.881716Z
47125,Montgomery,76678,0,29,29,Released as a separate subtotal as first report of the night,100,66837,>98%,>98% reported,edison,2,unknown,,43616,,,42156,32426,1439,201,138,149,62,39,68,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:01Z,12.68943,R+13,Trump +13,republican,12.68943,57620,18.5,55584,10.34,tennessee,2020-11-13T00:39:23.881716Z
47127,Moore,3539,0,5,5,Other,97,3630,97%,97% reported,edison,2,unknown,,1953,,,2888,573,30,25,11,5,4,2,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:01Z,65.41396,R+65,Trump +65,republican,65.41396,2926,62.5,2799,48.16,tennessee,2020-11-13T00:39:23.881716Z
47129,Morgan,8218,0,12,12,Released as a separate subtotal as first report of the night,100,7778,>98%,>98% reported,edison,2,unknown,,3884,,,6926,1161,91,13,7,7,4,4,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:26:02Z,70.15089,R+70,Trump +70,republican,70.15089,6705,65.4,6504,45.26,tennessee,2020-11-13T00:39:23.881716Z
47131,Obion,13521,0,11,12,None,91,14780,91%,91% reported,edison,2,unknown,,7731,,,10790,2589,68,21,27,11,8,3,4,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:55Z,60.6538,R+61,Trump +61,republican,60.6538,12249,58,12297,44.67,tennessee,2020-11-13T00:39:23.881716Z
47133,Overton,10025,0,9,9,Other,100,9542,>98%,>98% reported,edison,2,unknown,,5765,,,7911,2028,47,4,17,12,4,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:55Z,58.68329,R+59,Trump +59,republican,58.68329,8229,50,7664,25.7,tennessee,2020-11-13T00:39:23.881716Z
47135,Perry,3428,0,10,10,None,100,3440,>98%,>98% reported,edison,2,unknown,,1838,,,2775,615,20,3,3,11,1,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:56Z,63.0105,R+63,Trump +63,republican,63.0105,2855,55,2621,22.36,tennessee,2020-11-13T00:39:23.881716Z
47137,Pickett,2922,0,9,9,Released as a separate subtotal as first report of the night,96,3033,96%,96% reported,edison,2,unknown,,1656,,,2373,524,11,7,2,2,1,2,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:56Z,63.27858,R+63,Trump +63,republican,63.27858,2615,56.8,2453,40.77,tennessee,2020-11-13T00:39:23.881716Z
47139,Polk,8360,0,9,9,Merged into voters' home precincts and released with cumulative results,100,8400,>98%,>98% reported,edison,2,unknown,,3504,,,6792,1492,43,14,6,5,5,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:57Z,63.39713,R+63,Trump +63,republican,63.39713,6520,59,6059,37.17,tennessee,2020-11-13T00:39:23.881716Z
47141,Putnam,33481,0,22,22,Released as a separate subtotal as first report of the night,99,33722,>98%,>98% reported,edison,2,unknown,,20215,,,23694,9154,428,48,50,64,14,10,19,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:58Z,43.42762,R+43,Trump +43,republican,43.42762,27212,44.7,25500,37.07,tennessee,2020-11-13T00:39:23.881716Z
47143,Rhea,13608,0,12,12,Released as a separate subtotal as first report of the night,100,13297,>98%,>98% reported,edison,2,unknown,,7235,,,11031,2363,129,28,23,17,9,3,5,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:49Z,63.69782,R+64,Trump +64,republican,63.69782,11062,60.7,10590,48.86,tennessee,2020-11-13T00:39:23.881716Z
47145,Roane,25914,18980,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25914,>98%,>98% reported,edison,6,all,,17291,,,19195,6034,307,143,57,45,43,28,16,46,13542,5053,171,80,32,25,23,19,12,23,2020-11-11T03:25:52Z,50.78722,R+51,Trump +51,republican,50.78722,21669,51,21090,41.28,tennessee,2020-11-13T00:39:23.881716Z
47147,Robertson,33712,0,18,18,Released separately at end; NOT included in cumulative results,100,32585,>98%,>98% reported,edison,2,unknown,,17777,,,24535,8690,300,60,48,39,17,8,15,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:52Z,47.00107,R+47,Trump +47,republican,47.00107,27113,47.1,26289,35.58,tennessee,2020-11-13T00:39:23.881716Z
