fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37061,Duplin,22432,16628,19,19,Released as a precinct as first report of the night,99,22715,>98%,>98% reported,edison,10,all,,15685,,,12954,8689,477,312,9013,7066,329,220,2020-11-18T03:33:01Z,19.01302,R+19,Tillis +19,republican,north-carolina,2020-11-20T00:45:40.149237Z
37063,Durham,178846,161996,57,57,Released as a separate subtotal as first report of the night,99,179914,>98%,>98% reported,edison,10,unknown,,171389,,,34152,138429,5041,1224,28738,128133,4122,1003,2020-11-18T03:33:24Z,58.30547,D+58,Cunningham +58,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37065,Edgecombe,25318,20224,21,21,Released as a precinct as first report of the night,99,25477,>98%,>98% reported,edison,10,unknown,,28931,,,8582,15952,506,278,6166,13475,381,202,2020-11-18T03:33:48Z,29.10972,D+29,Cunningham +29,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37067,Forsyth,199501,167563,101,101,Released as a precinct as first report of the night,99,201262,>98%,>98% reported,edison,10,unknown,,181062,,,83226,107273,6532,2470,66194,94577,4952,1840,2020-11-18T03:34:15Z,12.05357,D+12,Cunningham +12,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37069,Franklin,37130,30055,18,18,Released as a separate subtotal as first report of the night,99,37357,>98%,>98% reported,edison,10,unknown,,25408,,,19657,15662,1246,565,15014,13686,948,407,2020-11-18T03:34:36Z,10.75949,R+11,Tillis +11,republican,north-carolina,2020-11-20T00:45:40.149237Z
37071,Gaston,114201,94917,46,46,Released as a precinct as first report of the night,99,115498,>98%,>98% reported,edison,10,some,,96085,,,69398,39595,3548,1660,56903,34105,2650,1259,2020-11-18T03:34:59Z,26.09697,R+26,Tillis +26,republican,north-carolina,2020-11-20T00:45:40.149237Z
37073,Gates,5885,4332,6,6,Released as a precinct as first report of the night,99,5971,>98%,>98% reported,edison,10,unknown,,3654,,,3205,2474,132,74,2118,2083,82,49,2020-11-18T03:35:18Z,12.42141,R+12,Tillis +12,republican,north-carolina,2020-11-20T00:45:40.149237Z
37075,Graham,4549,3400,4,4,Released as a precinct as first report of the night,98,4665,98%,98% reported,edison,10,some,,3416,,,3355,1013,94,87,2460,808,72,60,2020-11-18T03:35:38Z,51.48384,R+51,Tillis +51,republican,north-carolina,2020-11-20T00:45:40.149237Z
37077,Granville,31359,26560,15,15,Released as a separate subtotal as first report of the night,99,31598,>98%,>98% reported,edison,10,unknown,,28165,,,15687,14368,908,396,12934,12604,713,309,2020-11-18T03:36:06Z,4.20613,R+4,Tillis +4,republican,north-carolina,2020-11-20T00:45:40.149237Z
37079,Greene,8699,6638,10,10,Released as a precinct as first report of the night,99,8753,>98%,>98% reported,edison,10,all,,7894,,,4591,3842,189,77,3228,3227,124,59,2020-11-18T03:36:28Z,8.61019,R+9,Tillis +9,republican,north-carolina,2020-11-20T00:45:40.149237Z
37081,Guilford,282137,236604,165,165,Released as a precinct as first report of the night,99,284486,>98%,>98% reported,edison,10,unknown,,278304,,,104908,165823,8587,2819,83409,144500,6579,2116,2020-11-18T03:36:52Z,21.59057,D+22,Cunningham +22,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37083,Halifax,25577,20165,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",99,25759,>98%,>98% reported,edison,10,some,,24816,,,9446,15438,456,237,7055,12619,320,171,2020-11-18T03:37:14Z,23.4273,D+23,Cunningham +23,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37085,Harnett,57883,48570,13,13,Released as a precinct as first report of the night,99,58293,>98%,>98% reported,edison,10,unknown,,39147,,,33321,21523,2128,911,27585,18614,1650,721,2020-11-18T03:37:40Z,20.3825,R+20,Tillis +20,republican,north-carolina,2020-11-20T00:45:40.149237Z
37087,Haywood,36283,29050,29,29,Released as a separate subtotal as first report of the night,99,36542,>98%,>98% reported,edison,10,unknown,,25560,,,21502,13113,1081,587,16366,11474,784,426,2020-11-18T03:38:02Z,23.12102,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
37089,Henderson,67873,56299,35,35,Released as a separate subtotal as first report of the night,99,68371,>98%,>98% reported,edison,10,unknown,,53818,,,39359,25782,1964,768,31233,23090,1413,563,2020-11-18T03:38:29Z,20.00354,R+20,Tillis +20,republican,north-carolina,2020-11-20T00:45:40.149237Z
37091,Hertford,10392,8361,13,13,Released as a precinct as first report of the night,98,10634,98%,98% reported,edison,10,all,,10362,,,3305,6815,154,118,2377,5775,120,89,2020-11-18T03:38:47Z,33.77598,D+34,Cunningham +34,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37093,Hoke,21383,17505,15,15,Released as a precinct as first report of the night,97,22016,97%,97% reported,edison,10,unknown,,17363,,,8638,11466,909,370,6642,9899,670,294,2020-11-18T03:39:10Z,13.22546,D+13,Cunningham +13,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37095,Hyde,2469,1228,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,2492,>98%,>98% reported,edison,10,all,,1194,,,1315,1075,53,26,527,663,23,15,2020-11-18T03:39:35Z,9.72053,R+10,Tillis +10,republican,north-carolina,2020-11-20T00:45:40.149237Z
37097,Iredell,101386,82029,29,29,Released as a precinct as first report of the night,99,102371,>98%,>98% reported,edison,10,unknown,,70424,,,64319,31893,3487,1687,50704,27493,2594,1238,2020-11-18T03:40:01Z,31.98272,R+32,Tillis +32,republican,north-carolina,2020-11-20T00:45:40.149237Z
37099,Jackson,21239,17389,13,13,Released as a precinct as first report of the night,99,21428,>98%,>98% reported,edison,10,all,,15877,,,10763,9382,788,306,8237,8326,600,226,2020-11-18T03:40:21Z,6.50219,R+7,Tillis +7,republican,north-carolina,2020-11-20T00:45:40.149237Z
37101,Johnston,110218,90936,36,36,Released as a precinct as first report of the night,99,111362,>98%,>98% reported,edison,10,unknown,,69318,,,64823,39775,3953,1667,51819,34792,3071,1254,2020-11-18T03:40:48Z,22.72587,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
37103,Jones,5454,3759,7,7,Released as a separate subtotal as first report of the night,99,5525,>98%,>98% reported,edison,10,all,,3869,,,3046,2124,182,102,1980,1599,125,55,2020-11-18T03:41:06Z,16.90502,R+17,Tillis +17,republican,north-carolina,2020-11-20T00:45:40.149237Z
37105,Lee,28714,28560,10,10,Released as a precinct as first report of the night,99,29008,>98%,>98% reported,edison,10,unknown,,27472,,,15419,11851,979,465,15345,11792,961,462,2020-11-18T03:41:34Z,12.42599,R+12,Tillis +12,republican,north-carolina,2020-11-20T00:45:40.149237Z
37107,Lenoir,28119,23512,22,22,Released as a separate subtotal as first report of the night,99,28409,>98%,>98% reported,edison,10,unknown,,31206,,,13898,13284,591,346,11237,11545,463,267,2020-11-18T03:41:57Z,2.18358,R+2,Tillis +2,republican,north-carolina,2020-11-20T00:45:40.149237Z
37109,Lincoln,49776,41330,23,23,Released as a precinct as first report of the night,99,50217,>98%,>98% reported,edison,10,unknown,,32125,,,34673,12858,1482,763,28331,11323,1106,570,2020-11-18T03:42:20Z,43.82634,R+44,Tillis +44,republican,north-carolina,2020-11-20T00:45:40.149237Z
37113,Macon,20517,16497,15,15,Released as a separate subtotal as first report of the night,99,20743,>98%,>98% reported,edison,10,unknown,,16526,,,13408,6248,521,340,10428,5420,395,254,2020-11-18T03:43:04Z,34.89789,R+35,Tillis +35,republican,north-carolina,2020-11-20T00:45:40.149237Z
37115,Madison,12943,10333,12,12,Released as a separate subtotal as first report of the night,99,13076,>98%,>98% reported,edison,10,unknown,,9320,,,7399,4987,362,195,5583,4360,254,136,2020-11-18T03:43:25Z,18.63556,R+19,Tillis +19,republican,north-carolina,2020-11-20T00:45:40.149237Z
37117,Martin,12424,8819,13,13,Released as a precinct as first report of the night,99,12540,>98%,>98% reported,edison,10,all,,9738,,,6034,5973,257,160,3738,4825,157,99,2020-11-18T03:43:46Z,0.49099,R+0.49,Tillis +0.49,republican,north-carolina,2020-11-20T00:45:40.149237Z
37111,McDowell,22747,16998,17,17,Released as a precinct as first report of the night,99,23003,>98%,>98% reported,edison,10,all,,16757,,,15894,5934,565,354,11564,4831,397,206,2020-11-18T03:42:43Z,43.78599,R+44,Tillis +44,republican,north-carolina,2020-11-20T00:45:40.149237Z
37119,Mecklenburg,562672,494605,195,195,Released as a precinct as first report of the night,99,567053,>98%,>98% reported,edison,10,unknown,,448198,,,186693,350775,19764,5440,155772,318433,16042,4358,2020-11-18T03:44:13Z,29.16122,D+29,Cunningham +29,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37121,Mitchell,8942,7289,9,9,Merged into voters' home precincts and released with cumulative results,99,9041,>98%,>98% reported,edison,10,some,,7526,,,6735,1919,181,107,5357,1698,148,86,2020-11-18T03:52:23Z,53.8582,R+54,Tillis +54,republican,north-carolina,2020-11-20T00:45:40.149237Z
37123,Montgomery,12700,8944,14,14,Released as a separate subtotal as first report of the night,99,12849,>98%,>98% reported,edison,10,unknown,,7418,,,7741,4379,324,256,5226,3313,228,177,2020-11-18T03:52:43Z,26.47244,R+26,Tillis +26,republican,north-carolina,2020-11-20T00:45:40.149237Z
37125,Moore,57823,47885,26,26,Released as a precinct as first report of the night,99,58339,>98%,>98% reported,edison,10,unknown,,44755,,,35682,19633,1760,748,28723,17278,1326,558,2020-11-18T03:53:08Z,27.75539,R+28,Tillis +28,republican,north-carolina,2020-11-20T00:45:40.149237Z
37127,Nash,51895,42553,24,24,Released as a precinct as first report of the night,99,52271,>98%,>98% reported,edison,10,all,,50237,,,24719,25474,1117,585,19557,21712,835,449,2020-11-18T03:53:35Z,1.45486,D+1.5,Cunningham +1.5,democrat,north-carolina,2020-11-20T00:45:40.149237Z
