fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_lummisc,results_ben_davidm,results_absentee_lummisc,results_absentee_ben_davidm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
56021,Laramie,44510,0,61,61,Merged into voters' home precincts and released with cumulative results,99,44982,>98%,>98% reported,edison,10,unknown,,24234,,,29357,15153,0,0,2020-11-16T15:48:14Z,31.91193,R+32,Lummis +32,republican,wyoming,2020-11-19T00:46:09.596442Z
56023,Lincoln,10306,0,15,15,Merged into voters' home precincts and released with cumulative results,98,10468,98%,98% reported,edison,10,unknown,,3246,,,8846,1460,0,0,2020-11-16T15:48:15Z,71.66699,R+72,Lummis +72,republican,wyoming,2020-11-19T00:46:09.596442Z
56025,Natrona,34271,17039,46,46,Released as a precinct as first report of the night,97,35202,97%,97% reported,edison,10,unknown,,11960,,,25061,9210,11105,5934,2020-11-16T15:48:15Z,46.25193,R+46,Lummis +46,republican,wyoming,2020-11-19T00:46:09.596442Z
56027,Niobrara,1289,377,6,6,None,99,1308,>98%,>98% reported,edison,10,unknown,,480,,,1133,156,301,76,2020-11-16T15:48:16Z,75.79519,R+76,Lummis +76,republican,wyoming,2020-11-19T00:46:09.596442Z
56029,Park,16306,0,30,30,Merged into voters' home precincts and released with cumulative results,98,16717,98%,98% reported,edison,10,all,,6325,,,13189,3117,0,0,2020-11-16T15:48:16Z,61.76867,R+62,Lummis +62,republican,wyoming,2020-11-19T00:46:09.596442Z
56031,Platte,4860,1964,13,13,Merged into voters' home precincts and released with cumulative results,99,4923,>98%,>98% reported,edison,10,unknown,,1712,,,3962,898,1406,558,2020-11-16T15:48:17Z,63.04527,R+63,Lummis +63,republican,wyoming,2020-11-19T00:46:09.596442Z
56033,Sheridan,16065,0,29,29,None,98,16428,98%,98% reported,edison,10,unknown,,5912,,,12287,3778,0,0,2020-11-16T15:47:39Z,52.96608,R+53,Lummis +53,republican,wyoming,2020-11-19T00:46:09.596442Z
56035,Sublette,4839,0,7,7,Merged into voters' home precincts and released with cumulative results,97,4970,97%,97% reported,edison,10,unknown,,1936,,,4004,835,0,0,2020-11-16T15:47:42Z,65.48874,R+65,Lummis +65,republican,wyoming,2020-11-19T00:46:09.596442Z
56037,Sweetwater,16228,0,37,37,Merged into voters' home precincts and released with cumulative results,98,16603,98%,98% reported,edison,10,all,,4187,,,12351,3877,0,0,2020-11-16T15:47:43Z,52.21839,R+52,Lummis +52,republican,wyoming,2020-11-19T00:46:09.596442Z
56039,Teton,14400,0,19,19,Released as a separate subtotal as first report of the night,98,14677,98%,98% reported,edison,10,unknown,,7958,,,5370,9030,0,0,2020-11-16T15:47:43Z,25.41667,D+25,Ben-David +25,democrat,wyoming,2020-11-19T00:46:09.596442Z
56041,Uinta,9147,3823,10,10,Merged into voters' home precincts and released with cumulative results,97,9402,97%,97% reported,edison,10,some,,3219,,,7550,1597,2832,991,2020-11-16T15:47:43Z,65.08145,R+65,Lummis +65,republican,wyoming,2020-11-19T00:46:09.596442Z
56043,Washakie,3936,0,5,5,Merged into voters' home precincts and released with cumulative results,98,4012,98%,98% reported,edison,10,unknown,,1323,,,3277,659,0,0,2020-11-16T15:47:44Z,66.51423,R+67,Lummis +67,republican,wyoming,2020-11-19T00:46:09.596442Z
56045,Weston,3441,0,8,8,Merged into voters' home precincts and released with cumulative results,97,3542,97%,97% reported,edison,10,some,,1131,,,3041,400,0,0,2020-11-16T15:47:44Z,76.75094,R+77,Lummis +77,republican,wyoming,2020-11-19T00:46:09.596442Z
