fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_roundsm,results_ahlersd,results_absentee_roundsm,results_absentee_ahlersd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
46043,Douglas,1704,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1707,>98%,>98% reported,edison,10,unknown,,126,,,1469,235,0,0,2020-11-16T15:48:11Z,72.41784,R+72,Rounds +72,republican,south-dakota,2020-11-19T00:45:57.146196Z
46045,Edmunds,1987,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1987,>98%,>98% reported,edison,10,unknown,,475,,,1539,448,0,0,2020-11-16T15:48:11Z,54.90689,R+55,Rounds +55,republican,south-dakota,2020-11-19T00:45:57.146196Z
46047,Fall River,4002,0,9,9,Merged into voters' home precincts and released with cumulative results,99,4042,>98%,>98% reported,edison,10,unknown,,2019,,,3009,993,0,0,2020-11-16T15:48:11Z,50.37481,R+50,Rounds +50,republican,south-dakota,2020-11-19T00:45:57.146196Z
46049,Faulk,1188,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1188,>98%,>98% reported,edison,10,unknown,,141,,,975,213,0,0,2020-11-16T15:48:12Z,64.14141,R+64,Rounds +64,republican,south-dakota,2020-11-19T00:45:57.146196Z
46051,Grant,3749,0,18,18,Merged into voters' home precincts and released with cumulative results,100,3749,>98%,>98% reported,edison,10,unknown,,1406,,,2723,1026,0,0,2020-11-16T15:47:42Z,45.2654,R+45,Rounds +45,republican,south-dakota,2020-11-19T00:45:57.146196Z
46053,Gregory,2254,0,3,3,Merged into voters' home precincts and released with cumulative results,100,2258,>98%,>98% reported,edison,10,unknown,,571,,,1766,488,0,0,2020-11-16T15:47:45Z,56.6992,R+57,Rounds +57,republican,south-dakota,2020-11-19T00:45:57.146196Z
46055,Haakon,1138,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1138,>98%,>98% reported,edison,10,unknown,,520,,,1032,106,0,0,2020-11-16T15:47:45Z,81.37083,R+81,Rounds +81,republican,south-dakota,2020-11-19T00:45:57.146196Z
46057,Hamlin,3070,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3083,>98%,>98% reported,edison,10,unknown,,994,,,2413,657,0,0,2020-11-16T15:47:45Z,57.1987,R+57,Rounds +57,republican,south-dakota,2020-11-19T00:45:57.146196Z
46059,Hand,1858,0,12,12,Merged into voters' home precincts and released with cumulative results,100,1858,>98%,>98% reported,edison,10,unknown,,693,,,1480,378,0,0,2020-11-16T15:47:46Z,59.31109,R+59,Rounds +59,republican,south-dakota,2020-11-19T00:45:57.146196Z
46061,Hanson,2360,0,5,5,Merged into voters' home precincts and released with cumulative results,99,2388,>98%,>98% reported,edison,10,unknown,,2016,,,1796,564,0,0,2020-11-16T15:47:46Z,52.20339,R+52,Rounds +52,republican,south-dakota,2020-11-19T00:45:57.146196Z
46063,Harding,800,0,8,8,Merged into voters' home precincts and released with cumulative results,98,813,98%,98% reported,edison,10,unknown,,251,,,727,73,0,0,2020-11-16T15:47:46Z,81.75,R+82,Rounds +82,republican,south-dakota,2020-11-19T00:45:57.146196Z
46065,Hughes,8763,0,6,6,Merged into voters' home precincts and released with cumulative results,100,8763,>98%,>98% reported,edison,10,all,,5670,,,6217,2546,0,0,2020-11-16T15:47:47Z,41.89205,R+42,Rounds +42,republican,south-dakota,2020-11-19T00:45:57.146196Z
46067,Hutchinson,3754,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3767,>98%,>98% reported,edison,10,unknown,,776,,,2982,772,0,0,2020-11-16T15:47:48Z,58.87054,R+59,Rounds +59,republican,south-dakota,2020-11-19T00:45:57.146196Z
46069,Hyde,711,0,1,1,Merged into voters' home precincts and released with cumulative results,100,711,>98%,>98% reported,edison,10,unknown,,208,,,568,143,0,0,2020-11-16T15:47:48Z,59.77496,R+60,Rounds +60,republican,south-dakota,2020-11-19T00:45:57.146196Z
46071,Jackson,1113,0,8,8,Merged into voters' home precincts and released with cumulative results,100,1115,>98%,>98% reported,edison,10,unknown,,240,,,756,357,0,0,2020-11-16T15:47:49Z,35.84906,R+36,Rounds +36,republican,south-dakota,2020-11-19T00:45:57.146196Z
46073,Jerauld,997,0,5,5,Merged into voters' home precincts and released with cumulative results,99,1006,>98%,>98% reported,edison,10,unknown,,304,,,720,277,0,0,2020-11-16T15:47:49Z,44.4333,R+44,Rounds +44,republican,south-dakota,2020-11-19T00:45:57.146196Z
46075,Jones,596,0,3,3,Merged into voters' home precincts and released with cumulative results,99,599,>98%,>98% reported,edison,10,unknown,,197,,,497,99,0,0,2020-11-16T15:47:49Z,66.77852,R+67,Rounds +67,republican,south-dakota,2020-11-19T00:45:57.146196Z
