fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34021,Mercer,159428,0,215,243,None,89,180008,89%,89% reported,edison,4,unknown,,21542,,,108436,48643,939,1100,227,83,0,0,0,0,0,0,2020-11-16T15:48:30Z,37.5047,D+38,Booker +38,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34023,Middlesex,337089,0,615,615,Other,90,375017,90%,90% reported,edison,4,some,,56703,,,204744,124263,2662,3264,1802,354,0,0,0,0,0,0,2020-11-17T20:18:50Z,23.8753,D+24,Booker +24,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34025,Monmouth,367985,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,unknown,,47571,,,171611,189425,1645,4397,863,44,0,0,0,0,0,0,2020-11-17T18:42:04Z,4.84096,R+5,Mehta +5,republican,new-jersey,2020-11-19T00:45:40.384617Z
34027,Morris,287330,0,395,396,Merged into voters' home precincts and released with cumulative results,100,287978,>98%,>98% reported,edison,2,unknown,,33525,,,144234,139480,1117,1704,543,252,0,0,0,0,0,0,2020-11-18T21:10:34Z,1.65454,D+1.7,Booker +1.7,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34029,Ocean,310062,260531,406,413,Released as a separate subtotal as first report of the night,98,315516,98%,98% reported,edison,4,unknown,,43803,,,109833,194849,1987,2555,485,353,96301,160141,1508,1938,376,267,2020-11-16T15:48:31Z,27.41903,R+27,Mehta +27,republican,new-jersey,2020-11-19T00:45:40.384617Z
34031,Passaic,201349,109504,243,284,None,90,224022,90%,90% reported,edison,2,some,,17333,,,120016,75666,2436,2286,805,140,67838,39132,1037,1062,371,64,2020-11-16T15:48:31Z,22.02643,D+22,Booker +22,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34033,Salem,32009,0,45,45,None,94,33926,94%,94% reported,edison,4,some,,3501,,,13746,17209,365,481,161,47,0,0,0,0,0,0,2020-11-16T15:48:31Z,10.81883,R+11,Mehta +11,republican,new-jersey,2020-11-19T00:45:40.384617Z
34035,Somerset,172116,0,252,265,Released as a separate subtotal as first report of the night,95,180656,95%,95% reported,edison,2,some,,24227,,,98721,71017,559,1455,236,128,0,0,0,0,0,0,2020-11-16T15:47:43Z,16.09612,D+16,Booker +16,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34037,Sussex,86310,75184,119,119,Merged into voters' home precincts and released with cumulative results,100,85245,>98%,>98% reported,edison,4,some,,9122,,,33853,49763,626,1645,242,181,30271,42755,482,1336,196,144,2020-11-16T17:11:35Z,18.43355,R+18,Mehta +18,republican,new-jersey,2020-11-19T00:45:40.384617Z
34039,Union,247761,120577,418,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,166932,76637,1913,1582,519,178,86793,32261,612,641,195,75,2020-11-19T00:40:51Z,36.4444,D+36,Booker +36,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34041,Warren,56933,52262,22,22,Merged into voters' home precincts and released with cumulative results,100,56621,>98%,>98% reported,edison,4,some,,7469,,,23071,32279,442,883,175,83,21563,29305,370,797,155,72,2020-11-16T15:47:48Z,16.1734,R+16,Mehta +16,republican,new-jersey,2020-11-19T00:45:40.384617Z
