fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41027,Hood River,12749,0,13,13,Other,100,12437,>98%,>98% reported,edison,2,unknown,,,,,8533,3777,226,206,7,0,0,0,0,0,2020-11-16T15:48:00Z,37.30489,D+37,Merkley +37,democrat,oregon,2020-11-18T00:47:58.494932Z
41029,Jackson,124126,0,45,45,Other,100,124633,>98%,>98% reported,edison,4,all,,,,,59052,60961,2213,1900,,0,0,0,0,,2020-11-16T15:48:00Z,1.53795,R+1.5,Perkins +1.5,republican,oregon,2020-11-18T00:47:58.494932Z
41031,Jefferson,11518,0,15,15,Other,100,10783,>98%,>98% reported,edison,4,some,,,,,4505,6677,197,124,15,0,0,0,0,0,2020-11-16T15:48:01Z,18.85744,R+19,Perkins +19,republican,oregon,2020-11-18T00:47:58.494932Z
41033,Josephine,50175,0,46,47,Other,99,50798,>98%,>98% reported,edison,2,some,,,,,18690,29660,982,780,63,0,0,0,0,0,2020-11-16T15:48:01Z,21.86348,R+22,Perkins +22,republican,oregon,2020-11-18T00:47:58.494932Z
41035,Klamath,35606,0,43,43,Other,100,34778,>98%,>98% reported,edison,2,unknown,,,,,11109,23350,690,429,28,0,0,0,0,0,2020-11-16T15:48:02Z,34.37904,R+34,Perkins +34,republican,oregon,2020-11-18T00:47:58.494932Z
41037,Lake,4239,0,18,19,Other,95,4480,95%,95% reported,edison,4,all,,,,,903,3242,61,29,4,0,0,0,0,0,2020-11-16T15:48:03Z,55.17811,R+55,Perkins +55,republican,oregon,2020-11-18T00:47:58.494932Z
41039,Lane,216527,0,79,80,Other,99,218823,>98%,>98% reported,edison,4,some,,,,,132611,75377,3826,4480,233,0,0,0,0,0,2020-11-16T15:48:03Z,26.43273,D+26,Merkley +26,democrat,oregon,2020-11-18T00:47:58.494932Z
41041,Lincoln,29940,0,32,32,Other,100,28792,>98%,>98% reported,edison,4,unknown,,,,,17347,11527,530,512,24,0,0,0,0,0,2020-11-16T15:48:04Z,19.43888,D+19,Merkley +19,democrat,oregon,2020-11-18T00:47:58.494932Z
41043,Linn,70493,0,90,90,Other,100,66940,>98%,>98% reported,edison,2,some,,,,,26989,40729,1612,1067,96,0,0,0,0,0,2020-11-16T15:48:04Z,19.4913,R+19,Perkins +19,republican,oregon,2020-11-18T00:47:58.494932Z
41045,Malheur,11449,0,23,24,Other,96,11896,96%,96% reported,edison,2,unknown,,,,,3293,7806,223,120,7,0,0,0,0,0,2020-11-16T15:48:05Z,39.41829,R+39,Perkins +39,republican,oregon,2020-11-18T00:47:58.494932Z
41047,Marion,160691,0,122,122,Other,100,155998,>98%,>98% reported,edison,4,unknown,,,,,79283,75375,3175,2647,211,0,0,0,0,0,2020-11-16T15:48:06Z,2.432,D+2,Merkley +2,democrat,oregon,2020-11-18T00:47:58.494932Z
41049,Morrow,4982,0,5,5,Other,100,4750,>98%,>98% reported,edison,2,unknown,,,,,1537,3295,108,39,3,0,0,0,0,0,2020-11-16T15:48:07Z,35.28703,R+35,Perkins +35,republican,oregon,2020-11-18T00:47:58.494932Z
41051,Multnomah,453004,0,112,113,Other,100,454977,>98%,>98% reported,edison,2,some,,,,,356173,78458,6748,11625,,0,0,0,0,,2020-11-17T02:00:57Z,61.3052,D+61,Merkley +61,democrat,oregon,2020-11-18T00:47:58.494932Z
41053,Polk,47398,0,16,16,Other,100,46585,>98%,>98% reported,edison,6,all,,,,,22820,22874,925,725,54,0,0,0,0,0,2020-11-16T15:48:08Z,0.11393,R+0.11,Perkins +0.11,republican,oregon,2020-11-18T00:47:58.494932Z
41055,Sherman,1170,0,5,5,Other,100,1165,>98%,>98% reported,edison,2,unknown,,,,,298,840,26,6,0,0,0,0,0,0,2020-11-16T15:48:09Z,46.32479,R+46,Perkins +46,republican,oregon,2020-11-18T00:47:58.494932Z
41057,Tillamook,16436,0,29,29,Other,100,15735,>98%,>98% reported,edison,2,all,,,,,8220,7726,267,211,12,0,0,0,0,0,2020-11-16T15:48:09Z,3.0056,D+3,Merkley +3,democrat,oregon,2020-11-18T00:47:58.494932Z
41059,Umatilla,31738,0,45,45,Other,100,31461,>98%,>98% reported,edison,2,unknown,,,,,11053,19652,675,328,30,0,0,0,0,0,2020-11-16T15:48:10Z,27.0937,R+27,Perkins +27,republican,oregon,2020-11-18T00:47:58.494932Z
41061,Union,14528,0,19,19,Other,98,14784,98%,98% reported,edison,2,unknown,,,,,4516,9630,230,141,11,0,0,0,0,0,2020-11-16T15:48:11Z,35.20099,R+35,Perkins +35,republican,oregon,2020-11-18T00:47:58.494932Z
41063,Wallowa,5071,0,12,12,Other,100,4977,>98%,>98% reported,edison,4,unknown,,,,,1702,3267,65,37,,0,0,0,0,,2020-11-17T02:00:57Z,30.86176,R+31,Perkins +31,republican,oregon,2020-11-18T00:47:58.494932Z
41065,Wasco,13590,0,14,14,Other,100,13639,>98%,>98% reported,edison,2,unknown,,,,,6591,6509,274,203,13,0,0,0,0,0,2020-11-16T15:48:12Z,0.60338,D+0.60,Merkley +0.60,democrat,oregon,2020-11-18T00:47:58.494932Z
41067,Washington,311672,0,143,143,Other,100,306924,>98%,>98% reported,edison,4,all,,,,,201691,97670,6119,6192,,0,0,0,0,,2020-11-16T15:48:12Z,33.37515,D+33,Merkley +33,democrat,oregon,2020-11-18T00:47:58.494932Z
41069,Wheeler,930,0,3,3,Other,96,967,96%,96% reported,edison,2,unknown,,,,,262,644,16,8,0,0,0,0,0,0,2020-11-16T15:48:13Z,41.07527,R+41,Perkins +41,republican,oregon,2020-11-18T00:47:58.494932Z
41071,Yamhill,57258,0,22,22,Other,100,55578,>98%,>98% reported,edison,2,unknown,,,,,26838,28136,1332,898,54,0,0,0,0,0,2020-11-16T15:48:13Z,2.26693,R+2,Perkins +2,republican,oregon,2020-11-18T00:47:58.494932Z
