fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34021,Mercer,158252,0,213,243,None,88,180008,88%,88% reported,edison,4,unknown,,21542,,,109514,45926,1255,675,497,108,85,83,109,0,0,0,0,0,0,0,0,0,2020-11-06T23:00:34Z,40.18148,D+40,Biden +40,democrat,-40.18148,158058,-37.1,155355,-36.7,new-jersey,2020-11-11T00:35:04.810148Z
34023,Middlesex,263819,0,433,615,Other,70,375017,70%,70% reported,edison,4,unknown,,56703,,,167016,93727,1489,296,766,141,120,159,105,0,0,0,0,0,0,0,0,0,2020-11-09T16:17:33Z,27.78003,D+28,Biden +28,democrat,-27.78003,328557,-21.3,301860,-27.58,new-jersey,2020-11-11T00:35:04.810148Z
34025,Monmouth,349633,0,494,511,Merged into voters' home precincts and released with cumulative results,97,361534,97%,97% reported,edison,2,unknown,,47571,,,168719,176255,2367,226,1225,157,313,205,166,0,0,0,0,0,0,0,0,0,2020-11-10T17:51:02Z,2.1554,R+2,Trump +2,republican,2.1554,317750,9.3,284557,5.05,new-jersey,2020-11-11T00:35:04.810148Z
34027,Morris,208041,0,286,396,Merged into voters' home precincts and released with cumulative results,72,287978,72%,72% reported,edison,2,unknown,,33525,,,112331,92302,1400,884,605,165,127,120,107,0,0,0,0,0,0,0,0,0,2020-11-10T21:10:43Z,9.62743,D+10,Biden +10,democrat,-9.62743,253537,4.3,227885,10.88,new-jersey,2020-11-11T00:35:04.810148Z
34029,Ocean,322036,269888,413,413,Released as a separate subtotal as first report of the night,100,315516,>98%,>98% reported,edison,4,unknown,,43803,,,113359,203613,2223,1119,967,45,462,133,115,99692,166501,1562,817,714,33,367,109,93,2020-11-09T16:43:22Z,28.02606,R+28,Trump +28,republican,28.02606,276725,33.2,251853,17.54,new-jersey,2020-11-11T00:35:04.810148Z
34031,Passaic,171889,111703,218,284,None,77,224022,77%,77% reported,edison,2,unknown,,17333,,,100393,69191,762,464,592,114,81,100,192,67604,42806,422,252,334,65,45,63,112,2020-11-09T21:44:13Z,18.15241,D+18,Biden +18,democrat,-18.15241,196228,-22.4,181988,-28.25,new-jersey,2020-11-11T00:35:04.810148Z
34033,Salem,31144,0,41,45,None,92,33926,92%,92% reported,edison,4,unknown,,3501,,,13220,17294,350,99,79,16,35,34,17,0,0,0,0,0,0,0,0,0,2020-11-09T21:44:20Z,13.08117,R+13,Trump +13,republican,13.08117,29853,15,29622,-1.3,new-jersey,2020-11-11T00:35:04.810148Z
34035,Somerset,169072,0,248,265,Released as a separate subtotal as first report of the night,94,180656,94%,94% reported,edison,2,some,,24227,,,101220,65234,1460,270,517,99,118,99,55,0,0,0,0,0,0,0,0,0,2020-11-10T00:02:41Z,21.28442,D+21,Biden +21,democrat,-21.28442,157092,-12.8,143180,-5.58,new-jersey,2020-11-11T00:35:04.810148Z
34037,Sussex,76646,76645,107,119,Merged into voters' home precincts and released with cumulative results,90,85245,90%,90% reported,edison,4,some,,9122,,,30875,44056,859,306,281,71,75,82,41,30875,44055,859,306,281,71,75,82,41,2020-11-10T17:53:30Z,17.19724,R+17,Trump +17,republican,17.19724,75158,29.9,68194,21.29,new-jersey,2020-11-11T00:35:04.810148Z
34039,Union,188982,122637,319,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,129291,57160,920,733,503,40,49,84,202,88914,32365,480,398,292,21,19,45,103,2020-11-10T21:41:44Z,38.16819,D+38,Biden +38,democrat,-38.16819,223570,-35.5,210088,-34,new-jersey,2020-11-11T00:35:04.810148Z
34041,Warren,53340,53340,20,22,Merged into voters' home precincts and released with cumulative results,94,56621,94%,94% reported,edison,4,some,,7469,,,22315,29867,546,227,211,34,82,36,22,22315,29867,546,227,211,34,82,36,22,2020-11-10T17:45:45Z,14.15823,R+14,Trump +14,republican,14.15823,49683,25.3,45415,15.41,new-jersey,2020-11-11T00:35:04.810148Z
