fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28025,Clay,10206,1939,14,14,Merged into voters' home precincts and released with cumulative results,99,10296,>98%,>98% reported,edison,10,unknown,,652,,,4181,5844,35,48,17,12,17,27,8,17,811,1117,3,1,1,0,1,1,2,2,2020-11-16T15:47:46Z,16.29434,D+16,Biden +16,democrat,-16.29434,10003,-15.7,11072,-21.87,mississippi,2020-11-19T00:42:46.792655Z
28027,Coahoma,8642,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8660,>98%,>98% reported,edison,10,unknown,,,,,2400,6130,39,20,6,14,14,11,2,6,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:46Z,43.16131,D+43,Biden +43,democrat,-43.16131,8912,-44.3,10549,-48.16,mississippi,2020-11-19T00:42:46.792655Z
28029,Copiah,12897,0,19,19,None,100,12915,>98%,>98% reported,edison,10,unknown,,542,,,6250,6470,40,58,20,11,15,15,4,14,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:47Z,1.70582,D+1.7,Biden +1.7,democrat,-1.70582,12982,-4.9,14123,-10.39,mississippi,2020-11-19T00:42:46.792655Z
28031,Covington,9371,0,15,15,Merged into voters' home precincts and released with cumulative results,100,9382,>98%,>98% reported,edison,10,unknown,,806,,,5854,3416,27,33,7,3,5,13,2,11,0,0,0,0,0,0,0,0,0,0,2020-11-16T17:37:01Z,26.01643,R+26,Trump +26,republican,26.01643,8811,24.5,9348,16.34,mississippi,2020-11-19T00:42:46.792655Z
28033,DeSoto,76248,0,41,41,Merged into voters' home precincts and released with cumulative results,100,76248,>98%,>98% reported,edison,10,unknown,,1400,,,46462,28265,219,722,94,96,80,67,119,124,0,0,0,0,0,0,0,0,0,0,2020-11-17T19:04:45Z,23.86554,R+24,Trump +24,republican,23.86554,66155,34,65794,33.41,mississippi,2020-11-19T00:42:46.792655Z
28035,Forrest,31725,0,34,34,None,100,31726,>98%,>98% reported,edison,10,unknown,,1294,,,17290,13755,119,329,29,54,33,31,14,71,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:49Z,11.14263,R+11,Trump +11,republican,11.14263,28064,13.3,30236,10.92,mississippi,2020-11-19T00:42:46.792655Z
28037,Franklin,4464,0,14,14,None,100,4464,>98%,>98% reported,edison,10,unknown,,530,,,2923,1480,14,21,4,3,6,6,4,3,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:50Z,32.32527,R+32,Trump +32,republican,32.32527,4290,28.4,4493,22.46,mississippi,2020-11-19T00:42:46.792655Z
28039,George,11064,0,22,22,Released as a separate subtotal at the end of tabulation,100,11064,>98%,>98% reported,edison,10,unknown,,208,,,9713,1218,21,54,12,10,6,10,5,15,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:50Z,76.78055,R+77,Trump +77,republican,76.78055,9891,77.5,9856,71.2,mississippi,2020-11-19T00:42:46.792655Z
28041,Greene,5816,0,13,13,Released as a precinct at the end of tabulation,100,5816,>98%,>98% reported,edison,10,unknown,,700,,,4794,966,10,20,4,4,2,8,4,4,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:51Z,65.81843,R+66,Trump +66,republican,65.81843,5369,62.6,5922,54.14,mississippi,2020-11-19T00:42:46.792655Z
28043,Grenada,7838,0,13,13,None,71,11112,71%,71% reported,edison,2,unknown,,1570,,,4889,2866,15,29,11,7,6,3,4,8,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:52Z,25.81016,R+26,Trump +26,republican,25.81016,10513,14.7,11335,6.16,mississippi,2020-11-19T00:42:46.792655Z
