fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39155,Trumbull,101152,89258,158,158,Released as a separate subtotal as first report of the night,100,98677,>98%,>98% reported,edison,6,some,,47683,,,55194,44519,913,356,170,46193,41821,787,305,152,2020-11-18T22:28:10Z,10.55342,R+11,Trump +11,republican,10.55342,96676,6.2,101963,-22.94,ohio,2020-11-19T00:43:36.073300Z
39157,Tuscarawas,44087,0,81,81,Merged into voters' home precincts and released with cumulative results,100,43828,>98%,>98% reported,edison,4,some,,22667,,,30458,12889,494,161,85,0,0,0,0,0,2020-11-18T22:04:25Z,39.85075,R+40,Trump +40,republican,39.85075,41606,35.4,41693,9.2,ohio,2020-11-19T00:43:36.073300Z
39159,Union,33535,0,45,45,Merged into voters' home precincts and released with cumulative results,99,34000,>98%,>98% reported,edison,2,unknown,,14723,,,21669,11141,535,100,90,0,0,0,0,0,2020-11-18T19:35:52Z,31.39407,R+31,Trump +31,republican,31.39407,27695,37.5,25623,29.21,ohio,2020-11-19T00:43:36.073300Z
39161,Van Wert,14767,0,39,39,Merged into voters' home precincts and released with cumulative results,100,14767,>98%,>98% reported,edison,6,some,,9334,,,11470,3026,195,42,34,0,0,0,0,0,2020-11-16T15:48:13Z,57.18155,R+57,Trump +57,republican,57.18155,13770,56.4,13898,39.98,ohio,2020-11-19T00:43:36.073300Z
39163,Vinton,5902,0,20,20,Merged into voters' home precincts and released with cumulative results,100,5902,>98%,>98% reported,edison,6,all,,3106,,,4525,1306,45,15,11,0,0,0,0,0,2020-11-16T15:48:14Z,54.54083,R+55,Trump +55,republican,54.54083,5540,45.7,5490,7.65,ohio,2020-11-19T00:43:36.073300Z
39165,Warren,136441,89102,175,175,Merged into voters' home precincts and released with cumulative results,100,132061,>98%,>98% reported,edison,6,unknown,,59072,,,87988,46069,1747,291,346,50860,36944,921,159,218,2020-11-18T18:59:18Z,30.72317,R+31,Trump +31,republican,30.72317,118309,37.1,111197,39.26,ohio,2020-11-19T00:43:36.073300Z
39167,Washington,31382,17392,46,50,Released as a precinct as first report of the night,99,31631,>98%,>98% reported,edison,2,all,,15685,,,21798,9114,363,107,,10491,6668,172,61,,2020-11-16T15:48:15Z,40.41807,R+40,Trump +40,republican,40.41807,30137,41.4,29602,19.03,ohio,2020-11-19T00:43:36.073300Z
39169,Wayne,54280,0,64,67,Merged into voters' home precincts and released with cumulative results,93,58342,93%,93% reported,edison,6,unknown,,24814,,,36759,16660,665,173,23,0,0,0,0,0,2020-11-18T19:13:46Z,37.02837,R+37,Trump +37,republican,37.02837,50217,34.3,51165,20.41,ohio,2020-11-19T00:43:36.073300Z
39171,Williams,18290,0,24,26,Released as a separate subtotal as first report of the night,100,18290,>98%,>98% reported,edison,6,unknown,,7416,,,13218,4726,278,68,,0,0,0,0,,2020-11-16T15:48:16Z,46.42974,R+46,Trump +46,republican,46.42974,17308,43.8,17706,15.71,ohio,2020-11-19T00:43:36.073300Z
39173,Wood,67651,0,95,95,Merged into voters' home precincts and released with cumulative results,100,67593,>98%,>98% reported,edison,4,unknown,,29603,,,35757,30617,992,211,74,0,0,0,0,0,2020-11-18T19:04:40Z,7.59782,R+8,Trump +8,republican,7.59782,64826,8,64059,-4.84,ohio,2020-11-19T00:43:36.073300Z
39175,Wyandot,11122,0,21,23,Merged into voters' home precincts and released with cumulative results,100,11156,>98%,>98% reported,edison,2,unknown,,4205,,,8248,2690,147,37,,0,0,0,0,,2020-11-16T15:48:17Z,49.97303,R+50,Trump +50,republican,49.97303,10638,46.6,10602,19.27,ohio,2020-11-19T00:43:36.073300Z
