fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_kennedya,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27023,Chippewa,6611,0,23,25,Merged into voters' home precincts and released with cumulative results,100,6175,>98%,>98% reported,edison,2,some,,1308,,,2226,4250,58,12,21,22,8,2,0,12,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:41Z,30.61564,R+31,Trump +31,republican,30.61564,6222,28.7,6201,-1.87,minnesota,2020-11-15T00:42:22.498500Z
27025,Chisago,34493,0,23,23,Merged into voters' home precincts and released with cumulative results,100,33288,>98%,>98% reported,edison,2,some,,5696,,,11803,21915,464,111,68,53,70,1,8,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:42Z,29.31609,R+29,Trump +29,republican,29.31609,30228,30.3,29441,12.58,minnesota,2020-11-15T00:42:22.498500Z
27027,Clay,32215,0,55,58,Merged into voters' home precincts and released with cumulative results,94,34102,94%,94% reported,edison,2,unknown,,6609,,,16345,15031,410,101,57,79,76,6,9,101,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:44Z,4.07885,D+4,Biden +4,democrat,-4.07885,29398,1.9,28886,-7.92,minnesota,2020-11-15T00:42:22.498500Z
27029,Clearwater,4705,0,28,29,Merged into voters' home precincts and released with cumulative results,100,4556,>98%,>98% reported,edison,4,some,,869,,,1258,3371,28,14,8,12,4,0,1,9,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:45Z,44.90967,R+45,Trump +45,republican,44.90967,4245,43,4197,14.44,minnesota,2020-11-15T00:42:22.498500Z
27031,Cook,3785,0,12,13,Merged into voters' home precincts and released with cumulative results,100,3644,>98%,>98% reported,edison,2,some,,1133,,,2496,1203,36,15,9,16,5,2,3,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:46Z,34.16116,D+34,Biden +34,democrat,-34.16116,3395,-22.3,3322,-23.24,minnesota,2020-11-15T00:42:22.498500Z
27033,Cottonwood,6097,0,27,29,Merged into voters' home precincts and released with cumulative results,95,6440,95%,95% reported,edison,2,unknown,,1245,,,1834,4165,55,13,10,11,9,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:46Z,38.23192,R+38,Trump +38,republican,38.23192,5721,35,5862,15.06,minnesota,2020-11-15T00:42:22.498500Z
27035,Crow Wing,40073,0,60,62,Merged into voters' home precincts and released with cumulative results,100,39471,>98%,>98% reported,edison,4,none,,10353,,,13726,25676,357,92,66,81,61,5,9,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:47Z,29.82058,R+30,Trump +30,republican,29.82058,35842,31.5,34920,13.33,minnesota,2020-11-15T00:42:22.498500Z
27037,Dakota,261107,0,137,141,Merged into voters' home precincts and released with cumulative results,97,268470,97%,97% reported,edison,2,unknown,,57003,,,145510,109183,2932,820,454,592,531,31,82,972,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:47Z,13.91269,D+14,Biden +14,democrat,-13.91269,231860,-4.6,230821,-2.92,minnesota,2020-11-15T00:42:22.498500Z
27039,Dodge,12153,0,22,22,Merged into voters' home precincts and released with cumulative results,100,11733,>98%,>98% reported,edison,4,unknown,,1812,,,4074,7774,167,39,23,30,26,15,5,0,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:48Z,30.44516,R+30,Trump +30,republican,30.44516,10654,32.1,10327,10.02,minnesota,2020-11-15T00:42:22.498500Z
27041,Douglas,24120,0,35,37,Merged into voters' home precincts and released with cumulative results,95,25271,95%,95% reported,edison,2,unknown,,5981,,,7868,15799,238,56,57,55,40,5,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:49Z,32.88143,R+33,Trump +33,republican,32.88143,21785,35.5,20953,15.42,minnesota,2020-11-15T00:42:22.498500Z
27043,Faribault,7892,0,30,33,Merged into voters' home precincts and released with cumulative results,100,7630,>98%,>98% reported,edison,2,unknown,,1508,,,2531,5191,72,19,24,31,21,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:49Z,33.70502,R+34,Trump +34,republican,33.70502,7412,33.8,7713,9.04,minnesota,2020-11-15T00:42:22.498500Z
27045,Fillmore,12104,0,35,37,Merged into voters' home precincts and released with cumulative results,99,12174,>98%,>98% reported,edison,4,some,,1887,,,4551,7301,135,24,19,36,34,4,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:50Z,22.71976,R+23,Trump +23,republican,22.71976,11055,21.7,10892,-7.34,minnesota,2020-11-15T00:42:22.498500Z
27047,Freeborn,16791,0,37,41,Merged into voters' home precincts and released with cumulative results,100,16517,>98%,>98% reported,edison,4,unknown,,3864,,,6889,9578,146,51,26,49,38,4,10,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:51Z,16.01453,R+16,Trump +16,republican,16.01453,16051,17.2,16706,-14.11,minnesota,2020-11-15T00:42:22.498500Z
27049,Goodhue,28566,0,38,40,Merged into voters' home precincts and released with cumulative results,96,29832,96%,96% reported,edison,2,unknown,,5379,,,11805,16052,397,102,65,64,64,9,8,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:52Z,14.86732,R+15,Trump +15,republican,14.86732,25717,17.9,25801,3,minnesota,2020-11-15T00:42:22.498500Z
27051,Grant,3650,0,21,23,Merged into voters' home precincts and released with cumulative results,98,3728,98%,98% reported,edison,2,unknown,,855,,,1300,2269,43,8,10,10,7,2,1,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:52Z,26.54795,R+27,Trump +27,republican,26.54795,3473,27.6,3487,2.9,minnesota,2020-11-15T00:42:22.498500Z
27053,Hennepin,753159,0,406,425,Merged into voters' home precincts and released with cumulative results,95,788773,95%,95% reported,edison,2,unknown,,179553,,,532608,205966,7525,2448,1025,1937,1038,164,448,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:25Z,43.36959,D+43,Biden +43,democrat,-43.36959,679977,-34.9,680065,-27.04,minnesota,2020-11-15T00:42:22.498500Z
27055,Houston,11438,0,25,27,Merged into voters' home precincts and released with cumulative results,98,11678,98%,98% reported,edison,4,some,,1965,,,4851,6334,114,29,32,29,20,4,4,21,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:29Z,12.96555,R+13,Trump +13,republican,12.96555,10604,13.9,10446,-3.16,minnesota,2020-11-15T00:42:22.498500Z
27057,Hubbard,12927,0,37,38,Merged into voters' home precincts and released with cumulative results,97,13346,97%,97% reported,edison,2,unknown,,3437,,,4462,8202,134,48,24,30,23,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:30Z,28.93169,R+29,Trump +29,republican,28.93169,11505,33.4,11520,16.89,minnesota,2020-11-15T00:42:22.498500Z
27059,Isanti,24162,0,19,19,Merged into voters' home precincts and released with cumulative results,100,20857,>98%,>98% reported,edison,2,unknown,,3609,,,7138,16491,304,79,34,53,51,5,7,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:32Z,38.70954,R+39,Trump +39,republican,38.70954,21016,38,20217,18.06,minnesota,2020-11-15T00:42:22.498500Z
27061,Itasca,26512,0,73,76,Merged into voters' home precincts and released with cumulative results,100,25925,>98%,>98% reported,edison,6,unknown,,5760,,,10787,15239,247,77,50,63,44,3,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:33Z,16.7924,R+17,Trump +17,republican,16.7924,23880,16.4,23919,-9.83,minnesota,2020-11-15T00:42:22.498500Z
27063,Jackson,5813,0,26,28,Merged into voters' home precincts and released with cumulative results,96,6039,96%,96% reported,edison,2,unknown,,917,,,1745,3948,53,12,19,19,15,2,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:34Z,37.89782,R+38,Trump +38,republican,37.89782,5484,38.6,5430,14.29,minnesota,2020-11-15T00:42:22.498500Z
27065,Kanabec,9224,0,19,20,Merged into voters' home precincts and released with cumulative results,100,8115,>98%,>98% reported,edison,4,all,,1575,,,2774,6278,93,23,21,17,12,1,5,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:35Z,37.98786,R+38,Trump +38,republican,37.98786,8177,35.5,8150,9.02,minnesota,2020-11-15T00:42:22.498500Z
27067,Kandiyohi,23313,0,44,48,Merged into voters' home precincts and released with cumulative results,97,23977,97%,97% reported,edison,2,unknown,,5181,,,8440,14437,211,53,48,63,44,11,6,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:36Z,25.72385,R+26,Trump +26,republican,25.72385,21772,25.3,21465,6.69,minnesota,2020-11-15T00:42:22.498500Z
27069,Kittson,2639,0,37,39,Merged into voters' home precincts and released with cumulative results,100,2627,>98%,>98% reported,edison,6,all,,501,,,1006,1546,44,8,7,12,7,0,0,9,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:37Z,20.4623,R+20,Trump +20,republican,20.4623,2385,22.1,2420,-6.03,minnesota,2020-11-15T00:42:22.498500Z
27071,Koochiching,6920,0,21,22,Merged into voters' home precincts and released with cumulative results,100,6383,>98%,>98% reported,edison,4,all,,2004,,,2657,4131,60,17,10,14,13,0,1,17,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:39Z,21.30058,R+21,Trump +21,republican,21.30058,6363,19.8,6458,-9.45,minnesota,2020-11-15T00:42:22.498500Z
27073,Lac Qui Parle,4039,0,26,29,Merged into voters' home precincts and released with cumulative results,95,4266,95%,95% reported,edison,4,some,,840,,,1445,2527,20,7,14,13,5,1,0,7,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:40Z,26.78881,R+27,Trump +27,republican,26.78881,3860,25.6,3984,-0.9,minnesota,2020-11-15T00:42:22.498500Z
27075,Lake,7200,0,18,19,Merged into voters' home precincts and released with cumulative results,91,7885,91%,91% reported,edison,2,unknown,,1565,,,3646,3392,78,26,10,18,8,1,2,19,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:41Z,3.52778,D+4,Biden +4,democrat,-3.52778,6521,-2.2,6820,-21.01,minnesota,2020-11-15T00:42:22.498500Z
27077,Lake of the Woods,2405,0,16,17,Merged into voters' home precincts and released with cumulative results,100,2407,>98%,>98% reported,edison,2,unknown,,281,,,671,1704,22,4,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:42Z,42.95218,R+43,Trump +43,republican,42.95218,2242,44,2234,20.01,minnesota,2020-11-15T00:42:22.498500Z
27079,Le Sueur,16775,0,25,26,Merged into voters' home precincts and released with cumulative results,100,16486,>98%,>98% reported,edison,2,unknown,,2535,,,5671,10775,169,42,36,42,35,4,1,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:43Z,30.42623,R+30,Trump +30,republican,30.42623,14971,30.5,14795,6.5,minnesota,2020-11-15T00:42:22.498500Z
27081,Lincoln,3114,0,18,20,Merged into voters' home precincts and released with cumulative results,93,3343,93%,93% reported,edison,4,some,,612,,,937,2120,23,6,6,8,9,1,1,3,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:46Z,37.98972,R+38,Trump +38,republican,37.98972,3019,35.5,3120,5.32,minnesota,2020-11-15T00:42:22.498500Z
27083,Lyon,12889,0,30,33,Merged into voters' home precincts and released with cumulative results,100,12877,>98%,>98% reported,edison,6,all,,2415,,,4630,7979,140,28,21,31,24,3,4,29,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:48Z,25.9834,R+26,Trump +26,republican,25.9834,12215,28.1,12388,9.11,minnesota,2020-11-15T00:42:22.498500Z
27087,Mahnomen,2303,0,18,19,Merged into voters' home precincts and released with cumulative results,100,2302,>98%,>98% reported,edison,6,unknown,,452,,,1112,1143,9,6,6,12,10,1,4,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:50Z,1.34607,R+1.3,Trump +1.3,republican,1.34607,2088,2.9,2182,-18.56,minnesota,2020-11-15T00:42:22.498500Z
27089,Marshall,5101,0,55,60,Merged into voters' home precincts and released with cumulative results,99,5171,>98%,>98% reported,edison,2,unknown,,869,,,1295,3721,37,8,15,11,13,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:51Z,47.5593,R+48,Trump +48,republican,47.5593,4817,41.2,4698,12.15,minnesota,2020-11-15T00:42:22.498500Z
27091,Martin,11038,5305,33,37,Merged into voters' home precincts and released with cumulative results,100,10844,>98%,>98% reported,edison,4,unknown,,2561,,,3304,7476,98,58,20,29,18,3,2,30,2124,3033,43,58,8,15,6,0,1,17,2020-11-14T16:38:53Z,37.7967,R+38,Trump +38,republican,37.7967,10531,41.1,10968,23.73,minnesota,2020-11-15T00:42:22.498500Z
27085,McLeod,20888,0,27,28,Merged into voters' home precincts and released with cumulative results,100,18664,>98%,>98% reported,edison,2,unknown,,3348,,,6413,13986,292,58,47,40,41,9,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:49Z,36.25527,R+36,Trump +36,republican,36.25527,18807,38.2,18553,22.1,minnesota,2020-11-15T00:42:22.498500Z
27093,Meeker,13496,0,28,30,Merged into voters' home precincts and released with cumulative results,100,12189,>98%,>98% reported,edison,2,some,,2115,,,3867,9358,122,41,31,45,30,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:54Z,40.68613,R+41,Trump +41,republican,40.68613,12282,40,12214,15.92,minnesota,2020-11-15T00:42:22.498500Z
27095,Mille Lacs,14666,0,24,25,Merged into voters' home precincts and released with cumulative results,100,462,>98%,>98% reported,edison,6,none,,2361,,,4403,9953,181,31,25,36,28,5,4,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:56Z,37.84263,R+38,Trump +38,republican,37.84263,13017,35.6,13091,8.57,minnesota,2020-11-15T00:42:22.498500Z
27097,Morrison,19523,0,46,48,Merged into voters' home precincts and released with cumulative results,100,17480,>98%,>98% reported,edison,2,unknown,,3279,,,4367,14819,173,52,44,28,34,3,3,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:57Z,53.53685,R+54,Trump +54,republican,53.53685,17614,52.7,16714,23.97,minnesota,2020-11-15T00:42:22.498500Z
27099,Mower,19441,0,38,40,Merged into voters' home precincts and released with cumulative results,96,20341,96%,96% reported,edison,2,unknown,,3704,,,8997,10067,178,46,44,62,40,2,5,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:58Z,5.50383,R+6,Trump +6,republican,5.50383,17715,7.8,18539,-22.61,minnesota,2020-11-15T00:42:22.498500Z
27101,Murray,4883,0,26,29,Merged into voters' home precincts and released with cumulative results,96,5103,96%,96% reported,edison,2,unknown,,1152,,,1449,3363,32,10,8,9,8,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:38:59Z,39.19721,R+39,Trump +39,republican,39.19721,4668,36,4767,7.22,minnesota,2020-11-15T00:42:22.498500Z
27103,Nicollet,19124,0,26,28,Merged into voters' home precincts and released with cumulative results,90,21211,90%,90% reported,edison,4,some,,3144,,,9622,9018,222,78,40,42,37,7,4,54,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:00Z,3.15834,D+3,Biden +3,democrat,-3.15834,18097,3,18357,-7.83,minnesota,2020-11-15T00:42:22.498500Z
27105,Nobles,8708,0,35,40,Merged into voters' home precincts and released with cumulative results,100,8708,>98%,>98% reported,edison,6,all,,2156,,,2928,5598,59,19,17,28,27,4,5,23,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:01Z,30.66146,R+31,Trump +31,republican,30.66146,8632,29.7,8520,9.25,minnesota,2020-11-15T00:42:22.498500Z
27107,Norman,3434,0,30,33,Merged into voters' home precincts and released with cumulative results,98,3500,98%,98% reported,edison,2,unknown,,633,,,1404,1954,31,10,18,6,8,3,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:03Z,16.01631,R+16,Trump +16,republican,16.01631,3261,13.3,3207,-10.79,minnesota,2020-11-15T00:42:22.498500Z
27109,Olmsted,91086,0,82,84,Merged into voters' home precincts and released with cumulative results,98,92950,98%,98% reported,edison,4,unknown,,20940,,,49492,39692,1078,263,189,188,159,11,14,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:04Z,10.75906,D+11,Biden +11,democrat,-10.75906,80129,-0.7,78316,-3.2,minnesota,2020-11-15T00:42:22.498500Z
27111,Otter Tail,36372,0,89,92,Merged into voters' home precincts and released with cumulative results,96,37700,96%,96% reported,edison,2,unknown,,8657,,,11940,23794,255,76,73,90,51,3,3,87,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:06Z,32.591,R+33,Trump +33,republican,32.591,32500,35.7,31670,21.14,minnesota,2020-11-15T00:42:22.498500Z
27113,Pennington,7263,0,29,31,Merged into voters' home precincts and released with cumulative results,100,6664,>98%,>98% reported,edison,4,some,,1380,,,2568,4532,103,12,16,19,7,3,3,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:07Z,27.04117,R+27,Trump +27,republican,27.04117,6715,27.6,6517,4.31,minnesota,2020-11-15T00:42:22.498500Z
27115,Pine,15998,0,48,48,Merged into voters' home precincts and released with cumulative results,100,13799,>98%,>98% reported,edison,2,unknown,,2577,,,5416,10256,168,51,23,25,26,3,1,29,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:07Z,30.25378,R+30,Trump +30,republican,30.25378,13811,26.1,13965,0.68,minnesota,2020-11-15T00:42:22.498500Z
27117,Pipestone,4932,0,19,22,Merged into voters' home precincts and released with cumulative results,100,4930,>98%,>98% reported,edison,6,all,,984,,,1306,3553,25,12,9,15,11,1,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:08Z,45.55961,R+46,Trump +46,republican,45.55961,4808,46,4646,23.7,minnesota,2020-11-15T00:42:22.498500Z
27119,Polk,15581,10731,74,82,Merged into voters' home precincts and released with cumulative results,96,16294,96%,96% reported,edison,4,some,,2832,,,5435,9857,122,29,36,39,28,4,5,26,4238,6308,70,20,25,23,22,3,5,17,2020-11-14T16:39:11Z,28.38072,R+28,Trump +28,republican,28.38072,14796,28.8,14693,5.73,minnesota,2020-11-15T00:42:22.498500Z
27121,Pope,7019,0,30,31,Merged into voters' home precincts and released with cumulative results,100,6959,>98%,>98% reported,edison,2,unknown,,1689,,,2478,4413,56,16,13,18,10,0,0,15,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:12Z,27.56803,R+28,Trump +28,republican,27.56803,6319,26.7,6246,2.58,minnesota,2020-11-15T00:42:22.498500Z
27123,Ramsey,294513,0,157,169,Merged into voters' home precincts and released with cumulative results,91,322228,91%,91% reported,edison,2,unknown,,61280,,,211362,77324,2858,1061,428,788,422,88,182,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:13Z,45.51174,D+46,Biden +46,democrat,-45.51174,273143,-39.1,278822,-35.2,minnesota,2020-11-15T00:42:22.498500Z
27125,Red Lake,2190,0,21,21,Merged into voters' home precincts and released with cumulative results,100,2022,>98%,>98% reported,edison,6,unknown,,365,,,689,1450,18,7,7,5,8,0,0,6,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:14Z,34.74886,R+35,Trump +35,republican,34.74886,1881,32,1975,2.53,minnesota,2020-11-15T00:42:22.498500Z
27127,Redwood,8290,0,40,43,Merged into voters' home precincts and released with cumulative results,100,8274,>98%,>98% reported,edison,6,some,,1556,,,2358,5775,76,10,22,18,14,0,1,16,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:14Z,41.21834,R+41,Trump +41,republican,41.21834,7611,42.7,7790,20.05,minnesota,2020-11-15T00:42:22.498500Z
27129,Renville,8115,0,35,38,Merged into voters' home precincts and released with cumulative results,100,8115,>98%,>98% reported,edison,6,unknown,,1440,,,2497,5465,68,19,23,23,15,4,1,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:15Z,36.57425,R+37,Trump +37,republican,36.57425,7606,36.5,7710,9.79,minnesota,2020-11-15T00:42:22.498500Z
27131,Rice,35608,0,29,31,Merged into voters' home precincts and released with cumulative results,95,37634,95%,95% reported,edison,4,all,,6332,,,17402,17463,372,115,78,88,70,7,13,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:16Z,0.17131,R+0.17,Trump +0.17,republican,0.17131,32443,3.1,32267,-8.27,minnesota,2020-11-15T00:42:22.498500Z
27133,Rock,5235,0,22,24,Merged into voters' home precincts and released with cumulative results,100,5134,>98%,>98% reported,edison,6,unknown,,1205,,,1554,3580,35,13,13,9,16,1,2,12,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:17Z,38.70105,R+39,Trump +39,republican,38.70105,4839,35.5,4846,17.83,minnesota,2020-11-15T00:42:22.498500Z
27135,Roseau,8408,0,41,44,Merged into voters' home precincts and released with cumulative results,100,7745,>98%,>98% reported,edison,2,unknown,,1517,,,2188,6065,81,18,15,20,15,2,4,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:18Z,46.11085,R+46,Trump +46,republican,46.11085,7804,46.1,7352,22.27,minnesota,2020-11-15T00:42:22.498500Z
27139,Scott,87729,0,47,47,Merged into voters' home precincts and released with cumulative results,100,87034,>98%,>98% reported,edison,2,unknown,,13020,,,40037,45871,1048,240,162,182,162,9,18,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:20Z,6.65002,R+7,Trump +7,republican,6.65002,75029,15.3,71647,14.81,minnesota,2020-11-15T00:42:22.498500Z
27141,Sherburne,55486,0,35,35,Merged into voters' home precincts and released with cumulative results,99,56008,>98%,>98% reported,edison,2,unknown,,9408,,,18065,36221,734,153,89,115,96,6,7,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:22Z,32.72177,R+33,Trump +33,republican,32.72177,48283,36.8,46509,22.04,minnesota,2020-11-15T00:42:22.498500Z
27143,Sibley,8451,0,23,25,Merged into voters' home precincts and released with cumulative results,100,7726,>98%,>98% reported,edison,4,all,,1125,,,2417,5864,70,22,22,17,22,0,2,15,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:23Z,40.78807,R+41,Trump +41,republican,40.78807,7774,41.7,7815,22.74,minnesota,2020-11-15T00:42:22.498500Z
27137,St. Louis,119859,0,158,172,Merged into voters' home precincts and released with cumulative results,90,133513,90%,90% reported,edison,4,some,,20931,,,67836,49214,1389,396,161,290,166,17,49,341,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:19Z,15.53659,D+16,Biden +16,democrat,-15.53659,112422,-11.7,115594,-29.63,minnesota,2020-11-15T00:42:22.498500Z
