fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
30021,Dawson,4823,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4837,>98%,>98% reported,edison,6,unknown,,4322,,,3634,1189,0,0,2020-11-14T16:39:28Z,50.69459,R+51,Daines +51,republican,montana,2020-11-16T00:44:51.509408Z
30023,Deer Lodge,4879,0,14,14,Merged into voters' home precincts and released with cumulative results,97,5005,97%,97% reported,edison,2,some,,3414,,,1918,2961,0,0,2020-11-14T16:39:28Z,21.37733,D+21,Bullock +21,democrat,montana,2020-11-16T00:44:51.509408Z
30025,Fallon,1576,0,1,1,Merged into voters' home precincts and released with cumulative results,90,1751,90%,90% reported,edison,2,unknown,,899,,,1341,235,0,0,2020-11-14T16:39:29Z,70.17766,R+70,Daines +70,republican,montana,2020-11-16T00:44:51.509408Z
30027,Fergus,6490,0,15,16,None,93,7000,93%,93% reported,edison,4,all,,5078,,,4709,1781,0,0,2020-11-14T16:39:30Z,45.11556,R+45,Daines +45,republican,montana,2020-11-16T00:44:51.509408Z
30029,Flathead,59914,0,42,42,Merged into voters' home precincts and released with cumulative results,100,54863,>98%,>98% reported,edison,2,some,,38453,,,37775,22139,0,0,2020-11-14T16:38:21Z,26.09741,R+26,Daines +26,republican,montana,2020-11-16T00:44:51.509408Z
30031,Gallatin,71226,0,32,32,Merged into voters' home precincts and released with cumulative results,100,62885,>98%,>98% reported,edison,4,some,,51851,,,31768,39458,0,0,2020-11-14T16:38:23Z,10.79662,D+11,Bullock +11,democrat,montana,2020-11-16T00:44:51.509408Z
30033,Garfield,809,0,4,4,Merged into voters' home precincts and released with cumulative results,96,845,96%,96% reported,edison,2,unknown,,432,,,736,73,0,0,2020-11-14T16:38:24Z,81.95303,R+82,Daines +82,republican,montana,2020-11-16T00:44:51.509408Z
30035,Glacier,5709,0,15,16,Merged into voters' home precincts and released with cumulative results,100,5709,>98%,>98% reported,edison,6,none,,3322,,,1685,4024,0,0,2020-11-14T16:38:25Z,40.9704,D+41,Bullock +41,democrat,montana,2020-11-16T00:44:51.509408Z
30037,Golden Valley,504,0,2,2,Merged into voters' home precincts and released with cumulative results,89,565,89%,89% reported,edison,2,unknown,,422,,,405,99,0,0,2020-11-14T16:38:25Z,60.71429,R+61,Daines +61,republican,montana,2020-11-16T00:44:51.509408Z
30039,Granite,2101,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2095,>98%,>98% reported,edison,2,unknown,,1243,,,1360,741,0,0,2020-11-14T16:38:26Z,29.46216,R+29,Daines +29,republican,montana,2020-11-16T00:44:51.509408Z
30041,Hill,7208,0,16,17,Other,100,4897,>98%,>98% reported,edison,6,unknown,,5547,,,3740,3468,0,0,2020-11-14T16:38:26Z,3.77358,R+4,Daines +4,republican,montana,2020-11-16T00:44:51.509408Z
30043,Jefferson,8173,0,10,10,Released as a separate subtotal as first report of the night,100,8191,>98%,>98% reported,edison,6,all,,4742,,,5206,2967,0,0,2020-11-14T16:38:27Z,27.39508,R+27,Daines +27,republican,montana,2020-11-16T00:44:51.509408Z
30045,Judith Basin,1348,0,4,4,Merged into voters' home precincts and released with cumulative results,94,1434,94%,94% reported,edison,2,unknown,,837,,,1026,322,0,0,2020-11-14T16:38:28Z,52.22552,R+52,Daines +52,republican,montana,2020-11-16T00:44:51.509408Z
30047,Lake,16620,0,22,22,Merged into voters' home precincts and released with cumulative results,100,15699,>98%,>98% reported,edison,2,unknown,,10643,,,8961,7659,0,0,2020-11-14T16:38:30Z,7.83394,R+8,Daines +8,republican,montana,2020-11-16T00:44:51.509408Z
30049,Lewis and Clark,42509,0,33,33,Released as a separate subtotal as first report of the night,100,40409,>98%,>98% reported,edison,2,unknown,,29778,,,20554,21955,0,0,2020-11-14T16:38:31Z,3.29577,D+3,Bullock +3,democrat,montana,2020-11-16T00:44:51.509408Z
30051,Liberty,1088,0,4,4,Merged into voters' home precincts and released with cumulative results,93,1166,93%,93% reported,edison,2,unknown,,763,,,789,299,0,0,2020-11-14T16:38:32Z,45.03676,R+45,Daines +45,republican,montana,2020-11-16T00:44:51.509408Z
30053,Lincoln,11540,0,14,14,Merged into voters' home precincts and released with cumulative results,100,10418,>98%,>98% reported,edison,4,unknown,,6806,,,8340,3200,0,0,2020-11-14T16:38:32Z,44.54073,R+45,Daines +45,republican,montana,2020-11-16T00:44:51.509408Z
30057,Madison,6113,0,8,8,Merged into voters' home precincts and released with cumulative results,100,6113,>98%,>98% reported,edison,6,all,,2922,,,4099,2014,0,0,2020-11-14T16:38:34Z,34.10764,R+34,Daines +34,republican,montana,2020-11-16T00:44:51.509408Z
30055,McCone,1123,0,3,3,Merged into voters' home precincts and released with cumulative results,90,1251,90%,90% reported,edison,2,some,,688,,,946,177,0,0,2020-11-14T16:38:33Z,68.47729,R+68,Daines +68,republican,montana,2020-11-16T00:44:51.509408Z
30059,Meagher,1118,0,1,1,Other,97,1151,97%,97% reported,edison,2,unknown,,978,,,812,306,0,0,2020-11-14T16:38:35Z,45.25939,R+45,Daines +45,republican,montana,2020-11-16T00:44:51.509408Z
30061,Mineral,2550,0,6,6,Released as a separate subtotal as first report of the night,100,2263,>98%,>98% reported,edison,2,unknown,,1507,,,1734,816,0,0,2020-11-14T16:38:36Z,36,R+36,Daines +36,republican,montana,2020-11-16T00:44:51.509408Z
30063,Missoula,71781,0,52,52,Merged into voters' home precincts and released with cumulative results,100,69651,>98%,>98% reported,edison,4,unknown,,59576,,,25519,46262,0,0,2020-11-14T16:38:38Z,28.89762,D+29,Bullock +29,democrat,montana,2020-11-16T00:44:51.509408Z
30065,Musselshell,2879,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2711,>98%,>98% reported,edison,4,some,,1734,,,2341,538,0,0,2020-11-14T16:38:40Z,62.62591,R+63,Daines +63,republican,montana,2020-11-16T00:44:51.509408Z
30067,Park,11601,0,11,11,None,100,10730,>98%,>98% reported,edison,2,unknown,,6699,,,5838,5763,0,0,2020-11-14T16:38:40Z,0.6465,R+0.65,Daines +0.65,republican,montana,2020-11-16T00:44:51.509408Z
30069,Petroleum,351,0,1,1,None,100,351,>98%,>98% reported,edison,6,all,,189,,,300,51,0,0,2020-11-14T16:38:41Z,70.94017,R+71,Daines +71,republican,montana,2020-11-16T00:44:51.509408Z
30071,Phillips,2376,0,2,2,Merged into voters' home precincts and released with cumulative results,95,2500,95%,95% reported,edison,4,all,,2000,,,1895,481,0,0,2020-11-14T16:38:41Z,59.51178,R+60,Daines +60,republican,montana,2020-11-16T00:44:51.509408Z
30073,Pondera,3004,0,7,8,Released as a separate subtotal at the end of tabulation,96,3135,96%,96% reported,edison,2,unknown,,2141,,,1932,1072,0,0,2020-11-14T16:38:42Z,28.6285,R+29,Daines +29,republican,montana,2020-11-16T00:44:51.509408Z
30075,Powder River,1137,0,6,7,Merged into voters' home precincts and released with cumulative results,92,1240,92%,92% reported,edison,2,unknown,,638,,,957,180,0,0,2020-11-14T16:38:43Z,68.33773,R+68,Daines +68,republican,montana,2020-11-16T00:44:51.509408Z
30077,Powell,3167,0,12,13,Merged into voters' home precincts and released with cumulative results,99,3187,>98%,>98% reported,edison,6,all,,1578,,,2231,936,0,0,2020-11-14T16:38:43Z,40.89043,R+41,Daines +41,republican,montana,2020-11-16T00:44:51.509408Z
30079,Prairie,747,0,4,4,Merged into voters' home precincts and released with cumulative results,90,830,90%,90% reported,edison,2,unknown,,480,,,586,161,0,0,2020-11-14T16:38:44Z,56.89424,R+57,Daines +57,republican,montana,2020-11-16T00:44:51.509408Z
30081,Ravalli,28556,0,24,24,Released as a separate subtotal as first report of the night,100,26368,>98%,>98% reported,edison,2,unknown,,16965,,,18694,9862,0,0,2020-11-14T16:38:46Z,30.9287,R+31,Daines +31,republican,montana,2020-11-16T00:44:51.509408Z
30083,Richland,5782,0,13,13,Other,100,5789,>98%,>98% reported,edison,6,all,,2582,,,4662,1120,0,0,2020-11-14T16:38:47Z,61.25908,R+61,Daines +61,republican,montana,2020-11-16T00:44:51.509408Z
30085,Roosevelt,4019,0,11,12,Merged into voters' home precincts and released with cumulative results,100,4019,>98%,>98% reported,edison,6,all,,2086,,,1886,2133,0,0,2020-11-14T16:38:48Z,6.14581,D+6,Bullock +6,democrat,montana,2020-11-16T00:44:51.509408Z
30087,Rosebud,3772,0,11,12,Merged into voters' home precincts AFTER election night,100,3782,>98%,>98% reported,edison,6,all,,2216,,,2435,1337,0,0,2020-11-14T16:38:49Z,29.10923,R+29,Daines +29,republican,montana,2020-11-16T00:44:51.509408Z
30089,Sanders,7593,0,9,9,Merged into voters' home precincts and released with cumulative results,99,7651,>98%,>98% reported,edison,6,all,,5891,,,5399,2194,0,0,2020-11-14T16:38:49Z,42.20993,R+42,Daines +42,republican,montana,2020-11-16T00:44:51.509408Z
30091,Sheridan,2023,0,6,6,Merged into voters' home precincts and released with cumulative results,89,2275,89%,89% reported,edison,2,unknown,,1792,,,1355,668,0,0,2020-11-14T16:38:50Z,33.95947,R+34,Daines +34,republican,montana,2020-11-16T00:44:51.509408Z
30093,Silver Bow,18971,0,30,31,Merged into voters' home precincts AFTER election night,100,18973,>98%,>98% reported,edison,6,unknown,,14293,,,6715,12256,0,0,2020-11-14T16:38:50Z,29.20774,D+29,Bullock +29,democrat,montana,2020-11-16T00:44:51.509408Z
30095,Stillwater,5711,0,8,8,Released as a separate subtotal at the end of tabulation,100,5711,>98%,>98% reported,edison,6,unknown,,3435,,,4340,1371,0,0,2020-11-14T16:38:51Z,51.98739,R+52,Daines +52,republican,montana,2020-11-16T00:44:51.509408Z
30097,Sweet Grass,2459,0,5,5,Released as a separate subtotal as first report of the night,100,2441,>98%,>98% reported,edison,2,some,,1573,,,1834,625,0,0,2020-11-14T16:38:52Z,49.16633,R+49,Daines +49,republican,montana,2020-11-16T00:44:51.509408Z
30099,Teton,3706,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3706,>98%,>98% reported,edison,6,all,,2734,,,2541,1165,0,0,2020-11-14T16:38:54Z,37.12898,R+37,Daines +37,republican,montana,2020-11-16T00:44:51.509408Z
30101,Toole,2123,0,4,5,Merged into voters' home precincts and released with cumulative results,100,2123,>98%,>98% reported,edison,6,none,,1491,,,1528,595,0,0,2020-11-14T16:38:55Z,43.94724,R+44,Daines +44,republican,montana,2020-11-16T00:44:51.509408Z
30103,Treasure,464,0,1,1,Merged into voters' home precincts and released with cumulative results,86,537,86%,86% reported,edison,2,unknown,,267,,,376,88,0,0,2020-11-14T16:38:57Z,62.06897,R+62,Daines +62,republican,montana,2020-11-16T00:44:51.509408Z
30105,Valley,4259,0,3,3,Released as a separate subtotal as first report of the night,98,4350,98%,98% reported,edison,4,all,,3726,,,2953,1306,0,0,2020-11-14T16:38:57Z,38.67105,R+39,Daines +39,republican,montana,2020-11-16T00:44:51.509408Z
30107,Wheatland,1059,0,5,5,Merged into voters' home precincts and released with cumulative results,90,1171,90%,90% reported,edison,2,some,,667,,,789,270,0,0,2020-11-14T16:38:58Z,49.0085,R+49,Daines +49,republican,montana,2020-11-16T00:44:51.509408Z
30109,Wibaux,596,0,1,1,Merged into voters' home precincts and released with cumulative results,93,642,93%,93% reported,edison,2,unknown,,240,,,491,105,0,0,2020-11-14T16:38:58Z,64.7651,R+65,Daines +65,republican,montana,2020-11-16T00:44:51.509408Z
30111,Yellowstone,82022,0,44,44,Merged into voters' home precincts and released with cumulative results,100,81192,>98%,>98% reported,edison,2,some,,89706,,,48095,33927,0,0,2020-11-14T16:38:58Z,17.27341,R+17,Daines +17,republican,montana,2020-11-16T00:44:51.509408Z
