fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37027,Caldwell,42438,35583,19,20,Released as a precinct as first report of the night,99,43000,>98%,>98% reported,edison,2,unknown,,37674,,,31877,10105,266,59,52,79,26440,8846,202,50,45,0,2020-11-11T03:26:14Z,51.30308,R+51,Trump +51,republican,51.30308,36320,50.1,34732,35.5,north-carolina,2020-11-12T17:30:11.258840Z
37029,Camden,5953,4473,3,3,Released as a precinct as first report of the night,100,5900,>98%,>98% reported,edison,4,all,,4042,,,4312,1537,76,8,5,15,3104,1310,49,7,3,0,2020-11-11T03:26:17Z,46.61515,R+47,Trump +47,republican,46.61515,5006,45.4,4704,34.03,north-carolina,2020-11-12T17:30:11.258840Z
37031,Carteret,42367,34524,23,26,Released as a separate subtotal as first report of the night,95,44365,95%,95% reported,edison,2,all,,34930,,,29886,11999,367,61,54,,23494,10700,251,36,43,,2020-11-11T03:26:19Z,42.21918,R+42,Trump +42,republican,42.21918,37781,44,35517,40.75,north-carolina,2020-11-12T17:30:11.258840Z
37033,Caswell,11962,8365,8,9,Released as a precinct as first report of the night,100,11962,>98%,>98% reported,edison,6,all,,9422,,,7040,4831,64,19,8,,4389,3921,40,10,5,,2020-11-11T03:26:21Z,18.46681,R+18,Trump +18,republican,18.46681,11070,11.1,11039,2.23,north-carolina,2020-11-12T17:30:11.258840Z
37035,Catawba,82751,67978,37,40,"As a precinct in the FIRST cumulative report, along with regular precincts",98,84725,98%,98% reported,edison,4,all,,67210,,,56203,25420,643,192,128,165,45296,21870,444,144,99,125,2020-11-11T03:26:22Z,37.19955,R+37,Trump +37,republican,37.19955,72351,37.5,69601,29.41,north-carolina,2020-11-12T17:30:11.258840Z
37037,Chatham,48308,43581,17,18,Released as a precinct as first report of the night,97,49811,97%,97% reported,edison,4,unknown,,39498,,,21055,26642,358,86,58,109,17713,25368,289,75,50,86,2020-11-11T03:26:23Z,11.56537,D+12,Biden +12,democrat,-11.56537,39849,-9.9,35434,-4.79,north-carolina,2020-11-12T17:30:11.258840Z
37039,Cherokee,16341,11402,15,16,Released as a precinct as first report of the night,98,16606,98%,98% reported,edison,2,unknown,,10581,,,12568,3563,93,49,39,29,8385,2927,45,29,16,0,2020-11-11T03:26:24Z,55.10679,R+55,Trump +55,republican,55.10679,14181,56.3,12867,45.85,north-carolina,2020-11-12T17:30:11.258840Z
37041,Chowan,7754,6634,5,6,Released as a precinct as first report of the night,88,8773,88%,88% reported,edison,4,unknown,,8195,,,4458,3232,46,7,4,7,3731,2861,32,7,3,0,2020-11-11T03:26:04Z,15.81119,R+16,Trump +16,republican,15.81119,7228,14.1,7505,4.46,north-carolina,2020-11-12T17:30:11.258840Z
37043,Clay,6853,5222,9,9,Released as a precinct as first report of the night,100,6828,>98%,>98% reported,edison,6,all,,5792,,,5089,1693,46,14,11,0,3700,1482,26,8,6,0,2020-11-12T16:45:08Z,49.55494,R+50,Trump +50,republican,49.55494,6010,51.1,5642,42.43,north-carolina,2020-11-12T17:30:11.258840Z
37045,Cleveland,51095,41583,19,21,Released as a precinct as first report of the night,100,51095,>98%,>98% reported,edison,6,unknown,,35936,,,33664,16879,327,81,73,71,26607,14581,231,59,52,53,2020-11-11T03:26:08Z,32.85057,R+33,Trump +33,republican,32.85057,44673,30.3,43340,20.15,north-carolina,2020-11-12T17:30:11.258840Z
37047,Columbus,26243,19093,23,26,Released as a precinct as first report of the night,100,26263,>98%,>98% reported,edison,2,unknown,,20755,,,16696,9382,85,23,33,24,11290,7716,48,15,24,0,2020-11-11T03:26:10Z,27.87029,R+28,Trump +28,republican,27.87029,23732,21.9,24243,7.8,north-carolina,2020-11-12T17:30:11.258840Z
37049,Craven,52830,44782,21,21,Released as a precinct as first report of the night,96,55192,96%,96% reported,edison,2,unknown,,49498,,,30945,21100,621,91,73,0,25479,18742,431,76,54,0,2020-11-12T17:00:35Z,18.63525,R+19,Trump +19,republican,18.63525,47001,21.5,46170,17.68,north-carolina,2020-11-12T17:30:11.258840Z
37051,Cumberland,146264,122284,69,75,Released as a separate subtotal as first report of the night,92,159383,92%,92% reported,edison,2,unknown,,132574,,,59824,84152,1629,418,241,0,46877,73743,1166,312,186,0,2020-11-12T17:03:06Z,16.63294,D+17,Biden +17,democrat,-16.63294,127506,-16,127641,-19.68,north-carolina,2020-11-12T17:30:11.258840Z
37053,Currituck,16006,10173,11,11,Released as a precinct as first report of the night,100,16006,>98%,>98% reported,edison,6,unknown,,6061,,,11566,4151,203,29,24,33,6898,3149,100,15,11,0,2020-11-11T03:26:26Z,46.32638,R+46,Trump +46,republican,46.32638,12669,49.3,11304,34.8,north-carolina,2020-11-12T17:30:11.258840Z
37055,Dare,24061,19011,16,16,Released as a separate subtotal as first report of the night,100,23994,>98%,>98% reported,edison,6,unknown,,12962,,,13844,9855,218,46,31,67,10186,8664,118,26,17,0,2020-11-11T03:26:27Z,16.5787,R+17,Trump +17,republican,16.5787,19609,21.6,17974,15.88,north-carolina,2020-11-12T17:30:11.258840Z
37057,Davidson,84785,66594,39,43,Released as a precinct as first report of the night,97,87658,97%,97% reported,edison,2,unknown,,62552,,,62143,21483,671,179,179,130,48257,17668,424,119,126,0,2020-11-11T03:26:28Z,47.9566,R+48,Trump +48,republican,47.9566,74856,48.4,70935,40.54,north-carolina,2020-11-12T17:30:11.258840Z
37059,Davie,25059,20164,13,14,Released as a precinct as first report of the night,98,25477,98%,98% reported,edison,4,unknown,,19566,,,18115,6653,208,51,32,,14123,5825,160,36,20,,2020-11-11T03:26:28Z,45.74005,R+46,Trump +46,republican,45.74005,21756,47.5,20670,43.31,north-carolina,2020-11-12T17:30:11.258840Z
37061,Duplin,22510,16814,16,19,Released as a precinct as first report of the night,99,22657,>98%,>98% reported,edison,4,all,,15685,,,13703,8676,83,32,16,,9537,7195,49,21,12,,2020-11-11T03:26:29Z,22.3323,R+22,Trump +22,republican,22.3323,20856,18.9,20592,11.57,north-carolina,2020-11-12T17:30:11.258840Z
37063,Durham,177227,162475,52,57,Released as a separate subtotal as first report of the night,100,176940,>98%,>98% reported,edison,6,none,,171389,,,31827,142770,1431,495,193,511,27119,133631,1157,413,155,0,2020-11-11T03:26:30Z,62.59938,D+63,Biden +63,democrat,-62.59938,156134,-59.5,146735,-52.79,north-carolina,2020-11-12T17:30:11.258840Z
37065,Edgecombe,25344,20327,17,21,Released as a precinct as first report of the night,97,26198,97%,97% reported,edison,2,unknown,,28931,,,9162,16027,95,33,27,,6589,13634,60,24,20,,2020-11-11T03:26:31Z,27.08728,D+27,Biden +27,democrat,-27.08728,24886,-32,26972,-36.2,north-carolina,2020-11-12T17:30:11.258840Z
37067,Forsyth,198469,168484,90,101,Released as a precinct as first report of the night,89,222890,89%,89% reported,edison,2,unknown,,181062,,,84176,111769,1737,491,296,,67110,99588,1203,362,221,,2020-11-11T03:26:32Z,13.90293,D+14,Biden +14,democrat,-13.90293,178312,-10.4,174069,-7.21,north-carolina,2020-11-12T17:30:11.258840Z
37069,Franklin,37079,30170,18,18,Released as a separate subtotal as first report of the night,98,38000,98%,98% reported,edison,4,unknown,,25408,,,20748,15776,328,75,70,82,15815,14009,238,49,59,0,2020-11-11T03:26:33Z,13.40921,R+13,Trump +13,republican,13.40921,30368,11.5,28389,4.11,north-carolina,2020-11-12T17:30:11.258840Z
37071,Gaston,113791,95763,43,46,Released as a precinct as first report of the night,100,114000,>98%,>98% reported,edison,4,some,,96085,,,72132,40231,864,210,134,220,59580,35346,583,155,99,0,2020-11-11T03:26:33Z,28.03473,R+28,Trump +28,republican,28.03473,96431,31.8,90483,25.38,north-carolina,2020-11-12T17:30:11.258840Z
37073,Gates,5944,4385,5,6,Released as a precinct as first report of the night,99,6000,>98%,>98% reported,edison,2,unknown,,3654,,,3354,2540,39,4,7,,2194,2165,19,3,4,,2020-11-11T03:26:34Z,13.69448,R+14,Trump +14,republican,13.69448,5392,9.1,5396,-4.11,north-carolina,2020-11-12T17:30:11.258840Z
37075,Graham,4659,3478,4,4,Released as a precinct as first report of the night,100,4606,>98%,>98% reported,edison,6,some,,3416,,,3710,905,26,5,13,0,2712,735,19,3,9,0,2020-11-12T17:04:12Z,60.20605,R+60,Trump +60,republican,60.20605,4168,60.3,3947,41.32,north-carolina,2020-11-12T17:30:11.258840Z
37077,Granville,31605,26705,14,15,Released as a separate subtotal as first report of the night,99,32031,>98%,>98% reported,edison,2,unknown,,28165,,,16651,14568,244,55,31,56,13630,12837,176,37,25,0,2020-11-11T17:16:45Z,6.59073,R+7,Trump +7,republican,6.59073,27353,2.5,26275,-4.54,north-carolina,2020-11-12T17:30:11.258840Z
37079,Greene,8715,6671,9,10,Released as a precinct as first report of the night,100,8715,>98%,>98% reported,edison,6,unknown,,7894,,,4858,3820,25,8,4,,3403,3241,17,6,4,,2020-11-11T03:26:35Z,11.9105,R+12,Trump +12,republican,11.9105,8095,9.5,8236,7.69,north-carolina,2020-11-12T17:30:11.258840Z
37081,Guilford,281201,237941,144,165,Released as a precinct as first report of the night,100,280121,>98%,>98% reported,edison,6,all,,278304,,,106384,171538,2178,687,414,,84933,150669,1535,506,298,,2020-11-11T03:26:36Z,23.1699,D+23,Biden +23,democrat,-23.1699,257405,-19.9,253852,-16.38,north-carolina,2020-11-12T17:30:11.258840Z
37083,Halifax,25485,20282,15,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25485,>98%,>98% reported,edison,6,unknown,,24816,,,9973,15382,61,30,22,17,7484,12726,37,20,15,0,2020-11-11T03:26:36Z,21.22425,D+21,Biden +21,democrat,-21.22425,25167,-26.7,26079,-32.26,north-carolina,2020-11-12T17:30:11.258840Z
37085,Harnett,57722,48836,13,13,Released as a precinct as first report of the night,100,58000,>98%,>98% reported,edison,2,unknown,,39147,,,34897,21836,686,123,80,100,29015,19156,510,90,65,0,2020-11-12T17:05:18Z,22.62742,R+23,Trump +23,republican,22.62742,46065,23.6,43415,18.97,north-carolina,2020-11-12T17:30:11.258840Z
37087,Haywood,36265,29155,27,29,Released as a separate subtotal as first report of the night,98,37000,98%,98% reported,edison,2,unknown,,25560,,,22698,13095,329,89,54,,17227,11593,224,62,49,,2020-11-11T03:26:37Z,26.48008,R+26,Trump +26,republican,26.48008,30727,27.5,27974,13.58,north-carolina,2020-11-12T17:30:11.258840Z
37089,Henderson,67773,56513,33,35,Released as a separate subtotal as first report of the night,99,68315,>98%,>98% reported,edison,2,unknown,,53818,,,39810,27014,652,169,128,,31538,24295,453,128,99,,2020-11-11T03:26:37Z,18.88068,R+19,Trump +19,republican,18.88068,58176,27.5,52392,27.39,north-carolina,2020-11-12T17:30:11.258840Z
37091,Hertford,10590,8536,11,13,Released as a precinct as first report of the night,100,10590,>98%,>98% reported,edison,6,some,,10362,,,3470,7077,28,8,7,,2486,6015,21,7,7,,2020-11-11T03:26:38Z,34.06043,D+34,Biden +34,democrat,-34.06043,10186,-37.4,10918,-44.29,north-carolina,2020-11-12T17:30:11.258840Z
37093,Hoke,22078,17667,15,15,Released as a precinct as first report of the night,100,21348,>98%,>98% reported,edison,2,unknown,,17363,,,9682,12036,274,53,33,,7212,10221,172,40,22,,2020-11-11T03:26:38Z,10.6622,D+11,Biden +11,democrat,-10.6622,18230,-10.8,17089,-19.06,north-carolina,2020-11-12T17:30:11.258840Z
37095,Hyde,2492,1235,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,2470,>98%,>98% reported,edison,6,all,,1194,,,1418,1046,17,6,1,4,547,680,3,1,1,3,2020-11-12T17:14:47Z,14.92777,R+15,Trump +15,republican,14.92777,2304,14,2383,1.26,north-carolina,2020-11-12T17:30:11.258840Z
37097,Iredell,101276,82806,28,29,Released as a precinct as first report of the night,99,102000,>98%,>98% reported,edison,4,unknown,,70424,,,66439,33426,865,173,145,228,52525,29239,605,157,101,179,2020-11-11T03:26:39Z,32.59706,R+33,Trump +33,republican,32.59706,82567,36.4,76365,30.41,north-carolina,2020-11-12T17:30:11.258840Z
37099,Jackson,21191,17481,12,13,Released as a precinct as first report of the night,100,21191,>98%,>98% reported,edison,6,all,,15877,,,11263,9522,247,101,58,,8627,8554,179,78,43,,2020-11-11T03:26:39Z,8.21575,R+8,Trump +8,republican,8.21575,18713,11.5,16701,0.95,north-carolina,2020-11-12T17:30:11.258840Z
37101,Johnston,110246,91684,36,36,Released as a precinct as first report of the night,99,111000,>98%,>98% reported,edison,4,unknown,,69318,,,67901,40861,1128,209,147,0,54373,36194,835,169,113,0,2020-11-11T03:26:39Z,24.52697,R+25,Trump +25,republican,24.52697,85909,30.3,76691,27.56,north-carolina,2020-11-12T17:30:11.258840Z
37103,Jones,5484,3807,6,7,Released as a separate subtotal as first report of the night,97,5672,97%,97% reported,edison,4,unknown,,3869,,,3267,2175,32,5,5,,2112,1668,19,4,4,,2020-11-11T03:26:39Z,19.91247,R+20,Trump +20,republican,19.91247,5135,17.7,5230,9.27,north-carolina,2020-11-12T17:30:11.258840Z
37105,Lee,28851,28851,0,10,Released as a precinct as first report of the night,98,29374,98%,98% reported,edison,4,unknown,,27472,,,16388,12076,231,62,47,47,16388,12076,231,62,47,47,2020-11-11T03:26:40Z,14.94576,R+15,Trump +15,republican,14.94576,25084,12.9,24239,9.72,north-carolina,2020-11-12T17:30:11.258840Z
37107,Lenoir,28177,23724,18,22,Released as a separate subtotal as first report of the night,100,28200,>98%,>98% reported,edison,2,unknown,,31206,,,14500,13494,124,29,30,,11753,11844,84,21,22,,2020-11-11T03:26:40Z,3.57029,R+4,Trump +4,republican,3.57029,26807,3.7,28086,0.11,north-carolina,2020-11-12T17:30:11.258840Z
37109,Lincoln,49850,41612,23,23,Released as a precinct as first report of the night,100,50000,>98%,>98% reported,edison,2,unknown,,32125,,,36167,13178,367,82,56,,29494,11758,255,59,46,,2020-11-11T03:26:40Z,46.11635,R+46,Trump +46,republican,46.11635,40023,47.2,36775,38.73,north-carolina,2020-11-12T17:30:11.258840Z
37113,Macon,20589,16610,14,15,Released as a separate subtotal as first report of the night,99,20767,>98%,>98% reported,edison,4,all,,16526,,,14152,6213,169,31,24,,10984,5472,116,19,19,,2020-11-11T03:26:41Z,38.55942,R+39,Trump +39,republican,38.55942,17734,40.9,16861,30.38,north-carolina,2020-11-12T17:30:11.258840Z
37115,Madison,13076,10394,12,12,Released as a separate subtotal as first report of the night,99,13233,>98%,>98% reported,edison,2,unknown,,9320,,,7980,4901,103,37,19,36,5935,4349,73,24,13,0,2020-11-12T17:26:04Z,23.54696,R+24,Trump +24,republican,23.54696,11269,25.4,10113,9.1,north-carolina,2020-11-12T17:30:11.258840Z
37117,Martin,12536,8883,11,13,Released as a precinct as first report of the night,100,12454,>98%,>98% reported,edison,6,all,,9738,,,6529,5910,59,13,16,9,3991,4838,37,9,8,0,2020-11-11T03:26:42Z,4.93778,R+5,Trump +5,republican,4.93778,11964,0.4,12652,-4.65,north-carolina,2020-11-12T17:30:11.258840Z
37111,McDowell,22910,17162,16,17,Released as a precinct as first report of the night,100,22891,>98%,>98% reported,edison,6,all,,16757,,,16852,5813,180,45,20,,12173,4837,112,27,13,,2020-11-11T03:26:41Z,48.1842,R+48,Trump +48,republican,48.1842,19875,49.8,18099,31.74,north-carolina,2020-11-12T17:30:11.258840Z
37119,Mecklenburg,566192,497034,187,195,Released as a precinct as first report of the night,96,591071,96%,96% reported,edison,4,unknown,,448198,,,178921,377501,5415,1607,759,1989,148581,342550,4060,1239,604,0,2020-11-11T17:33:10Z,35.07291,D+35,Biden +35,democrat,-35.07291,472857,-29.4,448900,-22.41,north-carolina,2020-11-12T17:30:11.258840Z
37121,Mitchell,9007,7362,9,9,Merged into voters' home precincts and released with cumulative results,95,9481,95%,95% reported,edison,4,some,,7526,,,7079,1859,47,11,11,0,5644,1675,27,6,10,0,2020-11-12T17:18:29Z,57.95492,R+58,Trump +58,republican,57.95492,8096,57.9,7765,51.1,north-carolina,2020-11-12T17:30:11.258840Z
37123,Montgomery,12779,9050,12,14,Released as a separate subtotal as first report of the night,100,12770,>98%,>98% reported,edison,6,unknown,,7418,,,8363,4305,78,13,11,9,5657,3327,48,9,9,0,2020-11-11T03:26:43Z,31.75522,R+32,Trump +32,republican,31.75522,11540,25.8,11231,15.12,north-carolina,2020-11-12T17:30:11.258840Z
37125,Moore,57771,48208,25,26,Released as a precinct as first report of the night,100,58000,>98%,>98% reported,edison,2,unknown,,44755,,,36459,20547,498,80,69,118,29436,18306,349,65,52,0,2020-11-11T03:26:41Z,27.54323,R+28,Trump +28,republican,27.54323,48692,29.1,46415,27.99,north-carolina,2020-11-12T17:30:11.258840Z
37127,Nash,52111,42798,21,24,Released as a precinct as first report of the night,100,52000,>98%,>98% reported,edison,4,all,,50237,,,25794,25831,279,74,56,77,20333,22188,188,54,35,0,2020-11-11T17:21:41Z,0.071,D+0.07,Biden +0.07,democrat,-0.071,47665,0.2,48492,-0.97,north-carolina,2020-11-12T17:30:11.258840Z
37129,New Hanover,129254,112460,40,43,None,92,139881,92%,92% reported,edison,2,unknown,,105584,,,62420,64876,1449,346,163,,52570,58449,1059,254,128,,2020-11-11T03:26:42Z,1.90013,D+1.9,Biden +1.9,democrat,-1.90013,111905,3.9,103628,4.55,north-carolina,2020-11-12T17:30:11.258840Z
37131,Northampton,10075,7664,13,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,9085,>98%,>98% reported,edison,6,unknown,,9862,,,3977,6048,29,9,7,5,2640,5002,13,4,5,0,2020-11-11T03:26:43Z,20.55583,D+21,Biden +21,democrat,-20.55583,9848,-26,10756,-34.85,north-carolina,2020-11-12T17:30:11.258840Z
37133,Onslow,70117,56507,24,24,Released as a precinct as first report of the night,100,70117,>98%,>98% reported,edison,6,none,,47952,,,45016,23474,1402,128,97,,35042,20394,903,93,75,,2020-11-11T03:26:43Z,30.72293,R+31,Trump +31,republican,30.72293,57135,34.3,51435,26.74,north-carolina,2020-11-12T17:30:11.258840Z
37135,Orange,84010,75581,33,41,Released as a precinct as first report of the night,82,102925,82%,82% reported,edison,2,unknown,,86510,,,19993,63097,629,209,82,,15472,59396,476,173,64,,2020-11-11T03:26:43Z,51.30818,D+51,Biden +51,democrat,-51.30818,82340,-50.2,76757,-42.16,north-carolina,2020-11-12T17:30:11.258840Z
37137,Pamlico,7572,5896,9,10,Released as a separate subtotal as first report of the night,94,8045,94%,94% reported,edison,2,unknown,,7046,,,4815,2699,43,10,5,,3532,2328,27,7,2,,2020-11-11T03:26:44Z,27.94506,R+28,Trump +28,republican,27.94506,6870,26.3,6762,20.76,north-carolina,2020-11-12T17:30:11.258840Z
37139,Pasquotank,19512,16095,8,9,Released as a precinct as first report of the night,92,21167,92%,92% reported,edison,4,some,,20120,,,9626,9653,155,43,35,,7339,8611,88,31,26,,2020-11-11T03:26:44Z,0.13838,D+0.14,Biden +0.14,democrat,-0.13838,17391,-2.5,18107,-14.63,north-carolina,2020-11-12T17:30:11.258840Z
37141,Pender,33971,29277,19,19,Released as a precinct as first report of the night,100,33920,>98%,>98% reported,edison,6,all,,27966,,,21833,11655,327,59,46,51,18633,10338,226,41,39,0,2020-11-11T03:26:44Z,29.96085,R+30,Trump +30,republican,29.96085,27885,29.7,24527,20.32,north-carolina,2020-11-12T17:30:11.258840Z
37143,Perquimans,7457,6218,6,7,Released as a precinct as first report of the night,95,7855,95%,95% reported,edison,2,unknown,,6298,,,4894,2485,44,18,16,,4003,2152,32,18,13,,2020-11-11T03:26:44Z,32.30522,R+32,Trump +32,republican,32.30522,6708,27.7,6652,15.98,north-carolina,2020-11-12T17:30:11.258840Z
37145,Person,21868,17737,11,11,Released as a separate subtotal as first report of the night,100,20837,>98%,>98% reported,edison,6,some,,21096,,,13184,8462,144,42,36,0,10190,7391,106,30,20,0,2020-11-12T17:19:33Z,21.5932,R+22,Trump +22,republican,21.5932,19615,17.1,19106,10.88,north-carolina,2020-11-12T17:30:11.258840Z
37147,Pitt,86217,72189,34,40,Released as a precinct as first report of the night,100,86071,>98%,>98% reported,edison,6,unknown,,82850,,,38515,46607,774,200,121,,30676,40745,526,148,94,,2020-11-11T03:26:01Z,9.38562,D+9,Biden +9,democrat,-9.38562,80527,-7.6,78856,-7.14,north-carolina,2020-11-12T17:30:11.258840Z
37149,Polk,12253,9679,6,7,Released as a separate subtotal as first report of the night,95,12840,95%,95% reported,edison,2,unknown,,11688,,,7643,4485,85,23,17,,5589,4010,54,14,12,,2020-11-11T03:26:03Z,25.77328,R+26,Trump +26,republican,25.77328,10934,27.7,10389,21.4,north-carolina,2020-11-12T17:30:11.258840Z
37151,Randolph,72788,57973,20,22,Released as a separate subtotal as first report of the night,96,75619,96%,96% reported,edison,2,unknown,,49222,,,56589,15506,498,121,74,,44537,12963,333,85,55,,2020-11-11T03:26:05Z,56.442,R+56,Trump +56,republican,56.442,64575,56.1,60715,50.05,north-carolina,2020-11-12T17:30:11.258840Z
37153,Richmond,20683,16396,14,16,Released as a precinct as first report of the night,100,20584,>98%,>98% reported,edison,6,all,,17301,,,11808,8718,98,35,24,,9178,7100,72,30,16,,2020-11-11T03:26:08Z,14.93981,R+15,Trump +15,republican,14.93981,19328,9.7,19417,-2.95,north-carolina,2020-11-12T17:30:11.258840Z
37155,Robeson,44384,31027,34,39,Released as a precinct as first report of the night,95,46534,95%,95% reported,edison,2,unknown,,29189,,,26012,18094,152,68,58,,16387,14469,94,46,31,,2020-11-11T03:26:09Z,17.83976,R+18,Trump +18,republican,17.83976,40858,4.3,42946,-17.41,north-carolina,2020-11-12T17:30:11.258840Z
37157,Rockingham,47241,37450,13,15,Released as a precinct as first report of the night,100,47153,>98%,>98% reported,edison,6,all,,38352,,,30997,15811,305,74,54,,23684,13489,203,36,38,,2020-11-11T03:26:12Z,32.14581,R+32,Trump +32,republican,32.14581,42278,29.8,42020,21.12,north-carolina,2020-11-12T17:30:11.258840Z
37159,Rowan,72756,57248,37,41,Released as a separate subtotal as first report of the night,97,75377,97%,97% reported,edison,2,unknown,,57107,,,49053,22889,562,153,99,,37589,19136,350,108,65,,2020-11-11T03:26:14Z,35.9613,R+36,Trump +36,republican,35.9613,64369,36.4,62312,25.88,north-carolina,2020-11-12T17:30:11.258840Z
