fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24021,Frederick,139768,52530,78,79,Released as a precinct as first report of the night,99,140758,>98%,>98% reported,edison,4,some,,22179,,,74622,62057,2192,659,238,20063,31486,681,208,92,2020-11-11T18:37:43Z,8.9899,D+9,Biden +9,democrat,-8.9899,125677,2.4,117115,3.12,maryland,2020-11-12T17:30:58.509446Z
24023,Garrett,15493,0,19,20,Released separately AFTER election night,99,15692,>98%,>98% reported,edison,2,none,,2480,,,3263,11934,212,64,20,0,0,0,0,0,2020-11-12T17:25:44Z,55.96721,R+56,Trump +56,republican,55.96721,14011,58.6,13157,50.31,maryland,2020-11-12T17:30:58.509446Z
24025,Harford,137829,68976,79,86,Released as a separate subtotal as first report of the night,92,149713,92%,92% reported,edison,4,some,,26224,,,57749,77238,2193,522,127,22216,45623,899,200,38,2020-11-11T03:26:28Z,14.13999,R+14,Trump +14,republican,14.13999,133672,23,125954,18.41,maryland,2020-11-12T17:30:58.509446Z
24027,Howard,173750,60430,114,119,Released separately AFTER election night,96,181656,96%,96% reported,edison,2,some,,48738,,,123629,46779,2361,750,231,35872,23430,810,248,70,2020-11-11T03:26:28Z,44.23022,D+44,Biden +44,democrat,-44.23022,162193,-34,153108,-21.97,maryland,2020-11-12T17:30:58.509446Z
24029,Kent,10015,0,10,11,None,89,11224,89%,89% reported,edison,2,none,,3816,,,4914,4900,107,63,31,0,0,0,0,0,2020-11-11T03:26:28Z,0.13979,D+0.14,Biden +0.14,democrat,-0.13979,10021,3,9904,0.28,maryland,2020-11-12T17:30:58.509446Z
24031,Montgomery,418018,0,209,269,Released as a precinct as first report of the night,78,536338,78%,78% reported,edison,2,unknown,,124702,,,328413,83000,3080,2359,1166,0,0,0,0,0,2020-11-12T01:33:44Z,58.70872,D+59,Biden +59,democrat,-58.70872,478873,-55.4,455992,-43.87,maryland,2020-11-12T17:30:58.509446Z
24033,Prince George's,397722,306363,261,288,None,100,312395,>98%,>98% reported,edison,6,some,,111886,,,356543,35017,1668,3163,1331,278000,24509,982,2015,857,2020-11-11T22:55:44Z,80.84189,D+81,Biden +81,democrat,-80.84189,390385,-79.7,387744,-80.52,maryland,2020-11-12T17:30:58.509446Z
24035,Queen Anne's,28990,0,12,12,Other,98,29706,98%,98% reported,edison,2,unknown,,6419,,,10209,18179,388,161,53,0,0,0,0,0,2020-11-11T03:26:29Z,27.49224,R+27,Trump +27,republican,27.49224,26523,34,24888,29.2,maryland,2020-11-12T17:30:58.509446Z
24039,Somerset,9075,0,19,23,None,79,11516,79%,79% reported,edison,2,unknown,,2648,,,3542,5407,74,35,17,0,0,0,0,0,2020-11-11T03:26:21Z,20.55096,R+21,Trump +21,republican,20.55096,9900,11.6,10399,-1.9,maryland,2020-11-12T17:30:58.509446Z
24037,St. Mary's,54097,0,36,37,"As a precinct in the FIRST cumulative report, along with regular precincts",97,55823,97%,97% reported,edison,2,none,,11354,,,22511,30245,1086,192,63,0,0,0,0,0,2020-11-11T03:26:20Z,14.29654,R+14,Trump +14,republican,14.29654,49842,22.3,47824,14.82,maryland,2020-11-12T17:30:58.509446Z
24041,Talbot,21305,0,11,12,Released as a separate subtotal as first report of the night,93,23019,93%,93% reported,edison,2,unknown,,9517,,,10408,10524,259,79,35,0,0,0,0,0,2020-11-11T03:26:21Z,0.54447,R+0.54,Trump +0.54,republican,0.54447,20553,10.1,20459,12.37,maryland,2020-11-12T17:30:58.509446Z
24043,Washington,65209,32573,48,54,Released as a precinct as first report of the night,88,73910,88%,88% reported,edison,4,some,,11758,,,24869,39148,802,297,93,15952,16156,271,140,54,2020-11-11T03:26:22Z,21.89728,R+22,Trump +22,republican,21.89728,65991,30.1,62755,17.58,maryland,2020-11-12T17:30:58.509446Z
24045,Wicomico,42947,0,49,54,Released as a precinct as first report of the night,90,47653,90%,90% reported,edison,2,unknown,,10264,,,20150,21881,496,277,143,0,0,0,0,0,2020-11-11T03:26:22Z,4.03055,R+4,Trump +4,republican,4.03055,42547,9.7,42259,5.04,maryland,2020-11-12T17:30:58.509446Z
24047,Worcester,26511,0,13,16,Released as a precinct as first report of the night,84,31666,84%,84% reported,edison,2,unknown,,4518,,,9795,16380,262,60,14,0,0,0,0,0,2020-11-11T03:26:19Z,24.83875,R+25,Trump +25,republican,24.83875,28273,26.4,27420,18.01,maryland,2020-11-12T17:30:58.509446Z
