fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34021,Mercer,158252,0,214,243,None,88,180008,88%,88% reported,edison,4,unknown,,21542,,,109514,45926,1255,675,497,108,85,83,109,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,40.18148,D+40,Biden +40,democrat,-40.18148,158058,-37.1,155355,-36.7,new-jersey,2020-11-12T17:33:03.615463Z
34023,Middlesex,298231,0,489,615,Other,80,375017,80%,80% reported,edison,4,some,,56703,,,184898,109625,1869,296,897,174,155,186,131,0,0,0,0,0,0,0,0,0,2020-11-11T16:48:03Z,25.23983,D+25,Biden +25,democrat,-25.23983,328557,-21.3,301860,-27.58,new-jersey,2020-11-12T17:33:03.615463Z
34025,Monmouth,359716,0,508,511,Merged into voters' home precincts and released with cumulative results,99,361534,>98%,>98% reported,edison,2,some,,47571,,,172458,182304,2534,246,1292,162,333,213,174,0,0,0,0,0,0,0,0,0,2020-11-11T14:18:28Z,2.73716,R+3,Trump +3,republican,2.73716,317750,9.3,284557,5.05,new-jersey,2020-11-12T17:33:03.615463Z
34027,Morris,233644,0,321,396,Merged into voters' home precincts and released with cumulative results,81,287978,81%,81% reported,edison,2,unknown,,33525,,,123255,106233,1733,1091,719,184,152,150,127,0,0,0,0,0,0,0,0,0,2020-11-12T13:55:43Z,7.28544,D+7,Biden +7,democrat,-7.28544,253537,4.3,227885,10.88,new-jersey,2020-11-12T17:33:03.615463Z
34029,Ocean,322036,269888,413,413,Released as a separate subtotal as first report of the night,100,315516,>98%,>98% reported,edison,4,unknown,,43803,,,113359,203613,2223,1119,967,45,462,133,115,99692,166501,1562,817,714,33,367,109,93,2020-11-11T03:25:58Z,28.02606,R+28,Trump +28,republican,28.02606,276725,33.2,251853,17.54,new-jersey,2020-11-12T17:33:03.615463Z
34031,Passaic,195726,111703,248,284,None,87,224022,87%,87% reported,edison,2,some,,17333,,,112287,80593,963,580,704,141,98,125,235,67604,42806,422,252,334,65,45,63,112,2020-11-11T16:42:08Z,16.19305,D+16,Biden +16,democrat,-16.19305,196228,-22.4,181988,-28.25,new-jersey,2020-11-12T17:33:03.615463Z
34033,Salem,31923,0,42,45,None,94,33926,94%,94% reported,edison,4,some,,3501,,,13486,17768,373,106,81,16,39,36,18,0,0,0,0,0,0,0,0,0,2020-11-11T16:54:17Z,13.41353,R+13,Trump +13,republican,13.41353,29853,15,29622,-1.3,new-jersey,2020-11-12T17:33:03.615463Z
34035,Somerset,169072,0,248,265,Released as a separate subtotal as first report of the night,94,180656,94%,94% reported,edison,2,some,,24227,,,101220,65234,1460,270,517,99,118,99,55,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:01Z,21.28442,D+21,Biden +21,democrat,-21.28442,157092,-12.8,143180,-5.58,new-jersey,2020-11-12T17:33:03.615463Z
34037,Sussex,84806,76645,118,119,Merged into voters' home precincts and released with cumulative results,99,85245,>98%,>98% reported,edison,4,some,,9122,,,33142,49609,1029,373,334,85,88,98,48,30875,44055,859,306,281,71,75,82,41,2020-11-11T17:51:42Z,19.41726,R+19,Trump +19,republican,19.41726,75158,29.9,68194,21.29,new-jersey,2020-11-12T17:33:03.615463Z
34039,Union,200561,122637,338,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,136519,61281,1009,809,554,42,51,87,209,88914,32365,480,398,292,21,19,45,103,2020-11-11T20:42:44Z,37.51377,D+38,Biden +38,democrat,-37.51377,223570,-35.5,210088,-34,new-jersey,2020-11-12T17:33:03.615463Z
34041,Warren,53340,53340,20,22,Merged into voters' home precincts and released with cumulative results,94,56621,94%,94% reported,edison,4,some,,7469,,,22315,29867,546,227,211,34,82,36,22,22315,29867,546,227,211,34,82,36,22,2020-11-11T03:26:03Z,14.15823,R+14,Trump +14,republican,14.15823,49683,25.3,45415,15.41,new-jersey,2020-11-12T17:33:03.615463Z
