fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48111,Dallam,1593,1020,8,10,Released as a precinct as first report of the night,87,1823,87%,87% reported,edison,2,unknown,,954,,,1368,199,21,5,,878,127,12,3,,2020-11-11T03:27:07Z,73.38355,R+73,Cornyn +73,republican,texas,2020-11-12T00:38:28.291665Z
48113,Dallas,916556,798361,1086,1170,Released as a precinct as first report of the night,93,986665,93%,93% reported,edison,4,some,,739551,,,330851,560603,15905,8282,915,284784,495068,12133,6376,0,2020-11-11T03:27:08Z,25.06688,D+25,Hegar +25,democrat,texas,2020-11-12T00:38:28.291665Z
48115,Dawson,3641,2822,8,10,Released as a precinct as first report of the night,85,4301,85%,85% reported,edison,2,unknown,,3346,,,2827,738,60,14,2,2260,518,36,8,0,2020-11-11T03:27:05Z,57.37435,R+57,Cornyn +57,republican,texas,2020-11-12T00:38:28.291665Z
48123,De Witt,7887,6079,9,10,Released as a precinct as first report of the night,98,8082,98%,98% reported,edison,2,unknown,,5965,,,6399,1384,84,20,0,4888,1104,70,17,0,2020-11-11T03:27:06Z,63.58565,R+64,Cornyn +64,republican,texas,2020-11-12T00:38:28.291665Z
48117,Deaf Smith,4531,3583,4,5,Released as a precinct as first report of the night,81,5602,81%,81% reported,edison,2,unknown,,739,,,3272,1150,73,36,,2678,837,48,20,,2020-11-11T03:27:06Z,46.83293,R+47,Cornyn +47,republican,texas,2020-11-12T00:38:28.291665Z
48119,Delta,2530,1790,7,8,Released as a precinct as first report of the night,94,2693,94%,94% reported,edison,2,unknown,,1505,,,2107,370,31,22,,1452,303,19,16,,2020-11-11T03:27:06Z,68.65613,R+69,Cornyn +69,republican,texas,2020-11-12T00:38:28.291665Z
48121,Denton,411902,379110,186,186,Released as a precinct as first report of the night,99,416610,>98%,>98% reported,edison,6,all,,280830,,,230355,170391,8514,2620,22,211186,158628,7090,2191,15,2020-11-11T03:27:06Z,14.55783,R+15,Cornyn +15,republican,texas,2020-11-12T00:38:28.291665Z
48125,Dickens,955,657,6,7,Released as a precinct as first report of the night,72,1325,72%,72% reported,edison,2,unknown,,846,,,805,133,13,4,0,559,92,4,2,0,2020-11-11T03:27:03Z,70.36649,R+70,Cornyn +70,republican,texas,2020-11-12T00:38:28.291665Z
48127,Dimmit,3468,2376,7,8,Released as a precinct as first report of the night,83,4193,83%,83% reported,edison,2,unknown,,2084,,,1274,2122,39,30,3,825,1511,25,14,1,2020-11-11T03:27:03Z,24.45213,D+24,Hegar +24,democrat,texas,2020-11-12T00:38:28.291665Z
48129,Donley,1625,1144,6,7,Released as a precinct as first report of the night,90,1811,90%,90% reported,edison,2,unknown,,1330,,,1418,181,22,4,,1006,124,13,1,,2020-11-11T03:27:04Z,76.12308,R+76,Cornyn +76,republican,texas,2020-11-12T00:38:28.291665Z
48131,Duval,4415,3462,8,10,Released as a precinct as first report of the night,78,5647,78%,78% reported,edison,2,unknown,,4122,,,1785,2456,97,77,0,1312,2024,60,66,0,2020-11-11T03:27:04Z,15.19819,D+15,Hegar +15,democrat,texas,2020-11-12T00:38:28.291665Z
48133,Eastland,8067,6369,9,10,Released as a precinct as first report of the night,98,8223,98%,98% reported,edison,2,unknown,,5907,,,6994,909,131,31,2,5523,731,95,18,2,2020-11-11T03:27:04Z,75.43077,R+75,Cornyn +75,republican,texas,2020-11-12T00:38:28.291665Z
48135,Ector,43411,34675,37,41,Released as a precinct as first report of the night,100,43138,>98%,>98% reported,edison,2,unknown,,35298,,,31603,10631,902,275,0,25345,8568,591,171,0,2020-11-11T03:27:05Z,48.31034,R+48,Cornyn +48,republican,texas,2020-11-12T00:38:28.291665Z
48137,Edwards,985,733,4,5,Released as a precinct as first report of the night,78,1267,78%,78% reported,edison,2,unknown,,827,,,824,143,14,3,1,610,112,9,2,0,2020-11-11T03:27:01Z,69.13706,R+69,Cornyn +69,republican,texas,2020-11-12T00:38:28.291665Z
48141,El Paso,246915,205772,185,209,Released as a precinct as first report of the night,89,278210,89%,89% reported,edison,2,some,,157724,,,76859,156169,8006,5881,,62562,133211,5847,4152,,2020-11-11T03:27:02Z,32.12037,D+32,Hegar +32,democrat,texas,2020-11-12T00:38:28.291665Z
48139,Ellis,85007,74778,50,50,Released as a precinct as first report of the night,99,85566,>98%,>98% reported,edison,6,all,,56843,,,57007,25734,1587,583,96,50069,22917,1261,453,78,2020-11-11T03:27:01Z,36.78874,R+37,Cornyn +37,republican,texas,2020-11-12T00:38:28.291665Z
48143,Erath,16690,13507,20,22,Released as a precinct as first report of the night,97,17152,97%,97% reported,edison,2,unknown,,13085,,,13547,2706,335,102,,10975,2225,237,70,,2020-11-11T03:27:02Z,64.95506,R+65,Cornyn +65,republican,texas,2020-11-12T00:38:28.291665Z
48145,Falls,6039,3651,12,13,Released as a precinct as first report of the night,94,6415,94%,94% reported,edison,2,unknown,,3515,,,4157,1787,76,19,,2361,1241,43,6,,2020-11-11T03:27:02Z,39.24491,R+39,Cornyn +39,republican,texas,2020-11-12T00:38:28.291665Z
48147,Fannin,14711,10871,16,17,Released as a precinct as first report of the night,100,14223,>98%,>98% reported,edison,2,unknown,,8408,,,11816,2542,272,80,1,8635,2026,160,49,1,2020-11-11T03:27:03Z,63.04126,R+63,Cornyn +63,republican,texas,2020-11-12T00:38:28.291665Z
48149,Fayette,12844,9244,24,27,Released as a precinct as first report of the night,97,13195,97%,97% reported,edison,2,unknown,,7646,,,10047,2623,129,45,0,7148,1990,77,29,0,2020-11-11T03:26:58Z,57.80131,R+58,Cornyn +58,republican,texas,2020-11-12T00:38:28.291665Z
48151,Fisher,1804,1289,4,5,Released as a precinct as first report of the night,88,2042,88%,88% reported,edison,2,unknown,,1044,,,1418,351,28,7,,1015,256,16,2,,2020-11-11T03:26:58Z,59.14634,R+59,Cornyn +59,republican,texas,2020-11-12T00:38:28.291665Z
48153,Floyd,1986,1631,5,7,Released as a precinct as first report of the night,81,2463,81%,81% reported,edison,2,unknown,,2191,,,1552,395,29,10,,1302,308,16,5,,2020-11-11T19:33:41Z,58.2578,R+58,Cornyn +58,republican,texas,2020-11-12T00:38:28.291665Z
48155,Foard,519,389,4,5,Released as a precinct as first report of the night,78,667,78%,78% reported,edison,2,unknown,,398,,,404,107,7,1,,304,79,5,1,,2020-11-11T03:26:59Z,57.22543,R+57,Cornyn +57,republican,texas,2020-11-12T00:38:28.291665Z
48157,Fort Bend,347176,318995,160,160,Released as a precinct as first report of the night,100,340686,>98%,>98% reported,edison,2,unknown,,267057,,,160841,178664,5350,2109,212,147461,165270,4490,1774,0,2020-11-11T03:27:00Z,5.13371,D+5,Hegar +5,democrat,texas,2020-11-12T00:38:28.291665Z
48159,Franklin,4934,3890,8,9,Released as a precinct as first report of the night,91,5407,91%,91% reported,edison,2,unknown,,3878,,,4106,752,63,12,1,3211,628,44,7,0,2020-11-11T03:27:00Z,67.9773,R+68,Cornyn +68,republican,texas,2020-11-12T00:38:28.291665Z
48161,Freestone,8529,6432,14,16,Released as a precinct as first report of the night,94,9074,94%,94% reported,edison,2,unknown,,7301,,,6812,1549,114,50,4,5096,1233,70,32,1,2020-11-11T03:26:54Z,61.70712,R+62,Cornyn +62,republican,texas,2020-11-12T00:38:28.291665Z
48163,Frio,4907,3478,9,10,Released as a precinct as first report of the night,86,5720,86%,86% reported,edison,2,some,,2129,,,2479,2279,71,78,0,1667,1722,45,44,0,2020-11-11T03:26:56Z,4.07581,R+4,Cornyn +4,republican,texas,2020-11-12T00:38:28.291665Z
48165,Gaines,5726,5017,9,9,Released as a precinct as first report of the night,100,5456,>98%,>98% reported,edison,2,unknown,,3944,,,5087,545,76,18,,4502,446,55,14,,2020-11-11T03:26:56Z,79.32239,R+79,Cornyn +79,republican,texas,2020-11-12T00:38:28.291665Z
48167,Galveston,152187,138502,89,93,Released as a precinct as first report of the night,100,151732,>98%,>98% reported,edison,2,unknown,,137290,,,93700,54545,2980,962,,85353,49947,2423,779,,2020-11-11T03:26:57Z,25.72822,R+26,Cornyn +26,republican,texas,2020-11-12T00:38:28.291665Z
48169,Garza,1615,1215,6,7,Released as a precinct as first report of the night,88,1842,88%,88% reported,edison,2,unknown,,1568,,,1372,225,11,7,,1043,164,4,4,,2020-11-11T03:26:57Z,71.02167,R+71,Cornyn +71,republican,texas,2020-11-12T00:38:28.291665Z
48171,Gillespie,15747,12619,13,14,Released as a precinct as first report of the night,94,16761,94%,94% reported,edison,2,unknown,,13119,,,12522,2985,200,39,1,9810,2645,138,25,1,2020-11-11T03:26:58Z,60.56392,R+61,Cornyn +61,republican,texas,2020-11-12T00:38:28.291665Z
48173,Glasscock,646,485,4,5,Released as a precinct as first report of the night,82,785,82%,82% reported,edison,2,unknown,,495,,,603,35,5,3,,453,27,4,1,,2020-11-11T03:26:58Z,87.9257,R+88,Cornyn +88,republican,texas,2020-11-12T00:38:28.291665Z
48175,Goliad,3899,2848,8,10,Released as a precinct as first report of the night,89,4378,89%,89% reported,edison,2,unknown,,3358,,,2995,835,43,14,12,2164,646,25,5,8,2020-11-11T03:26:59Z,55.39882,R+55,Cornyn +55,republican,texas,2020-11-12T00:38:28.291665Z
48177,Gonzales,7421,5938,14,16,Released as a precinct as first report of the night,99,7480,>98%,>98% reported,edison,2,unknown,,5788,,,5556,1734,89,41,1,4454,1401,55,27,1,2020-11-11T03:27:00Z,51.50249,R+52,Cornyn +52,republican,texas,2020-11-12T00:38:28.291665Z
48179,Gray,7651,5688,6,8,Released as a precinct as first report of the night,87,8745,87%,87% reported,edison,2,unknown,,7277,,,6678,765,166,42,,4974,579,103,32,,2020-11-11T03:27:00Z,77.28402,R+77,Cornyn +77,republican,texas,2020-11-12T00:38:28.291665Z
48181,Grayson,58302,49919,35,37,Released as a precinct as first report of the night,100,55994,>98%,>98% reported,edison,2,unknown,,43337,,,43350,13668,996,288,,37103,11859,749,208,,2020-11-11T03:27:00Z,50.91077,R+51,Cornyn +51,republican,texas,2020-11-12T00:38:28.291665Z
48183,Gregg,47205,42272,19,22,Released as a precinct as first report of the night,96,49302,96%,96% reported,edison,4,all,,51605,,,32326,13890,784,204,1,29078,12412,615,166,1,2020-11-11T03:27:01Z,39.05518,R+39,Cornyn +39,republican,texas,2020-11-12T00:38:28.291665Z
48185,Grimes,12259,9412,15,15,Released as a precinct as first report of the night,100,11258,>98%,>98% reported,edison,2,unknown,,7009,,,9325,2675,199,60,0,7101,2145,125,41,0,2020-11-11T03:27:01Z,54.24586,R+54,Cornyn +54,republican,texas,2020-11-12T00:38:28.291665Z
48187,Guadalupe,76753,67556,72,72,Released as a precinct as first report of the night,100,71385,>98%,>98% reported,edison,2,some,,55597,,,48176,26615,1531,428,3,42067,23963,1190,334,2,2020-11-11T03:27:02Z,28.09141,R+28,Cornyn +28,republican,texas,2020-11-12T00:38:28.291665Z
48189,Hale,9352,7351,25,31,Released as a precinct as first report of the night,89,10460,89%,89% reported,edison,2,unknown,,8534,,,6983,2149,154,66,,5619,1592,104,36,,2020-11-11T03:27:02Z,51.68948,R+52,Cornyn +52,republican,texas,2020-11-12T00:38:28.291665Z
48191,Hall,1137,793,4,5,Released as a precinct as first report of the night,87,1308,87%,87% reported,edison,2,unknown,,871,,,964,156,7,10,,670,113,5,5,,2020-11-11T03:27:02Z,71.0642,R+71,Cornyn +71,republican,texas,2020-11-12T00:38:28.291665Z
48193,Hamilton,4274,3246,11,12,Released as a precinct as first report of the night,100,4275,>98%,>98% reported,edison,2,unknown,,3191,,,3572,593,63,45,1,2684,474,45,42,1,2020-11-11T03:27:03Z,69.70051,R+70,Cornyn +70,republican,texas,2020-11-12T00:38:28.291665Z
