fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12115,Sarasota,271063,226588,99,99,Released as a precinct as first report of the night,96,281747,96%,96% reported,edison,4,all,,207136,,,148323,120050,1505,624,284,105,102,70,115275,109399,1006,495,198,77,81,57,2020-11-14T16:41:45Z,10.43042,R+10,Trump +10,republican,10.43042,231353,11.5,207480,7.42,florida,2020-11-16T00:42:13.216499Z
12117,Seminole,260765,216731,80,80,Released as a separate subtotal as first report of the night,94,276622,94%,94% reported,edison,4,unknown,,191909,,,125241,132528,2215,,406,137,135,103,98372,116265,1535,,291,99,96,73,2020-11-15T16:16:44Z,2.79447,D+3,Biden +3,democrat,-2.79447,227526,1.6,208620,6.47,florida,2020-11-16T00:42:13.216499Z
12109,St. Johns,176942,150106,48,48,Released as a separate subtotal as first report of the night,99,178000,>98%,>98% reported,edison,4,all,,121728,,,110886,63808,1412,427,210,54,101,44,90750,57747,1004,306,144,39,82,34,2020-11-14T16:41:45Z,26.60646,R+27,Trump +27,republican,26.60646,137846,33.1,114795,37.74,florida,2020-11-16T00:42:13.216499Z
12111,St. Lucie,172159,140354,64,64,Released as a separate subtotal as first report of the night,100,170879,>98%,>98% reported,edison,4,all,,119037,,,86831,84137,768,,209,82,71,61,66257,73285,516,,137,60,53,46,2020-11-15T16:16:43Z,1.56483,R+1.6,Trump +1.6,republican,1.56483,141993,2.4,123027,-7.86,florida,2020-11-16T00:42:13.216499Z
12119,Sumter,92609,0,26,26,Merged into voters' home precincts and released with cumulative results,98,94298,98%,98% reported,edison,2,some,,71187,,,62757,29331,268,140,39,20,25,29,0,0,0,0,0,0,0,0,2020-11-14T16:41:46Z,36.09368,R+36,Trump +36,republican,36.09368,77238,39,60479,34.92,florida,2020-11-16T00:42:13.216499Z
12121,Suwannee,21057,14710,16,16,Released as a precinct as first report of the night,100,20452,>98%,>98% reported,edison,2,some,,14190,,,16410,4485,119,,23,8,6,6,10983,3637,60,,16,5,5,4,2020-11-14T16:41:46Z,56.632,R+57,Trump +57,republican,56.632,18787,54.9,17629,44.93,florida,2020-11-16T00:42:13.216499Z
12123,Taylor,10125,7339,14,14,Released as a separate subtotal as first report of the night,100,10101,>98%,>98% reported,edison,6,all,,7466,,,7751,2299,52,,11,6,3,3,5514,1781,29,,6,6,2,1,2020-11-15T16:16:43Z,53.84691,R+54,Trump +54,republican,53.84691,9348,51.1,9120,38.21,florida,2020-11-16T00:42:13.216499Z
12125,Union,6251,0,8,8,Released as a precinct as first report of the night,100,6247,>98%,>98% reported,edison,6,all,,4488,,,5133,1053,42,6,5,3,4,5,0,0,0,0,0,0,0,0,2020-11-14T16:41:46Z,65.26956,R+65,Trump +65,republican,65.26956,5722,62.1,5393,48.97,florida,2020-11-16T00:42:13.216499Z
12127,Volusia,307891,241703,125,125,Released as a precinct as first report of the night,97,316493,97%,97% reported,edison,4,some,,201504,,,173797,130451,2153,626,390,173,160,141,127235,111838,1455,511,289,135,122,118,2020-11-14T16:41:46Z,14.07836,R+14,Trump +14,republican,14.07836,263278,12.9,234536,1.17,florida,2020-11-16T00:42:13.216499Z
12129,Wakulla,18438,12961,12,12,Released as a separate subtotal as first report of the night,99,18700,>98%,>98% reported,edison,4,all,,14003,,,12873,5348,134,39,18,6,10,10,8728,4052,104,39,16,5,9,8,2020-11-14T16:41:46Z,40.81245,R+41,Trump +41,republican,40.81245,15444,39.9,14660,28.07,florida,2020-11-16T00:42:13.216499Z
12131,Walton,43786,32367,21,21,Merged into voters' home precincts and released with cumulative results,100,40810,>98%,>98% reported,edison,4,some,,24936,,,32942,10336,336,85,43,15,16,13,23407,8755,205,0,0,0,0,0,2020-11-14T16:41:46Z,51.62837,R+52,Trump +52,republican,51.62837,33898,55.7,28494,52.01,florida,2020-11-16T00:42:13.216499Z
12133,Washington,12327,11719,12,12,Merged into voters' home precincts and released with cumulative results,100,12325,>98%,>98% reported,edison,6,all,,9528,,,9876,2347,69,,15,10,5,5,9371,2245,68,,15,10,5,5,2020-11-14T16:41:47Z,61.07731,R+61,Trump +61,republican,61.07731,11211,56.8,10999,47.44,florida,2020-11-16T00:42:13.216499Z
