fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_simmonsj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_simmonsj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
40055,Greer,1973,505,8,8,Released as a separate subtotal as first report of the night,100,1973,>98%,>98% reported,edison,10,unknown,,514,,,1605,328,24,10,4,2,376,121,5,2,1,0,2020-11-24T13:23:29Z,64.72377,R+65,Trump +65,republican,64.72377,1896,61.1,1832,46.72,oklahoma,2020-11-29T00:49:41.097Z
40057,Harmon,933,282,7,7,Released as a separate subtotal as first report of the night,100,933,>98%,>98% reported,edison,10,unknown,,288,,,747,177,6,1,2,0,217,62,3,0,0,0,2020-11-24T13:23:31Z,61.09325,R+61,Trump +61,republican,61.09325,977,50.2,923,42.8,oklahoma,2020-11-29T00:49:41.097Z
40059,Harper,1487,305,6,6,Released as a separate subtotal as first report of the night,100,1487,>98%,>98% reported,edison,10,unknown,,291,,,1327,136,18,4,0,2,253,45,4,2,0,1,2020-11-24T13:23:32Z,80.09415,R+80,Trump +80,republican,80.09415,1499,79,1434,75.87,oklahoma,2020-11-29T00:49:41.097Z
40061,Haskell,5014,1376,11,11,Released as a separate subtotal as first report of the night,100,5014,>98%,>98% reported,edison,10,unknown,,1104,,,4165,783,37,11,12,6,1063,301,9,1,1,1,2020-11-24T13:23:33Z,67.45114,R+67,Trump +67,republican,67.45114,4738,59.5,4244,44.63,oklahoma,2020-11-29T00:49:41.097Z
40063,Hughes,4857,951,16,16,Released as a separate subtotal as first report of the night,100,4857,>98%,>98% reported,edison,10,unknown,,832,,,3875,919,41,11,6,5,681,257,8,3,0,2,2020-11-24T13:23:34Z,60.86061,R+61,Trump +61,republican,60.86061,4526,53.6,4208,34.89,oklahoma,2020-11-29T00:49:41.097Z
40065,Jackson,8221,2169,15,15,Released as a separate subtotal as first report of the night,100,8221,>98%,>98% reported,edison,10,unknown,,2832,,,6392,1646,137,21,14,11,1498,635,25,4,4,3,2020-11-24T13:23:36Z,57.7302,R+58,Trump +58,republican,57.7302,7806,57.6,7919,50.65,oklahoma,2020-11-29T00:49:41.097Z
40067,Jefferson,2385,529,10,10,Released as a separate subtotal as first report of the night,100,2385,>98%,>98% reported,edison,10,unknown,,656,,,2026,319,26,6,5,3,445,81,2,0,1,0,2020-11-24T13:23:37Z,71.57233,R+72,Trump +72,republican,71.57233,2350,65.7,2239,45.96,oklahoma,2020-11-29T00:49:41.097Z
40069,Johnston,4251,1002,14,14,Released as a separate subtotal as first report of the night,100,4251,>98%,>98% reported,edison,10,unknown,,1016,,,3441,738,37,18,10,7,736,249,10,2,4,1,2020-11-24T13:23:39Z,63.58504,R+64,Trump +64,republican,63.58504,4018,57.4,3786,39.94,oklahoma,2020-11-29T00:49:41.097Z
40071,Kay,17249,3758,28,28,Released as a separate subtotal as first report of the night,100,17249,>98%,>98% reported,edison,10,unknown,,2845,,,12834,4040,265,55,32,23,2351,1357,37,6,5,2,2020-11-24T13:23:40Z,50.98267,R+51,Trump +51,republican,50.98267,16803,50.2,16126,42.61,oklahoma,2020-11-29T00:49:41.097Z
40073,Kingfisher,6465,1644,14,14,Released as a separate subtotal as first report of the night,100,6465,>98%,>98% reported,edison,10,unknown,,1557,,,5521,854,64,13,9,4,1308,312,18,4,2,0,2020-11-24T13:23:40Z,72.18871,R+72,Trump +72,republican,72.18871,6131,71.3,5768,68.86,oklahoma,2020-11-29T00:49:41.097Z
40075,Kiowa,3427,847,14,14,Released as a separate subtotal as first report of the night,100,3427,>98%,>98% reported,edison,10,unknown,,818,,,2673,699,33,11,5,6,597,247,2,1,0,0,2020-11-24T13:23:41Z,57.6014,R+58,Trump +58,republican,57.6014,3493,52.4,3422,35.36,oklahoma,2020-11-29T00:49:41.097Z
40077,Latimer,4249,940,12,12,Released as a separate subtotal as first report of the night,100,4249,>98%,>98% reported,edison,10,unknown,,992,,,3437,762,35,8,3,4,636,295,5,2,1,1,2020-11-24T13:23:42Z,62.95599,R+63,Trump +63,republican,62.95599,4056,56.8,3798,38.39,oklahoma,2020-11-29T00:49:41.097Z
40079,LeFlore,18805,3977,37,37,Released as a separate subtotal as first report of the night,100,18805,>98%,>98% reported,edison,10,unknown,,3581,,,15213,3299,214,36,23,20,2824,1097,45,8,2,1,2020-11-24T13:23:43Z,63.35549,R+63,Trump +63,republican,63.35549,17221,58.7,15839,41.13,oklahoma,2020-11-29T00:49:41.097Z
40081,Lincoln,14888,3019,21,21,Released as a separate subtotal as first report of the night,100,14888,>98%,>98% reported,edison,10,unknown,,2651,,,12013,2609,187,35,24,20,2063,902,37,7,8,2,2020-11-24T13:23:44Z,63.16497,R+63,Trump +63,republican,63.16497,14025,60.1,12826,48.96,oklahoma,2020-11-29T00:49:41.097Z
40083,Logan,21574,6713,22,22,Released as a separate subtotal as first report of the night,100,21574,>98%,>98% reported,edison,10,unknown,,5138,,,15608,5455,373,70,42,26,4004,2584,95,13,10,7,2020-11-24T13:23:45Z,47.06128,R+47,Trump +47,republican,47.06128,18979,49.4,17038,44.55,oklahoma,2020-11-29T00:49:41.097Z
40085,Love,4076,1081,12,12,Released as a separate subtotal as first report of the night,100,4076,>98%,>98% reported,edison,10,unknown,,830,,,3305,711,36,10,9,5,818,253,6,2,2,0,2020-11-24T13:23:46Z,63.64082,R+64,Trump +64,republican,63.64082,3789,57.7,3470,40.4,oklahoma,2020-11-29T00:49:41.097Z
40093,Major,3467,942,8,8,Released as a separate subtotal as first report of the night,100,3467,>98%,>98% reported,edison,10,unknown,,987,,,3084,320,39,8,7,9,776,153,8,1,1,3,2020-11-24T13:23:48Z,79.7231,R+80,Trump +80,republican,79.7231,3407,77.4,3146,71.65,oklahoma,2020-11-29T00:49:41.097Z
40095,Marshall,6064,1565,11,11,Released as a separate subtotal as first report of the night,100,6064,>98%,>98% reported,edison,10,unknown,,1757,,,4891,1100,50,11,5,7,1167,386,8,1,2,1,2020-11-24T13:23:49Z,62.51649,R+63,Trump +63,republican,62.51649,5492,56.6,5140,45.68,oklahoma,2020-11-29T00:49:41.097Z
40097,Mayes,16626,3006,27,27,Released as a separate subtotal as first report of the night,100,16626,>98%,>98% reported,edison,10,unknown,,3038,,,12749,3581,197,39,20,40,1850,1115,25,7,1,8,2020-11-24T13:23:50Z,55.14255,R+55,Trump +55,republican,55.14255,15717,51.7,14460,33.29,oklahoma,2020-11-29T00:49:41.097Z
40087,McClain,19236,4079,26,26,Released as a separate subtotal as first report of the night,100,19236,>98%,>98% reported,edison,10,unknown,,3157,,,15295,3582,236,59,43,21,2654,1362,47,5,9,2,2020-11-24T13:23:47Z,60.89104,R+61,Trump +61,republican,60.89104,16858,61,14306,55.35,oklahoma,2020-11-29T00:49:41.097Z
40089,McCurtain,11467,2119,30,30,Released as a separate subtotal as first report of the night,100,11467,>98%,>98% reported,edison,10,unknown,,1856,,,9485,1858,64,33,12,15,1516,583,16,1,2,1,2020-11-24T13:23:47Z,66.5126,R+67,Trump +67,republican,66.5126,10726,63.9,10075,51.56,oklahoma,2020-11-29T00:49:41.097Z
40091,McIntosh,8335,1918,14,14,Released as a separate subtotal as first report of the night,100,8335,>98%,>98% reported,edison,10,unknown,,1342,,,6172,2031,78,17,21,16,1234,664,10,3,5,2,2020-11-24T13:23:48Z,49.68206,R+50,Trump +50,republican,49.68206,7963,42.5,7288,23.74,oklahoma,2020-11-29T00:49:41.097Z
40099,Murray,5894,2268,10,10,Released as a separate subtotal as first report of the night,100,5894,>98%,>98% reported,edison,10,unknown,,1429,,,4612,1156,75,18,13,20,1664,565,24,1,6,8,2020-11-24T13:23:50Z,58.6359,R+59,Trump +59,republican,58.6359,5528,55.9,5146,40.15,oklahoma,2020-11-29T00:49:41.097Z
