fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06031,Kings,43728,32998,96,96,Released as a separate subtotal as first report of the night,100,38663,>98%,>98% reported,edison,4,unknown,,38870,,,18627,24020,598,125,178,180,,14079,18218,390,77,120,114,,2020-11-26T05:40:47Z,12.33306,R+12,Trump +12,republican,12.33306,34310,13,31418,14.93,california,2020-11-29T00:49:10.840217Z
06033,Lake,11038,0,28,70,Released as a separate subtotal as first report of the night,40,27936,40%,40% reported,edison,2,unknown,,23517,,,6874,3955,94,71,18,26,,0,0,0,0,0,0,,2020-11-24T13:22:22Z,26.44501,D+26,Biden +26,democrat,-26.44501,24684,-3.6,23391,-16.94,california,2020-11-29T00:49:10.840217Z
06035,Lassen,11800,0,56,57,Released as a separate subtotal as first report of the night,97,12138,97%,97% reported,edison,2,unknown,,12965,,,2775,8814,139,31,16,25,,0,0,0,0,0,0,,2020-11-24T13:22:23Z,51.17797,R+51,Trump +51,republican,51.17797,10699,50,10683,39.72,california,2020-11-29T00:49:10.840217Z
06037,Los Angeles,4259108,2857809,3383,3383,Released as a separate subtotal as first report of the night,100,3915111,>98%,>98% reported,edison,4,all,,1561325,,,3025877,1144307,35416,21632,15905,15971,,2090279,720484,19435,12001,8012,7598,,2020-11-27T23:00:56Z,44.17756,D+44,Biden +44,democrat,-44.17756,3434308,-49.3,3181067,-41.86,california,2020-11-29T00:49:10.840217Z
06039,Madera,53722,35718,72,72,Released as a separate subtotal as first report of the night,100,49148,>98%,>98% reported,edison,4,all,,39467,,,23168,29378,621,217,165,173,,16495,18520,372,131,86,114,,2020-11-28T03:46:13Z,11.55951,R+12,Trump +12,republican,11.55951,43507,14.5,39866,17.14,california,2020-11-29T00:49:10.840217Z
06041,Marin,155771,0,110,112,Other,98,158771,98%,98% reported,edison,2,unknown,,140974,,,128262,24610,1535,724,261,379,,0,0,0,0,0,0,,2020-11-24T13:22:32Z,66.54127,D+67,Biden +67,democrat,-66.54127,140683,-61.8,134516,-51.31,california,2020-11-29T00:49:10.840217Z
06043,Mariposa,10280,8259,25,25,Other,100,10229,>98%,>98% reported,edison,4,all,,8458,,,4088,5950,155,39,22,26,,3610,4480,109,28,13,19,,2020-11-24T13:22:36Z,18.11284,R+18,Trump +18,republican,18.11284,8877,23.2,9000,18.24,california,2020-11-29T00:49:10.840217Z
06045,Mendocino,43336,43010,250,250,Released as a separate subtotal as first report of the night,100,42724,>98%,>98% reported,edison,2,unknown,,46454,,,28782,13267,591,394,179,123,,28614,13127,582,388,176,123,,2020-11-25T21:45:51Z,35.80164,D+36,Biden +36,democrat,-35.80164,37915,-29.5,35017,-38.65,california,2020-11-29T00:49:10.840217Z
06047,Merced,90541,0,268,268,Released as a separate subtotal as first report of the night,100,80699,>98%,>98% reported,edison,2,unknown,,52923,,,48991,39397,941,388,433,391,,0,0,0,0,0,0,,2020-11-24T13:22:40Z,10.5963,D+11,Biden +11,democrat,-10.5963,71127,-12.1,62057,-8.74,california,2020-11-29T00:49:10.840217Z
06049,Modoc,4338,0,22,22,Released as a separate subtotal as first report of the night,96,4539,96%,96% reported,edison,2,unknown,,4538,,,1150,3109,39,15,12,13,,0,0,0,0,0,0,,2020-11-24T13:22:41Z,45.15906,R+45,Trump +45,republican,45.15906,3843,47.3,3986,41.8,california,2020-11-29T00:49:10.840217Z
06051,Mono,6737,4958,12,12,Merged into voters' home precincts AFTER election night,100,6015,>98%,>98% reported,edison,4,unknown,,5003,,,4013,2513,126,42,18,25,,3215,1590,92,32,9,20,,2020-11-28T03:43:21Z,22.2651,D+22,Biden +22,democrat,-22.2651,5281,-12.5,5181,-8.65,california,2020-11-29T00:49:10.840217Z
06053,Monterey,163883,112564,188,188,Released as a separate subtotal as first report of the night,100,152085,>98%,>98% reported,edison,4,some,,140518,,,113953,46299,1820,749,496,566,,81854,28604,1063,453,274,316,,2020-11-25T02:40:42Z,41.28189,D+41,Biden +41,democrat,-41.28189,133408,-40.6,123518,-36.86,california,2020-11-29T00:49:10.840217Z
06055,Napa,72122,42386,191,191,Other,100,69964,>98%,>98% reported,edison,4,all,,82274,,,49817,20676,914,310,164,241,,31270,10392,383,166,71,104,,2020-11-26T03:48:13Z,40.40515,D+40,Biden +40,democrat,-40.40515,61372,-35.5,56968,-28.69,california,2020-11-29T00:49:10.840217Z
06057,Nevada,64738,26010,111,111,Other,100,62626,>98%,>98% reported,edison,4,all,,61400,,,36359,26779,919,345,147,189,,16019,9588,211,87,52,53,,2020-11-28T03:41:13Z,14.79811,D+15,Biden +15,democrat,-14.79811,54935,-4.9,51676,0.63,california,2020-11-29T00:49:10.840217Z
06059,Orange,1521725,1086838,1795,1795,Released as a separate subtotal as first report of the night,100,1365174,>98%,>98% reported,edison,4,all,,929898,,,814009,676498,17325,5819,3432,4642,,643287,422926,11619,3986,2116,2904,,2020-11-28T03:56:51Z,9.03652,D+9,Biden +9,democrat,-9.03652,1197521,-8.6,1122664,6.23,california,2020-11-29T00:49:10.840217Z
06061,Placer,234878,0,127,127,Released as a separate subtotal as first report of the night,100,208436,>98%,>98% reported,edison,4,all,,184938,,,106804,122416,3947,779,339,593,,0,0,0,0,0,0,,2020-11-28T03:41:44Z,6.64685,R+7,Trump +7,republican,6.64685,186024,11.6,171322,19.32,california,2020-11-29T00:49:10.840217Z
06063,Plumas,11256,0,29,29,Other,99,11409,>98%,>98% reported,edison,4,unknown,,11534,,,4561,6445,153,39,27,31,,0,0,0,0,0,0,,2020-11-24T13:22:55Z,16.73774,R+17,Trump +17,republican,16.73774,9850,19.9,10047,16.87,california,2020-11-29T00:49:10.840217Z
06065,Riverside,995249,391521,864,864,Released as a separate subtotal as first report of the night,100,856586,>98%,>98% reported,edison,4,unknown,,594424,,,527475,448281,9955,3366,2785,3387,,222328,163191,3094,1068,834,1006,,2020-11-28T03:54:10Z,7.9572,D+8,Biden +8,democrat,-7.9572,751391,-5.4,661907,-1.65,california,2020-11-29T00:49:10.840217Z
06067,Sacramento,718260,0,677,677,Released as a separate subtotal as first report of the night,100,324230,>98%,>98% reported,edison,4,all,,489638,,,440790,259394,9769,3254,2423,2630,,0,0,0,0,0,0,,2020-11-24T23:40:40Z,25.25492,D+25,Biden +25,democrat,-25.25492,562285,-24.2,516809,-18.96,california,2020-11-29T00:49:10.840217Z
