fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
01089,Madison,193274,0,73,73,Released as a precinct at the end of tabulation,99,195000,>98%,>98% reported,edison,2,unknown,,14142,,,98814,94021,439,0,0,0,2020-11-16T21:50:29Z,2.4799,R+2,Tuberville +2,republican,alabama,2020-11-23T00:46:36.666785Z
01091,Marengo,10845,0,18,20,None,100,10882,>98%,>98% reported,edison,6,some,,1014,,,5160,5676,9,0,0,0,2020-11-16T21:56:03Z,4.75795,D+5,Jones +5,democrat,alabama,2020-11-23T00:46:36.666785Z
01093,Marion,13739,0,20,21,Merged into voters' home precincts AFTER election night,100,12231,>98%,>98% reported,edison,6,all,,666,,,11882,1841,16,0,0,0,2020-11-16T15:48:05Z,73.08392,R+73,Tuberville +73,republican,alabama,2020-11-23T00:46:36.666785Z
01095,Marshall,39345,0,28,28,Released as a precinct as first report of the night,100,39425,>98%,>98% reported,edison,6,none,,2110,,,31994,7269,82,0,0,0,2020-11-16T15:48:06Z,62.84153,R+63,Tuberville +63,republican,alabama,2020-11-23T00:46:36.666785Z
01097,Mobile,181292,0,82,88,Released as a separate subtotal as first report of the night,93,195848,93%,93% reported,edison,4,all,,11133,,,95717,85263,312,0,0,0,2020-11-16T15:48:06Z,5.76639,R+6,Tuberville +6,republican,alabama,2020-11-23T00:46:36.666785Z
01099,Monroe,10595,1257,29,31,Merged into voters' home precincts and released with cumulative results,100,10610,>98%,>98% reported,edison,6,all,,827,,,5890,4689,16,347,910,0,2020-11-16T15:48:07Z,11.33554,R+11,Tuberville +11,republican,alabama,2020-11-23T00:46:36.666785Z
01101,Montgomery,98278,0,45,49,Released as a separate subtotal as first report of the night,100,98153,>98%,>98% reported,edison,6,all,,7544,,,32053,66100,125,0,0,0,2020-11-16T21:56:25Z,34.64356,D+35,Jones +35,democrat,alabama,2020-11-23T00:46:36.666785Z
01103,Morgan,53359,0,39,41,Released as a precinct in the middle of the night,99,53987,>98%,>98% reported,edison,4,all,,3189,,,38126,15122,111,0,0,0,2020-11-16T15:48:09Z,43.11175,R+43,Tuberville +43,republican,alabama,2020-11-23T00:46:36.666785Z
01105,Perry,5202,1203,11,13,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5215,>98%,>98% reported,edison,6,all,,1059,,,1271,3931,0,129,1074,0,2020-11-16T21:56:40Z,51.13418,D+51,Jones +51,democrat,alabama,2020-11-23T00:46:36.666785Z
01107,Pickens,9634,0,18,20,Released as a precinct as first report of the night,100,9634,>98%,>98% reported,edison,6,all,,456,,,5435,4188,11,0,0,0,2020-11-16T21:56:54Z,12.94374,R+13,Tuberville +13,republican,alabama,2020-11-23T00:46:36.666785Z
01109,Pike,13766,1148,33,35,Released as a precinct in the middle of the night,100,13796,>98%,>98% reported,edison,6,all,,910,,,7756,5996,14,430,718,0,2020-11-16T15:48:12Z,12.78512,R+13,Tuberville +13,republican,alabama,2020-11-23T00:46:36.666785Z
01111,Randolph,10759,0,25,27,None,100,10734,>98%,>98% reported,edison,2,unknown,,1038,,,8389,2360,10,0,0,0,2020-11-16T15:48:12Z,56.03681,R+56,Tuberville +56,republican,alabama,2020-11-23T00:46:36.666785Z
01113,Russell,21035,0,19,19,Released as a precinct as first report of the night,100,17395,>98%,>98% reported,edison,2,unknown,,1262,,,9315,11701,19,0,0,0,2020-11-16T15:48:13Z,11.343,D+11,Jones +11,democrat,alabama,2020-11-23T00:46:36.666785Z
01117,Shelby,114163,0,49,49,"As a precinct in the FIRST cumulative report, along with regular precincts",100,114439,>98%,>98% reported,edison,6,all,,5451,,,77579,36350,234,0,0,0,2020-11-16T15:48:14Z,36.11415,R+36,Tuberville +36,republican,alabama,2020-11-23T00:46:36.666785Z
01115,St. Clair,44253,0,31,31,None,100,40935,>98%,>98% reported,edison,2,unknown,,2192,,,35381,8796,76,0,0,0,2020-11-16T15:48:13Z,60.07502,R+60,Tuberville +60,republican,alabama,2020-11-23T00:46:36.666785Z
01119,Sumter,6249,0,11,13,Released as a separate subtotal as first report of the night,99,6282,>98%,>98% reported,edison,6,all,,795,,,1550,4696,3,0,0,0,2020-11-16T21:57:07Z,50.34406,D+50,Jones +50,democrat,alabama,2020-11-23T00:46:36.666785Z
01121,Talladega,35554,12080,26,27,None,100,35591,>98%,>98% reported,edison,6,all,,1602,,,21703,13807,44,5723,6345,12,2020-11-16T15:48:15Z,22.20847,R+22,Tuberville +22,republican,alabama,2020-11-23T00:46:36.666785Z
01123,Tallapoosa,20840,0,26,28,Released as a precinct as first report of the night,100,18083,>98%,>98% reported,edison,6,all,,1203,,,14608,6212,20,0,0,0,2020-11-16T15:48:15Z,40.28791,R+40,Tuberville +40,republican,alabama,2020-11-23T00:46:36.666785Z
01125,Tuscaloosa,89533,0,53,55,Other,97,92624,97%,97% reported,edison,4,unknown,,4762,,,49200,40143,190,0,0,0,2020-11-16T21:57:28Z,10.11582,R+10,Tuberville +10,republican,alabama,2020-11-23T00:46:36.666785Z
01127,Walker,30987,0,43,46,None,99,31418,>98%,>98% reported,edison,4,unknown,,1320,,,24958,5964,65,0,0,0,2020-11-16T15:48:16Z,61.29667,R+61,Tuberville +61,republican,alabama,2020-11-23T00:46:36.666785Z
01129,Washington,8791,0,18,20,"As a precinct in the FIRST cumulative report, along with regular precincts",99,8852,>98%,>98% reported,edison,6,all,,592,,,6152,2630,9,0,0,0,2020-11-16T15:48:17Z,40.0637,R+40,Tuberville +40,republican,alabama,2020-11-23T00:46:36.666785Z
01131,Wilcox,5864,0,31,36,Released as a precinct as first report of the night,99,5918,>98%,>98% reported,edison,4,all,,931,,,1771,4088,5,0,0,0,2020-11-16T21:57:42Z,39.51228,D+40,Jones +40,democrat,alabama,2020-11-23T00:46:36.666785Z
01133,Winston,11219,0,18,19,None,100,10994,>98%,>98% reported,edison,2,unknown,,533,,,9907,1299,13,0,0,0,2020-11-16T15:48:17Z,76.72698,R+77,Tuberville +77,republican,alabama,2020-11-23T00:46:36.666785Z
