fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
30021,Dawson,4823,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4837,>98%,>98% reported,edison,8,unknown,,4322,,,3634,1189,0,0,2020-11-16T15:48:14Z,50.69459,R+51,Daines +51,republican,montana,2020-11-23T00:47:19.842722Z
30023,Deer Lodge,4882,0,14,14,Merged into voters' home precincts and released with cumulative results,100,4891,>98%,>98% reported,edison,8,some,,3414,,,1921,2961,0,0,2020-11-19T21:44:36Z,21.30274,D+21,Bullock +21,democrat,montana,2020-11-23T00:47:19.842722Z
30025,Fallon,1576,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1576,>98%,>98% reported,edison,8,unknown,,899,,,1341,235,0,0,2020-11-16T15:48:15Z,70.17766,R+70,Daines +70,republican,montana,2020-11-23T00:47:19.842722Z
30027,Fergus,6534,0,16,16,None,100,6534,>98%,>98% reported,edison,8,unknown,,5078,,,4746,1788,0,0,2020-11-19T21:44:57Z,45.27089,R+45,Daines +45,republican,montana,2020-11-23T00:47:19.842722Z
30029,Flathead,60041,0,42,42,Merged into voters' home precincts and released with cumulative results,100,60258,>98%,>98% reported,edison,8,some,,38453,,,37861,22180,0,0,2020-11-19T21:45:14Z,26.11715,R+26,Daines +26,republican,montana,2020-11-23T00:47:19.842722Z
30031,Gallatin,71369,0,32,32,Merged into voters' home precincts and released with cumulative results,100,71507,>98%,>98% reported,edison,8,unknown,,51851,,,31829,39540,0,0,2020-11-19T21:45:31Z,10.80441,D+11,Bullock +11,democrat,montana,2020-11-23T00:47:19.842722Z
30033,Garfield,809,0,4,4,Merged into voters' home precincts and released with cumulative results,100,813,>98%,>98% reported,edison,8,unknown,,432,,,736,73,0,0,2020-11-16T15:47:43Z,81.95303,R+82,Daines +82,republican,montana,2020-11-23T00:47:19.842722Z
30035,Glacier,5719,0,16,16,Merged into voters' home precincts and released with cumulative results,100,5719,>98%,>98% reported,edison,8,unknown,,3322,,,1687,4032,0,0,2020-11-19T21:46:04Z,41.00367,D+41,Bullock +41,democrat,montana,2020-11-23T00:47:19.842722Z
30037,Golden Valley,504,0,2,2,Merged into voters' home precincts and released with cumulative results,100,504,>98%,>98% reported,edison,8,unknown,,422,,,405,99,0,0,2020-11-16T15:47:44Z,60.71429,R+61,Daines +61,republican,montana,2020-11-23T00:47:19.842722Z
30039,Granite,2101,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2102,>98%,>98% reported,edison,8,unknown,,1243,,,1360,741,0,0,2020-11-16T15:47:44Z,29.46216,R+29,Daines +29,republican,montana,2020-11-23T00:47:19.842722Z
30041,Hill,7223,0,17,17,Other,100,7223,>98%,>98% reported,edison,8,unknown,,5547,,,3746,3477,0,0,2020-11-19T21:46:31Z,3.72421,R+4,Daines +4,republican,montana,2020-11-23T00:47:19.842722Z
30043,Jefferson,8173,0,10,10,Released as a separate subtotal as first report of the night,100,8191,>98%,>98% reported,edison,8,all,,4742,,,5206,2967,0,0,2020-11-16T15:47:45Z,27.39508,R+27,Daines +27,republican,montana,2020-11-23T00:47:19.842722Z
30045,Judith Basin,1348,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1348,>98%,>98% reported,edison,8,unknown,,837,,,1026,322,0,0,2020-11-19T21:10:13Z,52.22552,R+52,Daines +52,republican,montana,2020-11-23T00:47:19.842722Z
30047,Lake,16628,0,22,22,Merged into voters' home precincts and released with cumulative results,100,16628,>98%,>98% reported,edison,8,unknown,,10643,,,8964,7664,0,0,2020-11-19T21:55:52Z,7.81814,R+8,Daines +8,republican,montana,2020-11-23T00:47:19.842722Z
30049,Lewis and Clark,42509,0,33,33,Released as a separate subtotal as first report of the night,100,42509,>98%,>98% reported,edison,8,unknown,,29778,,,20554,21955,0,0,2020-11-19T21:47:10Z,3.29577,D+3,Bullock +3,democrat,montana,2020-11-23T00:47:19.842722Z
30051,Liberty,1088,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1088,>98%,>98% reported,edison,8,unknown,,763,,,789,299,0,0,2020-11-16T15:47:47Z,45.03676,R+45,Daines +45,republican,montana,2020-11-23T00:47:19.842722Z
30053,Lincoln,11718,0,14,14,Merged into voters' home precincts and released with cumulative results,100,11747,>98%,>98% reported,edison,8,unknown,,6806,,,8490,3228,0,0,2020-11-19T21:47:30Z,44.90527,R+45,Daines +45,republican,montana,2020-11-23T00:47:19.842722Z
30057,Madison,6118,0,8,8,Merged into voters' home precincts and released with cumulative results,100,6118,>98%,>98% reported,edison,8,unknown,,2922,,,4103,2015,0,0,2020-11-19T21:53:10Z,34.1288,R+34,Daines +34,republican,montana,2020-11-23T00:47:19.842722Z
30055,McCone,1123,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1128,>98%,>98% reported,edison,8,some,,688,,,946,177,0,0,2020-11-16T15:47:48Z,68.47729,R+68,Daines +68,republican,montana,2020-11-23T00:47:19.842722Z
30059,Meagher,1118,0,1,1,Other,100,1118,>98%,>98% reported,edison,8,unknown,,978,,,812,306,0,0,2020-11-16T15:47:49Z,45.25939,R+45,Daines +45,republican,montana,2020-11-23T00:47:19.842722Z
30061,Mineral,2551,0,6,6,Released as a separate subtotal as first report of the night,100,2563,>98%,>98% reported,edison,8,unknown,,1507,,,1735,816,0,0,2020-11-19T21:47:59Z,36.02509,R+36,Daines +36,republican,montana,2020-11-23T00:47:19.842722Z
30063,Missoula,71797,0,52,52,Merged into voters' home precincts and released with cumulative results,100,71986,>98%,>98% reported,edison,8,unknown,,59576,,,25529,46268,0,0,2020-11-19T21:48:15Z,28.88561,D+29,Bullock +29,democrat,montana,2020-11-23T00:47:19.842722Z
30065,Musselshell,2879,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2881,>98%,>98% reported,edison,8,some,,1734,,,2341,538,0,0,2020-11-16T15:47:50Z,62.62591,R+63,Daines +63,republican,montana,2020-11-23T00:47:19.842722Z
30067,Park,11607,0,11,11,None,100,11618,>98%,>98% reported,edison,8,unknown,,6699,,,5841,5766,0,0,2020-11-19T21:48:34Z,0.64616,R+0.65,Daines +0.65,republican,montana,2020-11-23T00:47:19.842722Z
30069,Petroleum,351,0,1,1,None,100,351,>98%,>98% reported,edison,8,all,,189,,,300,51,0,0,2020-11-16T15:47:51Z,70.94017,R+71,Daines +71,republican,montana,2020-11-23T00:47:19.842722Z
30071,Phillips,2378,0,2,2,Merged into voters' home precincts and released with cumulative results,100,2386,>98%,>98% reported,edison,8,unknown,,2000,,,1895,483,0,0,2020-11-19T21:48:48Z,59.37763,R+59,Daines +59,republican,montana,2020-11-23T00:47:19.842722Z
30073,Pondera,3005,0,8,8,Released as a separate subtotal at the end of tabulation,100,3005,>98%,>98% reported,edison,8,unknown,,2141,,,1933,1072,0,0,2020-11-19T21:57:13Z,28.65225,R+29,Daines +29,republican,montana,2020-11-23T00:47:19.842722Z
30075,Powder River,1137,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1137,>98%,>98% reported,edison,8,unknown,,638,,,957,180,0,0,2020-11-19T18:44:14Z,68.33773,R+68,Daines +68,republican,montana,2020-11-23T00:47:19.842722Z
30077,Powell,3176,0,13,13,Merged into voters' home precincts and released with cumulative results,99,3195,>98%,>98% reported,edison,8,unknown,,1578,,,2240,936,0,0,2020-11-19T21:49:19Z,41.05793,R+41,Daines +41,republican,montana,2020-11-23T00:47:19.842722Z
30079,Prairie,747,0,4,4,Merged into voters' home precincts and released with cumulative results,100,747,>98%,>98% reported,edison,8,unknown,,480,,,586,161,0,0,2020-11-16T15:47:54Z,56.89424,R+57,Daines +57,republican,montana,2020-11-23T00:47:19.842722Z
30081,Ravalli,28574,0,24,24,Released as a separate subtotal as first report of the night,100,28574,>98%,>98% reported,edison,8,unknown,,16965,,,18706,9868,0,0,2020-11-19T21:49:38Z,30.93022,R+31,Daines +31,republican,montana,2020-11-23T00:47:19.842722Z
30083,Richland,5791,0,13,13,Other,100,5798,>98%,>98% reported,edison,8,all,,2582,,,4669,1122,0,0,2020-11-19T21:49:55Z,61.25022,R+61,Daines +61,republican,montana,2020-11-23T00:47:19.842722Z
30085,Roosevelt,4033,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4033,>98%,>98% reported,edison,8,unknown,,2086,,,1891,2142,0,0,2020-11-19T21:50:11Z,6.22365,D+6,Bullock +6,democrat,montana,2020-11-23T00:47:19.842722Z
30087,Rosebud,3774,0,12,12,Merged into voters' home precincts AFTER election night,100,3784,>98%,>98% reported,edison,8,unknown,,2216,,,2436,1338,0,0,2020-11-19T21:50:25Z,29.0938,R+29,Daines +29,republican,montana,2020-11-23T00:47:19.842722Z
30089,Sanders,7586,0,9,9,Merged into voters' home precincts and released with cumulative results,99,7652,>98%,>98% reported,edison,8,all,,5891,,,5395,2191,0,0,2020-11-19T21:50:47Z,42.2357,R+42,Daines +42,republican,montana,2020-11-23T00:47:19.842722Z
30091,Sheridan,2024,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2030,>98%,>98% reported,edison,8,unknown,,1792,,,1356,668,0,0,2020-11-19T21:50:56Z,33.99209,R+34,Daines +34,republican,montana,2020-11-23T00:47:19.842722Z
30093,Silver Bow,18824,0,31,31,Merged into voters' home precincts AFTER election night,100,18827,>98%,>98% reported,edison,8,unknown,,14293,,,6641,12183,0,0,2020-11-19T21:51:18Z,29.44114,D+29,Bullock +29,democrat,montana,2020-11-23T00:47:19.842722Z
30095,Stillwater,5744,0,8,8,Released as a separate subtotal at the end of tabulation,100,5744,>98%,>98% reported,edison,8,some,,3435,,,4370,1374,0,0,2020-11-19T21:51:33Z,52.15877,R+52,Daines +52,republican,montana,2020-11-23T00:47:19.842722Z
30097,Sweet Grass,2459,0,5,5,Released as a separate subtotal as first report of the night,100,2459,>98%,>98% reported,edison,8,some,,1573,,,1834,625,0,0,2020-11-16T15:47:59Z,49.16633,R+49,Daines +49,republican,montana,2020-11-23T00:47:19.842722Z
30099,Teton,3706,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3706,>98%,>98% reported,edison,8,all,,2734,,,2541,1165,0,0,2020-11-16T15:47:59Z,37.12898,R+37,Daines +37,republican,montana,2020-11-23T00:47:19.842722Z
30101,Toole,2123,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2123,>98%,>98% reported,edison,8,none,,1491,,,1528,595,0,0,2020-11-19T18:44:03Z,43.94724,R+44,Daines +44,republican,montana,2020-11-23T00:47:19.842722Z
30103,Treasure,464,0,1,1,Merged into voters' home precincts and released with cumulative results,100,464,>98%,>98% reported,edison,8,unknown,,267,,,376,88,0,0,2020-11-19T21:17:13Z,62.06897,R+62,Daines +62,republican,montana,2020-11-23T00:47:19.842722Z
30105,Valley,4259,0,3,3,Released as a separate subtotal as first report of the night,100,4272,>98%,>98% reported,edison,8,all,,3726,,,2953,1306,0,0,2020-11-16T15:48:00Z,38.67105,R+39,Daines +39,republican,montana,2020-11-23T00:47:19.842722Z
30107,Wheatland,1059,0,5,5,Merged into voters' home precincts and released with cumulative results,99,1068,>98%,>98% reported,edison,8,some,,667,,,789,270,0,0,2020-11-19T21:17:43Z,49.0085,R+49,Daines +49,republican,montana,2020-11-23T00:47:19.842722Z
30109,Wibaux,596,0,1,1,Merged into voters' home precincts and released with cumulative results,100,598,>98%,>98% reported,edison,8,unknown,,240,,,491,105,0,0,2020-11-16T15:48:01Z,64.7651,R+65,Daines +65,republican,montana,2020-11-23T00:47:19.842722Z
30111,Yellowstone,84109,0,44,44,Merged into voters' home precincts and released with cumulative results,100,84109,>98%,>98% reported,edison,8,unknown,,89706,,,49276,34833,0,0,2020-11-19T21:52:15Z,17.17177,R+17,Daines +17,republican,montana,2020-11-23T00:47:19.842722Z
