fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48329,Midland,58528,49593,41,45,Released as a precinct as first report of the night,96,60756,96%,96% reported,edison,2,some,,52107,,,45733,11417,1162,216,,38850,9714,890,139,,2020-11-19T21:50:56Z,58.63177,R+59,Cornyn +59,republican,texas,2020-11-23T00:47:50.530696Z
48331,Milam,10331,8710,11,12,Released as a precinct as first report of the night,100,10231,>98%,>98% reported,edison,2,some,,7689,,,7759,2382,136,54,,6560,2012,97,41,,2020-11-19T21:51:14Z,52.04724,R+52,Cornyn +52,republican,texas,2020-11-23T00:47:50.530696Z
48333,Mills,2487,1934,7,8,Released as a precinct as first report of the night,94,2652,94%,94% reported,edison,2,unknown,,2437,,,2196,252,30,9,,1691,209,28,6,,2020-11-19T21:51:14Z,78.16647,R+78,Cornyn +78,republican,texas,2020-11-23T00:47:50.530696Z
48335,Mitchell,2540,1867,6,7,Released as a precinct as first report of the night,93,2735,93%,93% reported,edison,2,some,,2166,,,2129,359,40,12,,1565,266,29,7,,2020-11-19T21:51:13Z,69.68504,R+70,Cornyn +70,republican,texas,2020-11-23T00:47:50.530696Z
48337,Montague,9762,7997,14,16,Released as a precinct as first report of the night,96,10160,96%,96% reported,edison,2,some,,582,,,8524,1051,135,47,5,6975,887,96,34,5,2020-11-16T15:48:29Z,76.55194,R+77,Cornyn +77,republican,texas,2020-11-23T00:47:50.530696Z
48339,Montgomery,268834,234416,101,101,Released as a precinct as first report of the night,100,259565,>98%,>98% reported,edison,4,some,,200221,,,194528,68254,4844,1208,,169404,60404,3709,899,,2020-11-19T21:51:12Z,46.97099,R+47,Cornyn +47,republican,texas,2020-11-23T00:47:50.530696Z
48341,Moore,5447,3730,6,8,Released as a precinct as first report of the night,87,6240,87%,87% reported,edison,2,unknown,,3973,,,4314,999,102,32,,3133,531,53,13,,2020-11-19T21:51:11Z,60.85919,R+61,Cornyn +61,republican,texas,2020-11-23T00:47:50.530696Z
48343,Morris,5479,4071,8,9,Released as a precinct as first report of the night,90,6066,90%,90% reported,edison,2,unknown,,4099,,,3753,1639,66,21,,2748,1273,39,11,,2020-11-19T21:51:10Z,38.58368,R+39,Cornyn +39,republican,texas,2020-11-23T00:47:50.530696Z
48345,Motley,638,432,6,7,Released as a precinct as first report of the night,80,800,80%,80% reported,edison,2,unknown,,503,,,591,44,3,0,,399,32,1,0,,2020-11-16T15:48:31Z,85.73668,R+86,Cornyn +86,republican,texas,2020-11-23T00:47:50.530696Z
48347,Nacogdoches,26496,22190,23,26,Released as a precinct as first report of the night,95,27929,95%,95% reported,edison,2,some,,20976,,,17370,8487,476,163,,14197,7504,366,123,,2020-11-19T21:51:09Z,33.52582,R+34,Cornyn +34,republican,texas,2020-11-23T00:47:50.530696Z
48349,Navarro,18953,13936,27,30,Released as a precinct as first report of the night,98,19406,98%,98% reported,edison,2,unknown,,13004,,,13688,4817,315,133,,10008,3643,217,68,,2020-11-16T15:48:32Z,46.80526,R+47,Cornyn +47,republican,texas,2020-11-23T00:47:50.530696Z
