fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
46023,Charles Mix,3783,0,13,13,Merged into voters' home precincts and released with cumulative results,100,3801,>98%,>98% reported,edison,10,unknown,,1029,,,2552,1177,54,0,0,0,2020-11-16T15:48:28Z,36.34681,R+36,Trump +36,republican,36.34681,3433,42.1,3764,19.85,south-dakota,2020-11-20T00:43:33.000254Z
46025,Clark,1850,0,12,12,Merged into voters' home precincts and released with cumulative results,100,1850,>98%,>98% reported,edison,10,unknown,,539,,,1373,437,40,0,0,0,2020-11-16T15:48:29Z,50.59459,R+51,Trump +51,republican,50.59459,1657,44.7,1821,19.44,south-dakota,2020-11-20T00:43:33.000254Z
46027,Clay,5698,0,7,7,Merged into voters' home precincts and released with cumulative results,100,5698,>98%,>98% reported,edison,10,unknown,,2845,,,2456,3083,159,0,0,0,2020-11-16T15:48:29Z,11.00386,D+11,Biden +11,democrat,-11.00386,5069,-9.8,5234,-15.44,south-dakota,2020-11-20T00:43:33.000254Z
46029,Codington,13161,0,24,24,Merged into voters' home precincts and released with cumulative results,100,13161,>98%,>98% reported,edison,10,unknown,,7499,,,8958,3837,366,0,0,0,2020-11-16T15:48:29Z,38.91042,R+39,Trump +39,republican,38.91042,11669,39.3,11524,18.29,south-dakota,2020-11-20T00:43:33.000254Z
46031,Corson,1283,0,14,14,Merged into voters' home precincts and released with cumulative results,100,1283,>98%,>98% reported,edison,10,unknown,,179,,,647,622,14,0,0,0,2020-11-16T15:48:29Z,1.94856,R+1.9,Trump +1.9,republican,1.94856,1175,4.5,1200,-11.08,south-dakota,2020-11-20T00:43:33.000254Z
46033,Custer,5494,0,10,10,Merged into voters' home precincts and released with cumulative results,100,5494,>98%,>98% reported,edison,10,unknown,,2883,,,3852,1522,120,0,0,0,2020-11-16T15:47:39Z,42.4099,R+42,Trump +42,republican,42.4099,4721,46,4520,38.21,south-dakota,2020-11-20T00:43:33.000254Z
46035,Davison,8454,0,7,7,Merged into voters' home precincts and released with cumulative results,100,8454,>98%,>98% reported,edison,10,all,,4008,,,5613,2648,193,0,0,0,2020-11-16T15:47:43Z,35.07216,R+35,Trump +35,republican,35.07216,7952,35.2,7971,21.52,south-dakota,2020-11-20T00:43:33.000254Z
46037,Day,2964,0,14,14,Merged into voters' home precincts and released with cumulative results,100,2964,>98%,>98% reported,edison,10,unknown,,2443,,,1869,1052,43,0,0,0,2020-11-16T15:47:43Z,27.5641,R+28,Trump +28,republican,27.5641,2747,23.8,2873,-6.16,south-dakota,2020-11-20T00:43:33.000254Z
46039,Deuel,2350,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2350,>98%,>98% reported,edison,10,unknown,,606,,,1699,609,42,0,0,0,2020-11-16T15:47:44Z,46.38298,R+46,Trump +46,republican,46.38298,2080,38.3,2171,10.78,south-dakota,2020-11-20T00:43:33.000254Z
46041,Dewey,1966,0,11,11,Merged into voters' home precincts and released with cumulative results,100,1966,>98%,>98% reported,edison,10,unknown,,477,,,790,1131,45,0,0,0,2020-11-16T15:47:44Z,17.34486,D+17,Biden +17,democrat,-17.34486,1708,-9.7,1895,-28.71,south-dakota,2020-11-20T00:43:33.000254Z
46043,Douglas,1707,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1707,>98%,>98% reported,edison,10,unknown,,126,,,1468,216,23,0,0,0,2020-11-16T15:47:45Z,73.34505,R+73,Trump +73,republican,73.34505,1605,70,1690,59.29,south-dakota,2020-11-20T00:43:33.000254Z
46045,Edmunds,1985,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1987,>98%,>98% reported,edison,10,unknown,,475,,,1538,417,30,0,0,0,2020-11-16T15:47:45Z,56.47355,R+56,Trump +56,republican,56.47355,1918,54.9,1936,33.16,south-dakota,2020-11-20T00:43:33.000254Z
46047,Fall River,4042,0,9,9,Merged into voters' home precincts and released with cumulative results,100,4042,>98%,>98% reported,edison,10,unknown,,2019,,,2878,1053,111,0,0,0,2020-11-16T15:47:45Z,45.15092,R+45,Trump +45,republican,45.15092,3563,47.4,3516,31.8,south-dakota,2020-11-20T00:43:33.000254Z
46049,Faulk,1182,0,7,7,Merged into voters' home precincts and released with cumulative results,99,1188,>98%,>98% reported,edison,10,unknown,,141,,,964,198,20,0,0,0,2020-11-16T15:47:46Z,64.80541,R+65,Trump +65,republican,64.80541,1118,58.5,1127,38.51,south-dakota,2020-11-20T00:43:33.000254Z
46051,Grant,3745,0,18,18,Merged into voters' home precincts and released with cumulative results,100,3749,>98%,>98% reported,edison,10,unknown,,1406,,,2618,1056,71,0,0,0,2020-11-16T15:47:46Z,41.70895,R+42,Trump +42,republican,41.70895,3564,39.6,3606,15,south-dakota,2020-11-20T00:43:33.000254Z
46053,Gregory,2258,0,3,3,Merged into voters' home precincts and released with cumulative results,100,2258,>98%,>98% reported,edison,10,unknown,,571,,,1771,455,32,0,0,0,2020-11-16T15:47:47Z,58.28167,R+58,Trump +58,republican,58.28167,2091,57.8,2151,42.21,south-dakota,2020-11-20T00:43:33.000254Z
46055,Haakon,1137,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1138,>98%,>98% reported,edison,10,unknown,,520,,,1026,105,6,0,0,0,2020-11-16T15:47:47Z,81.00264,R+81,Trump +81,republican,81.00264,1044,82.3,1092,73.44,south-dakota,2020-11-20T00:43:33.000254Z
46057,Hamlin,3083,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3083,>98%,>98% reported,edison,10,unknown,,994,,,2372,647,64,0,0,0,2020-11-16T15:47:48Z,55.95199,R+56,Trump +56,republican,55.95199,2762,54.2,2793,31.58,south-dakota,2020-11-20T00:43:33.000254Z
46059,Hand,1836,0,12,12,Merged into voters' home precincts and released with cumulative results,99,1858,>98%,>98% reported,edison,10,unknown,,693,,,1433,373,30,0,0,0,2020-11-16T15:47:48Z,57.7342,R+58,Trump +58,republican,57.7342,1818,58.1,1848,36.09,south-dakota,2020-11-20T00:43:33.000254Z
46061,Hanson,2388,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2388,>98%,>98% reported,edison,10,unknown,,2016,,,1793,557,38,0,0,0,2020-11-16T15:47:49Z,51.75879,R+52,Trump +52,republican,51.75879,2006,53.5,2416,35.89,south-dakota,2020-11-20T00:43:33.000254Z
46063,Harding,813,0,8,8,Merged into voters' home precincts and released with cumulative results,100,813,>98%,>98% reported,edison,10,unknown,,251,,,748,49,16,0,0,0,2020-11-16T15:47:49Z,85.97786,R+86,Trump +86,republican,85.97786,770,85.3,739,75.24,south-dakota,2020-11-20T00:43:33.000254Z
46065,Hughes,8723,0,6,6,Merged into voters' home precincts and released with cumulative results,100,8763,>98%,>98% reported,edison,10,all,,5670,,,5522,2953,248,0,0,0,2020-11-16T15:47:49Z,29.45088,R+29,Trump +29,republican,29.45088,8175,33.3,8155,29.83,south-dakota,2020-11-20T00:43:33.000254Z
46067,Hutchinson,3767,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3767,>98%,>98% reported,edison,10,unknown,,776,,,2944,762,61,0,0,0,2020-11-16T15:47:50Z,57.92408,R+58,Trump +58,republican,57.92408,3365,54.2,3425,44.61,south-dakota,2020-11-20T00:43:33.000254Z
46069,Hyde,710,0,1,1,Merged into voters' home precincts and released with cumulative results,100,711,>98%,>98% reported,edison,10,unknown,,208,,,564,136,10,0,0,0,2020-11-16T15:47:50Z,60.28169,R+60,Trump +60,republican,60.28169,690,60.6,733,46.66,south-dakota,2020-11-20T00:43:33.000254Z
46071,Jackson,1115,0,8,8,Merged into voters' home precincts and released with cumulative results,100,1115,>98%,>98% reported,edison,10,unknown,,240,,,738,359,18,0,0,0,2020-11-16T15:47:50Z,33.99103,R+34,Trump +34,republican,33.99103,1095,36.4,1106,21.25,south-dakota,2020-11-20T00:43:33.000254Z
46073,Jerauld,1006,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1006,>98%,>98% reported,edison,10,unknown,,304,,,721,270,15,0,0,0,2020-11-16T15:47:50Z,44.83101,R+45,Trump +45,republican,44.83101,967,39.7,1006,8.55,south-dakota,2020-11-20T00:43:33.000254Z
46075,Jones,599,0,3,3,Merged into voters' home precincts and released with cumulative results,100,599,>98%,>98% reported,edison,10,unknown,,197,,,498,90,11,0,0,0,2020-11-16T15:47:51Z,68.11352,R+68,Trump +68,republican,68.11352,558,68.3,609,62.73,south-dakota,2020-11-20T00:43:33.000254Z
46077,Kingsbury,2779,0,7,7,Merged into voters' home precincts and released with cumulative results,100,2779,>98%,>98% reported,edison,10,unknown,,618,,,1904,819,56,0,0,0,2020-11-16T15:47:51Z,39.04282,R+39,Trump +39,republican,39.04282,2551,38.3,2608,13.77,south-dakota,2020-11-20T00:43:33.000254Z
46079,Lake,5873,0,10,10,Merged into voters' home precincts and released with cumulative results,100,5885,>98%,>98% reported,edison,10,unknown,,3936,,,3681,2068,124,0,0,0,2020-11-16T15:47:51Z,27.46467,R+27,Trump +27,republican,27.46467,6786,25.4,6285,11.06,south-dakota,2020-11-20T00:43:33.000254Z
46081,Lawrence,13828,0,11,11,Released as a precinct in the middle of the night,100,13828,>98%,>98% reported,edison,10,all,,6941,,,8753,4537,538,0,0,0,2020-11-16T15:47:52Z,30.48886,R+30,Trump +30,republican,30.48886,11842,34.2,11359,26.87,south-dakota,2020-11-20T00:43:33.000254Z
46083,Lincoln,32396,0,31,31,Merged into voters' home precincts and released with cumulative results,100,32396,>98%,>98% reported,edison,10,all,,8870,,,19617,11981,798,0,0,0,2020-11-16T15:47:52Z,23.57081,R+24,Trump +24,republican,23.57081,25231,29.4,21952,25.64,south-dakota,2020-11-20T00:43:33.000254Z
46085,Lyman,1597,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1599,>98%,>98% reported,edison,10,unknown,,136,,,1042,525,30,0,0,0,2020-11-16T15:47:52Z,32.3732,R+32,Trump +32,republican,32.3732,1421,42.8,1569,20.91,south-dakota,2020-11-20T00:43:33.000254Z
46091,Marshall,2178,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2187,>98%,>98% reported,edison,10,unknown,,680,,,1287,858,33,0,0,0,2020-11-16T15:47:54Z,19.69697,R+20,Trump +20,republican,19.69697,1947,15.5,1987,-8.66,south-dakota,2020-11-20T00:43:33.000254Z
46087,McCook,2900,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2907,>98%,>98% reported,edison,10,unknown,,744,,,2068,769,63,0,0,0,2020-11-16T15:47:53Z,44.7931,R+45,Trump +45,republican,44.7931,2587,45.3,2613,28.7,south-dakota,2020-11-20T00:43:33.000254Z
46089,McPherson,1324,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1324,>98%,>98% reported,edison,10,unknown,,683,,,1075,222,27,0,0,0,2020-11-16T15:47:53Z,64.42598,R+64,Trump +64,republican,64.42598,1137,61.6,1215,53.42,south-dakota,2020-11-20T00:43:33.000254Z
46093,Meade,13670,0,37,37,Merged into voters' home precincts and released with cumulative results,100,13670,>98%,>98% reported,edison,10,unknown,,3994,,,9875,3285,510,0,0,0,2020-11-16T15:47:54Z,48.20775,R+48,Trump +48,republican,48.20775,11621,53.5,10817,42.88,south-dakota,2020-11-20T00:43:33.000254Z
46095,Mellette,769,0,4,4,Merged into voters' home precincts and released with cumulative results,100,771,>98%,>98% reported,edison,10,unknown,,290,,,449,298,22,0,0,0,2020-11-16T15:47:55Z,19.63589,R+20,Trump +20,republican,19.63589,683,24,769,0.78,south-dakota,2020-11-20T00:43:33.000254Z
46097,Miner,1138,0,8,8,Merged into voters' home precincts and released with cumulative results,99,1146,>98%,>98% reported,edison,10,unknown,,322,,,787,320,31,0,0,0,2020-11-16T15:47:56Z,41.03691,R+41,Trump +41,republican,41.03691,1064,39.9,1140,13.77,south-dakota,2020-11-20T00:43:33.000254Z
46099,Minnehaha,92326,0,71,71,Merged into voters' home precincts and released with cumulative results,100,92326,>98%,>98% reported,edison,10,none,,25270,,,49249,40482,2595,0,0,0,2020-11-16T15:47:56Z,9.4957,R+9,Trump +9,republican,9.4957,78281,14.6,76583,7.4,south-dakota,2020-11-20T00:43:33.000254Z
46101,Moody,3206,0,6,6,Merged into voters' home precincts and released with cumulative results,100,3220,>98%,>98% reported,edison,10,unknown,,768,,,1951,1179,76,0,0,0,2020-11-16T15:47:57Z,24.07985,R+24,Trump +24,republican,24.07985,2933,23.5,3033,3.49,south-dakota,2020-11-20T00:43:33.000254Z
46102,Oglala Lakota,3200,0,9,9,None,100,3201,>98%,>98% reported,edison,10,unknown,,1106,,,297,2829,74,0,0,0,2020-11-16T15:47:59Z,79.125,D+79,Biden +79,democrat,-79.125,2905,-78.1,,,south-dakota,2020-11-20T00:43:33.000254Z
46103,Pennington,57518,0,47,47,Merged into voters' home precincts and released with cumulative results,100,57518,>98%,>98% reported,edison,10,all,,8515,,,35063,20606,1849,0,0,0,2020-11-16T15:47:57Z,25.13474,R+25,Trump +25,republican,25.13474,47743,32.9,44464,29.48,south-dakota,2020-11-20T00:43:33.000254Z
46105,Perkins,1669,0,10,10,Merged into voters' home precincts and released with cumulative results,100,1669,>98%,>98% reported,edison,10,unknown,,453,,,1401,239,29,0,0,0,2020-11-16T15:47:57Z,69.62253,R+70,Trump +70,republican,69.62253,1606,71.3,1590,55.72,south-dakota,2020-11-20T00:43:33.000254Z
46107,Potter,1380,0,3,3,Released as a precinct in the middle of the night,100,1384,>98%,>98% reported,edison,10,unknown,,454,,,1139,227,14,0,0,0,2020-11-16T15:47:58Z,66.08696,R+66,Trump +66,republican,66.08696,1337,64,1381,49.96,south-dakota,2020-11-20T00:43:33.000254Z
46109,Roberts,4307,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4307,>98%,>98% reported,edison,10,unknown,,966,,,2404,1828,75,0,0,0,2020-11-16T15:47:58Z,13.37358,R+13,Trump +13,republican,13.37358,3889,15.5,4256,-9.84,south-dakota,2020-11-20T00:43:33.000254Z
46111,Sanborn,1185,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1185,>98%,>98% reported,edison,10,unknown,,237,,,905,257,23,0,0,0,2020-11-16T15:47:58Z,54.68354,R+55,Trump +55,republican,54.68354,1123,51.5,1115,26.82,south-dakota,2020-11-20T00:43:33.000254Z
46115,Spink,3163,0,9,9,Merged into voters' home precincts and released with cumulative results,100,3164,>98%,>98% reported,edison,10,unknown,,856,,,2104,998,61,0,0,0,2020-11-16T15:47:59Z,34.9668,R+35,Trump +35,republican,34.9668,2951,31.7,3041,12.17,south-dakota,2020-11-20T00:43:33.000254Z
46117,Stanley,1652,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1652,>98%,>98% reported,edison,10,unknown,,144,,,1203,421,28,0,0,0,2020-11-16T15:47:59Z,47.33656,R+47,Trump +47,republican,47.33656,1567,52.3,1540,40.78,south-dakota,2020-11-20T00:43:33.000254Z
46119,Sully,930,0,4,4,Released as a separate subtotal at the end of tabulation,100,930,>98%,>98% reported,edison,10,unknown,,234,,,726,185,19,0,0,0,2020-11-16T15:48:00Z,58.17204,R+58,Trump +58,republican,58.17204,861,63,818,52.2,south-dakota,2020-11-20T00:43:33.000254Z
46121,Todd,2539,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2539,>98%,>98% reported,edison,10,unknown,,358,,,532,1963,44,0,0,0,2020-11-16T15:48:00Z,56.36077,D+56,Biden +56,democrat,-56.36077,2125,-47.9,2497,-59.19,south-dakota,2020-11-20T00:43:33.000254Z
46123,Tripp,2696,0,13,13,Merged into voters' home precincts and released with cumulative results,100,2696,>98%,>98% reported,edison,10,unknown,,750,,,2161,495,40,0,0,0,2020-11-16T15:48:01Z,61.79525,R+62,Trump +62,republican,61.79525,2630,61.1,2691,43.4,south-dakota,2020-11-20T00:43:33.000254Z
46125,Turner,4548,0,8,8,Merged into voters' home precincts and released with cumulative results,100,4548,>98%,>98% reported,edison,10,unknown,,906,,,3290,1139,119,0,0,0,2020-11-16T15:48:01Z,47.29551,R+47,Trump +47,republican,47.29551,4150,47.6,4210,30.97,south-dakota,2020-11-20T00:43:33.000254Z
46127,Union,8855,0,13,13,Merged into voters' home precincts and released with cumulative results,100,8855,>98%,>98% reported,edison,10,all,,2523,,,5944,2725,186,0,0,0,2020-11-16T15:48:01Z,36.35234,R+36,Trump +36,republican,36.35234,7897,38.8,7596,25.22,south-dakota,2020-11-20T00:43:33.000254Z
46129,Walworth,2580,0,10,10,None,100,2580,>98%,>98% reported,edison,10,unknown,,573,,,1966,565,49,0,0,0,2020-11-16T15:48:01Z,54.30233,R+54,Trump +54,republican,54.30233,2477,58.1,2462,43.05,south-dakota,2020-11-20T00:43:33.000254Z
46135,Yankton,10900,0,7,7,Released as a precinct at the end of tabulation,100,10900,>98%,>98% reported,edison,10,none,,6408,,,6581,4016,303,0,0,0,2020-11-16T15:48:02Z,23.53211,R+24,Trump +24,republican,23.53211,9623,24.5,9974,12.72,south-dakota,2020-11-20T00:43:33.000254Z
46137,Ziebach,906,0,6,6,Merged into voters' home precincts and released with cumulative results,100,908,>98%,>98% reported,edison,10,unknown,,130,,,404,481,21,0,0,0,2020-11-16T15:48:02Z,8.4989,D+8,Biden +8,democrat,-8.4989,767,2,761,-16.43,south-dakota,2020-11-20T00:43:33.000254Z
