fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36019,Clinton,27471,0,39,51,Merged into voters' home precincts AFTER election night,76,35958,76%,76% reported,edison,2,unknown,,,,,12690,14354,221,81,125,,0,0,0,0,0,,2020-11-16T15:48:03Z,6.0573,R+6,Trump +6,republican,6.0573,32105,-1.9,30656,-25.59,new-york,2020-11-20T00:43:13.213240Z
36021,Columbia,34641,0,40,50,Merged into voters' home precincts AFTER election night,100,34610,>98%,>98% reported,edison,2,unknown,,,,,19764,14235,351,178,113,0,0,0,0,0,0,0,2020-11-16T15:48:03Z,15.96086,D+16,Biden +16,democrat,-15.96086,30902,-4.9,29129,-13.72,new-york,2020-11-20T00:43:13.213240Z
36023,Cortland,21675,4963,49,51,Merged into voters' home precincts AFTER election night,96,22673,96%,96% reported,edison,2,some,,,,,10367,10788,295,113,96,16,3538,1304,60,33,24,4,2020-11-18T17:07:23Z,1.94233,R+1.9,Trump +1.9,republican,1.94233,20244,5.6,19624,-9.11,new-york,2020-11-20T00:43:13.213240Z
36025,Delaware,18763,0,47,55,Merged into voters' home precincts AFTER election night,85,22167,85%,85% reported,edison,2,unknown,,,,,6420,11952,219,62,59,51,0,0,0,0,0,0,2020-11-16T15:48:04Z,29.48356,R+29,Trump +29,republican,29.48356,19792,26.9,18638,8.77,new-york,2020-11-20T00:43:13.213240Z
36027,Dutchess,119539,0,179,220,Merged into voters' home precincts AFTER election night,85,140000,85%,85% reported,edison,4,all,,,,,57720,59661,1007,401,420,330,0,0,0,0,0,0,2020-11-16T15:48:04Z,1.62374,R+1.6,Trump +1.6,republican,1.62374,131018,-0.4,123705,-7.51,new-york,2020-11-20T00:43:13.213240Z
36029,Erie,383952,166139,677,837,Merged into voters' home precincts AFTER election night,81,474460,81%,81% reported,edison,4,some,,,,,198808,178349,3727,1501,1567,,104880,59540,904,431,384,,2020-11-16T15:48:06Z,5.32853,D+5,Biden +5,democrat,-5.32853,423625,-6.4,414195,-16.34,new-york,2020-11-20T00:43:13.213240Z
36031,Essex,15185,0,33,42,Merged into voters' home precincts AFTER election night,79,19284,79%,79% reported,edison,2,unknown,,,,,6970,7953,142,53,67,,0,0,0,0,0,,2020-11-16T15:48:07Z,6.47349,R+6,Trump +6,republican,6.47349,17218,1.1,16717,-18.77,new-york,2020-11-20T00:43:13.213240Z
36033,Franklin,15397,0,36,45,Merged into voters' home precincts AFTER election night,81,18986,81%,81% reported,edison,2,unknown,,,,,6586,8530,154,56,71,,0,0,0,0,0,,2020-11-16T15:48:08Z,12.62584,R+13,Trump +13,republican,12.62584,16952,5.5,15934,-26.07,new-york,2020-11-20T00:43:13.213240Z
36035,Fulton,20180,0,35,42,Merged into voters' home precincts AFTER election night,85,23760,85%,85% reported,edison,2,unknown,,,,,5804,13989,234,50,76,27,0,0,0,0,0,0,2020-11-16T15:48:09Z,40.55996,R+41,Trump +41,republican,40.55996,21214,32.8,19799,11.15,new-york,2020-11-20T00:43:13.213240Z
36037,Genesee,25004,0,44,52,Merged into voters' home precincts AFTER election night,84,29604,84%,84% reported,edison,2,unknown,,,,,7048,17340,412,83,121,,0,0,0,0,0,,2020-11-16T15:48:10Z,41.16141,R+41,Trump +41,republican,41.16141,26432,35.1,24746,20.23,new-york,2020-11-20T00:43:13.213240Z
36039,Greene,20882,0,44,52,Merged into voters' home precincts AFTER election night,85,24696,85%,85% reported,edison,4,none,,,,,7675,12722,266,90,78,51,0,0,0,0,0,0,2020-11-16T15:48:10Z,24.16914,R+24,Trump +24,republican,24.16914,22050,25.7,20668,10.37,new-york,2020-11-20T00:43:13.213240Z
36041,Hamilton,3460,0,9,11,Merged into voters' home precincts AFTER election night,96,3612,96%,96% reported,edison,2,unknown,,,,,1178,2225,41,7,8,1,0,0,0,0,0,0,2020-11-18T14:14:30Z,30.26012,R+30,Trump +30,republican,30.26012,3225,34.6,3113,25.83,new-york,2020-11-20T00:43:13.213240Z
36043,Herkimer,24766,0,50,59,Merged into voters' home precincts AFTER election night,84,29406,84%,84% reported,edison,2,unknown,,,,,7282,17038,239,80,80,47,0,0,0,0,0,0,2020-11-16T15:48:11Z,39.39272,R+39,Trump +39,republican,39.39272,26255,32.8,25040,8.02,new-york,2020-11-20T00:43:13.213240Z
36045,Jefferson,35530,0,57,69,Merged into voters' home precincts AFTER election night,83,42824,83%,83% reported,edison,2,unknown,,,,,12053,22779,423,128,147,,0,0,0,0,0,,2020-11-16T15:48:12Z,30.18857,R+30,Trump +30,republican,30.18857,38236,20.8,35708,2.86,new-york,2020-11-20T00:43:13.213240Z
36049,Lewis,10878,0,31,36,Merged into voters' home precincts AFTER election night,86,12684,86%,86% reported,edison,2,unknown,,,,,2768,7931,110,28,41,,0,0,0,0,0,,2020-11-16T15:48:13Z,47.46277,R+47,Trump +47,republican,47.46277,11325,37.6,10522,8.81,new-york,2020-11-20T00:43:13.213240Z
36051,Livingston,31401,0,37,40,Merged into voters' home precincts AFTER election night,93,33635,93%,93% reported,edison,2,unknown,,,,,12477,18182,460,128,140,14,0,0,0,0,0,0,2020-11-19T18:16:24Z,18.16821,R+18,Trump +18,republican,18.16821,30031,22,26770,10.25,new-york,2020-11-20T00:43:13.213240Z
36053,Madison,34087,0,43,52,Merged into voters' home precincts AFTER election night,100,33672,>98%,>98% reported,edison,4,some,,,,,14785,18402,476,184,153,87,0,0,0,0,0,0,2020-11-19T17:43:52Z,10.61108,R+11,Trump +11,republican,10.61108,30064,14.2,28094,-0.89,new-york,2020-11-20T00:43:13.213240Z
36061,Manhattan,446861,0,706,1183,Merged into voters' home precincts AFTER election night,60,749213,60%,60% reported,edison,2,none,,,,,377605,65001,2050,1776,429,0,0,0,0,0,0,0,2020-11-16T15:48:16Z,69.95553,D+70,Biden +70,democrat,-69.95553,668940,-76.9,599747,-68.82,new-york,2020-11-20T00:43:13.213240Z
36055,Monroe,378761,102520,586,827,Merged into voters' home precincts AFTER election night,97,389525,97%,97% reported,edison,4,unknown,,,,,223936,145290,4842,1514,1782,1397,77533,22295,1127,513,526,526,2020-11-18T14:21:59Z,20.76402,D+21,Biden +21,democrat,-20.76402,347790,-15,333813,-18.02,new-york,2020-11-20T00:43:13.213240Z
36057,Montgomery,17615,0,16,19,Merged into voters' home precincts AFTER election night,88,20000,88%,88% reported,edison,4,unknown,,,,,5746,11500,215,64,70,20,0,0,0,0,0,0,2020-11-16T15:48:15Z,32.66534,R+33,Trump +33,republican,32.66534,19054,24.7,18186,4.62,new-york,2020-11-20T00:43:13.213240Z
36059,Nassau,693320,0,1205,1205,Merged into voters' home precincts AFTER election night,100,650000,>98%,>98% reported,edison,4,unknown,,,,,368764,315640,3382,1800,1791,1943,0,0,0,0,0,0,2020-11-19T13:10:15Z,7.66226,D+8,Biden +8,democrat,-7.66226,647122,-6.2,568151,-7.64,new-york,2020-11-20T00:43:13.213240Z
36063,Niagara,87821,0,153,180,Merged into voters' home precincts AFTER election night,85,103490,85%,85% reported,edison,2,unknown,,,,,34809,51355,972,283,402,,0,0,0,0,0,,2020-11-16T15:48:17Z,18.8406,R+19,Trump +19,republican,18.8406,92402,17.8,89013,-0.84,new-york,2020-11-20T00:43:13.213240Z
36065,Oneida,84273,0,158,192,Merged into voters' home precincts AFTER election night,83,101930,83%,83% reported,edison,2,some,,,,,30542,51950,1004,293,310,174,0,0,0,0,0,0,2020-11-19T02:35:37Z,25.40315,R+25,Trump +25,republican,25.40315,91009,19.4,86700,4.69,new-york,2020-11-20T00:43:13.213240Z
36067,Onondaga,206105,25957,378,428,Merged into voters' home precincts AFTER election night,88,233453,88%,88% reported,edison,2,unknown,,,,,116031,84743,2251,1605,759,716,20120,5123,224,287,96,107,2020-11-19T17:39:19Z,15.18061,D+15,Biden +15,democrat,-15.18061,208440,-13.8,204717,-21.21,new-york,2020-11-20T00:43:13.213240Z
36069,Ontario,47830,0,75,92,Merged into voters' home precincts AFTER election night,82,58529,82%,82% reported,edison,2,unknown,,,,,20779,25757,823,213,258,,0,0,0,0,0,,2020-11-16T15:48:19Z,10.40769,R+10,Trump +10,republican,10.40769,52527,7.2,47853,1.53,new-york,2020-11-20T00:43:13.213240Z
36071,Orange,139956,0,271,330,Merged into voters' home precincts AFTER election night,82,170264,82%,82% reported,edison,2,unknown,,,,,61868,76218,1097,379,394,,0,0,0,0,0,,2020-11-16T15:48:20Z,10.25322,R+10,Trump +10,republican,10.25322,152021,5.5,140628,-5.65,new-york,2020-11-20T00:43:13.213240Z
36073,Orleans,15649,0,34,40,Merged into voters' home precincts AFTER election night,85,18346,85%,85% reported,edison,2,unknown,,,,,4082,11173,274,38,58,24,0,0,0,0,0,0,2020-11-19T15:32:58Z,45.3128,R+45,Trump +45,republican,45.3128,16380,39.5,14706,19.09,new-york,2020-11-20T00:43:13.213240Z
36075,Oswego,53787,9142,110,110,Merged into voters' home precincts AFTER election night,100,53962,>98%,>98% reported,edison,2,unknown,,,,,20824,31677,682,278,203,123,6147,2763,97,69,42,24,2020-11-19T15:33:22Z,20.17774,R+20,Trump +20,republican,20.17774,48180,22,44591,-7.93,new-york,2020-11-20T00:43:13.213240Z
36077,Otsego,28075,0,48,49,Merged into voters' home precincts AFTER election night,98,28748,98%,98% reported,edison,2,unknown,,,,,12986,14366,407,136,96,84,0,0,0,0,0,0,2020-11-16T18:54:54Z,4.91541,R+5,Trump +5,republican,4.91541,25668,11.1,24139,-2.72,new-york,2020-11-20T00:43:13.213240Z
36079,Putnam,54762,4238,86,86,Merged into voters' home precincts AFTER election night,100,54391,>98%,>98% reported,edison,4,some,,,,,24949,28929,411,162,155,156,3160,989,37,21,15,16,2020-11-19T16:45:03Z,7.26781,R+7,Trump +7,republican,7.26781,48563,15.8,44345,10.31,new-york,2020-11-20T00:43:13.213240Z
36081,Queens,597928,0,1295,1295,Merged into voters' home precincts AFTER election night,63,950000,63%,63% reported,edison,2,unknown,,,,,412393,181225,1777,2011,522,0,0,0,0,0,0,0,2020-11-16T15:48:23Z,38.66151,D+39,Biden +39,democrat,-38.66151,686393,-53.6,595241,-59.16,new-york,2020-11-20T00:43:13.213240Z
36083,Rensselaer,79409,0,71,87,Merged into voters' home precincts AFTER election night,99,80149,>98%,>98% reported,edison,2,unknown,,,,,40969,36500,1016,374,386,164,0,0,0,0,0,0,2020-11-18T23:03:09Z,5.62783,D+6,Biden +6,democrat,-5.62783,71562,1.4,67990,-12.2,new-york,2020-11-20T00:43:13.213240Z
36087,Rockland,116024,0,212,277,Merged into voters' home precincts AFTER election night,77,151282,77%,77% reported,edison,4,unknown,,,,,50926,63830,508,218,257,285,0,0,0,0,0,0,2020-11-16T15:48:25Z,11.12184,R+11,Trump +11,republican,11.12184,135087,-6.2,124645,-6.71,new-york,2020-11-20T00:43:13.213240Z
36089,Saint Lawrence,35519,0,66,81,Merged into voters' home precincts AFTER election night,82,43412,82%,82% reported,edison,2,unknown,,,,,13036,21862,352,138,131,,0,0,0,0,0,,2020-11-16T15:48:25Z,24.84867,R+25,Trump +25,republican,24.84867,39158,8.8,37191,-16.71,new-york,2020-11-20T00:43:13.213240Z
36091,Saratoga,107583,0,165,196,Merged into voters' home precincts AFTER election night,84,127785,84%,84% reported,edison,4,unknown,,,,,49697,55248,1472,390,464,312,0,0,0,0,0,0,2020-11-16T15:48:25Z,5.15974,R+5,Trump +5,republican,5.15974,114094,3.2,105510,-2.44,new-york,2020-11-20T00:43:13.213240Z
36093,Schenectady,60591,0,48,60,Merged into voters' home precincts AFTER election night,80,75354,80%,80% reported,edison,2,unknown,,,,,31685,27544,793,278,291,,0,0,0,0,0,,2020-11-16T15:48:26Z,6.83435,D+7,Biden +7,democrat,-6.83435,67280,-7.1,64933,-15.83,new-york,2020-11-20T00:43:13.213240Z
36095,Schoharie,13374,0,20,23,Merged into voters' home precincts AFTER election night,85,15736,85%,85% reported,edison,2,unknown,,,,,4006,9010,238,55,65,,0,0,0,0,0,,2020-11-16T15:48:26Z,37.41588,R+37,Trump +37,republican,37.41588,14050,32.7,13207,15.45,new-york,2020-11-20T00:43:13.213240Z
36097,Schuyler,9764,0,16,19,Merged into voters' home precincts AFTER election night,99,9825,>98%,>98% reported,edison,2,unknown,,,,,3902,5620,130,51,33,28,0,0,0,0,0,0,2020-11-16T15:48:26Z,17.59525,R+18,Trump +18,republican,17.59525,8772,22.3,8146,7.45,new-york,2020-11-20T00:43:13.213240Z
36099,Seneca,12954,0,23,27,Merged into voters' home precincts AFTER election night,83,15536,83%,83% reported,edison,2,unknown,,,,,5076,7582,158,57,81,,0,0,0,0,0,,2020-11-16T15:48:27Z,19.34538,R+19,Trump +19,republican,19.34538,13980,11,13266,-9.08,new-york,2020-11-20T00:43:13.213240Z
36085,Staten Island,178751,0,255,289,Merged into voters' home precincts AFTER election night,88,202691,88%,88% reported,edison,2,unknown,,,,,67223,110094,719,504,211,,0,0,0,0,0,,2020-11-16T15:48:24Z,23.98364,R+24,Trump +24,republican,23.98364,180960,15.1,154176,-2.57,new-york,2020-11-20T00:43:13.213240Z
36101,Steuben,38797,0,70,85,Merged into voters' home precincts AFTER election night,82,47042,82%,82% reported,edison,2,unknown,,,,,11299,26781,473,116,128,,0,0,0,0,0,,2020-11-16T15:48:27Z,39.90515,R+40,Trump +40,republican,39.90515,42002,34.1,38531,16.01,new-york,2020-11-20T00:43:13.213240Z
36103,Suffolk,601261,0,829,1052,Merged into voters' home precincts AFTER election night,79,763004,79%,79% reported,edison,4,none,,,,,259463,333617,3578,1496,1961,1146,0,0,0,0,0,0,2020-11-16T15:48:27Z,12.33308,R+12,Trump +12,republican,12.33308,681254,6.8,594266,-3.69,new-york,2020-11-20T00:43:13.213240Z
36105,Sullivan,26931,0,59,73,Merged into voters' home precincts AFTER election night,80,33550,80%,80% reported,edison,2,unknown,,,,,10995,15555,207,86,88,,0,0,0,0,0,,2020-11-16T15:48:28Z,16.93216,R+17,Trump +17,republican,16.93216,29955,11.2,28415,-9.02,new-york,2020-11-20T00:43:13.213240Z
36107,Tioga,24769,4214,34,41,Merged into voters' home precincts AFTER election night,99,24975,>98%,>98% reported,edison,2,unknown,,,,,9498,14616,412,88,97,58,2774,1324,58,24,20,14,2020-11-18T16:33:41Z,20.66293,R+21,Trump +21,republican,20.66293,22299,25.7,21589,14.76,new-york,2020-11-20T00:43:13.213240Z
36109,Tompkins,33142,0,44,63,Merged into voters' home precincts AFTER election night,69,47799,69%,69% reported,edison,2,unknown,,,,,22627,9644,389,258,105,119,0,0,0,0,0,0,2020-11-19T15:33:36Z,39.17386,D+39,Biden +39,democrat,-39.17386,42678,-43.4,39781,-40.56,new-york,2020-11-20T00:43:13.213240Z
36111,Ulster,77667,0,137,168,Merged into voters' home precincts AFTER election night,81,95525,81%,81% reported,edison,2,unknown,,,,,42606,33580,735,458,288,,0,0,0,0,0,,2020-11-16T15:48:29Z,11.62141,D+12,Biden +12,democrat,-11.62141,85290,-11,78315,-22.86,new-york,2020-11-20T00:43:13.213240Z
36113,Warren,27625,0,15,19,Merged into voters' home precincts AFTER election night,79,35177,79%,79% reported,edison,2,unknown,,,,,11811,15200,338,152,124,,0,0,0,0,0,,2020-11-16T15:48:29Z,12.26787,R+12,Trump +12,republican,12.26787,31408,8.5,29578,-2.32,new-york,2020-11-20T00:43:13.213240Z
36115,Washington,23607,0,43,50,Merged into voters' home precincts AFTER election night,86,27471,86%,86% reported,edison,2,unknown,,,,,8537,14577,289,106,98,,0,0,0,0,0,,2020-11-16T15:48:29Z,25.58563,R+26,Trump +26,republican,25.58563,24528,18.4,23095,-1.9,new-york,2020-11-20T00:43:13.213240Z
36117,Wayne,37425,0,56,67,Merged into voters' home precincts AFTER election night,84,44449,84%,84% reported,edison,2,unknown,,,,,12799,23734,573,149,170,,0,0,0,0,0,,2020-11-16T15:48:30Z,29.21844,R+29,Trump +29,republican,29.21844,39687,25,37547,9.12,new-york,2020-11-20T00:43:13.213240Z
36119,Westchester,350749,0,942,942,Merged into voters' home precincts AFTER election night,56,630000,56%,56% reported,edison,2,none,,,,,220963,126013,1953,892,928,0,0,0,0,0,0,0,2020-11-16T15:47:41Z,27.07064,D+27,Biden +27,democrat,-27.07064,420655,-33.7,388447,-25.14,new-york,2020-11-20T00:43:13.213240Z
36121,Wyoming,19431,0,40,40,Merged into voters' home precincts AFTER election night,100,19374,>98%,>98% reported,edison,2,unknown,,,,,5073,13897,267,63,93,38,0,0,0,0,0,0,2020-11-16T18:55:07Z,45.41197,R+45,Trump +45,republican,45.41197,17298,49.4,16335,28.69,new-york,2020-11-20T00:43:13.213240Z
36123,Yates,10741,0,18,18,Merged into voters' home precincts AFTER election night,95,11274,95%,95% reported,edison,2,unknown,,,,,4217,6208,165,60,59,32,0,0,0,0,0,0,2020-11-16T15:47:44Z,18.53645,R+19,Trump +19,republican,18.53645,10066,19.9,9442,3.28,new-york,2020-11-20T00:43:13.213240Z
