fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_carrollb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_carrollb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55101,Racine,106441,0,64,64,Merged into voters' home precincts and released with cumulative results,100,106441,>98%,>98% reported,edison,6,unknown,,50558,,,50154,54475,1200,169,150,293,0,0,0,0,0,0,2020-11-11T03:25:17Z,4.05953,R+4,Trump +4,republican,4.05953,94302,4.3,103364,-3.54,wisconsin,2020-11-12T00:35:04.863642Z
55103,Richland,9016,0,34,34,Merged into voters' home precincts and released with cumulative results,100,8745,>98%,>98% reported,edison,6,all,,1485,,,3995,4877,94,25,14,11,0,0,0,0,0,0,2020-11-11T03:25:18Z,9.78261,R+10,Trump +10,republican,9.78261,8069,5.5,8655,-16.13,wisconsin,2020-11-12T00:35:04.863642Z
55105,Rock,85348,0,100,100,Merged into voters' home precincts and released with cumulative results,100,85348,>98%,>98% reported,edison,6,unknown,,26755,,,46649,37133,1094,152,122,198,0,0,0,0,0,0,2020-11-11T03:25:08Z,11.14965,D+11,Biden +11,democrat,-11.14965,76074,-10.3,80690,-23.18,wisconsin,2020-11-12T00:35:04.863642Z
55107,Rusk,7881,0,33,33,Released as a separate subtotal at the end of tabulation,100,7881,>98%,>98% reported,edison,6,unknown,,1175,,,2517,5257,85,12,8,2,0,0,0,0,0,0,2020-11-11T03:25:09Z,34.76716,R+35,Trump +35,republican,34.76716,7088,33.8,7191,3.88,wisconsin,2020-11-12T00:35:04.863642Z
55111,Sauk,36249,0,41,41,Merged into voters' home precincts and released with cumulative results,100,36249,>98%,>98% reported,edison,6,unknown,,9943,,,18103,17489,441,50,89,77,0,0,0,0,0,0,2020-11-11T03:25:11Z,1.69384,D+1.7,Biden +1.7,democrat,-1.69384,31357,0.3,31927,-18.47,wisconsin,2020-11-12T00:35:04.863642Z
55113,Sawyer,10479,0,21,21,Merged into voters' home precincts and released with cumulative results,100,10479,>98%,>98% reported,edison,6,unknown,,2219,,,4494,5883,60,17,9,16,0,0,0,0,0,0,2020-11-11T03:25:12Z,13.25508,R+13,Trump +13,republican,13.25508,9137,18.4,9025,-0.49,wisconsin,2020-11-12T00:35:04.863642Z
55115,Shawano,22878,0,43,43,Merged into voters' home precincts and released with cumulative results,100,22878,>98%,>98% reported,edison,6,all,,4344,,,7131,15447,250,33,17,0,0,0,0,0,0,0,2020-11-11T03:25:13Z,36.34933,R+36,Trump +36,republican,36.34933,19810,33.8,20279,9.97,wisconsin,2020-11-12T00:35:04.863642Z
55117,Sheboygan,66020,0,54,54,None,100,66020,>98%,>98% reported,edison,6,unknown,,15814,,,27109,37624,896,135,91,165,0,0,0,0,0,0,2020-11-11T03:25:03Z,15.92699,R+16,Trump +16,republican,15.92699,59766,15.9,62651,9.82,wisconsin,2020-11-12T00:35:04.863642Z
55109,St. Croix,56701,0,42,42,Merged into voters' home precincts and released with cumulative results,100,56701,>98%,>98% reported,edison,6,all,,11700,,,23190,32190,878,115,169,159,0,0,0,0,0,0,2020-11-11T03:25:10Z,15.87274,R+16,Trump +16,republican,15.87274,47508,18.4,46225,12.1,wisconsin,2020-11-12T00:35:04.863642Z
55119,Taylor,10683,0,27,27,Merged into voters' home precincts and released with cumulative results,100,10683,>98%,>98% reported,edison,6,all,,1742,,,2693,7656,119,31,179,5,0,0,0,0,0,0,2020-11-11T03:25:04Z,46.45699,R+46,Trump +46,republican,46.45699,9471,44.2,9512,19.32,wisconsin,2020-11-12T00:35:04.863642Z
55121,Trempealeau,15356,0,26,26,Merged into voters' home precincts and released with cumulative results,100,15356,>98%,>98% reported,edison,6,unknown,,1841,,,6283,8828,171,38,21,15,0,0,0,0,0,0,2020-11-11T03:25:05Z,16.57333,R+17,Trump +17,republican,16.57333,13687,12.6,13481,-14.08,wisconsin,2020-11-12T00:35:04.863642Z
55123,Vernon,15910,0,33,33,Merged into voters' home precincts and released with cumulative results,100,15910,>98%,>98% reported,edison,6,unknown,,2379,,,7457,8216,28,26,180,3,0,0,0,0,0,0,2020-11-11T03:25:06Z,4.77058,R+5,Trump +5,republican,4.77058,14275,4.4,14269,-14.73,wisconsin,2020-11-12T00:35:04.863642Z
55125,Vilas,15338,0,15,15,Released as a separate subtotal at the end of tabulation,100,15338,>98%,>98% reported,edison,6,unknown,,3774,,,5903,9261,138,22,14,0,0,0,0,0,0,0,2020-11-11T03:25:06Z,21.89334,R+22,Trump +22,republican,21.89334,13611,25,13842,12.99,wisconsin,2020-11-12T00:35:04.863642Z
55127,Walworth,57588,0,42,42,Merged into voters' home precincts and released with cumulative results,100,57588,>98%,>98% reported,edison,6,all,,15985,,,22783,33844,641,98,75,147,0,0,0,0,0,0,2020-11-11T03:25:07Z,19.20713,R+19,Trump +19,republican,19.20713,51391,19.8,52303,12.34,wisconsin,2020-11-12T00:35:04.863642Z
55129,Washburn,10371,0,25,25,Merged into voters' home precincts and released with cumulative results,100,10371,>98%,>98% reported,edison,6,all,,1629,,,3867,6332,123,19,12,18,0,0,0,0,0,0,2020-11-11T03:25:53Z,23.7682,R+24,Trump +24,republican,23.7682,9193,23.4,9287,2.71,wisconsin,2020-11-12T00:35:04.863642Z
55131,Washington,88254,0,45,45,Merged into voters' home precincts and released with cumulative results,100,88254,>98%,>98% reported,edison,6,unknown,,37698,,,26647,60235,941,125,78,228,0,0,0,0,0,0,2020-11-11T03:24:57Z,38.05833,R+38,Trump +38,republican,38.05833,76757,40.2,78742,40.13,wisconsin,2020-11-12T00:35:04.863642Z
55133,Waukesha,267957,0,213,213,Merged into voters' home precincts and released with cumulative results,100,267957,>98%,>98% reported,edison,6,unknown,,137354,,,103867,159633,3023,305,331,798,0,0,0,0,0,0,2020-11-11T03:24:59Z,20.81155,R+21,Trump +21,republican,20.81155,237593,26.7,243856,34.45,wisconsin,2020-11-12T00:35:04.863642Z
55135,Waupaca,29118,0,39,39,Merged into voters' home precincts and released with cumulative results,100,29118,>98%,>98% reported,edison,6,all,,6316,,,9699,18948,357,48,29,37,0,0,0,0,0,0,2020-11-11T03:25:00Z,31.76386,R+32,Trump +32,republican,31.76386,26095,29.7,25840,9.38,wisconsin,2020-11-12T00:35:04.863642Z
55137,Waushara,13564,0,26,26,Merged into voters' home precincts and released with cumulative results,100,13564,>98%,>98% reported,edison,6,unknown,,2251,,,4388,9016,113,29,18,0,0,0,0,0,0,0,2020-11-11T03:25:01Z,34.11973,R+34,Trump +34,republican,34.11973,12074,32.1,12048,10.18,wisconsin,2020-11-12T00:35:04.863642Z
55139,Winnebago,94032,0,90,90,Merged into voters' home precincts and released with cumulative results,100,94032,>98%,>98% reported,edison,6,unknown,,37481,,,44060,47795,1629,168,138,242,0,0,0,0,0,0,2020-11-11T03:25:03Z,3.97205,R+4,Trump +4,republican,3.97205,87135,7.3,89173,-3.73,wisconsin,2020-11-12T00:35:04.863642Z
55141,Wood,41197,0,44,44,Merged into voters' home precincts and released with cumulative results,100,41196,>98%,>98% reported,edison,6,unknown,,11250,,,16360,24307,402,79,49,0,0,0,0,0,0,0,2020-11-11T03:25:53Z,19.29024,R+19,Trump +19,republican,19.29024,37818,19.2,38900,2.89,wisconsin,2020-11-12T00:35:04.863642Z
