fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36039,Greene,20882,0,44,52,Merged into voters' home precincts AFTER election night,85,24696,85%,85% reported,edison,4,none,,,,,7675,12722,266,90,78,51,0,0,0,0,0,0,2020-11-11T03:25:36Z,24.16914,R+24,Trump +24,republican,24.16914,22050,25.7,20668,10.37,new-york,2020-11-12T00:35:44.859320Z
36041,Hamilton,2825,0,9,11,Merged into voters' home precincts AFTER election night,78,3612,78%,78% reported,edison,2,unknown,,,,,863,1917,34,5,6,,0,0,0,0,0,,2020-11-11T03:25:36Z,37.30973,R+37,Trump +37,republican,37.30973,3225,34.6,3113,25.83,new-york,2020-11-12T00:35:44.859320Z
36043,Herkimer,24766,0,50,59,Merged into voters' home precincts AFTER election night,84,29406,84%,84% reported,edison,2,unknown,,,,,7282,17038,239,80,80,47,0,0,0,0,0,0,2020-11-11T03:25:37Z,39.39272,R+39,Trump +39,republican,39.39272,26255,32.8,25040,8.02,new-york,2020-11-12T00:35:44.859320Z
36045,Jefferson,35530,0,57,69,Merged into voters' home precincts AFTER election night,83,42824,83%,83% reported,edison,2,unknown,,,,,12053,22779,423,128,147,,0,0,0,0,0,,2020-11-11T03:25:38Z,30.18857,R+30,Trump +30,republican,30.18857,38236,20.8,35708,2.86,new-york,2020-11-12T00:35:44.859320Z
36049,Lewis,10878,0,31,36,Merged into voters' home precincts AFTER election night,86,12684,86%,86% reported,edison,2,unknown,,,,,2768,7931,110,28,41,,0,0,0,0,0,,2020-11-11T03:25:39Z,47.46277,R+47,Trump +47,republican,47.46277,11325,37.6,10522,8.81,new-york,2020-11-12T00:35:44.859320Z
36051,Livingston,26333,0,31,40,Merged into voters' home precincts AFTER election night,78,33635,78%,78% reported,edison,2,unknown,,,,,9150,16575,399,97,112,,0,0,0,0,0,,2020-11-11T03:25:40Z,28.19656,R+28,Trump +28,republican,28.19656,30031,22,26770,10.25,new-york,2020-11-12T00:35:44.859320Z
36053,Madison,27698,0,43,52,Merged into voters' home precincts AFTER election night,82,33672,82%,82% reported,edison,4,unknown,,,,,10417,16553,390,147,123,68,0,0,0,0,0,0,2020-11-11T03:25:41Z,22.15322,R+22,Trump +22,republican,22.15322,30064,14.2,28094,-0.89,new-york,2020-11-12T00:35:44.859320Z
36061,Manhattan,446861,0,706,1183,Merged into voters' home precincts AFTER election night,60,749213,60%,60% reported,edison,2,none,,,,,377605,65001,2050,1776,429,0,0,0,0,0,0,0,2020-11-11T03:25:45Z,69.95553,D+70,Biden +70,democrat,-69.95553,668940,-76.9,599747,-68.82,new-york,2020-11-12T00:35:44.859320Z
36055,Monroe,276241,0,586,827,Merged into voters' home precincts AFTER election night,71,389525,71%,71% reported,edison,4,unknown,,,,,146403,122995,3715,1001,1256,871,0,0,0,0,0,0,2020-11-11T03:25:43Z,8.47376,D+8,Biden +8,democrat,-8.47376,347790,-15,333813,-18.02,new-york,2020-11-12T00:35:44.859320Z
36057,Montgomery,17615,0,16,19,Merged into voters' home precincts AFTER election night,88,20000,88%,88% reported,edison,4,unknown,,,,,5746,11500,215,64,70,20,0,0,0,0,0,0,2020-11-11T03:25:44Z,32.66534,R+33,Trump +33,republican,32.66534,19054,24.7,18186,4.62,new-york,2020-11-12T00:35:44.859320Z
36059,Nassau,572706,0,952,1205,Merged into voters' home precincts AFTER election night,88,650000,88%,88% reported,edison,4,unknown,,,,,280288,286661,2823,1439,1495,,0,0,0,0,0,,2020-11-11T03:25:45Z,1.11279,R+1.1,Trump +1.1,republican,1.11279,647122,-6.2,568151,-7.64,new-york,2020-11-12T00:35:44.859320Z
36063,Niagara,87821,0,153,180,Merged into voters' home precincts AFTER election night,85,103490,85%,85% reported,edison,2,unknown,,,,,34809,51355,972,283,402,,0,0,0,0,0,,2020-11-11T03:25:46Z,18.8406,R+19,Trump +19,republican,18.8406,92402,17.8,89013,-0.84,new-york,2020-11-12T00:35:44.859320Z
36065,Oneida,84099,0,158,192,Merged into voters' home precincts AFTER election night,83,101930,83%,83% reported,edison,2,unknown,,,,,30542,51950,1004,293,310,,0,0,0,0,0,,2020-11-11T03:25:46Z,25.45571,R+25,Trump +25,republican,25.45571,91009,19.4,86700,4.69,new-york,2020-11-12T00:35:44.859320Z
