fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34021,Mercer,172679,0,233,243,None,96,180008,96%,96% reported,edison,4,some,,21542,,,117821,52248,1059,1210,258,83,0,0,0,0,0,0,2020-11-24T13:24:30Z,37.97393,D+38,Booker +38,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34023,Middlesex,366303,0,615,615,Other,98,375017,98%,98% reported,edison,4,some,,56703,,,221799,135395,3113,3595,2018,383,0,0,0,0,0,0,2020-11-24T13:24:31Z,23.58812,D+24,Booker +24,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34025,Monmouth,372398,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,some,,47571,,,173609,191700,1690,4472,883,44,0,0,0,0,0,0,2020-11-24T13:24:31Z,4.85797,R+5,Mehta +5,republican,new-jersey,2020-11-28T00:49:35.000205Z
34027,Morris,291231,0,396,396,Merged into voters' home precincts and released with cumulative results,100,287978,>98%,>98% reported,edison,2,unknown,,33525,,,146148,141373,1150,1751,552,257,0,0,0,0,0,0,2020-11-24T13:24:31Z,1.63959,D+1.6,Booker +1.6,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34029,Ocean,329669,260531,413,413,Released as a separate subtotal as first report of the night,100,315516,>98%,>98% reported,edison,4,some,,43803,,,116036,207751,2207,2769,525,381,96301,160141,1508,1938,376,267,2020-11-24T13:24:31Z,27.82033,R+28,Mehta +28,republican,new-jersey,2020-11-28T00:49:35.000205Z
34031,Passaic,218758,109504,277,284,None,98,224022,98%,98% reported,edison,2,unknown,,17333,,,131195,80827,3105,2550,938,143,67838,39132,1037,1062,371,64,2020-11-24T13:24:32Z,23.02453,D+23,Booker +23,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34033,Salem,33510,0,45,45,None,99,33926,>98%,>98% reported,edison,4,some,,3501,,,14480,17873,408,522,176,51,0,0,0,0,0,0,2020-11-24T13:24:32Z,10.12534,R+10,Mehta +10,republican,new-jersey,2020-11-28T00:49:35.000205Z
34035,Somerset,183992,0,265,265,Released as a separate subtotal as first report of the night,100,180656,>98%,>98% reported,edison,2,some,,24227,,,105681,75650,656,1609,253,143,0,0,0,0,0,0,2020-11-24T13:22:43Z,16.32191,D+16,Booker +16,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34037,Sussex,86310,75184,119,119,Merged into voters' home precincts and released with cumulative results,100,85245,>98%,>98% reported,edison,4,some,,9122,,,33853,49763,626,1645,242,181,30271,42755,482,1336,196,144,2020-11-24T13:22:45Z,18.43355,R+18,Mehta +18,republican,new-jersey,2020-11-28T00:49:35.000205Z
34039,Union,247768,120577,418,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,166937,76639,1913,1582,519,178,86793,32261,612,641,195,75,2020-11-24T13:22:49Z,36.44458,D+36,Booker +36,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34041,Warren,59726,52262,22,22,Merged into voters' home precincts and released with cumulative results,100,56621,>98%,>98% reported,edison,4,some,,7469,,,24124,33893,478,959,186,86,21563,29305,370,797,155,72,2020-11-24T13:22:51Z,16.35636,R+16,Mehta +16,republican,new-jersey,2020-11-28T00:49:35.000205Z
