fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47089,Jefferson,16994,0,8,11,Released as a separate subtotal as first report of the night,74,22921,74%,74% reported,edison,2,unknown,,13703,,,13137,3218,86,333,31,39,56,13,19,19,43,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:57Z,58.36766,R+58,Hagerty +58,republican,tennessee,2020-11-14T00:45:46.362289Z
47091,Johnson,7346,0,10,10,Released as a separate subtotal as first report of the night,96,7632,96%,96% reported,edison,2,unknown,,5107,,,6057,1111,34,21,22,33,20,8,23,5,12,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,67.32916,R+67,Hagerty +67,republican,tennessee,2020-11-14T00:45:46.362289Z
47093,Knox,216582,170854,89,89,Released as a separate subtotal as first report of the night,99,219869,>98%,>98% reported,edison,4,some,,164850,,,128464,84552,1014,862,398,228,212,155,295,224,178,97459,71055,677,610,234,150,135,90,182,149,113,2020-11-11T03:25:59Z,20.275,R+20,Hagerty +20,republican,tennessee,2020-11-14T00:45:46.362289Z
47095,Lake,1930,0,3,3,"Released as first report, then NOT included in cumulative results",80,2421,80%,80% reported,edison,2,unknown,,1301,,,1361,493,8,4,10,15,5,9,4,2,19,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:50Z,44.97409,R+45,Hagerty +45,republican,tennessee,2020-11-14T00:45:46.362289Z
47097,Lauderdale,8484,0,9,10,Released as a separate subtotal as first report of the night,84,10079,84%,84% reported,edison,2,unknown,,5858,,,5551,2673,33,25,38,48,16,23,23,19,35,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:52Z,33.92268,R+34,Hagerty +34,republican,tennessee,2020-11-14T00:45:46.362289Z
47099,Lawrence,17469,0,23,24,Released as a separate subtotal as first report of the night,92,18900,92%,92% reported,edison,2,unknown,,8631,,,14270,2768,57,40,48,121,28,21,18,32,66,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:52Z,65.84235,R+66,Hagerty +66,republican,tennessee,2020-11-14T00:45:46.362289Z
47101,Lewis,5337,0,9,9,Released as a precinct as first report of the night,95,5620,95%,95% reported,edison,2,unknown,,3363,,,4233,987,24,14,7,28,7,14,10,7,6,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:53Z,60.82069,R+61,Hagerty +61,republican,tennessee,2020-11-14T00:45:46.362289Z
47103,Lincoln,15077,0,19,20,Released as a separate subtotal as first report of the night,94,16043,94%,94% reported,edison,2,unknown,,7444,,,11998,2635,78,26,70,38,32,22,36,97,45,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,62.10121,R+62,Hagerty +62,republican,tennessee,2020-11-14T00:45:46.362289Z
47105,Loudon,28611,24025,15,15,Released as a separate subtotal as first report of the night,97,29375,97%,97% reported,edison,6,all,,22705,,,21864,6047,164,74,97,73,69,24,33,121,45,18110,5397,124,56,73,57,53,20,22,78,35,2020-11-11T03:25:55Z,55.28293,R+55,Hagerty +55,republican,tennessee,2020-11-14T00:45:46.362289Z
47111,Macon,8831,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8705,>98%,>98% reported,edison,2,unknown,,5998,,,7521,1104,30,16,40,26,13,15,13,15,38,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:47Z,72.66448,R+73,Hagerty +73,republican,tennessee,2020-11-14T00:45:46.362289Z
