fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37059,Davie,24986,20100,13,14,Released as a precinct as first report of the night,99,25239,>98%,>98% reported,edison,10,unknown,,19566,,,17304,6517,772,393,13583,5645,589,283,2020-11-13T16:41:18Z,43.17218,R+43,Tillis +43,republican,north-carolina,2020-11-14T00:45:31.775372Z
37061,Duplin,22253,16628,16,19,Released as a precinct as first report of the night,99,22510,>98%,>98% reported,edison,6,all,,15685,,,12878,8595,473,307,9013,7066,329,220,2020-11-11T03:25:57Z,19.24684,R+19,Tillis +19,republican,north-carolina,2020-11-14T00:45:31.775372Z
37063,Durham,176219,161996,51,57,Released as a separate subtotal as first report of the night,98,179996,98%,98% reported,edison,6,unknown,,171389,,,33442,136726,4866,1185,28738,128133,4122,1003,2020-11-13T01:53:55Z,58.61116,D+59,Cunningham +59,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37065,Edgecombe,25211,20224,17,21,Released as a precinct as first report of the night,99,25476,>98%,>98% reported,edison,10,unknown,,28931,,,8539,15892,504,276,6166,13475,381,202,2020-11-13T15:26:06Z,29.16584,D+29,Cunningham +29,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37067,Forsyth,197334,167563,89,101,Released as a precinct as first report of the night,98,201262,98%,98% reported,edison,10,unknown,,181062,,,82396,106125,6393,2420,66194,94577,4952,1840,2020-11-13T19:03:59Z,12.02479,D+12,Cunningham +12,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37069,Franklin,36857,30055,17,18,Released as a separate subtotal as first report of the night,99,37349,>98%,>98% reported,edison,10,some,,25408,,,19516,15558,1227,556,15014,13686,948,407,2020-11-13T18:16:54Z,10.7388,R+11,Tillis +11,republican,north-carolina,2020-11-14T00:45:31.775372Z
37071,Gaston,112546,94917,43,46,Released as a precinct as first report of the night,97,115498,97%,97% reported,edison,10,some,,96085,,,68548,38939,3424,1635,56903,34105,2650,1259,2020-11-13T02:34:50Z,26.30835,R+26,Tillis +26,republican,north-carolina,2020-11-14T00:45:31.775372Z
37073,Gates,5867,4332,5,6,Released as a precinct as first report of the night,98,5965,98%,98% reported,edison,10,unknown,,3654,,,3195,2468,130,74,2118,2083,82,49,2020-11-13T17:58:13Z,12.39134,R+12,Tillis +12,republican,north-carolina,2020-11-14T00:45:31.775372Z
37075,Graham,4510,3400,3,4,Released as a precinct as first report of the night,97,4659,97%,97% reported,edison,10,some,,3416,,,3325,1005,93,87,2460,808,72,60,2020-11-12T17:04:13Z,51.44124,R+51,Tillis +51,republican,north-carolina,2020-11-14T00:45:31.775372Z
37077,Granville,31362,26560,14,15,Released as a separate subtotal as first report of the night,99,31596,>98%,>98% reported,edison,10,unknown,,28165,,,15690,14368,908,396,12934,12604,713,309,2020-11-13T16:50:33Z,4.21529,R+4,Tillis +4,republican,north-carolina,2020-11-14T00:45:31.775372Z
37079,Greene,8671,6638,9,10,Released as a precinct as first report of the night,99,8753,>98%,>98% reported,edison,10,unknown,,7894,,,4578,3829,187,77,3228,3227,124,59,2020-11-13T16:02:05Z,8.63799,R+9,Tillis +9,republican,north-carolina,2020-11-14T00:45:31.775372Z
37081,Guilford,279644,236604,143,165,Released as a precinct as first report of the night,99,281201,>98%,>98% reported,edison,6,all,,278304,,,104009,164406,8452,2777,83409,144500,6579,2116,2020-11-11T03:26:20Z,21.59782,D+22,Cunningham +22,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37083,Halifax,25306,20165,15,19,"As a precinct in the FIRST cumulative report, along with regular precincts",99,25485,>98%,>98% reported,edison,10,unknown,,24816,,,9358,15272,444,232,7055,12619,320,171,2020-11-11T03:26:22Z,23.36995,D+23,Cunningham +23,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37085,Harnett,57325,48570,13,13,Released as a precinct as first report of the night,98,58293,98%,98% reported,edison,10,some,,39147,,,33071,21281,2077,896,27585,18614,1650,721,2020-11-13T01:55:07Z,20.56694,R+21,Tillis +21,republican,north-carolina,2020-11-14T00:45:31.775372Z
37087,Haywood,36092,29050,27,29,Released as a separate subtotal as first report of the night,99,36457,>98%,>98% reported,edison,10,unknown,,25560,,,21377,13056,1073,586,16366,11474,784,426,2020-11-13T17:39:33Z,23.05497,R+23,Tillis +23,republican,north-carolina,2020-11-14T00:45:31.775372Z
37089,Henderson,67446,56299,32,35,Released as a separate subtotal as first report of the night,99,68219,>98%,>98% reported,edison,10,unknown,,53818,,,39145,25620,1922,759,31233,23090,1413,563,2020-11-13T18:19:47Z,20.05308,R+20,Tillis +20,republican,north-carolina,2020-11-14T00:45:31.775372Z
37091,Hertford,10364,8361,11,13,Released as a precinct as first report of the night,98,10620,98%,98% reported,edison,10,some,,10362,,,3297,6796,153,118,2377,5775,120,89,2020-11-13T17:58:55Z,33.7611,D+34,Cunningham +34,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37093,Hoke,21868,17505,14,15,Released as a precinct as first report of the night,99,22016,>98%,>98% reported,edison,10,unknown,,17363,,,8866,11691,932,379,6642,9899,670,294,2020-11-13T15:29:44Z,12.91842,D+13,Cunningham +13,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37095,Hyde,2449,1228,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",98,2492,98%,98% reported,edison,10,unknown,,1194,,,1307,1064,52,26,527,663,23,15,2020-11-12T17:14:53Z,9.92242,R+10,Tillis +10,republican,north-carolina,2020-11-14T00:45:31.775372Z
37097,Iredell,100318,82029,28,29,Released as a precinct as first report of the night,98,102361,98%,98% reported,edison,10,some,,70424,,,63757,31495,3407,1659,50704,27493,2594,1238,2020-11-13T16:05:21Z,32.15973,R+32,Tillis +32,republican,north-carolina,2020-11-14T00:45:31.775372Z
37099,Jackson,21071,17389,12,13,Released as a precinct as first report of the night,99,21364,>98%,>98% reported,edison,10,all,,15877,,,10683,9315,773,300,8237,8326,600,226,2020-11-13T18:32:35Z,6.49234,R+6,Tillis +6,republican,north-carolina,2020-11-14T00:45:31.775372Z
37101,Johnston,109363,90936,36,36,Released as a precinct as first report of the night,98,111144,98%,98% reported,edison,10,unknown,,69318,,,64416,39437,3869,1641,51819,34792,3071,1254,2020-11-13T17:28:12Z,22.84045,R+23,Tillis +23,republican,north-carolina,2020-11-14T00:45:31.775372Z
37103,Jones,5421,3759,6,7,Released as a separate subtotal as first report of the night,98,5521,98%,98% reported,edison,10,unknown,,3869,,,3036,2105,180,100,1980,1599,125,55,2020-11-13T16:43:20Z,17.17395,R+17,Tillis +17,republican,north-carolina,2020-11-14T00:45:31.775372Z
37105,Lee,28560,28560,9,10,Released as a precinct as first report of the night,98,29010,98%,98% reported,edison,10,unknown,,27472,,,15345,11792,961,462,15345,11792,961,462,2020-11-13T17:44:32Z,12.44048,R+12,Tillis +12,republican,north-carolina,2020-11-14T00:45:31.775372Z
37107,Lenoir,27926,23512,18,22,Released as a separate subtotal as first report of the night,98,28380,98%,98% reported,edison,10,unknown,,31206,,,13813,13183,587,343,11237,11545,463,267,2020-11-13T17:38:34Z,2.25596,R+2,Tillis +2,republican,north-carolina,2020-11-14T00:45:31.775372Z
37109,Lincoln,49496,41330,23,23,Released as a precinct as first report of the night,99,50134,>98%,>98% reported,edison,10,unknown,,32125,,,34508,12777,1452,759,28331,11323,1106,570,2020-11-13T00:44:48Z,43.90456,R+44,Tillis +44,republican,north-carolina,2020-11-14T00:45:31.775372Z
37113,Macon,20440,16497,14,15,Released as a separate subtotal as first report of the night,99,20665,>98%,>98% reported,edison,10,some,,16526,,,13352,6230,518,340,10428,5420,395,254,2020-11-13T18:03:26Z,34.84344,R+35,Tillis +35,republican,north-carolina,2020-11-14T00:45:31.775372Z
37115,Madison,12871,10333,11,12,Released as a separate subtotal as first report of the night,98,13075,98%,98% reported,edison,10,unknown,,9320,,,7361,4964,355,191,5583,4360,254,136,2020-11-13T18:06:11Z,18.62326,R+19,Tillis +19,republican,north-carolina,2020-11-14T00:45:31.775372Z
37117,Martin,12420,8819,11,13,Released as a precinct as first report of the night,99,12540,>98%,>98% reported,edison,10,all,,9738,,,5972,6031,257,160,3738,4825,157,99,2020-11-13T16:49:54Z,0.47504,D+0.48,Cunningham +0.48,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37111,McDowell,22694,16998,16,17,Released as a precinct as first report of the night,99,22964,>98%,>98% reported,edison,10,all,,16757,,,15867,5911,562,354,11564,4831,397,206,2020-11-13T17:40:10Z,43.87063,R+44,Tillis +44,republican,north-carolina,2020-11-14T00:45:31.775372Z
37119,Mecklenburg,561794,494605,185,195,Released as a precinct as first report of the night,99,567108,>98%,>98% reported,edison,10,unknown,,448198,,,186426,350246,19702,5420,155772,318433,16042,4358,2020-11-13T20:03:04Z,29.16015,D+29,Cunningham +29,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37121,Mitchell,8876,7289,8,9,Merged into voters' home precincts and released with cumulative results,98,9027,98%,98% reported,edison,10,some,,7526,,,6687,1903,179,107,5357,1698,148,86,2020-11-13T16:16:03Z,53.89815,R+54,Tillis +54,republican,north-carolina,2020-11-14T00:45:31.775372Z
37123,Montgomery,12632,8944,12,14,Released as a separate subtotal as first report of the night,98,12849,98%,98% reported,edison,10,unknown,,7418,,,7699,4357,322,254,5226,3313,228,177,2020-11-13T16:15:16Z,26.45662,R+26,Tillis +26,republican,north-carolina,2020-11-14T00:45:31.775372Z
37125,Moore,57277,47885,24,26,Released as a precinct as first report of the night,98,58336,98%,98% reported,edison,10,unknown,,44755,,,35409,19412,1726,730,28723,17278,1326,558,2020-11-13T17:26:51Z,27.92919,R+28,Tillis +28,republican,north-carolina,2020-11-14T00:45:31.775372Z
37127,Nash,51740,42553,21,24,Released as a precinct as first report of the night,99,52269,>98%,>98% reported,edison,10,all,,50237,,,24683,25373,1102,582,19557,21712,835,449,2020-11-13T17:57:13Z,1.33359,D+1.3,Cunningham +1.3,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37129,New Hanover,128080,111503,39,43,None,97,131838,97%,97% reported,edison,10,unknown,,105584,,,60493,60651,5305,1631,51361,54730,4162,1250,2020-11-13T17:56:28Z,0.12336,D+0.12,Cunningham +0.12,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37131,Northampton,9977,7598,11,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,10109,>98%,>98% reported,edison,10,unknown,,9862,,,3708,5984,186,99,2478,4933,121,66,2020-11-13T17:43:25Z,22.81247,D+23,Cunningham +23,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37133,Onslow,69297,55843,23,24,Released as a precinct as first report of the night,96,72086,96%,96% reported,edison,10,none,,47952,,,41906,22632,3449,1310,32807,19589,2485,962,2020-11-13T16:39:20Z,27.81361,R+28,Tillis +28,republican,north-carolina,2020-11-14T00:45:31.775372Z
37135,Orange,83822,75405,33,41,Released as a precinct as first report of the night,99,84999,>98%,>98% reported,edison,10,unknown,,86510,,,20653,60768,1917,484,16115,57329,1592,369,2020-11-13T16:45:00Z,47.85736,D+48,Cunningham +48,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37137,Pamlico,7532,5860,9,10,Released as a separate subtotal as first report of the night,99,7621,>98%,>98% reported,edison,10,unknown,,7046,,,4560,2664,185,123,3372,2287,122,79,2020-11-13T15:25:33Z,25.1726,R+25,Tillis +25,republican,north-carolina,2020-11-14T00:45:31.775372Z
37139,Pasquotank,19322,15927,8,9,Released as a precinct as first report of the night,99,19512,>98%,>98% reported,edison,6,some,,20120,,,9358,9253,520,191,7181,8236,368,142,2020-11-11T03:26:35Z,0.54342,R+0.54,Tillis +0.54,republican,north-carolina,2020-11-14T00:45:31.775372Z
37141,Pender,33574,28981,18,19,Released as a precinct as first report of the night,98,34168,98%,98% reported,edison,10,all,,27966,,,20556,11215,1256,547,17640,9923,983,435,2020-11-13T16:40:42Z,27.82212,R+28,Tillis +28,republican,north-carolina,2020-11-14T00:45:31.775372Z
37143,Perquimans,7413,6180,6,7,Released as a precinct as first report of the night,99,7457,>98%,>98% reported,edison,6,unknown,,6298,,,4811,2376,139,87,3945,2059,109,67,2020-11-11T03:26:36Z,32.8477,R+33,Tillis +33,republican,north-carolina,2020-11-14T00:45:31.775372Z
37145,Person,21539,17496,10,11,Released as a separate subtotal as first report of the night,98,21898,98%,98% reported,edison,10,some,,21096,,,12164,8460,599,316,9485,7327,446,238,2020-11-13T19:05:31Z,17.19671,R+17,Tillis +17,republican,north-carolina,2020-11-14T00:45:31.775372Z
37147,Pitt,85800,71856,34,40,Released as a precinct as first report of the night,98,87365,98%,98% reported,edison,10,unknown,,82850,,,37548,44988,2436,828,30064,39270,1904,618,2020-11-13T17:55:01Z,8.67133,D+9,Cunningham +9,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37149,Polk,12174,9628,6,7,Released as a separate subtotal as first report of the night,99,12333,>98%,>98% reported,edison,10,unknown,,11688,,,7350,4407,284,133,5400,3929,210,89,2020-11-13T17:40:50Z,24.17447,R+24,Tillis +24,republican,north-carolina,2020-11-14T00:45:31.775372Z
37151,Randolph,72151,57466,20,22,Released as a separate subtotal as first report of the night,99,73216,>98%,>98% reported,edison,10,unknown,,49222,,,53079,15863,2072,1137,41953,13188,1504,821,2020-11-13T19:01:34Z,51.58071,R+52,Tillis +52,republican,north-carolina,2020-11-14T00:45:31.775372Z
37153,Richmond,20372,16140,13,16,Released as a precinct as first report of the night,98,20742,98%,98% reported,edison,10,all,,17301,,,10981,8474,565,352,8557,6884,441,258,2020-11-13T17:41:21Z,12.30611,R+12,Tillis +12,republican,north-carolina,2020-11-14T00:45:31.775372Z
37155,Robeson,43361,30313,33,39,Released as a precinct as first report of the night,98,44384,98%,98% reported,edison,6,unknown,,29189,,,23680,18193,886,602,15014,14316,596,387,2020-11-11T03:26:34Z,12.65423,R+13,Tillis +13,republican,north-carolina,2020-11-14T00:45:31.775372Z
37157,Rockingham,46829,37113,13,15,Released as a precinct as first report of the night,99,47241,>98%,>98% reported,edison,6,all,,38352,,,28710,15998,1451,670,22066,13520,1049,478,2020-11-11T03:26:35Z,27.14557,R+27,Tillis +27,republican,north-carolina,2020-11-14T00:45:31.775372Z
37159,Rowan,72269,56848,37,41,Released as a separate subtotal as first report of the night,98,73408,98%,98% reported,edison,10,unknown,,57107,,,46218,22419,2220,1412,35585,18654,1587,1022,2020-11-13T01:58:03Z,32.93113,R+33,Tillis +33,republican,north-carolina,2020-11-14T00:45:31.775372Z
37161,Rutherford,33727,25582,15,17,Released as a separate subtotal as first report of the night,98,34427,98%,98% reported,edison,10,unknown,,27253,,,23354,9056,772,545,17157,7545,517,363,2020-11-13T19:02:05Z,42.39333,R+42,Tillis +42,republican,north-carolina,2020-11-14T00:45:31.775372Z
37163,Sampson,28144,23047,20,23,None,99,28569,>98%,>98% reported,edison,6,some,,23014,,,16443,10691,627,383,13164,9107,481,295,2020-11-12T23:02:46Z,20.43775,R+20,Tillis +20,republican,north-carolina,2020-11-14T00:45:31.775372Z
37165,Scotland,14340,11781,6,7,"As a precinct in the FIRST cumulative report, along with regular precincts",97,14758,97%,97% reported,edison,6,unknown,,14203,,,7007,6795,316,222,5614,5756,240,171,2020-11-13T17:47:10Z,1.47838,R+1.5,Tillis +1.5,republican,north-carolina,2020-11-14T00:45:31.775372Z
37167,Stanly,33308,26823,20,22,Released as a separate subtotal as first report of the night,98,33947,98%,98% reported,edison,10,unknown,,26976,,,23734,7962,946,666,19032,6565,712,514,2020-11-13T02:50:07Z,47.35199,R+47,Tillis +47,republican,north-carolina,2020-11-14T00:45:31.775372Z
37169,Stokes,25307,18032,16,18,Released as a precinct as first report of the night,98,25702,98%,98% reported,edison,10,unknown,,16251,,,18478,5574,801,454,12829,4385,510,308,2020-11-13T20:01:43Z,50.98984,R+51,Tillis +51,republican,north-carolina,2020-11-14T00:45:31.775372Z
37171,Surry,36016,29411,21,24,Released as a precinct as first report of the night,98,36638,98%,98% reported,edison,10,unknown,,29027,,,25303,9181,1013,519,20347,7897,772,395,2020-11-13T13:16:08Z,44.76344,R+45,Tillis +45,republican,north-carolina,2020-11-14T00:45:31.775372Z
37173,Swain,6947,5331,5,5,Released as a separate subtotal as first report of the night,99,7051,>98%,>98% reported,edison,10,unknown,,5091,,,3838,2682,297,130,2792,2237,208,94,2020-11-13T17:45:44Z,16.64028,R+17,Tillis +17,republican,north-carolina,2020-11-14T00:45:31.775372Z
37175,Transylvania,20113,16692,14,15,Released as a separate subtotal as first report of the night,99,20344,>98%,>98% reported,edison,10,unknown,,17426,,,11155,8131,546,281,8631,7451,411,199,2020-11-13T18:20:49Z,15.03505,R+15,Tillis +15,republican,north-carolina,2020-11-14T00:45:31.775372Z
37177,Tyrrell,1782,1217,5,6,Released as a precinct as first report of the night,98,1814,98%,98% reported,edison,10,all,,1482,,,944,777,37,24,650,526,24,17,2020-11-13T16:45:36Z,9.37149,R+9,Tillis +9,republican,north-carolina,2020-11-14T00:45:31.775372Z
37179,Union,128695,108625,51,52,None,99,130652,>98%,>98% reported,edison,10,none,,96600,,,79044,44633,3704,1314,64870,39843,2895,1017,2020-11-13T20:01:14Z,26.73841,R+27,Tillis +27,republican,north-carolina,2020-11-14T00:45:31.775372Z
37181,Vance,20792,17446,10,12,Released as a precinct as first report of the night,99,20974,>98%,>98% reported,edison,10,unknown,,22971,,,7869,12232,455,236,6468,10437,361,180,2020-11-13T17:46:24Z,20.98403,D+21,Cunningham +21,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37183,Wake,625270,536392,195,206,Released as a precinct as first report of the night,99,631727,>98%,>98% reported,edison,10,all,,457848,,,231623,366670,22128,4849,183752,331620,17305,3715,2020-11-13T02:36:22Z,21.59819,D+22,Cunningham +22,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37185,Warren,10194,8270,12,14,Released as a separate subtotal as first report of the night,99,10276,>98%,>98% reported,edison,10,some,,10661,,,3506,6386,190,112,2548,5488,144,90,2020-11-13T16:44:10Z,28.25191,D+28,Cunningham +28,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37187,Washington,6134,4899,5,6,Released as a separate subtotal as first report of the night,89,6869,89%,89% reported,edison,10,unknown,,6341,,,2580,3324,126,104,1949,2781,92,77,2020-11-13T17:48:19Z,12.12912,D+12,Cunningham +12,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37189,Watauga,31764,27514,17,20,Released as a precinct as first report of the night,99,32220,>98%,>98% reported,edison,10,all,,26600,,,14161,16147,1132,324,11475,14899,886,254,2020-11-13T19:13:20Z,6.25236,D+6,Cunningham +6,democrat,north-carolina,2020-11-14T00:45:31.775372Z
