fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_grahaml,results_harrisonj,results_bledsoeb,results_absentee_grahaml,results_absentee_harrisonj,results_absentee_bledsoeb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
45035,Dorchester,77139,46577,81,81,"As a precinct in the FIRST cumulative report, along with regular precincts",100,77278,>98%,>98% reported,edison,10,unknown,,18464,,,41178,34616,1345,22434,23658,485,2020-11-12T15:38:05Z,8.50672,R+9,Graham +9,republican,south-carolina,2020-11-14T00:45:41.616383Z
45037,Edgefield,13309,7083,12,12,Released as a precinct as first report of the night,100,13309,>98%,>98% reported,edison,10,unknown,,3950,,,7988,5104,217,3803,3202,78,2020-11-12T15:27:48Z,21.66955,R+22,Graham +22,republican,south-carolina,2020-11-14T00:45:41.616383Z
45039,Fairfield,12134,6800,22,22,Released as a precinct as first report of the night,100,12136,>98%,>98% reported,edison,10,unknown,,3861,,,4556,7463,115,2116,4639,45,2020-11-12T15:27:54Z,23.95747,D+24,Harrison +24,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45041,Florence,64615,35798,63,63,Released as a precinct as first report of the night,100,64615,>98%,>98% reported,edison,10,unknown,,22227,,,32217,31748,650,14889,20657,252,2020-11-12T15:27:58Z,0.72584,R+0.73,Graham +0.73,republican,south-carolina,2020-11-14T00:45:41.616383Z
45043,Georgetown,36702,20780,34,34,None,100,36702,>98%,>98% reported,edison,10,unknown,,12821,,,20495,15867,340,10320,10339,121,2020-11-12T15:28:03Z,12.60967,R+13,Graham +13,republican,south-carolina,2020-11-14T00:45:41.616383Z
45045,Greenville,258087,93821,151,151,Released as a precinct in the middle of the night,100,258155,>98%,>98% reported,edison,10,unknown,,32851,,,149991,104980,3116,39274,53794,753,2020-11-11T03:25:35Z,17.44024,R+17,Graham +17,republican,south-carolina,2020-11-14T00:45:41.616383Z
45047,Greenwood,31987,15362,51,51,Released as a precinct as first report of the night,100,32006,>98%,>98% reported,edison,10,unknown,,10778,,,19017,12504,466,7856,7373,133,2020-11-12T15:28:08Z,20.3614,R+20,Graham +20,republican,south-carolina,2020-11-14T00:45:41.616383Z
45049,Hampton,9296,4786,18,18,Released as a precinct as first report of the night,100,9305,>98%,>98% reported,edison,10,unknown,,3520,,,3755,5459,82,1363,3407,16,2020-11-12T15:28:19Z,18.33046,D+18,Harrison +18,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45051,Horry,179513,100216,124,124,Released as a precinct as first report of the night,100,179744,>98%,>98% reported,edison,10,some,,24302,,,116512,60530,2471,58151,41169,896,2020-11-11T03:25:38Z,31.18549,R+31,Graham +31,republican,south-carolina,2020-11-14T00:45:41.616383Z
45053,Jasper,14411,7565,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,14411,>98%,>98% reported,edison,10,unknown,,3843,,,6939,7302,170,3401,4164,0,2020-11-11T16:05:16Z,2.51891,D+3,Harrison +3,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45055,Kershaw,33589,18391,34,34,Released as a precinct as first report of the night,100,33629,>98%,>98% reported,edison,10,unknown,,9565,,,20104,12904,581,9272,8898,221,2020-11-12T15:28:25Z,21.43559,R+21,Graham +21,republican,south-carolina,2020-11-14T00:45:41.616383Z
45057,Lancaster,49812,27848,36,36,Released as a separate subtotal as first report of the night,100,49868,>98%,>98% reported,edison,10,unknown,,12466,,,29572,19523,717,14509,13077,262,2020-11-11T03:25:44Z,20.17385,R+20,Graham +20,republican,south-carolina,2020-11-14T00:45:41.616383Z
45059,Laurens,30471,10704,33,33,Released as a precinct as first report of the night,100,30488,>98%,>98% reported,edison,10,unknown,,5470,,,19486,10498,487,5351,5258,95,2020-11-12T15:29:53Z,29.4969,R+29,Graham +29,republican,south-carolina,2020-11-14T00:45:41.616383Z
45061,Lee,8435,4445,22,22,None,100,8435,>98%,>98% reported,edison,10,unknown,,2691,,,2939,5426,70,1150,3270,25,2020-11-12T15:30:01Z,29.48429,D+29,Harrison +29,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45063,Lexington,144549,58324,96,96,Merged into voters' home precincts and released with cumulative results,100,144568,>98%,>98% reported,edison,10,unknown,,29053,,,91944,50256,2349,31321,26383,620,2020-11-12T15:30:36Z,28.84005,R+29,Graham +29,republican,south-carolina,2020-11-14T00:45:41.616383Z
45067,Marion,14717,8794,15,15,Released as a separate subtotal as first report of the night,100,14717,>98%,>98% reported,edison,10,unknown,,4710,,,5562,9034,121,2706,6031,57,2020-11-12T15:28:36Z,23.59176,D+24,Harrison +24,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45069,Marlboro,11448,7742,11,11,Merged into voters' home precincts AFTER election night,100,11448,>98%,>98% reported,edison,10,unknown,,7086,,,4775,6504,169,2714,4957,71,2020-11-12T15:28:39Z,15.10307,D+15,Harrison +15,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45065,McCormick,5720,3853,17,17,Released as a separate subtotal at the end of tabulation,100,5720,>98%,>98% reported,edison,10,unknown,,3494,,,2933,2746,41,1759,2067,27,2020-11-12T15:28:32Z,3.26923,R+3,Graham +3,republican,south-carolina,2020-11-14T00:45:41.616383Z
45071,Newberry,18610,9262,30,30,Released as a precinct as first report of the night,100,18631,>98%,>98% reported,edison,10,unknown,,3907,,,11239,7094,277,5007,4149,106,2020-11-12T15:28:44Z,22.27297,R+22,Graham +22,republican,south-carolina,2020-11-14T00:45:41.616383Z
45073,Oconee,40663,19699,31,31,Released as a precinct as first report of the night,100,40668,>98%,>98% reported,edison,10,all,,11104,,,29454,10576,633,12823,6678,198,2020-11-11T03:25:52Z,46.4255,R+46,Graham +46,republican,south-carolina,2020-11-14T00:45:41.616383Z
45075,Orangeburg,41240,25676,53,53,"As a precinct in the FIRST cumulative report, along with regular precincts",100,41240,>98%,>98% reported,edison,10,unknown,,17131,,,13221,27720,299,6386,19188,102,2020-11-12T15:28:48Z,35.15761,D+35,Harrison +35,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45077,Pickens,57471,24450,61,61,Released as a precinct as first report of the night,100,57546,>98%,>98% reported,edison,10,unknown,,7925,,,42505,14066,900,15829,8360,261,2020-11-12T15:28:53Z,49.48409,R+49,Graham +49,republican,south-carolina,2020-11-14T00:45:41.616383Z
45079,Richland,194045,0,149,149,Released as a separate subtotal as first report of the night,100,194045,>98%,>98% reported,edison,10,unknown,,56221,,,58894,133642,1509,0,0,0,2020-11-12T15:29:00Z,38.52096,D+39,Harrison +39,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45081,Saluda,9279,3900,18,18,Released as a separate subtotal as first report of the night,100,9279,>98%,>98% reported,edison,10,unknown,,1664,,,6107,3023,149,2147,1710,43,2020-11-12T15:29:05Z,33.23634,R+33,Graham +33,republican,south-carolina,2020-11-14T00:45:41.616383Z
45083,Spartanburg,148454,63806,98,98,Released as a precinct as first report of the night,100,148655,>98%,>98% reported,edison,10,all,,30728,,,91594,54475,2385,32007,31145,654,2020-11-11T03:25:56Z,25.0037,R+25,Graham +25,republican,south-carolina,2020-11-14T00:45:41.616383Z
45085,Sumter,48919,31845,58,58,Released as a precinct in the middle of the night,100,48920,>98%,>98% reported,edison,10,unknown,,24925,,,20524,27791,604,11660,19899,286,2020-11-12T15:29:13Z,14.85517,D+15,Harrison +15,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45087,Union,13222,5613,23,23,Released as a precinct as first report of the night,100,13257,>98%,>98% reported,edison,10,unknown,,2534,,,7868,5105,249,2957,2591,65,2020-11-12T15:29:18Z,20.89699,R+21,Graham +21,republican,south-carolina,2020-11-14T00:45:41.616383Z
45089,Williamsburg,16009,9411,28,28,None,100,16009,>98%,>98% reported,edison,10,unknown,,5763,,,5409,10493,107,2304,7067,40,2020-11-12T15:29:22Z,31.75714,D+32,Harrison +32,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45091,York,143882,69658,96,96,None,100,144050,>98%,>98% reported,edison,10,unknown,,33674,,,80912,60738,2232,32010,37042,606,2020-11-11T03:25:59Z,14.02121,R+14,Graham +14,republican,south-carolina,2020-11-14T00:45:41.616383Z
