fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
31119,Madison,15765,0,22,23,Released as a precinct as first report of the night,99,15924,>98%,>98% reported,edison,2,unknown,,4174,,,11940,3478,347,,0,0,0,,2020-11-21T00:00:41Z,53.67586,R+54,Trump +54,republican,53.67586,14343,55.2,13885,47.37,nebraska,2020-11-23T00:45:08.962346Z
31117,McPherson,302,0,1,1,Other,100,301,>98%,>98% reported,edison,6,unknown,,138,,,275,17,10,,0,0,0,,2020-11-16T15:47:46Z,85.43046,R+85,Trump +85,republican,85.43046,287,84.7,291,67.35,nebraska,2020-11-23T00:45:08.962346Z
31121,Merrick,4267,0,15,15,Released as a precinct as first report of the night,100,4243,>98%,>98% reported,edison,2,unknown,,3923,,,3407,740,95,25,0,0,0,0,2020-11-16T15:47:48Z,62.50293,R+63,Trump +63,republican,62.50293,3788,61.4,3489,44.86,nebraska,2020-11-23T00:45:08.962346Z
31123,Morrill,2558,0,10,10,Released as a precinct as first report of the night,100,2474,>98%,>98% reported,edison,2,unknown,,1216,,,2113,386,58,1,0,0,0,0,2020-11-16T15:47:49Z,67.51368,R+68,Trump +68,republican,67.51368,2209,68.7,2190,55.98,nebraska,2020-11-23T00:45:08.962346Z
31125,Nance,1828,0,7,7,Released as a precinct at the end of tabulation,100,1816,>98%,>98% reported,edison,2,unknown,,643,,,1437,359,32,,0,0,0,,2020-11-16T15:47:49Z,58.97155,R+59,Trump +59,republican,58.97155,1621,60.5,1621,38.56,nebraska,2020-11-23T00:45:08.962346Z
31127,Nemaha,3423,0,9,9,Released as a precinct as first report of the night,95,3585,95%,95% reported,edison,2,unknown,,1205,,,2428,921,74,,0,0,0,,2020-11-16T15:47:50Z,44.02571,R+44,Trump +44,republican,44.02571,3161,42.1,3214,27.5,nebraska,2020-11-23T00:45:08.962346Z
31129,Nuckolls,2303,0,8,9,Released as a precinct as first report of the night,93,2470,93%,93% reported,edison,2,unknown,,470,,,1857,409,37,,0,0,0,,2020-11-16T15:47:50Z,62.87451,R+63,Trump +63,republican,62.87451,2205,62.3,2191,45.92,nebraska,2020-11-23T00:45:08.962346Z
31131,Otoe,8315,3828,14,14,Released as a precinct as first report of the night,100,8306,>98%,>98% reported,edison,6,all,,2920,,,5649,2490,176,,2105,1638,85,,2020-11-16T15:47:51Z,37.99158,R+38,Trump +38,republican,37.99158,7457,38,6982,24.31,nebraska,2020-11-23T00:45:08.962346Z
31133,Pawnee,1429,0,6,6,Merged into voters' home precincts AFTER election night,95,1497,95%,95% reported,edison,2,unknown,,504,,,1071,322,36,,0,0,0,,2020-11-16T15:47:52Z,52.41428,R+52,Trump +52,republican,52.41428,1327,52.4,1341,37.21,nebraska,2020-11-23T00:45:08.962346Z
31135,Perkins,1544,850,4,4,Released as a precinct as first report of the night,95,1630,95%,95% reported,edison,2,some,,912,,,1321,199,24,,660,178,12,,2020-11-16T15:47:52Z,72.66839,R+73,Trump +73,republican,72.66839,1455,72.6,1394,64.35,nebraska,2020-11-23T00:45:08.962346Z
31137,Phelps,5009,0,13,14,Released as a precinct as first report of the night,95,5258,95%,95% reported,edison,2,unknown,,1421,,,4157,752,100,,0,0,0,,2020-11-16T15:47:53Z,67.97764,R+68,Trump +68,republican,67.97764,4695,69.8,4380,57.53,nebraska,2020-11-23T00:45:08.962346Z
31139,Pierce,4006,0,6,6,Released as a precinct as first report of the night,99,4066,>98%,>98% reported,edison,2,unknown,,1102,,,3462,480,64,,0,0,0,,2020-11-16T15:47:54Z,74.43834,R+74,Trump +74,republican,74.43834,3630,73.6,3431,60.33,nebraska,2020-11-23T00:45:08.962346Z
31141,Platte,15673,0,31,32,Released as a precinct as first report of the night,97,16165,97%,97% reported,edison,2,unknown,,5291,,,12186,3260,227,,0,0,0,,2020-11-21T00:00:41Z,56.95145,R+57,Trump +57,republican,56.95145,14433,57.6,13473,51.31,nebraska,2020-11-23T00:45:08.962346Z
31143,Polk,2879,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2892,>98%,>98% reported,edison,2,unknown,,954,,,2291,530,58,,0,0,0,,2020-11-21T00:00:41Z,61.16707,R+61,Trump +61,republican,61.16707,2582,62.5,2457,55.43,nebraska,2020-11-23T00:45:08.962346Z
31145,Red Willow,5452,0,13,14,Merged into voters' home precincts and released with cumulative results,94,5790,94%,94% reported,edison,2,unknown,,1754,,,4525,811,116,,0,0,0,,2020-11-16T15:47:56Z,68.12179,R+68,Trump +68,republican,68.12179,5175,69.8,4936,59.54,nebraska,2020-11-23T00:45:08.962346Z
31147,Richardson,4126,0,15,15,Released as a separate subtotal as first report of the night,97,4262,97%,97% reported,edison,2,unknown,,1536,,,3073,996,57,,0,0,0,,2020-11-16T15:47:57Z,50.33931,R+50,Trump +50,republican,50.33931,3805,51.3,3739,33.48,nebraska,2020-11-23T00:45:08.962346Z
31149,Rock,841,0,2,2,Released as a precinct as first report of the night,94,894,94%,94% reported,edison,2,unknown,,381,,,744,84,13,,0,0,0,,2020-11-16T15:47:57Z,78.478,R+78,Trump +78,republican,78.478,798,77.3,789,72.12,nebraska,2020-11-23T00:45:08.962346Z
31151,Saline,5770,0,13,13,Merged into voters' home precincts and released with cumulative results,100,5752,>98%,>98% reported,edison,2,unknown,,1309,,,3631,1986,153,,0,0,0,,2020-11-16T15:47:58Z,28.50953,R+29,Trump +29,republican,28.50953,5136,24.7,4958,5.41,nebraska,2020-11-23T00:45:08.962346Z
