fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27105,Nobles,8440,0,34,40,Merged into voters' home precincts and released with cumulative results,97,8708,97%,97% reported,edison,6,all,,2156,,,2776,4959,543,162,0,0,0,0,2020-11-11T03:25:15Z,25.86493,R+26,Lewis +26,republican,minnesota,2020-11-11T12:20:02.315675Z
27107,Norman,3356,0,29,33,Merged into voters' home precincts and released with cumulative results,96,3500,96%,96% reported,edison,2,unknown,,633,,,1497,1618,193,48,0,0,0,0,2020-11-11T03:25:15Z,3.60548,R+4,Lewis +4,republican,minnesota,2020-11-11T12:20:02.315675Z
27109,Olmsted,88849,0,80,84,Merged into voters' home precincts and released with cumulative results,96,92950,96%,96% reported,edison,4,unknown,,20940,,,45542,36972,4731,1604,0,0,0,0,2020-11-11T03:25:16Z,9.64558,D+10,Smith +10,democrat,minnesota,2020-11-11T12:20:02.315675Z
27111,Otter Tail,35766,0,87,92,Merged into voters' home precincts and released with cumulative results,95,37700,95%,95% reported,edison,2,unknown,,8657,,,11713,21730,1813,510,0,0,0,0,2020-11-11T03:25:05Z,28.00705,R+28,Lewis +28,republican,minnesota,2020-11-11T12:20:02.315675Z
27113,Pennington,7187,0,29,31,Merged into voters' home precincts and released with cumulative results,100,6664,>98%,>98% reported,edison,4,some,,1380,,,2570,3918,566,133,0,0,0,0,2020-11-11T03:25:06Z,18.75609,R+19,Lewis +19,republican,minnesota,2020-11-11T12:20:02.315675Z
27115,Pine,15711,0,47,48,Merged into voters' home precincts and released with cumulative results,100,13799,>98%,>98% reported,edison,2,unknown,,2577,,,5055,9341,1005,310,0,0,0,0,2020-11-11T03:25:06Z,27.28025,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27117,Pipestone,4859,0,19,22,Merged into voters' home precincts and released with cumulative results,99,4930,>98%,>98% reported,edison,6,all,,984,,,1200,3324,264,71,0,0,0,0,2020-11-11T03:25:07Z,43.7127,R+44,Lewis +44,republican,minnesota,2020-11-11T12:20:02.315675Z
27119,Polk,15289,10557,73,82,Merged into voters' home precincts and released with cumulative results,94,16294,94%,94% reported,edison,4,some,,2832,,,5577,8559,917,236,4410,5551,461,135,2020-11-11T03:25:09Z,19.50422,R+20,Lewis +20,republican,minnesota,2020-11-11T12:20:02.315675Z
27121,Pope,6892,0,29,31,Merged into voters' home precincts and released with cumulative results,99,6959,>98%,>98% reported,edison,2,unknown,,1689,,,2390,4135,290,77,0,0,0,0,2020-11-11T03:25:10Z,25.31921,R+25,Lewis +25,republican,minnesota,2020-11-11T12:20:02.315675Z
27123,Ramsey,287365,0,153,169,Merged into voters' home precincts and released with cumulative results,89,322228,89%,89% reported,edison,2,unknown,,61280,,,188574,73585,19058,6148,0,0,0,0,2020-11-11T03:25:01Z,40.01496,D+40,Smith +40,democrat,minnesota,2020-11-11T12:20:02.315675Z
27125,Red Lake,2138,0,21,21,Merged into voters' home precincts and released with cumulative results,100,2022,>98%,>98% reported,edison,6,unknown,,365,,,769,1222,114,33,0,0,0,0,2020-11-11T03:25:01Z,21.18803,R+21,Lewis +21,republican,minnesota,2020-11-11T12:20:02.315675Z
27127,Redwood,8187,0,40,43,Merged into voters' home precincts and released with cumulative results,99,8274,>98%,>98% reported,edison,6,some,,1556,,,2298,5419,355,115,0,0,0,0,2020-11-11T03:25:03Z,38.12141,R+38,Lewis +38,republican,minnesota,2020-11-11T12:20:02.315675Z
27129,Renville,7939,0,34,38,Merged into voters' home precincts and released with cumulative results,98,8115,98%,98% reported,edison,6,unknown,,1440,,,2499,4928,390,122,0,0,0,0,2020-11-11T03:25:03Z,30.59579,R+31,Lewis +31,republican,minnesota,2020-11-11T12:20:02.315675Z
27131,Rice,35007,0,29,31,Merged into voters' home precincts and released with cumulative results,93,37634,93%,93% reported,edison,4,unknown,,6332,,,16185,15987,2133,702,0,0,0,0,2020-11-11T03:25:04Z,0.5656,D+0.57,Smith +0.57,democrat,minnesota,2020-11-11T12:20:02.315675Z
27133,Rock,5139,0,22,24,Merged into voters' home precincts and released with cumulative results,100,5134,>98%,>98% reported,edison,6,all,,1205,,,1461,3286,294,98,0,0,0,0,2020-11-11T03:25:04Z,35.51275,R+36,Lewis +36,republican,minnesota,2020-11-11T12:20:02.315675Z
