fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_write_ins,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02921,ED 21,8632,5173,7,8,Released as a separate subtotal as first report of the night,87,9944,87%,87% reported,edison,2,unknown,,4000,,,3653,4728,251,0,1616,3459,98,0,2020-11-11T03:26:01Z,12.45366,D+12,Gross +12,democrat,alaska,2020-11-11T12:19:27.812969Z
02922,ED 22,5026,1066,4,7,Released as a separate subtotal as first report of the night,52,9628,52%,52% reported,edison,2,unknown,,4000,,,3187,1660,179,0,516,531,19,0,2020-11-11T03:26:01Z,30.38201,R+30,Sullivan +30,republican,alaska,2020-11-11T12:19:27.812969Z
02923,ED 23,6525,3226,7,8,Released as a separate subtotal as first report of the night,82,7963,82%,82% reported,edison,2,unknown,,4000,,,3160,3089,276,0,1132,2002,92,0,2020-11-11T03:26:02Z,1.08812,R+1.1,Sullivan +1.1,republican,alaska,2020-11-11T12:19:27.812969Z
02924,ED 24,5461,1351,4,7,Released as a separate subtotal as first report of the night,51,10684,51%,51% reported,edison,2,unknown,,4000,,,3632,1697,132,0,682,655,14,0,2020-11-11T03:26:03Z,35.43307,R+35,Sullivan +35,republican,alaska,2020-11-11T12:19:27.812969Z
02925,ED 25,7226,3522,5,7,Released as a separate subtotal as first report of the night,77,9346,77%,77% reported,edison,2,unknown,,4000,,,3786,3181,259,0,1369,2062,91,0,2020-11-11T03:25:55Z,8.37254,R+8,Sullivan +8,republican,alaska,2020-11-11T12:19:27.812969Z
02926,ED 26,5733,1844,4,8,Released as a separate subtotal as first report of the night,56,10241,56%,56% reported,edison,2,unknown,,4000,,,3811,1774,148,0,1058,747,39,0,2020-11-11T03:25:55Z,35.53114,R+36,Sullivan +36,republican,alaska,2020-11-11T12:19:27.812969Z
02927,ED 27,5204,1482,4,8,Released as a separate subtotal as first report of the night,52,10100,52%,52% reported,edison,2,unknown,,4000,,,3063,1920,221,0,708,733,41,0,2020-11-11T03:25:56Z,21.96387,R+22,Sullivan +22,republican,alaska,2020-11-11T12:19:27.812969Z
02928,ED 28,6439,1576,4,9,Released as a separate subtotal as first report of the night,49,13141,49%,49% reported,edison,2,unknown,,4000,,,4085,2208,146,0,797,760,19,0,2020-11-11T03:25:57Z,29.15049,R+29,Sullivan +29,republican,alaska,2020-11-11T12:19:27.812969Z
02929,ED 29,7657,1964,8,11,Released as a separate subtotal as first report of the night,71,10803,71%,71% reported,edison,2,unknown,,4000,,,5396,1888,373,0,1005,909,50,0,2020-11-11T03:25:58Z,45.81429,R+46,Sullivan +46,republican,alaska,2020-11-11T12:19:27.812969Z
02903,ED 3,7937,2972,5,5,Released as a separate subtotal as first report of the night,91,8755,91%,91% reported,edison,2,unknown,,4000,,,5764,1725,448,0,1778,1054,140,0,2020-11-11T03:26:12Z,50.88824,R+51,Sullivan +51,republican,alaska,2020-11-11T12:19:27.812969Z
02930,ED 30,4677,0,3,6,Released as a separate subtotal as first report of the night,45,10293,45%,45% reported,edison,2,unknown,,4000,,,3685,692,300,0,0,0,0,0,2020-11-11T03:25:58Z,63.99401,R+64,Sullivan +64,republican,alaska,2020-11-11T12:19:27.812969Z
02931,ED 31,5363,1,4,9,Released as a separate subtotal as first report of the night,46,11709,46%,46% reported,edison,2,unknown,,4000,,,3806,1293,264,0,0,1,0,0,2020-11-11T03:25:53Z,46.8581,R+47,Sullivan +47,republican,alaska,2020-11-11T12:19:27.812969Z
02932,ED 32,3934,0,6,14,Released as a separate subtotal as first report of the night,46,8593,46%,46% reported,edison,2,unknown,,4000,,,2436,1307,191,0,0,0,0,0,2020-11-11T03:25:54Z,28.69853,R+29,Sullivan +29,republican,alaska,2020-11-11T12:19:27.812969Z
02933,ED 33,4987,2058,5,11,Released as a separate subtotal as first report of the night,44,11424,44%,44% reported,edison,2,unknown,,4000,,,1788,3019,180,0,483,1544,31,0,2020-11-11T03:25:54Z,24.68418,D+25,Gross +25,democrat,alaska,2020-11-11T12:19:27.812969Z
02934,ED 34,9672,7209,6,7,Released as a separate subtotal as first report of the night,89,10846,89%,89% reported,edison,2,unknown,,4000,,,4192,5125,355,0,2667,4320,222,0,2020-11-11T03:25:55Z,9.6464,D+10,Gross +10,democrat,alaska,2020-11-11T12:19:27.812969Z
02935,ED 35,4064,15,5,14,Released as a separate subtotal as first report of the night,39,10398,39%,39% reported,edison,2,unknown,,4000,,,2211,1504,349,0,9,5,1,0,2020-11-11T03:25:56Z,17.39665,R+17,Sullivan +17,republican,alaska,2020-11-11T12:19:27.812969Z
02936,ED 36,5096,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3185,1601,310,0,0,1,0,0,2020-11-11T03:25:57Z,31.0832,R+31,Sullivan +31,republican,alaska,2020-11-11T12:19:27.812969Z
02937,ED 37,3124,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1555,1325,244,0,0,0,0,0,2020-11-11T03:25:57Z,7.36236,R+7,Sullivan +7,republican,alaska,2020-11-11T12:19:27.812969Z
02938,ED 38,3822,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1270,2025,527,0,0,0,0,0,2020-11-11T03:25:58Z,19.75406,D+20,Gross +20,democrat,alaska,2020-11-11T12:19:27.812969Z
02939,ED 39,4821,282,25,33,Released as a separate subtotal as first report of the night,74,6485,74%,74% reported,edison,2,unknown,,4000,,,2011,2174,636,0,106,162,14,0,2020-11-11T03:25:59Z,3.38104,D+3,Gross +3,democrat,alaska,2020-11-11T12:19:27.812969Z
02904,ED 4,9229,4526,6,7,Released as a separate subtotal as first report of the night,84,10949,84%,84% reported,edison,2,unknown,,4000,,,4378,4512,339,0,1561,2873,92,0,2020-11-11T03:26:12Z,1.45194,D+1.5,Gross +1.5,democrat,alaska,2020-11-11T12:19:27.812969Z
02940,ED 40,3266,0,14,23,Released as a separate subtotal as first report of the night,62,5302,62%,62% reported,edison,2,unknown,,4000,,,1718,1065,483,0,0,0,0,0,2020-11-11T03:25:59Z,19.99388,R+20,Sullivan +20,republican,alaska,2020-11-11T12:19:27.812969Z
02905,ED 5,7388,3497,7,9,Released as a separate subtotal as first report of the night,81,9092,81%,81% reported,edison,2,unknown,,4000,,,3726,3383,279,0,1289,2126,82,0,2020-11-11T03:26:13Z,4.64266,R+5,Sullivan +5,republican,alaska,2020-11-11T12:19:27.812969Z
02906,ED 6,5752,4,20,33,Released as a separate subtotal as first report of the night,59,9729,59%,59% reported,edison,2,unknown,,4000,,,3773,1630,349,0,1,3,0,0,2020-11-11T03:26:14Z,37.25661,R+37,Sullivan +37,republican,alaska,2020-11-11T12:19:27.812969Z
02907,ED 7,8731,5066,6,7,Released as a separate subtotal as first report of the night,92,9538,92%,92% reported,edison,2,unknown,,4000,,,6230,2011,490,0,3390,1443,233,0,2020-11-11T03:26:07Z,48.32207,R+48,Sullivan +48,republican,alaska,2020-11-11T12:19:27.812969Z
02908,ED 8,7194,2186,5,6,Released as a separate subtotal as first report of the night,77,9284,77%,77% reported,edison,2,unknown,,4000,,,5654,1112,428,0,1619,468,99,0,2020-11-11T03:26:08Z,63.13595,R+63,Sullivan +63,republican,alaska,2020-11-11T12:19:27.812969Z
02909,ED 9,7250,4,8,11,Released as a separate subtotal as first report of the night,70,10297,70%,70% reported,edison,2,unknown,,4000,,,5518,1364,368,0,2,2,0,0,2020-11-11T03:26:08Z,57.29655,R+57,Sullivan +57,republican,alaska,2020-11-11T12:19:27.812969Z
