fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smitha,results_elworthm,results_hobbsd,results_absentee_smitha,results_absentee_elworthm,results_absentee_hobbsd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
31027,Cedar,4801,0,12,13,Released as a precinct as first report of the night,98,4881,98%,98% reported,edison,2,unknown,4030,4083,583,135,0,0,0,2020-11-11T03:25:38Z,72.90148,R+73,Smith +73,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31029,Chase,1969,0,6,6,Released as a separate subtotal as first report of the night,94,2104,94%,94% reported,edison,2,unknown,614,1780,154,35,0,0,0,2020-11-11T03:25:39Z,82.57999,R+83,Smith +83,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31031,Cherry,3085,0,18,20,Merged into voters' home precincts and released with cumulative results,89,3452,89%,89% reported,edison,2,unknown,3326,2673,277,135,0,0,0,2020-11-11T03:25:39Z,77.66613,R+78,Smith +78,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31033,Cheyenne,4710,0,9,10,Released as a precinct as first report of the night,91,5191,91%,91% reported,edison,2,unknown,1955,3839,689,182,0,0,0,2020-11-11T03:25:40Z,66.87898,R+67,Smith +67,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31035,Clay,3490,0,12,12,Released as a precinct as first report of the night,100,3394,>98%,>98% reported,edison,2,unknown,699,2879,480,131,0,0,0,2020-11-11T03:25:41Z,68.73926,R+69,Smith +69,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31041,Custer,5773,0,28,30,Released as a precinct in the middle of the night,92,6248,92%,92% reported,edison,2,unknown,1726,5006,573,194,0,0,0,2020-11-11T03:25:42Z,76.7885,R+77,Smith +77,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31043,Dakota,6489,0,13,14,Released as a precinct as first report of the night,93,6954,93%,93% reported,edison,2,unknown,2150,3872,2385,232,0,0,0,2020-11-11T03:25:30Z,22.9157,R+23,Smith +23,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31045,Dawes,4031,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",98,4117,98%,98% reported,edison,2,unknown,2669,2975,892,164,0,0,0,2020-11-11T03:25:43Z,51.67452,R+52,Smith +52,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31047,Dawson,9010,3326,20,21,Released as a precinct as first report of the night,94,9586,94%,94% reported,edison,2,some,2261,6783,1946,281,2219,1020,87,2020-11-11T03:25:44Z,53.68479,R+54,Smith +54,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31049,Deuel,1060,0,3,3,None,97,1094,97%,97% reported,edison,2,unknown,274,902,113,45,0,0,0,2020-11-11T19:23:10Z,74.43396,R+74,Smith +74,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31051,Dixon,2853,0,12,13,Other,96,2972,96%,96% reported,edison,2,unknown,3510,2215,537,101,0,0,0,2020-11-11T03:25:30Z,58.81528,R+59,Smith +59,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31057,Dundy,986,0,4,4,Released as a separate subtotal as first report of the night,93,1063,93%,93% reported,edison,2,unknown,334,893,73,20,0,0,0,2020-11-11T03:25:45Z,83.1643,R+83,Smith +83,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31059,Fillmore,3063,0,9,10,"As a precinct in the FIRST cumulative report, along with regular precincts",94,3265,94%,94% reported,edison,2,unknown,917,2460,497,106,0,0,0,2020-11-11T03:25:45Z,64.0875,R+64,Smith +64,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
31061,Franklin,1700,0,5,5,Released as a precinct as first report of the night,92,1857,92%,92% reported,edison,2,unknown,590,1454,208,38,0,0,0,2020-11-11T03:25:46Z,73.29412,R+73,Smith +73,republican,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286267,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,676,703,96% reporting,96%,96,299000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:25:51Z,TRUE,60.83971,174164,R+61,Smith +61,republican,"","",0,0,1604458227678
