fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
01073,Jefferson,324335,0,165,173,Released as a precinct as first report of the night,100,325848,>98%,>98% reported,edison,10,some,,15352,,,133931,189854,550,0,0,0,2020-11-24T13:22:28Z,17.24236,D+17,Jones +17,democrat,alabama,2020-11-27T00:48:52.467899Z
01075,Lamar,7154,475,24,26,Released as a precinct as first report of the night,99,7193,>98%,>98% reported,edison,10,some,,790,,,6081,1070,3,343,129,3,2020-11-24T13:22:30Z,70.04473,R+70,Tuberville +70,republican,alabama,2020-11-27T00:48:52.467899Z
01077,Lauderdale,43841,0,32,32,Released as a precinct as first report of the night,99,44339,>98%,>98% reported,edison,10,unknown,,2931,,,29929,13825,87,0,0,0,2020-11-24T13:22:31Z,36.73274,R+37,Tuberville +37,republican,alabama,2020-11-27T00:48:52.467899Z
01079,Lawrence,15880,862,29,30,Released as a precinct in the middle of the night,99,16031,>98%,>98% reported,edison,10,all,,725,,,11655,4192,33,413,446,3,2020-11-24T13:22:34Z,46.99622,R+47,Tuberville +47,republican,alabama,2020-11-27T00:48:52.467899Z
01081,Lee,70788,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",99,71449,>98%,>98% reported,edison,10,unknown,,4032,,,40962,29714,112,0,0,0,2020-11-24T13:22:34Z,15.8897,R+16,Tuberville +16,republican,alabama,2020-11-27T00:48:52.467899Z
01083,Limestone,48560,0,26,26,Released as a precinct as first report of the night,99,49235,>98%,>98% reported,edison,10,unknown,,2880,,,33074,15396,90,0,0,0,2020-11-24T13:22:35Z,36.40445,R+36,Tuberville +36,republican,alabama,2020-11-27T00:48:52.467899Z
01085,Lowndes,6814,0,12,13,Merged into voters' home precincts and released with cumulative results,100,6835,>98%,>98% reported,edison,10,unknown,,576,,,1766,5046,2,0,0,0,2020-11-24T13:22:35Z,48.13619,D+48,Jones +48,democrat,alabama,2020-11-27T00:48:52.467899Z
01087,Macon,8691,0,12,14,Released as a precinct as first report of the night,100,8723,>98%,>98% reported,edison,10,all,,715,,,1478,7201,12,0,0,0,2020-11-24T13:22:36Z,65.84973,D+66,Jones +66,democrat,alabama,2020-11-27T00:48:52.467899Z
01089,Madison,193274,0,73,73,Released as a precinct at the end of tabulation,99,194767,>98%,>98% reported,edison,10,unknown,,14142,,,98814,94021,439,0,0,0,2020-11-24T13:22:36Z,2.4799,R+2,Tuberville +2,republican,alabama,2020-11-27T00:48:52.467899Z
01091,Marengo,10845,0,18,20,None,99,10900,>98%,>98% reported,edison,10,some,,1014,,,5160,5676,9,0,0,0,2020-11-24T13:22:37Z,4.75795,D+5,Jones +5,democrat,alabama,2020-11-27T00:48:52.467899Z
01093,Marion,13739,0,20,21,Merged into voters' home precincts AFTER election night,100,13807,>98%,>98% reported,edison,10,all,,666,,,11882,1841,16,0,0,0,2020-11-24T13:22:39Z,73.08392,R+73,Tuberville +73,republican,alabama,2020-11-27T00:48:52.467899Z
01095,Marshall,39345,0,28,28,Released as a precinct as first report of the night,99,39655,>98%,>98% reported,edison,10,none,,2110,,,31994,7269,82,0,0,0,2020-11-24T13:22:41Z,62.84153,R+63,Tuberville +63,republican,alabama,2020-11-27T00:48:52.467899Z
01097,Mobile,181292,0,82,88,Released as a separate subtotal as first report of the night,99,183164,>98%,>98% reported,edison,10,all,,11133,,,95717,85263,312,0,0,0,2020-11-24T13:22:42Z,5.76639,R+6,Tuberville +6,republican,alabama,2020-11-27T00:48:52.467899Z
01099,Monroe,10595,1257,29,31,Merged into voters' home precincts and released with cumulative results,99,10668,>98%,>98% reported,edison,10,all,,827,,,5890,4689,16,347,910,0,2020-11-24T13:22:44Z,11.33554,R+11,Tuberville +11,republican,alabama,2020-11-27T00:48:52.467899Z
01101,Montgomery,98278,0,45,49,Released as a separate subtotal as first report of the night,99,99139,>98%,>98% reported,edison,10,all,,7544,,,32053,66100,125,0,0,0,2020-11-24T13:22:45Z,34.64356,D+35,Jones +35,democrat,alabama,2020-11-27T00:48:52.467899Z
01103,Morgan,53359,0,39,41,Released as a precinct in the middle of the night,99,53722,>98%,>98% reported,edison,10,all,,3189,,,38126,15122,111,0,0,0,2020-11-24T13:22:45Z,43.11175,R+43,Tuberville +43,republican,alabama,2020-11-27T00:48:52.467899Z
01105,Perry,5202,1203,11,13,"As a precinct in the FIRST cumulative report, along with regular precincts",99,5230,>98%,>98% reported,edison,10,all,,1059,,,1271,3931,0,129,1074,0,2020-11-24T13:22:47Z,51.13418,D+51,Jones +51,democrat,alabama,2020-11-27T00:48:52.467899Z
01107,Pickens,9634,0,18,20,Released as a precinct as first report of the night,100,9668,>98%,>98% reported,edison,10,all,,456,,,5435,4188,11,0,0,0,2020-11-24T13:22:48Z,12.94374,R+13,Tuberville +13,republican,alabama,2020-11-27T00:48:52.467899Z
01109,Pike,13766,1148,33,35,Released as a precinct in the middle of the night,99,13841,>98%,>98% reported,edison,10,all,,910,,,7756,5996,14,430,718,0,2020-11-24T13:22:51Z,12.78512,R+13,Tuberville +13,republican,alabama,2020-11-27T00:48:52.467899Z
01111,Randolph,10759,0,25,27,None,99,10837,>98%,>98% reported,edison,10,unknown,,1038,,,8389,2360,10,0,0,0,2020-11-24T13:22:51Z,56.03681,R+56,Tuberville +56,republican,alabama,2020-11-27T00:48:52.467899Z
01113,Russell,21035,0,19,19,Released as a precinct as first report of the night,99,21329,>98%,>98% reported,edison,10,unknown,,1262,,,9315,11701,19,0,0,0,2020-11-24T13:22:52Z,11.343,D+11,Jones +11,democrat,alabama,2020-11-27T00:48:52.467899Z
01117,Shelby,114163,0,49,49,"As a precinct in the FIRST cumulative report, along with regular precincts",99,114950,>98%,>98% reported,edison,10,all,,5451,,,77579,36350,234,0,0,0,2020-11-24T13:22:53Z,36.11415,R+36,Tuberville +36,republican,alabama,2020-11-27T00:48:52.467899Z
01115,St. Clair,44253,0,31,31,None,100,44441,>98%,>98% reported,edison,10,unknown,,2192,,,35381,8796,76,0,0,0,2020-11-24T13:22:53Z,60.07502,R+60,Tuberville +60,republican,alabama,2020-11-27T00:48:52.467899Z
01119,Sumter,6249,0,11,13,Released as a separate subtotal as first report of the night,99,6291,>98%,>98% reported,edison,10,all,,795,,,1550,4696,3,0,0,0,2020-11-24T13:22:54Z,50.34406,D+50,Jones +50,democrat,alabama,2020-11-27T00:48:52.467899Z
01121,Talladega,35554,12080,26,27,None,100,35663,>98%,>98% reported,edison,10,all,,1602,,,21703,13807,44,5723,6345,12,2020-11-24T13:22:56Z,22.20847,R+22,Tuberville +22,republican,alabama,2020-11-27T00:48:52.467899Z
01123,Tallapoosa,20840,0,26,28,Released as a precinct as first report of the night,99,20991,>98%,>98% reported,edison,10,all,,1203,,,14608,6212,20,0,0,0,2020-11-24T13:22:57Z,40.28791,R+40,Tuberville +40,republican,alabama,2020-11-27T00:48:52.467899Z
01125,Tuscaloosa,89533,0,53,55,Other,99,90172,>98%,>98% reported,edison,10,unknown,,4762,,,49200,40143,190,0,0,0,2020-11-24T13:22:57Z,10.11582,R+10,Tuberville +10,republican,alabama,2020-11-27T00:48:52.467899Z
01127,Walker,30987,0,43,46,None,99,31170,>98%,>98% reported,edison,10,unknown,,1320,,,24958,5964,65,0,0,0,2020-11-24T13:22:58Z,61.29667,R+61,Tuberville +61,republican,alabama,2020-11-27T00:48:52.467899Z
01129,Washington,8791,0,18,20,"As a precinct in the FIRST cumulative report, along with regular precincts",99,8876,>98%,>98% reported,edison,10,all,,592,,,6152,2630,9,0,0,0,2020-11-24T13:22:59Z,40.0637,R+40,Tuberville +40,republican,alabama,2020-11-27T00:48:52.467899Z
01131,Wilcox,5864,0,31,36,Released as a precinct as first report of the night,99,5903,>98%,>98% reported,edison,10,all,,931,,,1771,4088,5,0,0,0,2020-11-24T13:22:59Z,39.51228,D+40,Jones +40,democrat,alabama,2020-11-27T00:48:52.467899Z
01133,Winston,11219,0,18,19,None,99,11284,>98%,>98% reported,edison,10,unknown,,533,,,9907,1299,13,0,0,0,2020-11-24T13:23:00Z,76.72698,R+77,Tuberville +77,republican,alabama,2020-11-27T00:48:52.467899Z
