fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48371,Pecos,4668,3869,9,10,Released as a precinct as first report of the night,86,5441,86%,86% reported,edison,2,some,,4379,,,3215,1382,50,21,,2633,1184,36,16,,2020-11-24T13:26:49Z,39.26735,R+39,Trump +39,republican,39.26735,4185,21.8,4150,22.19,texas,2020-11-25T00:44:10.486132Z
48373,Polk,24181,20349,21,22,Released as a precinct as first report of the night,100,23444,>98%,>98% reported,edison,2,unknown,,22445,,,18573,5387,171,50,,15525,4649,136,39,,2020-11-24T13:26:49Z,54.53042,R+55,Trump +55,republican,54.53042,19852,55.4,19134,48.14,texas,2020-11-25T00:44:10.486132Z
48375,Potter,33321,26841,22,25,Released as a precinct as first report of the night,100,33177,>98%,>98% reported,edison,6,some,,24501,,,22820,9921,454,126,,18453,7985,317,86,,2020-11-24T13:26:49Z,38.71132,R+39,Trump +39,republican,38.71132,28831,41.5,26450,44.58,texas,2020-11-25T00:44:10.486132Z
48377,Presidio,2217,1806,6,8,Released as a precinct as first report of the night,77,2870,77%,77% reported,edison,2,unknown,,1723,,,721,1463,21,12,0,532,1249,17,8,0,2020-11-24T13:26:49Z,33.46865,D+33,Biden +33,democrat,-33.46865,2208,-36.5,1817,-42.82,texas,2020-11-25T00:44:10.486132Z
48379,Rains,6053,5032,9,9,Released as a precinct as first report of the night,100,5551,>98%,>98% reported,edison,2,unknown,,3940,,,5155,842,43,13,,4285,711,27,9,,2020-11-24T13:26:50Z,71.25392,R+71,Trump +71,republican,71.25392,4701,71,4087,61.61,texas,2020-11-25T00:44:10.486132Z
48381,Randall,64412,56094,23,23,Released as a precinct as first report of the night,94,68884,94%,94% reported,edison,4,all,,56579,,,50597,12750,908,127,30,44115,11171,686,93,29,2020-11-24T13:26:50Z,58.75768,R+59,Trump +59,republican,58.75768,54305,64.6,49696,68.16,texas,2020-11-25T00:44:10.486132Z
48383,Reagan,1124,902,5,5,Released as a precinct as first report of the night,96,1175,96%,96% reported,edison,2,unknown,,756,,,942,172,7,3,,753,142,4,3,,2020-11-24T13:26:50Z,68.50534,R+69,Trump +69,republican,68.50534,904,60,843,61.45,texas,2020-11-25T00:44:10.486132Z
48385,Real,1982,1638,5,6,Released as a precinct as first report of the night,100,1985,>98%,>98% reported,edison,2,unknown,,1530,,,1643,320,14,5,,1353,271,10,4,,2020-11-24T13:26:50Z,66.75076,R+67,Trump +67,republican,66.75076,1681,66.6,1535,62.48,texas,2020-11-25T00:44:10.486132Z
48387,Red River,5806,4263,17,20,Released as a precinct as first report of the night,95,6094,95%,95% reported,edison,2,unknown,,5311,,,4517,1246,36,7,,3230,1008,21,4,,2020-11-24T13:26:50Z,56.33827,R+56,Trump +56,republican,56.33827,5161,53.8,5074,40.74,texas,2020-11-25T00:44:10.486132Z
48389,Reeves,3687,2737,11,12,Released as a precinct as first report of the night,89,4139,89%,89% reported,edison,2,unknown,,2241,,,2254,1395,30,8,,1583,1130,18,6,,2020-11-24T13:26:50Z,23.29807,R+23,Trump +23,republican,23.29807,3184,-7.6,2877,-16.23,texas,2020-11-25T00:44:10.486132Z
