fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
05069,Jefferson,24000,15558,141,170,Released as a separate subtotal as first report of the night,78,30669,78%,78% reported,edison,2,unknown,,18848,,,11264,12736,6163,9395,2020-11-11T03:26:09Z,6.13333,L+6,Harrington +6,libertarian,arkansas,2020-11-12T12:19:53.959776Z
05071,Johnson,9297,6355,20,22,Released as a separate subtotal as first report of the night,99,9397,>98%,>98% reported,edison,2,unknown,,5392,,,6973,2324,4597,1758,2020-11-11T03:26:09Z,50.00538,R+50,Cotton +50,republican,arkansas,2020-11-12T12:19:53.959776Z
05073,Lafayette,2544,2222,20,25,Released as a separate subtotal as first report of the night,78,3280,78%,78% reported,edison,2,unknown,,2162,,,1836,708,1632,590,2020-11-11T03:26:10Z,44.33962,R+44,Cotton +44,republican,arkansas,2020-11-12T12:19:53.959776Z
05075,Lawrence,5771,3926,25,28,Released as a precinct as first report of the night,98,5863,98%,98% reported,edison,2,unknown,,3298,,,4768,1003,3178,748,2020-11-11T03:26:03Z,65.23999,R+65,Cotton +65,republican,arkansas,2020-11-12T12:19:53.959776Z
05077,Lee,2545,1867,7,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",66,3835,66%,66% reported,edison,2,unknown,,2378,,,1410,1135,954,913,2020-11-11T03:26:04Z,10.8055,R+11,Cotton +11,republican,arkansas,2020-11-12T12:19:53.959776Z
05079,Lincoln,3795,2220,23,26,Released as a separate subtotal as first report of the night,98,3870,98%,98% reported,edison,6,unknown,,2160,,,2902,893,1715,505,2020-11-11T03:26:04Z,52.93808,R+53,Cotton +53,republican,arkansas,2020-11-12T12:19:53.959776Z
05081,Little River,5022,4002,19,22,Merged into voters' home precincts AFTER election night,97,5178,97%,97% reported,edison,6,all,,2893,,,3885,1137,3057,945,2020-11-11T03:26:05Z,54.71924,R+55,Cotton +55,republican,arkansas,2020-11-12T12:19:53.959776Z
05083,Logan,8175,5761,33,36,Merged into voters' home precincts and released with cumulative results,100,8170,>98%,>98% reported,edison,2,unknown,,4488,,,6521,1654,4527,1234,2020-11-11T03:26:05Z,59.53517,R+60,Cotton +60,republican,arkansas,2020-11-12T12:19:53.959776Z
05085,Lonoke,30389,26254,55,55,Released as a separate subtotal as first report of the night,100,30352,>98%,>98% reported,edison,2,unknown,,20792,,,23504,6885,20305,5949,2020-11-11T03:26:06Z,54.68755,R+55,Cotton +55,republican,arkansas,2020-11-12T12:19:53.959776Z
05087,Madison,7177,4332,9,10,Released as a precinct as first report of the night,98,7315,98%,98% reported,edison,6,all,,3048,,,5601,1576,3195,1137,2020-11-11T03:25:58Z,56.08193,R+56,Cotton +56,republican,arkansas,2020-11-12T12:19:53.959776Z
05089,Marion,7348,5210,29,31,Released as a separate subtotal as first report of the night,98,7481,98%,98% reported,edison,6,some,,5478,,,5910,1438,4095,1115,2020-11-11T03:25:59Z,60.8601,R+61,Cotton +61,republican,arkansas,2020-11-12T12:19:53.959776Z
05091,Miller,16007,12465,17,19,Released as a separate subtotal as first report of the night,89,18022,89%,89% reported,edison,2,unknown,,11867,,,12237,3770,9402,3063,2020-11-11T03:26:00Z,52.89561,R+53,Cotton +53,republican,arkansas,2020-11-12T12:19:53.959776Z
05093,Mississippi,11637,8767,14,18,Released as a separate subtotal as first report of the night,84,13794,84%,84% reported,edison,2,unknown,,13013,,,7768,3869,5644,3123,2020-11-11T03:26:01Z,33.5052,R+34,Cotton +34,republican,arkansas,2020-11-12T12:19:53.959776Z
05095,Monroe,2722,1722,7,8,Released as a separate subtotal as first report of the night,75,3618,75%,75% reported,edison,2,unknown,,1656,,,1717,1005,1111,611,2020-11-11T03:26:02Z,26.15724,R+26,Cotton +26,republican,arkansas,2020-11-12T12:19:53.959776Z
05097,Montgomery,3785,2734,15,16,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3671,>98%,>98% reported,edison,2,unknown,,2037,,,3091,694,2169,565,2020-11-11T03:26:02Z,63.32893,R+63,Cotton +63,republican,arkansas,2020-11-12T12:19:53.959776Z
05099,Nevada,3225,1715,13,15,Released as a separate subtotal as first report of the night,96,3358,96%,96% reported,edison,6,unknown,,1874,,,2292,933,1193,522,2020-11-11T03:26:00Z,42.13953,R+42,Cotton +42,republican,arkansas,2020-11-12T12:19:53.959776Z
05101,Newton,3883,2030,18,19,Released as a separate subtotal at the end of tabulation,100,3870,>98%,>98% reported,edison,2,unknown,,2074,,,3155,728,1537,493,2020-11-11T03:26:01Z,62.50322,R+63,Cotton +63,republican,arkansas,2020-11-12T12:19:53.959776Z
05103,Ouachita,9316,7417,15,19,Released as a separate subtotal as first report of the night,81,11553,81%,81% reported,edison,2,unknown,,8051,,,5787,3529,4718,2699,2020-11-11T23:04:42Z,24.23787,R+24,Cotton +24,republican,arkansas,2020-11-12T12:19:53.959776Z
05105,Perry,4547,3230,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",99,4607,>98%,>98% reported,edison,6,unknown,,2160,,,3540,1007,2475,755,2020-11-11T03:26:02Z,55.70706,R+56,Cotton +56,republican,arkansas,2020-11-12T12:19:53.959776Z
05107,Phillips,5587,3693,11,16,Released as a separate subtotal as first report of the night,91,6155,91%,91% reported,edison,6,all,,6973,,,2750,2837,1546,2147,2020-11-11T03:26:03Z,1.55719,L+1.6,Harrington +1.6,libertarian,arkansas,2020-11-12T12:19:53.959776Z
05109,Pike,4205,3212,10,11,Merged into voters' home precincts and released with cumulative results,99,4240,>98%,>98% reported,edison,6,all,,2610,,,3594,611,2712,500,2020-11-11T03:26:03Z,70.93936,R+71,Cotton +71,republican,arkansas,2020-11-12T12:19:53.959776Z
05111,Poinsett,7318,4185,8,9,Released as a separate subtotal as first report of the night,92,7964,92%,92% reported,edison,2,unknown,,2501,,,6022,1296,3396,789,2020-11-11T03:26:04Z,64.58049,R+65,Cotton +65,republican,arkansas,2020-11-12T12:19:53.959776Z
05113,Polk,8387,6246,15,17,Released as a separate subtotal as first report of the night,99,8489,>98%,>98% reported,edison,2,unknown,,5582,,,7068,1319,5179,1067,2020-11-11T03:26:04Z,68.54656,R+69,Cotton +69,republican,arkansas,2020-11-12T12:19:53.959776Z
05115,Pope,24091,20426,52,55,Released as a separate subtotal as first report of the night,95,25277,95%,95% reported,edison,4,all,,17896,,,18367,5724,15475,4951,2020-11-11T03:26:05Z,52.48018,R+52,Cotton +52,republican,arkansas,2020-11-12T12:19:53.959776Z
05117,Prairie,3360,1969,22,25,Merged into voters' home precincts and released with cumulative results,95,3552,95%,95% reported,edison,2,unknown,,1421,,,2827,533,1605,364,2020-11-11T03:26:06Z,68.27381,R+68,Cotton +68,republican,arkansas,2020-11-12T12:19:53.959776Z
05119,Pulaski,161503,127926,124,137,Released as a separate subtotal as first report of the night,90,178949,90%,90% reported,edison,4,all,,127309,,,70362,91141,51569,76357,2020-11-11T03:26:06Z,12.86601,L+13,Harrington +13,libertarian,arkansas,2020-11-12T12:19:53.959776Z
05121,Randolph,6644,4961,27,29,Released as a separate subtotal as first report of the night,98,6769,98%,98% reported,edison,6,some,,5349,,,5452,1192,4009,952,2020-11-11T03:26:07Z,64.118,R+64,Cotton +64,republican,arkansas,2020-11-12T12:19:53.959776Z
05123,Saint Francis,6441,4492,12,15,Released as a separate subtotal as first report of the night,69,9365,69%,69% reported,edison,2,unknown,,5859,,,3585,2856,2344,2148,2020-11-11T03:26:08Z,11.31812,R+11,Cotton +11,republican,arkansas,2020-11-12T12:19:53.959776Z
05125,Saline,56461,47429,41,42,Released as a separate subtotal as first report of the night,99,56903,>98%,>98% reported,edison,6,all,,38510,,,41402,15059,34250,13179,2020-11-11T03:26:08Z,46.65698,R+47,Cotton +47,republican,arkansas,2020-11-12T12:19:53.959776Z
05127,Scott,3525,2121,23,26,Released as a separate subtotal as first report of the night,94,3754,94%,94% reported,edison,2,unknown,,1949,,,3017,508,1753,368,2020-11-11T03:26:09Z,71.1773,R+71,Cotton +71,republican,arkansas,2020-11-12T12:19:53.959776Z
05129,Searcy,3935,2819,14,15,Released as a precinct as first report of the night,100,3845,>98%,>98% reported,edison,2,unknown,,3016,,,3337,598,2365,454,2020-11-11T03:26:09Z,69.6061,R+70,Cotton +70,republican,arkansas,2020-11-12T12:19:53.959776Z
05131,Sebastian,46501,37215,109,117,Released as a separate subtotal as first report of the night,93,49993,93%,93% reported,edison,2,all,,30462,,,31809,14692,24975,12240,2020-11-11T03:26:10Z,36.80996,R+37,Cotton +37,republican,arkansas,2020-11-12T12:19:53.959776Z
05133,Sevier,5109,3397,17,17,Released as a separate subtotal as first report of the night,100,4705,>98%,>98% reported,edison,2,unknown,,2310,,,4105,1004,2669,728,2020-11-11T03:26:11Z,60.69681,R+61,Cotton +61,republican,arkansas,2020-11-12T12:19:53.959776Z
05135,Sharp,7394,5731,23,25,Released as a separate subtotal as first report of the night,98,7511,98%,98% reported,edison,2,unknown,,5603,,,6078,1316,4643,1088,2020-11-11T03:26:11Z,64.40357,R+64,Cotton +64,republican,arkansas,2020-11-12T12:19:53.959776Z
05137,Stone,5846,4033,18,19,Released as a precinct in the middle of the night,99,5919,>98%,>98% reported,edison,6,all,,4534,,,4637,1209,3124,909,2020-11-11T03:26:12Z,58.63839,R+59,Cotton +59,republican,arkansas,2020-11-12T12:19:53.959776Z
05139,Union,15968,9730,24,28,Released as a separate subtotal as first report of the night,90,17715,90%,90% reported,edison,2,unknown,,12974,,,11253,4715,6453,3277,2020-11-11T03:26:12Z,40.94439,R+41,Cotton +41,republican,arkansas,2020-11-12T12:19:53.959776Z
05141,Van Buren,7558,6002,19,21,Released as a precinct as first report of the night,100,7569,>98%,>98% reported,edison,2,unknown,,4338,,,6062,1496,4727,1275,2020-11-11T03:26:13Z,60.41281,R+60,Cotton +60,republican,arkansas,2020-11-12T12:19:53.959776Z
05143,Washington,91790,72690,154,154,Released as a separate subtotal as first report of the night,100,91684,>98%,>98% reported,edison,2,unknown,,43475,,,49051,42739,36880,35810,2020-11-11T03:26:14Z,6.87657,R+7,Cotton +7,republican,arkansas,2020-11-12T12:19:53.959776Z
05145,White,30568,21856,91,93,Merged into voters' home precincts and released with cumulative results,97,31359,97%,97% reported,edison,2,unknown,,18262,,,24753,5815,17412,4444,2020-11-11T03:26:15Z,61.95368,R+62,Cotton +62,republican,arkansas,2020-11-12T12:19:53.959776Z
05147,Woodruff,2412,1354,17,20,Merged into voters' home precincts and released with cumulative results,87,2769,87%,87% reported,edison,2,unknown,,1078,,,1693,719,897,457,2020-11-11T03:26:16Z,40.38143,R+40,Cotton +40,republican,arkansas,2020-11-12T12:19:53.959776Z
05149,Yell,6655,4819,26,28,Released as a precinct as first report of the night,100,6641,>98%,>98% reported,edison,2,unknown,,3608,,,5339,1316,3798,1021,2020-11-11T03:26:17Z,60.45079,R+60,Cotton +60,republican,arkansas,2020-11-12T12:19:53.959776Z
