fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
54057,Mineral,12872,0,26,26,None,100,12720,>98%,>98% reported,edison,2,unknown,,3014,,,10040,2660,148,24,0,0,0,0,0,0,2020-11-10T13:14:47Z,57.33375,R+57,Trump +57,republican,57.33375,11671,60.1,10979,45.07,west-virginia,2020-11-10T20:51:52.822476Z
54059,Mingo,9987,0,36,38,Other,95,10461,95%,95% reported,edison,2,unknown,,1698,,,8521,1385,58,23,0,0,0,0,0,0,2020-11-04T10:43:44Z,71.45289,R+71,Trump +71,republican,71.45289,9510,68.8,8830,42.62,west-virginia,2020-11-10T20:51:52.822476Z
54061,Monongalia,42264,30329,41,41,Released as a separate subtotal as first report of the night,100,42000,>98%,>98% reported,edison,4,all,,14120,,,20803,20282,796,191,192,13461,16164,453,133,118,2020-11-09T20:13:39Z,1.23273,R+1.2,Trump +1.2,republican,1.23273,36764,10.2,31475,9.55,west-virginia,2020-11-10T20:51:52.822476Z
54063,Monroe,6490,0,18,18,Merged into voters' home precincts and released with cumulative results,100,6386,>98%,>98% reported,edison,2,unknown,,2659,,,5068,1345,64,13,0,0,0,0,0,0,2020-11-09T16:27:46Z,57.36518,R+57,Trump +57,republican,57.36518,5852,56.9,5212,41.46,west-virginia,2020-11-10T20:51:52.822476Z
54065,Morgan,8257,0,13,13,Merged into voters' home precincts and released with cumulative results,99,8365,>98%,>98% reported,edison,2,unknown,,3563,,,6157,1945,118,37,0,0,0,0,0,0,2020-11-04T10:43:45Z,51.01126,R+51,Trump +51,republican,51.01126,7737,53.8,7044,30.52,west-virginia,2020-11-10T20:51:52.822476Z
54067,Nicholas,10570,4214,28,28,Merged into voters' home precincts and released with cumulative results,100,10440,>98%,>98% reported,edison,4,all,,2811,,,8221,2206,103,20,20,2848,1310,39,9,8,2020-11-04T10:43:45Z,56.90634,R+57,Trump +57,republican,56.90634,9579,56.5,8785,36.81,west-virginia,2020-11-10T20:51:52.822476Z
54069,Ohio,19674,0,39,39,Released separately at end; NOT included in cumulative results,100,19732,>98%,>98% reported,edison,2,unknown,,6715,,,12226,7139,249,60,0,0,0,0,0,0,2020-11-04T10:43:46Z,25.85646,R+26,Trump +26,republican,25.85646,18214,31,17911,22.23,west-virginia,2020-11-10T20:51:52.822476Z
54071,Pendleton,3669,1576,9,9,Merged into voters' home precincts and released with cumulative results,100,3563,>98%,>98% reported,edison,2,some,,1341,,,2782,820,51,6,10,955,593,24,3,1,2020-11-09T22:09:39Z,53.47506,R+53,Trump +53,republican,53.47506,3254,51.3,3239,31.52,west-virginia,2020-11-10T20:51:52.822476Z
54073,Pleasants,3491,0,10,10,Other,100,3500,>98%,>98% reported,edison,2,unknown,,1573,,,2742,699,35,15,0,0,0,0,0,0,2020-11-09T21:38:40Z,58.52191,R+59,Trump +59,republican,58.52191,3179,54.6,2840,30.63,west-virginia,2020-11-10T20:51:52.822476Z
54075,Pocahontas,3979,0,15,15,Merged into voters' home precincts and released with cumulative results,99,4011,>98%,>98% reported,edison,2,unknown,,1701,,,2876,1039,43,21,0,0,0,0,0,0,2020-11-04T10:43:47Z,46.16738,R+46,Trump +46,republican,46.16738,3675,42.7,3576,24.58,west-virginia,2020-11-10T20:51:52.822476Z
54077,Preston,14508,0,28,28,Merged into voters' home precincts and released with cumulative results,99,14700,>98%,>98% reported,edison,2,unknown,,3059,,,11143,3147,166,52,0,0,0,0,0,0,2020-11-04T10:43:48Z,55.11442,R+55,Trump +55,republican,55.11442,12764,55.4,11155,44.45,west-virginia,2020-11-10T20:51:52.822476Z
54079,Putnam,28582,16528,46,46,Released as a separate subtotal as first report of the night,100,28410,>98%,>98% reported,edison,6,all,,10869,,,20034,7878,498,91,81,10555,5624,251,51,47,2020-11-09T23:07:41Z,42.53026,R+43,Trump +43,republican,42.53026,25211,47.2,23673,37.07,west-virginia,2020-11-10T20:51:52.822476Z
54081,Raleigh,32640,12583,87,87,Released as a separate subtotal as first report of the night,100,32371,>98%,>98% reported,edison,4,some,,8835,,,24297,7841,349,95,58,7626,4767,124,40,26,2020-11-05T16:36:54Z,50.41667,R+50,Trump +50,republican,50.41667,29892,52.2,28829,44.66,west-virginia,2020-11-10T20:51:52.822476Z
54083,Randolph,12200,0,27,27,Merged into voters' home precincts and released with cumulative results,100,11964,>98%,>98% reported,edison,2,unknown,,4790,,,8673,3362,125,40,0,0,0,0,0,0,2020-11-10T16:06:56Z,43.53279,R+44,Trump +44,republican,43.53279,10969,44.6,9754,28.89,west-virginia,2020-11-10T20:51:52.822476Z
54085,Ritchie,4283,0,14,15,Other,96,4483,96%,96% reported,edison,2,unknown,,1906,,,3649,586,38,10,0,0,0,0,0,0,2020-11-09T18:19:38Z,71.51529,R+72,Trump +72,republican,71.51529,4105,70.9,3788,56.84,west-virginia,2020-11-10T20:51:52.822476Z
