fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12051,Hendry,12954,10116,10,10,Released as a separate subtotal as first report of the night,100,12944,>98%,>98% reported,edison,6,all,,9245,,,7904,4929,65,17,13,8,11,7,6101,3932,43,10,10,7,7,6,2020-11-08T19:10:15Z,22.96588,R+23,Trump +23,republican,22.96588,11182,14.1,10185,5.93,florida,2020-11-10T20:52:20.275160Z
12053,Hernando,109176,82840,32,32,Released as a separate subtotal as first report of the night,100,109176,>98%,>98% reported,edison,6,all,,64893,,,70321,37446,685,235,148,44,62,235,50470,31603,415,151,93,34,47,27,2020-11-04T10:44:05Z,30.11193,R+30,Trump +30,republican,30.11193,94651,28.7,83667,8.5,florida,2020-11-10T20:52:20.275160Z
12055,Highlands,52193,39923,23,25,Released as a separate subtotal as first report of the night,98,53000,98%,98% reported,edison,4,all,,42875,,,34846,16917,221,76,53,24,28,28,25633,14011,138,51,32,14,20,24,2020-11-07T16:51:40Z,34.35135,R+34,Trump +34,republican,34.35135,46011,31.8,42444,23.01,florida,2020-11-10T20:52:20.275160Z
12057,Hillsborough,713785,605574,390,390,Released as a precinct as first report of the night,100,709040,>98%,>98% reported,edison,6,unknown,,541850,,,327306,376196,5661,2063,1186,529,574,270,263524,334308,4165,1607,907,404,435,224,2020-11-07T16:51:40Z,6.8494,D+7,Biden +7,democrat,-6.8494,603890,-6.8,542102,-6.69,florida,2020-11-10T20:52:20.275160Z
12059,Holmes,9077,5634,8,8,Released as a precinct as first report of the night,100,9072,>98%,>98% reported,edison,6,unknown,,6853,,,8079,924,48,10,9,1,2,4,4915,719,0,0,0,0,0,0,2020-11-08T19:13:55Z,78.8256,R+79,Trump +79,republican,78.8256,8556,77.5,8274,68.35,florida,2020-11-10T20:52:20.275160Z
12061,Indian River,97737,81672,36,36,Released as a separate subtotal as first report of the night,100,97069,>98%,>98% reported,edison,4,some,,77486,,,58870,37843,534,259,117,33,43,38,47107,33989,370,206,0,0,0,0,2020-11-09T17:32:23Z,21.51386,R+22,Trump +22,republican,21.51386,80769,24.2,71464,22.33,florida,2020-11-10T20:52:20.275160Z
12063,Jackson,22419,17233,14,14,Released as a precinct as first report of the night,100,22415,>98%,>98% reported,edison,6,all,,19451,,,15488,6766,116,5,13,13,13,5,11587,5573,73,0,0,0,0,0,2020-11-07T16:52:41Z,38.9045,R+39,Trump +39,republican,38.9045,21159,37.1,20941,29.01,florida,2020-11-10T20:52:20.275160Z
12065,Jefferson,8465,5813,16,16,Released as a precinct as first report of the night,100,8459,>98%,>98% reported,edison,6,all,,6382,,,4478,3895,46,20,13,4,4,5,2950,2811,26,12,8,3,3,0,2020-11-08T19:26:05Z,6.88718,R+7,Trump +7,republican,6.88718,7689,5.1,7808,-1.75,florida,2020-11-10T20:52:20.275160Z
12067,Lafayette,3661,2376,5,5,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3657,>98%,>98% reported,edison,6,all,,2546,,,3128,509,14,4,2,1,1,2,2021,343,8,1,0,1,0,2,2020-11-08T18:56:57Z,71.53783,R+72,Trump +72,republican,71.53783,3411,67.2,3399,58.28,florida,2020-11-10T20:52:20.275160Z
12069,Lake,211702,193165,107,107,Released as a precinct as first report of the night,100,211314,>98%,>98% reported,edison,6,all,,141477,,,125853,83491,1385,424,254,96,120,79,112902,78245,1168,363,226,88,101,72,2020-11-08T18:51:45Z,20.0102,R+20,Trump +20,republican,20.0102,170462,23.1,150811,17.14,florida,2020-11-10T20:52:20.275160Z
12071,Lee,394687,379801,127,127,Released as a separate subtotal as first report of the night,100,391934,>98%,>98% reported,edison,6,unknown,,227958,,,233242,157672,2016,833,440,176,187,121,224393,151889,1858,816,410,158,170,107,2020-11-07T16:51:40Z,19.14682,R+19,Trump +19,republican,19.14682,329762,20.2,266166,16.53,florida,2020-11-10T20:52:20.275160Z
12073,Leon,162895,130320,133,153,Released as a precinct as first report of the night,87,187122,87%,87% reported,edison,2,some,,120819,,,57446,103492,1342,53,271,122,98,71,41590,87532,917,0,199,82,0,0,2020-11-07T16:52:41Z,28.26729,D+28,Biden +28,democrat,-28.26729,153881,-24.9,148353,-23.64,florida,2020-11-10T20:52:20.275160Z
12075,Levy,23180,15522,13,13,Released as a precinct as first report of the night,99,23500,>98%,>98% reported,edison,2,all,,14018,,,16746,6203,131,41,25,7,14,13,10584,4814,78,0,19,6,10,11,2020-11-08T18:47:13Z,45.48318,R+45,Trump +45,republican,45.48318,19499,44.5,18399,32.26,florida,2020-11-10T20:52:20.275160Z
12077,Liberty,3562,2450,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,3562,>98%,>98% reported,edison,6,all,,2738,,,2846,693,14,4,2,0,2,1,1950,500,0,0,0,0,0,0,2020-11-04T10:43:30Z,60.44357,R+60,Trump +60,republican,60.44357,3312,57.1,3284,41.38,florida,2020-11-10T20:52:20.275160Z
12079,Madison,9380,7643,6,6,Released as a precinct as first report of the night,100,9376,>98%,>98% reported,edison,6,all,,8256,,,5576,3747,32,0,13,4,3,5,4502,3098,21,0,11,3,3,5,2020-11-05T22:00:37Z,19.49893,R+19,Trump +19,republican,19.49893,8540,15.5,8715,3.42,florida,2020-11-10T20:52:20.275160Z
12081,Manatee,217387,173451,70,70,Released as a separate subtotal as first report of the night,100,217116,>98%,>98% reported,edison,2,all,,99579,,,124966,90127,1285,508,258,78,96,69,94467,77508,828,385,187,76,0,0,2020-11-07T16:51:39Z,16.02626,R+16,Trump +16,republican,16.02626,180757,17,153491,12.46,florida,2020-11-10T20:52:20.275160Z
12083,Marion,204621,152294,122,125,Released as a separate subtotal as first report of the night,100,204577,>98%,>98% reported,edison,6,all,,131621,,,127825,74848,1180,271,228,98,91,80,89012,62559,723,0,0,0,0,0,2020-11-08T18:38:48Z,25.8903,R+26,Trump +26,republican,25.8903,175900,26,161385,16.24,florida,2020-11-10T20:52:20.275160Z
12085,Martin,98911,83856,28,28,Released as a separate subtotal as first report of the night,100,98887,>98%,>98% reported,edison,6,all,,92429,,,61152,36878,448,218,105,35,38,37,49795,33389,324,177,79,26,32,34,2020-11-10T14:06:39Z,24.54125,R+25,Trump +25,republican,24.54125,86633,26.6,78873,22.92,florida,2020-11-10T20:52:20.275160Z
12086,Miami-Dade,1158600,1150897,857,859,Released as a separate subtotal as first report of the night,96,1205651,96%,96% reported,edison,4,some,,773122,,,532734,617647,3329,2129,1287,579,602,293,529716,613086,3274,2099,1268,569,594,291,2020-11-07T16:17:37Z,7.32893,D+7,Biden +7,democrat,-7.32893,987191,-29.4,878314,-23.73,florida,2020-11-10T20:52:20.275160Z
12087,Monroe,48112,37462,33,33,Released as a precinct as first report of the night,93,51535,93%,93% reported,edison,2,some,,39814,,,25688,21864,347,110,51,14,26,12,18585,18572,226,79,0,0,0,0,2020-11-08T18:30:53Z,7.94812,R+8,Trump +8,republican,7.94812,42977,6.8,39057,-0.44,florida,2020-11-10T20:52:20.275160Z
12089,Nassau,58909,58656,15,15,Released as a precinct as first report of the night,100,58738,>98%,>98% reported,edison,6,all,,46578,,,42563,15561,569,109,43,12,28,24,42388,15489,566,106,43,12,28,24,2020-11-08T18:25:21Z,45.8368,R+46,Trump +46,republican,45.8368,46992,49.8,40528,48.55,florida,2020-11-10T20:52:20.275160Z
12091,Okaloosa,116677,0,52,52,Released as a precinct as first report of the night,95,122360,95%,95% reported,edison,4,all,,88549,,,79771,34227,1879,389,183,73,76,79,0,0,0,0,0,0,0,0,2020-11-08T18:20:49Z,39.03426,R+39,Trump +39,republican,39.03426,102096,47.1,94798,49.31,florida,2020-11-10T20:52:20.275160Z
12093,Okeechobee,15983,11616,11,11,Released as a separate subtotal as first report of the night,100,14937,>98%,>98% reported,edison,4,all,,10432,,,11470,4389,66,31,7,4,8,8,8081,3455,42,19,6,1,5,7,2020-11-09T00:14:00Z,44.30332,R+44,Trump +44,republican,44.30332,13761,39.2,12324,20.06,florida,2020-11-10T20:52:20.275160Z
12095,Orange,648829,534203,238,247,Released as a separate subtotal as first report of the night,96,671918,96%,96% reported,edison,4,unknown,,424003,,,245325,394857,4682,1770,1143,444,385,223,186196,341876,3200,1325,844,326,267,169,2020-11-07T16:51:39Z,23.04644,D+23,Biden +23,democrat,-23.04644,551902,-24.4,466359,-18.24,florida,2020-11-10T20:52:20.275160Z
12097,Osceola,172999,143497,100,100,Released as a separate subtotal as first report of the night,100,168293,>98%,>98% reported,edison,6,unknown,,109152,,,73467,97278,963,625,290,140,166,70,57676,83996,689,625,220,110,123,58,2020-11-07T16:51:39Z,13.76366,D+14,Biden +14,democrat,-13.76366,141467,-24.9,108698,-24.51,florida,2020-11-10T20:52:20.275160Z
12099,Palm Beach,774243,615165,797,798,Released as a precinct as first report of the night,95,814668,95%,95% reported,edison,2,some,,408584,,,334642,433392,3035,1404,891,335,356,188,238940,372169,1965,1018,615,215,243,0,2020-11-07T16:51:39Z,12.75439,D+13,Biden +13,democrat,-12.75439,666212,-15.4,600721,-17.02,florida,2020-11-10T20:52:20.275160Z
12101,Pasco,301734,0,111,111,Released as a separate subtotal as first report of the night,100,298744,>98%,>98% reported,edison,6,all,,193701,,,179545,118918,2261,33,466,169,200,142,0,0,0,0,0,0,0,0,2020-11-07T16:52:40Z,20.09286,R+20,Trump +20,republican,20.09286,243265,21.4,213573,6.63,florida,2020-11-10T20:52:20.275160Z
12103,Pinellas,561125,560668,301,301,Released as a precinct as first report of the night,93,605656,93%,93% reported,edison,4,all,,462237,,,276191,277397,4263,1547,912,311,305,199,275949,277191,4257,1547,910,310,305,199,2020-11-08T18:08:27Z,0.21493,D+0.21,Biden +0.21,democrat,-0.21493,497485,1.1,457702,-5.65,florida,2020-11-10T20:52:20.275160Z
12105,Polk,343979,243083,167,167,Released as a separate subtotal as first report of the night,100,342615,>98%,>98% reported,edison,6,some,,195002,,,194571,145022,2592,808,425,217,204,140,125948,114613,1439,454,269,147,126,87,2020-11-08T18:03:00Z,14.40466,R+14,Trump +14,republican,14.40466,286969,13.9,248683,6.82,florida,2020-11-10T20:52:20.275160Z
12107,Putnam,36408,25591,35,35,Released as a precinct as first report of the night,100,36384,>98%,>98% reported,edison,6,all,,27784,,,25514,10524,225,40,50,21,14,20,17052,8419,120,0,0,0,0,0,2020-11-08T17:59:10Z,41.17227,R+41,Trump +41,republican,41.17227,33301,36.2,31324,24.45,florida,2020-11-10T20:52:20.275160Z
12113,Santa Rosa,106857,0,41,41,Released as a separate subtotal as first report of the night,100,106454,>98%,>98% reported,edison,4,some,,63466,,,77349,27582,1640,3,122,46,60,55,0,0,0,0,0,0,0,0,2020-11-07T16:52:39Z,46.57346,R+47,Trump +47,republican,46.57346,88684,52.9,76846,52.6,florida,2020-11-10T20:52:20.275160Z
12115,Sarasota,271063,226588,99,99,Released as a precinct as first report of the night,96,281747,96%,96% reported,edison,4,all,,207136,,,148323,120050,1505,624,284,105,102,70,115275,109399,1006,495,198,77,81,57,2020-11-08T19:26:36Z,10.43042,R+10,Trump +10,republican,10.43042,231353,11.5,207480,7.42,florida,2020-11-10T20:52:20.275160Z
12117,Seminole,261458,217268,80,80,Released as a separate subtotal as first report of the night,94,276622,94%,94% reported,edison,4,unknown,,191909,,,125217,132486,2215,759,406,137,135,103,98372,116265,1535,537,291,99,96,73,2020-11-07T16:51:38Z,2.78018,D+3,Biden +3,democrat,-2.78018,227526,1.6,208620,6.47,florida,2020-11-10T20:52:20.275160Z
12109,St. Johns,176942,150106,48,48,Released as a separate subtotal as first report of the night,99,178000,>98%,>98% reported,edison,4,all,,121728,,,110886,63808,1412,427,210,54,101,44,90750,57747,1004,306,144,39,82,34,2020-11-04T10:43:44Z,26.60646,R+27,Trump +27,republican,26.60646,137846,33.1,114795,37.74,florida,2020-11-10T20:52:20.275160Z
12111,St. Lucie,172320,140447,64,64,Released as a separate subtotal as first report of the night,100,170879,>98%,>98% reported,edison,4,all,,119037,,,86825,84115,767,190,209,82,71,61,66257,73285,516,93,137,60,53,46,2020-11-07T16:51:38Z,1.57266,R+1.6,Trump +1.6,republican,1.57266,141993,2.4,123027,-7.86,florida,2020-11-10T20:52:20.275160Z
12119,Sumter,92609,0,26,26,Merged into voters' home precincts and released with cumulative results,98,94298,98%,98% reported,edison,2,some,,71187,,,62757,29331,268,140,39,20,25,29,0,0,0,0,0,0,0,0,2020-11-08T17:23:08Z,36.09368,R+36,Trump +36,republican,36.09368,77238,39,60479,34.92,florida,2020-11-10T20:52:20.275160Z
12121,Suwannee,21082,14729,16,16,Released as a precinct as first report of the night,100,20452,>98%,>98% reported,edison,2,some,,14190,,,16410,4485,119,25,23,8,6,6,10983,3637,60,19,16,5,5,4,2020-11-07T16:51:37Z,56.56484,R+57,Trump +57,republican,56.56484,18787,54.9,17629,44.93,florida,2020-11-10T20:52:20.275160Z
12123,Taylor,10135,7349,14,14,Released as a separate subtotal as first report of the night,100,10101,>98%,>98% reported,edison,6,all,,7466,,,7748,2299,52,13,11,6,3,3,5514,1781,29,10,6,6,2,1,2020-11-07T16:51:37Z,53.76418,R+54,Trump +54,republican,53.76418,9348,51.1,9120,38.21,florida,2020-11-10T20:52:20.275160Z
12125,Union,6251,0,8,8,Released as a precinct as first report of the night,100,6247,>98%,>98% reported,edison,6,all,,4488,,,5133,1053,42,6,5,3,4,5,0,0,0,0,0,0,0,0,2020-11-08T17:17:24Z,65.26956,R+65,Trump +65,republican,65.26956,5722,62.1,5393,48.97,florida,2020-11-10T20:52:20.275160Z
12127,Volusia,307891,241703,125,125,Released as a precinct as first report of the night,97,316493,97%,97% reported,edison,4,some,,201504,,,173797,130451,2153,626,390,173,160,141,127235,111838,1455,511,289,135,122,118,2020-11-08T16:54:12Z,14.07836,R+14,Trump +14,republican,14.07836,263278,12.9,234536,1.17,florida,2020-11-10T20:52:20.275160Z
12129,Wakulla,18438,12961,12,12,Released as a separate subtotal as first report of the night,99,18700,>98%,>98% reported,edison,4,all,,14003,,,12873,5348,134,39,18,6,10,10,8728,4052,104,39,16,5,9,8,2020-11-08T17:12:23Z,40.81245,R+41,Trump +41,republican,40.81245,15444,39.9,14660,28.07,florida,2020-11-10T20:52:20.275160Z
12131,Walton,43786,32367,21,21,Merged into voters' home precincts and released with cumulative results,100,40810,>98%,>98% reported,edison,4,some,,24936,,,32942,10336,336,85,43,15,16,13,23407,8755,205,0,0,0,0,0,2020-11-09T18:13:27Z,51.62837,R+52,Trump +52,republican,51.62837,33898,55.7,28494,52.01,florida,2020-11-10T20:52:20.275160Z
12133,Washington,12335,11727,12,12,Merged into voters' home precincts and released with cumulative results,100,12325,>98%,>98% reported,edison,6,all,,9528,,,9876,2347,69,8,15,10,5,5,9371,2245,68,8,15,10,5,5,2020-11-07T16:51:37Z,61.0377,R+61,Trump +61,republican,61.0377,11211,56.8,10999,47.44,florida,2020-11-10T20:52:20.275160Z
