fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42109,Snyder,18945,0,25,25,Merged into voters' home precincts and released with cumulative results,100,18532,>98%,>98% reported,edison,4,some,,1165,,,4848,13816,240,41,0,0,0,0,2020-11-04T10:43:43Z,47.33703,R+47,Trump +47,republican,47.33703,16486,46.8,15002,35.9,pennsylvania,2020-11-10T20:53:04.412711Z
42111,Somerset,40093,0,48,50,Merged into voters' home precincts and released with cumulative results,99,40516,>98%,>98% reported,edison,2,unknown,,3224,,,8543,31105,414,31,0,0,0,0,2020-11-04T10:43:44Z,56.27416,R+56,Trump +56,republican,56.27416,36073,55.5,33942,42.86,pennsylvania,2020-11-10T20:53:04.412711Z
42113,Sullivan,3602,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3552,>98%,>98% reported,edison,4,unknown,,398,,,921,2622,56,3,0,0,0,0,2020-11-06T21:32:39Z,47.22376,R+47,Trump +47,republican,47.22376,3152,48.9,2949,28.28,pennsylvania,2020-11-10T20:53:04.412711Z
42115,Susquehanna,21325,0,40,41,Merged into voters' home precincts and released with cumulative results,100,21364,>98%,>98% reported,edison,4,some,,1736,,,6084,14879,301,61,0,0,0,0,2020-11-06T12:40:23Z,41.24267,R+41,Trump +41,republican,41.24267,19043,40.8,18044,21.42,pennsylvania,2020-11-10T20:53:04.412711Z
42117,Tioga,21120,0,40,41,Merged into voters' home precincts AFTER election night,100,20755,>98%,>98% reported,edison,4,unknown,,1650,,,4958,15750,379,33,0,0,0,0,2020-11-09T18:32:38Z,51.09848,R+51,Trump +51,republican,51.09848,18507,52.5,17004,35.2,pennsylvania,2020-11-10T20:53:04.412711Z
42119,Union,20078,0,27,27,Released with cumulative results periodically election night,99,20263,>98%,>98% reported,edison,4,some,,1664,,,7377,12342,282,77,0,0,0,0,2020-11-07T00:59:07Z,24.72856,R+25,Trump +25,republican,24.72856,17696,25.1,16268,23.28,pennsylvania,2020-11-10T20:53:04.412711Z
42121,Venango,26198,0,43,44,Released separately at end; NOT included in cumulative results,99,26444,>98%,>98% reported,edison,4,none,,2155,,,7475,18286,366,71,0,0,0,0,2020-11-04T10:43:45Z,41.26651,R+41,Trump +41,republican,41.26651,23530,41.3,22167,26.48,pennsylvania,2020-11-10T20:53:04.412711Z
42123,Warren,20401,5048,31,33,Merged into voters' home precincts and released with cumulative results,98,20878,98%,98% reported,edison,4,unknown,,1773,,,5987,14020,338,56,3061,1883,87,17,2020-11-04T10:43:45Z,39.37552,R+39,Trump +39,republican,39.37552,18434,39.8,17299,17.43,pennsylvania,2020-11-10T20:53:04.412711Z
42125,Washington,117658,35519,179,180,None,97,121000,97%,97% reported,edison,4,all,,7216,,,44712,71375,1298,273,24463,10576,371,109,2020-11-06T23:38:38Z,22.66144,R+23,Trump +23,republican,22.66144,102267,24.5,94750,13.6,pennsylvania,2020-11-10T20:53:04.412711Z
42127,Wayne,27915,0,35,35,Merged into voters' home precincts and released with cumulative results,100,27858,>98%,>98% reported,edison,6,unknown,,2445,,,9135,18466,257,57,0,0,0,0,2020-11-06T22:10:38Z,33.42647,R+33,Trump +33,republican,33.42647,24018,38.5,21607,20.83,pennsylvania,2020-11-10T20:53:04.412711Z
42129,Westmoreland,201805,0,293,307,Merged into voters' home precincts and released with cumulative results,100,202000,>98%,>98% reported,edison,4,none,,13342,,,70738,128304,2287,476,0,0,0,0,2020-11-06T20:57:36Z,28.52556,R+29,Trump +29,republican,28.52556,183492,31,169572,23.71,pennsylvania,2020-11-10T20:53:04.412711Z
42131,Wyoming,14900,4044,27,28,Merged into voters' home precincts and released with cumulative results,100,14887,>98%,>98% reported,edison,4,all,,1042,,,4704,9936,218,42,2463,1503,54,24,2020-11-09T20:16:40Z,35.11409,R+35,Trump +35,republican,35.11409,13255,37.9,11872,12.85,pennsylvania,2020-11-10T20:53:04.412711Z
42133,York,233060,0,156,160,Merged into voters' home precincts AFTER election night,98,238944,98%,98% reported,edison,4,some,,12789,,,85491,143415,3477,677,0,0,0,0,2020-11-09T19:29:21Z,24.85369,R+25,Trump +25,republican,24.85369,208029,28.8,189229,21.2,pennsylvania,2020-11-10T20:53:04.412711Z
