fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37053,Currituck,16006,10173,11,11,Released as a precinct as first report of the night,100,16006,>98%,>98% reported,edison,6,unknown,,6061,,,11566,4151,203,29,24,33,6898,3149,100,15,11,0,2020-11-04T10:43:52Z,46.32638,R+46,Trump +46,republican,46.32638,12669,49.3,11304,34.8,north-carolina,2020-11-10T20:52:10.365623Z
37055,Dare,24061,19011,16,16,Released as a separate subtotal as first report of the night,100,23994,>98%,>98% reported,edison,6,unknown,,12962,,,13844,9855,218,46,31,67,10186,8664,118,26,17,0,2020-11-04T10:43:53Z,16.5787,R+17,Trump +17,republican,16.5787,19609,21.6,17974,15.88,north-carolina,2020-11-10T20:52:10.365623Z
37057,Davidson,84785,66594,39,43,Released as a precinct as first report of the night,97,87658,97%,97% reported,edison,2,unknown,,62552,,,62143,21483,671,179,179,130,48257,17668,424,119,126,0,2020-11-04T10:43:53Z,47.9566,R+48,Trump +48,republican,47.9566,74856,48.4,70935,40.54,north-carolina,2020-11-10T20:52:10.365623Z
37059,Davie,25059,20164,13,14,Released as a precinct as first report of the night,98,25477,98%,98% reported,edison,4,unknown,,19566,,,18115,6653,208,51,32,0,14123,5825,160,36,20,0,2020-11-04T10:43:54Z,45.74005,R+46,Trump +46,republican,45.74005,21756,47.5,20670,43.31,north-carolina,2020-11-10T20:52:10.365623Z
37061,Duplin,22510,16814,16,19,Released as a precinct as first report of the night,99,22657,>98%,>98% reported,edison,4,all,,15685,,,13703,8676,83,32,16,0,9537,7195,49,21,12,0,2020-11-04T10:43:54Z,22.3323,R+22,Trump +22,republican,22.3323,20856,18.9,20592,11.57,north-carolina,2020-11-10T20:52:10.365623Z
37063,Durham,177227,162475,52,57,Released as a separate subtotal as first report of the night,100,176940,>98%,>98% reported,edison,6,none,,171389,,,31827,142770,1431,495,193,511,27119,133631,1157,413,155,0,2020-11-04T10:43:56Z,62.59938,D+63,Biden +63,democrat,-62.59938,156134,-59.5,146735,-52.79,north-carolina,2020-11-10T20:52:10.365623Z
37065,Edgecombe,25344,20327,17,21,Released as a precinct as first report of the night,97,26198,97%,97% reported,edison,2,unknown,,28931,,,9162,16027,95,33,27,0,6589,13634,60,24,20,0,2020-11-06T23:23:48Z,27.08728,D+27,Biden +27,democrat,-27.08728,24886,-32,26972,-36.2,north-carolina,2020-11-10T20:52:10.365623Z
37067,Forsyth,198469,168484,90,101,Released as a precinct as first report of the night,89,222890,89%,89% reported,edison,2,unknown,,181062,,,84176,111769,1737,491,296,0,67110,99588,1203,362,221,0,2020-11-04T10:43:59Z,13.90293,D+14,Biden +14,democrat,-13.90293,178312,-10.4,174069,-7.21,north-carolina,2020-11-10T20:52:10.365623Z
37069,Franklin,37079,30170,18,18,Released as a separate subtotal as first report of the night,98,38000,98%,98% reported,edison,4,unknown,,25408,,,20748,15776,328,75,70,82,15815,14009,238,49,59,0,2020-11-04T10:43:59Z,13.40921,R+13,Trump +13,republican,13.40921,30368,11.5,28389,4.11,north-carolina,2020-11-10T20:52:10.365623Z
37071,Gaston,113791,95763,43,46,Released as a precinct as first report of the night,100,114000,>98%,>98% reported,edison,4,some,,96085,,,72132,40231,864,210,134,220,59580,35346,583,155,99,0,2020-11-04T21:40:07Z,28.03473,R+28,Trump +28,republican,28.03473,96431,31.8,90483,25.38,north-carolina,2020-11-10T20:52:10.365623Z
