fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49021,Iron,23731,0,41,41,Released as a separate subtotal as first report of the night,100,20832,>98%,>98% reported,edison,2,unknown,,15125,,,18113,4673,626,81,73,84,20,23,38,0,0,0,0,0,0,0,0,0,0,0,2020-11-06T22:01:41Z,56.63478,R+57,Trump +57,republican,56.63478,17831,49.4,16701,72.16,utah,2020-11-10T20:53:41.176648Z
49023,Juab,5884,0,10,10,Released as a separate subtotal as first report of the night,100,5900,>98%,>98% reported,edison,4,unknown,,3157,,,5087,645,91,13,5,16,20,4,3,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T15:11:55Z,75.49286,R+75,Trump +75,republican,75.49286,4221,48.9,3972,75.45,utah,2020-11-10T20:53:41.176648Z
49025,Kane,3869,0,11,12,Merged into voters' home precincts and released with cumulative results,94,4136,94%,94% reported,edison,2,unknown,,2752,,,2777,1005,47,13,7,15,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:14Z,45.79995,R+46,Trump +46,republican,45.79995,3537,43.1,3371,52.74,utah,2020-11-10T20:53:41.176648Z
49027,Millard,5872,0,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",95,6186,95%,95% reported,edison,2,unknown,,2212,,,5145,603,61,16,5,25,1,5,11,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T00:01:40Z,77.35014,R+77,Trump +77,republican,77.35014,5269,59.6,5026,80.52,utah,2020-11-10T20:53:41.176648Z
49029,Morgan,6254,0,15,15,Released as a separate subtotal as first report of the night,100,6127,>98%,>98% reported,edison,2,unknown,,4537,,,4957,1060,155,33,13,21,0,5,10,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:14Z,62.31212,R+62,Trump +62,republican,62.31212,5192,38.3,4597,80.73,utah,2020-11-10T20:53:41.176648Z
49031,Piute,871,0,5,5,Merged into voters' home precincts and released with cumulative results,94,923,94%,94% reported,edison,2,unknown,,682,,,773,86,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:15Z,78.87486,R+79,Trump +79,republican,78.87486,729,79.4,782,79.67,utah,2020-11-10T20:53:41.176648Z
49033,Rich,1320,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1309,>98%,>98% reported,edison,2,unknown,,670,,,1118,178,14,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:15Z,71.21212,R+71,Trump +71,republican,71.21212,1109,56.2,1007,82.62,utah,2020-11-10T20:53:41.176648Z
49035,Salt Lake,458498,314286,725,788,Released as a separate subtotal as first report of the night,92,494264,92%,92% reported,edison,4,unknown,,375002,,,188945,250522,8774,1922,1660,1242,421,572,695,3745,122539,182824,5042,1158,976,770,251,333,393,0,2020-11-09T22:52:41Z,13.43016,D+13,Biden +13,democrat,-13.43016,423743,-8.9,381799,20.34,utah,2020-11-10T20:53:41.176648Z
49037,San Juan,5243,0,19,23,Merged into voters' home precincts and released with cumulative results,82,6427,82%,82% reported,edison,2,unknown,,3260,,,2634,2451,68,31,10,16,3,18,12,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:15Z,3.49037,R+3,Trump +3,republican,3.49037,5534,10.9,5307,17.62,utah,2020-11-10T20:53:41.176648Z
49039,Sanpete,12253,0,29,29,Released as a separate subtotal as first report of the night,100,11994,>98%,>98% reported,edison,4,unknown,,4390,,,10064,1735,209,38,18,49,7,20,19,94,0,0,0,0,0,0,0,0,0,0,2020-11-09T22:05:42Z,67.97519,R+68,Trump +68,republican,67.97519,10247,45.2,9547,77.78,utah,2020-11-10T20:53:41.176648Z
49041,Sevier,9731,0,22,23,"As a subtotal in the FIRST cumulative report, along with regular precincts",95,10212,95%,95% reported,edison,4,unknown,,7135,,,8427,1032,123,27,12,28,3,3,11,65,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:15Z,75.99425,R+76,Trump +76,republican,75.99425,8654,67.3,8069,80.17,utah,2020-11-10T20:53:41.176648Z
49043,Summit,25439,0,50,50,Released as a separate subtotal as first report of the night,100,24356,>98%,>98% reported,edison,2,unknown,,20812,,,9928,14947,351,82,60,24,12,18,17,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T19:41:42Z,19.72955,D+20,Biden +20,democrat,-19.72955,20885,-15.2,17488,4.64,utah,2020-11-10T20:53:41.176648Z
49045,Tooele,29770,27199,62,62,Released as a separate subtotal as first report of the night,100,28000,>98%,>98% reported,edison,4,all,,22742,,,19531,8498,891,137,79,173,29,80,56,296,17594,8033,783,121,68,160,29,69,46,296,2020-11-04T23:00:53Z,37.0608,R+37,Trump +37,republican,37.0608,21962,29.1,19261,50.59,utah,2020-11-10T20:53:41.176648Z
49047,Uintah,14796,13065,25,26,Released as a separate subtotal as first report of the night,98,15100,98%,98% reported,edison,4,all,,8700,,,12777,1601,212,37,27,53,4,10,15,60,11290,1469,183,25,24,49,2,9,13,1,2020-11-04T10:44:16Z,75.53393,R+76,Trump +76,republican,75.53393,12864,64.6,11583,81.36,utah,2020-11-10T20:53:41.176648Z
49049,Utah,259688,0,294,294,Released as a separate subtotal as first report of the night,100,237830,>98%,>98% reported,edison,4,all,,95185,,,173856,69386,9035,1435,729,1240,147,408,453,2999,0,0,0,0,0,0,0,0,0,0,2020-11-07T02:15:38Z,40.22904,R+40,Trump +40,republican,40.22904,203642,20.5,177713,78.59,utah,2020-11-10T20:53:41.176648Z
49051,Wasatch,16456,0,38,38,None,100,14302,>98%,>98% reported,edison,4,unknown,,8962,,,9953,5762,326,74,41,51,6,31,16,196,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:16Z,25.46791,R+25,Trump +25,republican,25.46791,12266,24.9,9589,52.45,utah,2020-11-10T20:53:41.176648Z
49053,Washington,88807,76523,113,113,Merged into voters' home precincts and released with cumulative results,100,77000,>98%,>98% reported,edison,4,unknown,,53675,,,65601,20065,1685,278,180,216,32,71,81,598,55654,18332,1248,228,143,185,27,61,71,574,2020-11-06T22:01:40Z,51.27524,R+51,Trump +51,republican,51.27524,62371,51.9,54012,67.32,utah,2020-11-10T20:53:41.176648Z
49055,Wayne,1596,0,7,7,Merged into voters' home precincts and released with cumulative results,95,1677,95%,95% reported,edison,2,unknown,,902,,,1207,362,9,7,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:16Z,52.94486,R+53,Trump +53,republican,52.94486,1426,48.7,1327,65.86,utah,2020-11-10T20:53:41.176648Z
49057,Weber,108335,0,154,154,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,100346,>98%,>98% reported,edison,4,all,,74882,,,64066,39652,2757,510,467,407,53,178,245,0,0,0,0,0,0,0,0,0,0,0,2020-11-06T23:00:39Z,22.53565,R+23,Trump +23,republican,22.53565,86006,19.9,75912,45.29,utah,2020-11-10T20:53:41.176648Z
