fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24021,Frederick,139008,52812,77,79,Released as a precinct as first report of the night,98,140758,98%,98% reported,edison,4,some,,22179,,,73491,61692,2164,650,236,775,20063,31486,681,208,92,282,2020-11-10T00:26:38Z,8.488,D+8,Biden +8,democrat,-8.488,125677,2.4,117115,3.12,maryland,2020-11-10T20:52:30.050624Z
24023,Garrett,15045,0,19,20,Released separately AFTER election night,96,15692,96%,96% reported,edison,2,none,,2480,,,3098,11654,209,64,20,0,0,0,0,0,0,0,2020-11-05T21:30:37Z,56.86939,R+57,Trump +57,republican,56.86939,14011,58.6,13157,50.31,maryland,2020-11-10T20:52:30.050624Z
24025,Harford,138449,69273,79,86,Released as a separate subtotal as first report of the night,92,149713,92%,92% reported,edison,4,some,,26224,,,57749,77238,2193,522,127,620,22216,45623,899,200,38,297,2020-11-09T21:07:42Z,14.07666,R+14,Trump +14,republican,14.07666,133672,23,125954,18.41,maryland,2020-11-10T20:52:30.050624Z
24027,Howard,174773,60929,113,119,Released separately AFTER election night,96,181656,96%,96% reported,edison,2,some,,48738,,,123629,46779,2361,750,231,1023,35872,23430,810,248,70,499,2020-11-09T00:50:36Z,43.97132,D+44,Biden +44,democrat,-43.97132,162193,-34,153108,-21.97,maryland,2020-11-10T20:52:30.050624Z
24029,Kent,10015,0,9,11,None,89,11224,89%,89% reported,edison,2,none,,3816,,,4914,4900,107,63,31,0,0,0,0,0,0,0,2020-11-10T00:00:41Z,0.13979,D+0.14,Biden +0.14,democrat,-0.13979,10021,3,9904,0.28,maryland,2020-11-10T20:52:30.050624Z
24031,Montgomery,386822,0,193,269,Released as a precinct as first report of the night,72,536338,72%,72% reported,edison,2,unknown,,124702,,,301283,77648,2795,2216,1125,1755,0,0,0,0,0,0,2020-11-10T13:16:43Z,57.81341,D+58,Biden +58,democrat,-57.81341,478873,-55.4,455992,-43.87,maryland,2020-11-10T20:52:30.050624Z
24033,Prince George's,384747,307461,252,288,None,100,312395,>98%,>98% reported,edison,6,some,,111886,,,343723,33971,1550,3072,1296,1135,278000,24509,982,2015,857,1098,2020-11-10T01:24:39Z,80.50797,D+81,Biden +81,democrat,-80.50797,390385,-79.7,387744,-80.52,maryland,2020-11-10T20:52:30.050624Z
24035,Queen Anne's,28990,0,11,12,Other,98,29706,98%,98% reported,edison,2,unknown,,6419,,,10209,18179,388,161,53,0,0,0,0,0,0,0,2020-11-05T22:58:38Z,27.49224,R+27,Trump +27,republican,27.49224,26523,34,24888,29.2,maryland,2020-11-10T20:52:30.050624Z
24039,Somerset,9073,0,18,23,None,79,11516,79%,79% reported,edison,2,unknown,,2648,,,3542,5405,74,35,17,0,0,0,0,0,0,0,2020-11-05T19:13:41Z,20.53345,R+21,Trump +21,republican,20.53345,9900,11.6,10399,-1.9,maryland,2020-11-10T20:52:30.050624Z
24037,St. Mary's,54097,0,35,37,"As a precinct in the FIRST cumulative report, along with regular precincts",97,55823,97%,97% reported,edison,2,none,,11354,,,22511,30245,1086,192,63,0,0,0,0,0,0,0,2020-11-06T21:53:36Z,14.29654,R+14,Trump +14,republican,14.29654,49842,22.3,47824,14.82,maryland,2020-11-10T20:52:30.050624Z
24041,Talbot,21305,0,11,12,Released as a separate subtotal as first report of the night,93,23019,93%,93% reported,edison,2,unknown,,9517,,,10408,10524,259,79,35,0,0,0,0,0,0,0,2020-11-05T22:58:38Z,0.54447,R+0.54,Trump +0.54,republican,0.54447,20553,10.1,20459,12.37,maryland,2020-11-10T20:52:30.050624Z
24043,Washington,62972,32693,45,54,Released as a precinct as first report of the night,85,73910,85%,85% reported,edison,4,some,,11758,,,23448,38232,737,274,90,191,15952,16156,271,140,54,120,2020-11-06T01:20:36Z,23.4771,R+23,Trump +23,republican,23.4771,65991,30.1,62755,17.58,maryland,2020-11-10T20:52:30.050624Z
24045,Wicomico,42944,0,48,54,Released as a precinct as first report of the night,90,47653,90%,90% reported,edison,2,unknown,,10264,,,20150,21878,496,277,143,0,0,0,0,0,0,0,2020-11-06T22:28:38Z,4.02385,R+4,Trump +4,republican,4.02385,42547,9.7,42259,5.04,maryland,2020-11-10T20:52:30.050624Z
24047,Worcester,26511,0,13,16,Released as a precinct as first report of the night,84,31666,84%,84% reported,edison,2,unknown,,4518,,,9795,16380,262,60,14,0,0,0,0,0,0,0,2020-11-09T23:28:36Z,24.83875,R+25,Trump +25,republican,24.83875,28273,26.4,27420,18.01,maryland,2020-11-10T20:52:30.050624Z
