fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41021,Gilliam,1167,0,3,3,Other,99,1178,>98%,>98% reported,edison,8,unknown,,,,,373,765,18,8,3,0,0,0,0,0,2020-11-16T15:47:58Z,33.5904,R+34,Perkins +34,republican,oregon,2020-11-21T00:45:57.028897Z
41023,Grant,4513,0,5,5,Other,98,4596,98%,98% reported,edison,8,unknown,,,,,1119,3273,89,27,5,0,0,0,0,0,2020-11-19T02:01:00Z,47.72878,R+48,Perkins +48,republican,oregon,2020-11-21T00:45:57.028897Z
41025,Harney,4377,0,3,3,Other,98,4481,98%,98% reported,edison,8,unknown,,,,,1055,3213,65,38,6,0,0,0,0,0,2020-11-16T15:47:59Z,49.30318,R+49,Perkins +49,republican,oregon,2020-11-21T00:45:57.028897Z
41027,Hood River,12885,0,13,13,Other,98,13090,98%,98% reported,edison,8,unknown,,,,,8619,3821,229,209,7,0,0,0,0,0,2020-11-18T20:00:57Z,37.2371,D+37,Merkley +37,democrat,oregon,2020-11-21T00:45:57.028897Z
41029,Jackson,124126,0,45,45,Other,98,126325,98%,98% reported,edison,8,all,,,,,59052,60961,2213,1900,,0,0,0,0,,2020-11-16T15:48:00Z,1.53795,R+1.5,Perkins +1.5,republican,oregon,2020-11-21T00:45:57.028897Z
41031,Jefferson,11752,0,15,15,Other,100,11666,>98%,>98% reported,edison,8,some,,,,,4591,6810,206,130,15,0,0,0,0,0,2020-11-19T20:00:55Z,18.88189,R+19,Perkins +19,republican,oregon,2020-11-21T00:45:57.028897Z
41033,Josephine,50225,0,46,47,Other,97,51592,97%,97% reported,edison,8,some,,,,,18697,29685,986,789,68,0,0,0,0,0,2020-11-20T02:00:48Z,21.87755,R+22,Perkins +22,republican,oregon,2020-11-21T00:45:57.028897Z
41035,Klamath,35982,0,43,43,Other,99,36331,>98%,>98% reported,edison,8,unknown,,,,,11237,23579,702,435,29,0,0,0,0,0,2020-11-20T02:00:48Z,34.30048,R+34,Perkins +34,republican,oregon,2020-11-21T00:45:57.028897Z
41037,Lake,4265,0,18,19,Other,98,4363,98%,98% reported,edison,8,all,,,,,908,3261,63,29,4,0,0,0,0,0,2020-11-18T20:00:57Z,55.16999,R+55,Perkins +55,republican,oregon,2020-11-21T00:45:57.028897Z
41039,Lane,216527,0,79,80,Other,98,221585,98%,98% reported,edison,8,some,,,,,132611,75377,3826,4480,233,0,0,0,0,0,2020-11-16T15:48:03Z,26.43273,D+26,Merkley +26,democrat,oregon,2020-11-21T00:45:57.028897Z
41041,Lincoln,30208,0,32,32,Other,98,30726,98%,98% reported,edison,8,unknown,,,,,17485,11628,546,524,25,0,0,0,0,0,2020-11-19T02:01:00Z,19.3889,D+19,Merkley +19,democrat,oregon,2020-11-21T00:45:57.028897Z
41043,Linn,70644,0,90,90,Other,97,72640,97%,97% reported,edison,8,some,,,,,27048,40801,1618,1079,98,0,0,0,0,0,2020-11-18T02:00:58Z,19.46804,R+19,Perkins +19,republican,oregon,2020-11-21T00:45:57.028897Z
41045,Malheur,11596,0,23,24,Other,98,11804,98%,98% reported,edison,8,unknown,,,,,3353,7882,230,124,7,0,0,0,0,0,2020-11-19T02:01:00Z,39.05657,R+39,Perkins +39,republican,oregon,2020-11-21T00:45:57.028897Z
41047,Marion,162010,0,122,122,Other,98,165530,98%,98% reported,edison,8,unknown,,,,,79988,75906,3221,2683,212,0,0,0,0,0,2020-11-19T02:00:59Z,2.5196,D+3,Merkley +3,democrat,oregon,2020-11-21T00:45:57.028897Z
41049,Morrow,5035,0,5,5,Other,98,5118,98%,98% reported,edison,8,unknown,,,,,1558,3324,109,41,3,0,0,0,0,0,2020-11-18T02:00:58Z,35.07448,R+35,Perkins +35,republican,oregon,2020-11-21T00:45:57.028897Z
41051,Multnomah,453987,0,113,113,Other,98,463659,98%,98% reported,edison,8,some,,,,,356870,78673,6775,11669,,0,0,0,0,,2020-11-19T16:52:20Z,61.27863,D+61,Merkley +61,democrat,oregon,2020-11-21T00:45:57.028897Z
41053,Polk,47531,0,16,16,Other,98,48291,98%,98% reported,edison,8,all,,,,,22893,22931,928,725,54,0,0,0,0,0,2020-11-18T20:00:57Z,0.07995,R+0.08,Perkins +0.08,republican,oregon,2020-11-21T00:45:57.028897Z
41055,Sherman,1179,0,5,5,Other,98,1208,98%,98% reported,edison,8,unknown,,,,,302,845,26,6,0,0,0,0,0,0,2020-11-18T20:00:57Z,46.05598,R+46,Perkins +46,republican,oregon,2020-11-21T00:45:57.028897Z
41057,Tillamook,16589,0,29,29,Other,98,16888,98%,98% reported,edison,8,all,,,,,8326,7768,270,213,12,0,0,0,0,0,2020-11-19T02:00:59Z,3.36367,D+3,Merkley +3,democrat,oregon,2020-11-21T00:45:57.028897Z
41059,Umatilla,31738,0,45,45,Other,98,32539,98%,98% reported,edison,8,unknown,,,,,11053,19652,675,328,30,0,0,0,0,0,2020-11-16T15:48:10Z,27.0937,R+27,Perkins +27,republican,oregon,2020-11-21T00:45:57.028897Z
41061,Union,14605,0,19,19,Other,98,14944,98%,98% reported,edison,8,unknown,,,,,4545,9674,230,145,11,0,0,0,0,0,2020-11-18T20:00:56Z,35.11811,R+35,Perkins +35,republican,oregon,2020-11-21T00:45:57.028897Z
41063,Wallowa,5071,0,12,12,Other,98,5149,98%,98% reported,edison,8,unknown,,,,,1702,3267,65,37,,0,0,0,0,,2020-11-17T02:00:57Z,30.86176,R+31,Perkins +31,republican,oregon,2020-11-21T00:45:57.028897Z
41065,Wasco,13799,0,14,14,Other,98,14130,98%,98% reported,edison,8,unknown,,,,,6716,6572,290,208,13,0,0,0,0,0,2020-11-19T02:00:59Z,1.04355,D+1.0,Merkley +1.0,democrat,oregon,2020-11-21T00:45:57.028897Z
41067,Washington,312077,0,143,143,Other,97,320194,97%,97% reported,edison,8,all,,,,,201983,97762,6128,6204,,0,0,0,0,,2020-11-19T16:53:45Z,33.39592,D+33,Merkley +33,democrat,oregon,2020-11-21T00:45:57.028897Z
41069,Wheeler,932,0,3,3,Other,97,965,97%,97% reported,edison,8,unknown,,,,,262,646,16,8,0,0,0,0,0,0,2020-11-18T20:00:56Z,41.20172,R+41,Perkins +41,republican,oregon,2020-11-21T00:45:57.028897Z
41071,Yamhill,57360,0,22,22,Other,97,58923,97%,97% reported,edison,8,unknown,,,,,26893,28177,1335,900,55,0,0,0,0,0,2020-11-19T02:00:59Z,2.23849,R+2,Perkins +2,republican,oregon,2020-11-21T00:45:57.028897Z
