fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
13241,Rabun,9472,8051,1,1,Released as a precinct at the end of tabulation,99,9568,>98%,>98% reported,edison,10,unknown,,9325,,,7392,1825,255,,6225,1637,189,,2020-11-20T21:29:55Z,58.77323,R+59,Perdue +59,republican,georgia,2020-11-21T00:45:09.985364Z
13243,Randolph,3041,2313,6,6,Other,99,3074,>98%,>98% reported,edison,10,all,,2326,,,1404,1606,31,,1083,1208,22,,2020-11-20T21:29:40Z,6.64255,D+7,Ossoff +7,democrat,georgia,2020-11-21T00:45:09.985364Z
13245,Richmond,85968,64967,68,68,None,99,87016,>98%,>98% reported,edison,10,some,,59720,,,27052,56786,2130,,18493,45053,1421,,2020-11-20T21:29:24Z,34.58729,D+35,Ossoff +35,democrat,georgia,2020-11-21T00:45:09.985364Z
13247,Rockdale,44263,38020,16,16,Released as a precinct as first report of the night,99,44686,>98%,>98% reported,edison,10,unknown,,42981,,,12716,30641,906,,10284,27047,689,,2020-11-20T21:29:10Z,40.49658,D+40,Ossoff +40,democrat,georgia,2020-11-21T00:45:09.985364Z
13249,Schley,2256,1882,1,1,Released as a precinct as first report of the night,99,2275,>98%,>98% reported,edison,10,unknown,,1795,,,1783,439,34,,1479,376,27,,2020-11-20T21:28:55Z,59.57447,R+60,Perdue +60,republican,georgia,2020-11-21T00:45:09.985364Z
13251,Screven,6547,4657,12,12,Other,99,6628,>98%,>98% reported,edison,10,unknown,,4550,,,3893,2589,65,,2641,1980,36,,2020-11-20T21:28:39Z,19.91752,R+20,Perdue +20,republican,georgia,2020-11-21T00:45:09.985364Z
13253,Seminole,3838,2592,4,5,Other,99,3884,>98%,>98% reported,edison,10,some,,2571,,,2597,1187,54,,1663,896,33,,2020-11-20T21:28:01Z,36.73788,R+37,Perdue +37,republican,georgia,2020-11-21T00:45:09.985364Z
13255,Spalding,29764,20959,18,18,None,99,30116,>98%,>98% reported,edison,10,all,,23630,,,17768,11355,641,,12129,8451,379,,2020-11-20T21:27:19Z,21.54616,R+22,Perdue +22,republican,georgia,2020-11-21T00:45:09.985364Z
13257,Stephens,11768,10217,1,1,Released as a separate subtotal as first report of the night,99,11885,>98%,>98% reported,edison,10,unknown,,9197,,,9353,2187,228,,8145,1898,174,,2020-11-20T21:26:50Z,60.89395,R+61,Perdue +61,republican,georgia,2020-11-21T00:45:09.985364Z
13259,Stewart,1953,1421,3,4,None,98,1990,98%,98% reported,edison,10,unknown,,1402,,,803,1115,35,,573,826,22,,2020-11-20T21:26:13Z,15.97542,D+16,Ossoff +16,democrat,georgia,2020-11-21T00:45:09.985364Z
13261,Sumter,12022,9323,11,11,Merged into voters' home precincts and released with cumulative results,99,12150,>98%,>98% reported,edison,10,some,,10757,,,5743,6114,165,,4221,4986,116,,2020-11-20T21:25:12Z,3.08601,D+3,Ossoff +3,democrat,georgia,2020-11-21T00:45:09.985364Z
13263,Talbot,3450,2438,7,7,Merged into voters' home precincts and released with cumulative results,98,3522,98%,98% reported,edison,10,unknown,,2304,,,1386,2013,51,,920,1485,33,,2020-11-20T21:24:56Z,18.17391,D+18,Ossoff +18,democrat,georgia,2020-11-21T00:45:09.985364Z
13265,Taliaferro,902,704,2,2,None,97,928,97%,97% reported,edison,10,unknown,,946,,,366,521,15,,267,424,13,,2020-11-20T21:24:28Z,17.18404,D+17,Ossoff +17,democrat,georgia,2020-11-21T00:45:09.985364Z
13267,Tattnall,8091,6130,8,8,Other,99,8183,>98%,>98% reported,edison,10,unknown,,5459,,,5954,1978,159,,4462,1566,102,,2020-11-20T21:24:13Z,49.14102,R+49,Perdue +49,republican,georgia,2020-11-21T00:45:09.985364Z
13269,Taylor,3792,3147,3,3,Released as a separate subtotal as first report of the night,99,3839,>98%,>98% reported,edison,10,unknown,,2794,,,2399,1312,81,,2041,1037,69,,2020-11-20T21:23:57Z,28.66561,R+29,Perdue +29,republican,georgia,2020-11-21T00:45:09.985364Z
13271,Telfair,4255,2979,5,6,None,98,4333,98%,98% reported,edison,10,unknown,,2662,,,2751,1435,69,,1817,1119,43,,2020-11-20T21:23:41Z,30.92832,R+31,Perdue +31,republican,georgia,2020-11-21T00:45:09.985364Z
13273,Terrell,4375,3133,5,6,Merged into voters' home precincts and released with cumulative results,99,4416,>98%,>98% reported,edison,10,unknown,,3389,,,2040,2277,58,,1365,1728,40,,2020-11-20T21:23:26Z,5.41714,D+5,Ossoff +5,democrat,georgia,2020-11-21T00:45:09.985364Z
13275,Thomas,21600,17362,20,20,None,99,21853,>98%,>98% reported,edison,10,unknown,,17408,,,13020,8158,422,,10311,6767,284,,2020-11-20T21:22:58Z,22.50926,R+23,Perdue +23,republican,georgia,2020-11-21T00:45:09.985364Z
13277,Tift,16092,12206,12,12,Released as a precinct as first report of the night,99,16283,>98%,>98% reported,edison,10,all,,12083,,,10814,4956,305,17,8100,3894,199,13,2020-11-20T01:48:17Z,36.40318,R+36,Perdue +36,republican,georgia,2020-11-21T00:45:09.985364Z
13279,Toombs,10798,8393,5,5,Released as a precinct as first report of the night,99,10914,>98%,>98% reported,edison,10,unknown,,6590,,,7793,2832,173,,6011,2252,130,,2020-11-20T21:22:23Z,45.94369,R+46,Perdue +46,republican,georgia,2020-11-21T00:45:09.985364Z
13281,Towns,7888,6767,3,3,None,99,7979,>98%,>98% reported,edison,10,unknown,,7256,,,6291,1451,146,,5328,1327,112,,2020-11-20T21:21:59Z,61.35903,R+61,Perdue +61,republican,georgia,2020-11-21T00:45:09.985364Z
13283,Treutlen,3023,2481,2,2,Released with cumulative results periodically election night,98,3077,98%,98% reported,edison,10,unknown,,2098,,,2078,893,52,,1673,774,34,,2020-11-20T21:21:44Z,39.19947,R+39,Perdue +39,republican,georgia,2020-11-21T00:45:09.985364Z
13285,Troup,29809,22146,14,14,None,99,30059,>98%,>98% reported,edison,10,unknown,,20235,,,18162,11111,536,0,13462,8356,328,0,2020-11-20T23:09:30Z,23.65393,R+24,Perdue +24,republican,georgia,2020-11-21T00:45:09.985364Z
13287,Turner,3741,3031,3,3,None,99,3792,>98%,>98% reported,edison,10,all,,3227,,,2334,1345,62,,1967,1022,42,,2020-11-20T21:21:15Z,26.43678,R+26,Perdue +26,republican,georgia,2020-11-21T00:45:09.985364Z
13289,Twiggs,4381,3106,4,5,Released as a precinct as first report of the night,99,4444,>98%,>98% reported,edison,10,unknown,,2886,,,2313,1981,87,,1506,1548,52,,2020-11-20T21:21:02Z,7.57818,R+8,Perdue +8,republican,georgia,2020-11-21T00:45:09.985364Z
13291,Union,15378,11646,11,11,Merged into voters' home precincts AFTER election night,99,15592,>98%,>98% reported,edison,10,all,,11110,,,12423,2616,339,,9085,2324,237,,2020-11-20T21:20:32Z,63.77292,R+64,Perdue +64,republican,georgia,2020-11-21T00:45:09.985364Z
13293,Upson,12784,10754,4,4,None,99,12905,>98%,>98% reported,edison,10,unknown,,9845,,,8568,4000,216,,7208,3384,162,,2020-11-20T21:19:37Z,35.73217,R+36,Perdue +36,republican,georgia,2020-11-21T00:45:09.985364Z
13295,Walker,28999,22301,11,11,Released as a precinct as first report of the night,99,29436,>98%,>98% reported,edison,10,unknown,,18011,,,22650,5435,883,31,17220,4478,580,23,2020-11-20T23:09:47Z,59.36412,R+59,Perdue +59,republican,georgia,2020-11-21T00:45:09.985364Z
13297,Walton,50738,39190,21,21,Other,100,50812,>98%,>98% reported,edison,10,unknown,,26750,,,37399,12146,1193,,28356,10039,795,,2020-11-20T21:19:01Z,49.77137,R+50,Perdue +50,republican,georgia,2020-11-21T00:45:09.985364Z
13299,Ware,13979,10920,12,12,Other,98,14296,98%,98% reported,edison,10,unknown,,9136,,,9773,3937,269,0,7295,3437,188,0,2020-11-20T23:10:11Z,41.74834,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13301,Warren,2614,2150,1,1,Other,98,2681,98%,98% reported,edison,10,unknown,,1914,,,1161,1407,46,0,982,1133,35,0,2020-11-20T23:10:28Z,9.41086,D+9,Ossoff +9,democrat,georgia,2020-11-21T00:45:09.985364Z
13303,Washington,9279,6731,8,8,None,98,9459,98%,98% reported,edison,10,unknown,,6994,,,4630,4477,172,,3171,3451,109,,2020-11-20T21:16:52Z,1.64888,R+1.6,Perdue +1.6,republican,georgia,2020-11-21T00:45:09.985364Z
13305,Wayne,12633,9664,12,12,None,99,12778,>98%,>98% reported,edison,10,all,,8427,,,9734,2655,244,,7302,2187,175,,2020-11-20T21:16:32Z,56.03578,R+56,Perdue +56,republican,georgia,2020-11-21T00:45:09.985364Z
13307,Webster,1372,1093,1,1,Released as a precinct as first report of the night,99,1390,>98%,>98% reported,edison,10,unknown,,994,,,736,626,10,,600,485,8,,2020-11-20T21:16:18Z,8.01749,R+8,Perdue +8,republican,georgia,2020-11-21T00:45:09.985364Z
13309,Wheeler,2258,1620,2,2,None,99,2285,>98%,>98% reported,edison,10,unknown,,293,,,1562,657,35,4,1118,476,26,0,2020-11-20T23:10:46Z,40.07972,R+40,Perdue +40,republican,georgia,2020-11-21T00:45:09.985364Z
13311,White,14716,10815,11,11,Released as a precinct at the end of tabulation,99,14816,>98%,>98% reported,edison,10,all,,8221,,,12072,2273,371,,8680,1894,241,,2020-11-20T21:15:41Z,66.58739,R+67,Perdue +67,republican,georgia,2020-11-21T00:45:09.985364Z
13313,Whitfield,36297,24356,23,23,None,99,36746,>98%,>98% reported,edison,10,unknown,,18126,,,25158,10177,962,,16401,7392,563,,2020-11-20T21:15:07Z,41.27338,R+41,Perdue +41,republican,georgia,2020-11-21T00:45:09.985364Z
13315,Wilcox,3230,2205,6,6,None,98,3281,98%,98% reported,edison,10,unknown,,2054,,,2369,805,56,0,1641,527,37,0,2020-11-20T21:14:14Z,48.42105,R+48,Perdue +48,republican,georgia,2020-11-21T00:45:09.985364Z
13317,Wilkes,4951,3726,7,7,None,98,5029,98%,98% reported,edison,10,unknown,,3725,,,2810,2057,78,6,2102,1572,52,0,2020-11-20T23:11:07Z,15.20905,R+15,Perdue +15,republican,georgia,2020-11-21T00:45:09.985364Z
13319,Wilkinson,4704,2874,9,9,Released as a separate subtotal as first report of the night,99,4770,>98%,>98% reported,edison,10,unknown,,2746,,,2608,2017,79,0,1338,1489,47,0,2020-11-20T21:11:29Z,12.56378,R+13,Perdue +13,republican,georgia,2020-11-21T00:45:09.985364Z
13321,Worth,9210,5845,15,15,None,99,9286,>98%,>98% reported,edison,10,unknown,,5098,,,6726,2327,157,0,3997,1747,101,0,2020-11-20T23:11:20Z,47.7633,R+48,Perdue +48,republican,georgia,2020-11-21T00:45:09.985364Z
