fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29027,Callaway,21178,4506,28,28,"As a precinct in the FIRST cumulative report, along with regular precincts",100,21096,>98%,>98% reported,edison,6,unknown,,2664,,,14812,5868,371,64,43,20,2378,2063,40,13,8,4,2020-11-11T03:25:29Z,42.23251,R+42,Trump +42,republican,42.23251,19333,41.7,18232,31.12,missouri,2020-11-14T00:42:37.072005Z
29029,Camden,24774,6636,20,20,Released as a precinct as first report of the night,100,24774,>98%,>98% reported,edison,6,all,,5960,,,18825,5640,254,32,0,23,4204,2387,36,4,0,5,2020-11-11T03:25:31Z,53.22112,R+53,Trump +53,republican,53.22112,22680,53.7,21945,39.34,missouri,2020-11-14T00:42:37.072005Z
29031,Cape Girardeau,40252,0,36,36,Released as a precinct as first report of the night,99,40742,>98%,>98% reported,edison,2,unknown,,4680,,,28873,10738,519,84,,38,0,0,0,0,,0,2020-11-11T03:25:33Z,45.05366,R+45,Trump +45,republican,45.05366,37311,49.7,35716,43.8,missouri,2020-11-14T00:42:37.072005Z
29033,Carroll,4531,0,12,13,Released as a precinct as first report of the night,99,4569,>98%,>98% reported,edison,2,unknown,,694,,,3706,785,32,6,,2,0,0,0,0,,0,2020-11-11T03:25:34Z,64.46701,R+64,Trump +64,republican,64.46701,4361,62.7,4304,44.56,missouri,2020-11-14T00:42:37.072005Z
29035,Carter,2906,538,6,6,None,100,2906,>98%,>98% reported,edison,6,all,,512,,,2451,418,18,6,9,4,391,141,2,2,0,2,2020-11-11T03:25:37Z,69.95871,R+70,Trump +70,republican,69.95871,2850,66.2,2799,43.73,missouri,2020-11-14T00:42:37.072005Z
29037,Cass,57524,0,41,41,Released as a precinct as first report of the night,100,57524,>98%,>98% reported,edison,6,all,,5946,,,37172,19035,907,162,169,79,0,0,0,0,0,0,2020-11-11T03:25:38Z,31.52945,R+32,Trump +32,republican,31.52945,51410,35.5,48913,28.35,missouri,2020-11-14T00:42:37.072005Z
29039,Cedar,7039,1374,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6588,>98%,>98% reported,edison,4,all,,1147,,,5786,1143,80,13,,17,937,421,11,1,,4,2020-11-11T03:25:39Z,65.96107,R+66,Trump +66,republican,65.96107,6327,63.4,6045,46.96,missouri,2020-11-14T00:42:37.072005Z
29041,Chariton,4074,540,12,13,Released as a precinct as first report of the night,100,4074,>98%,>98% reported,edison,6,unknown,,437,,,3109,916,40,4,0,5,318,218,2,1,0,1,2020-11-11T03:25:42Z,53.82916,R+54,Trump +54,republican,53.82916,3969,52,3821,27.82,missouri,2020-11-14T00:42:37.072005Z
29043,Christian,46904,0,26,26,Released as a precinct as first report of the night,100,44823,>98%,>98% reported,edison,2,unknown,,6005,,,34904,11126,638,82,100,54,0,0,0,0,0,0,2020-11-11T03:25:43Z,50.69504,R+51,Trump +51,republican,50.69504,41863,53.6,37964,46.52,missouri,2020-11-14T00:42:37.072005Z
29045,Clark,3394,0,6,6,None,100,3372,>98%,>98% reported,edison,6,all,,523,,,2672,678,32,12,,0,0,0,0,0,,0,2020-11-11T03:25:44Z,58.75074,R+59,Trump +59,republican,58.75074,3316,52.3,3225,10.29,missouri,2020-11-14T00:42:37.072005Z
29047,Clay,126618,0,81,81,Released as a separate subtotal as first report of the night,100,126618,>98%,>98% reported,edison,6,all,,16870,,,64583,59519,2014,324,0,178,0,0,0,0,0,0,2020-11-11T03:25:45Z,3.99943,R+4,Trump +4,republican,3.99943,111170,10.9,105589,8.41,missouri,2020-11-14T00:42:37.072005Z
29049,Clinton,10894,0,7,7,Released as a precinct as first report of the night,100,10695,>98%,>98% reported,edison,4,some,,1293,,,7789,2894,150,30,18,13,0,0,0,0,0,0,2020-11-11T03:25:45Z,44.93299,R+45,Trump +45,republican,44.93299,10301,43.6,9861,22.75,missouri,2020-11-14T00:42:37.072005Z
29051,Cole,39486,0,27,28,Released as a separate subtotal as first report of the night,96,41111,96%,96% reported,edison,2,unknown,,6603,,,26066,12687,602,84,,47,0,0,0,0,,0,2020-11-11T03:25:46Z,33.8829,R+34,Trump +34,republican,33.8829,37656,36.4,37062,33.69,missouri,2020-11-14T00:42:37.072005Z
29053,Cooper,8710,1386,11,11,Released as a precinct as first report of the night,100,8710,>98%,>98% reported,edison,6,unknown,,981,,,6272,2249,139,24,20,6,759,603,17,4,3,0,2020-11-11T03:25:47Z,46.18829,R+46,Trump +46,republican,46.18829,7986,46.2,7511,32.13,missouri,2020-11-14T00:42:37.072005Z
29055,Crawford,10973,0,9,9,Released separately AFTER election night,100,10393,>98%,>98% reported,edison,2,unknown,,1146,,,8725,2113,102,17,,16,0,0,0,0,,0,2020-11-11T03:25:48Z,60.25699,R+60,Trump +60,republican,60.25699,9920,59.5,9579,36.36,missouri,2020-11-14T00:42:37.072005Z
29057,Dade,4123,0,6,6,Released as a precinct as first report of the night,100,4123,>98%,>98% reported,edison,6,all,,562,,,3414,656,42,5,4,2,0,0,0,0,0,0,2020-11-11T03:25:54Z,66.89304,R+67,Trump +67,republican,66.89304,3951,64.5,3896,50.21,missouri,2020-11-14T00:42:37.072005Z
29059,Dallas,8122,0,13,13,Released as a precinct as first report of the night,100,8122,>98%,>98% reported,edison,6,all,,1130,,,6620,1380,72,21,17,12,0,0,0,0,0,0,2020-11-11T03:25:55Z,64.51613,R+65,Trump +65,republican,64.51613,7453,62,7279,39.43,missouri,2020-11-14T00:42:37.072005Z
29061,Daviess,3884,0,6,6,Released as a precinct as first report of the night,100,3884,>98%,>98% reported,edison,6,all,,525,,,3077,740,46,4,9,8,0,0,0,0,0,0,2020-11-11T03:25:55Z,60.16993,R+60,Trump +60,republican,60.16993,3738,54.5,3521,33.09,missouri,2020-11-14T00:42:37.072005Z
29063,DeKalb,4842,0,9,9,Released as a precinct as first report of the night,100,4813,>98%,>98% reported,edison,2,unknown,,475,,,3827,930,62,9,,14,0,0,0,0,,0,2020-11-11T03:25:56Z,59.83065,R+60,Trump +60,republican,59.83065,4626,58.7,4350,42.8,missouri,2020-11-14T00:42:37.072005Z
29065,Dent,7142,0,9,9,Released as a precinct as first report of the night,100,7115,>98%,>98% reported,edison,2,unknown,,35,,,5987,1056,81,9,,9,0,0,0,0,,0,2020-11-11T03:25:56Z,69.04229,R+69,Trump +69,republican,69.04229,6791,68.1,6643,49.65,missouri,2020-11-14T00:42:37.072005Z
29067,Douglas,6994,0,13,14,Released as a precinct as first report of the night,100,6994,>98%,>98% reported,edison,6,all,,1341,,,5896,1012,68,4,0,14,0,0,0,0,0,0,2020-11-11T03:25:57Z,69.83128,R+70,Trump +70,republican,69.83128,6666,67.5,6557,44.82,missouri,2020-11-14T00:42:37.072005Z
29069,Dunklin,10419,0,20,22,Released separately at end; NOT included in cumulative results,93,11158,93%,93% reported,edison,2,unknown,,1130,,,8135,2200,61,11,,12,0,0,0,0,,0,2020-11-11T03:25:58Z,56.96324,R+57,Trump +57,republican,56.96324,10578,53.6,10651,30.18,missouri,2020-11-14T00:42:37.072005Z
29071,Franklin,53750,10116,41,42,Released as a precinct as first report of the night,99,54085,>98%,>98% reported,edison,4,unknown,,5323,,,38034,14561,815,148,106,86,5263,4734,67,23,15,14,2020-11-11T03:25:59Z,43.6707,R+44,Trump +44,republican,43.6707,50472,45.7,46755,27.91,missouri,2020-11-14T00:42:37.072005Z
29073,Gasconade,7934,804,17,18,Released as a precinct as first report of the night,100,7806,>98%,>98% reported,edison,4,all,,746,,,6222,1601,83,10,11,7,479,318,3,2,0,2,2020-11-11T03:26:00Z,58.243,R+58,Trump +58,republican,58.243,7451,55.7,7134,39.19,missouri,2020-11-14T00:42:37.072005Z
29075,Gentry,3239,0,11,11,Released as a precinct as first report of the night,100,3239,>98%,>98% reported,edison,6,all,,422,,,2580,613,34,1,5,6,0,0,0,0,0,0,2020-11-11T03:26:01Z,60.72862,R+61,Trump +61,republican,60.72862,3043,55.8,2999,35.05,missouri,2020-11-14T00:42:37.072005Z
29077,Greene,138074,29484,76,78,Released separately AFTER election night,100,138074,>98%,>98% reported,edison,6,all,,15946,,,81312,53307,2377,416,507,155,13318,15823,185,53,78,27,2020-11-11T03:26:01Z,20.2826,R+20,Trump +20,republican,20.2826,130523,27.1,125848,24.38,missouri,2020-11-14T00:42:37.072005Z
29079,Grundy,4437,0,8,9,None,96,4639,96%,96% reported,edison,2,unknown,,150,,,3585,799,42,8,,3,0,0,0,0,,0,2020-11-11T03:26:02Z,62.79017,R+63,Trump +63,republican,62.79017,4428,60.6,4374,41.56,missouri,2020-11-14T00:42:37.072005Z
29081,Harrison,3825,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",99,3872,>98%,>98% reported,edison,4,all,,706,,,3198,597,22,7,0,1,0,0,0,0,0,0,2020-11-11T03:26:02Z,68,R+68,Trump +68,republican,68,3689,64.8,3695,44.38,missouri,2020-11-14T00:42:37.072005Z
29083,Henry,10776,0,10,10,Released as a precinct as first report of the night,100,10605,>98%,>98% reported,edison,2,unknown,,1635,,,8019,2615,114,17,,11,0,0,0,0,,0,2020-11-11T03:26:03Z,50.14848,R+50,Trump +50,republican,50.14848,9912,47.6,10123,25.91,missouri,2020-11-14T00:42:37.072005Z
29085,Hickory,5080,0,7,7,Released as a precinct as first report of the night,100,4949,>98%,>98% reported,edison,2,unknown,,1836,,,3965,1054,39,13,3,6,0,0,0,0,0,0,2020-11-11T03:26:03Z,57.30315,R+57,Trump +57,republican,57.30315,4761,53.1,4680,23.55,missouri,2020-11-14T00:42:37.072005Z
29087,Holt,2344,0,5,5,Released as a precinct as first report of the night,95,2468,95%,95% reported,edison,2,unknown,,312,,,1976,338,23,5,1,1,0,0,0,0,0,0,2020-11-11T03:26:04Z,69.88055,R+70,Trump +70,republican,69.88055,2355,67,2310,50.82,missouri,2020-11-14T00:42:37.072005Z
29089,Howard,5089,0,8,8,Released as a precinct as first report of the night,100,5089,>98%,>98% reported,edison,6,unknown,,624,,,3552,1412,106,14,,5,0,0,0,0,,0,2020-11-11T03:26:04Z,42.05148,R+42,Trump +42,republican,42.05148,4868,41,4867,26.59,missouri,2020-11-14T00:42:37.072005Z
29091,Howell,18637,0,20,21,Released as a precinct as first report of the night,100,18287,>98%,>98% reported,edison,2,unknown,,2469,,,15174,3214,197,31,,21,0,0,0,0,,0,2020-11-11T03:26:04Z,64.17342,R+64,Trump +64,republican,64.17342,17455,63.1,16346,43.74,missouri,2020-11-14T00:42:37.072005Z
29093,Iron,4592,0,10,10,Released as a precinct as first report of the night,100,4473,>98%,>98% reported,edison,2,unknown,,458,,,3596,945,33,11,,7,0,0,0,0,,0,2020-11-11T03:26:05Z,57.73084,R+58,Trump +58,republican,57.73084,4269,52.5,4031,14.46,missouri,2020-11-14T00:42:37.072005Z
29095,Jackson,330425,0,147,148,Released as a separate subtotal as first report of the night,96,342735,96%,96% reported,edison,2,unknown,,50123,,,125897,198031,4682,1259,,556,0,0,0,0,,0,2020-11-11T03:26:05Z,21.83067,D+22,Biden +22,democrat,-21.83067,304687,-17.3,311577,-19.66,missouri,2020-11-14T00:42:37.072005Z
29097,Jasper,52515,0,47,48,None,100,52157,>98%,>98% reported,edison,4,all,,7618,,,37714,13539,862,155,193,52,0,0,0,0,0,0,2020-11-11T03:26:06Z,46.03447,R+46,Trump +46,republican,46.03447,48326,50.7,45218,41,missouri,2020-11-14T00:42:37.072005Z
29099,Jefferson,116629,32496,54,54,Released as a precinct as first report of the night,100,116629,>98%,>98% reported,edison,6,all,,15296,,,77021,37507,1633,318,0,150,17280,14830,280,65,0,41,2020-11-11T03:26:07Z,33.88008,R+34,Trump +34,republican,33.88008,106995,35,97611,12.72,missouri,2020-11-14T00:42:37.072005Z
29101,Johnson,23134,0,11,11,None,100,23134,>98%,>98% reported,edison,6,all,,3445,,,15468,6961,551,66,49,39,0,0,0,0,0,0,2020-11-11T03:26:07Z,36.77272,R+37,Trump +37,republican,36.77272,21362,36.5,21021,24.24,missouri,2020-11-14T00:42:37.072005Z
29103,Knox,1856,0,6,7,Released as a precinct as first report of the night,100,1856,>98%,>98% reported,edison,6,all,,443,,,1486,340,26,0,2,2,0,0,0,0,0,0,2020-11-11T03:25:51Z,61.74569,R+62,Trump +62,republican,61.74569,1870,55.5,1957,25.91,missouri,2020-11-14T00:42:37.072005Z
29105,LaClede,16819,0,14,15,Released as a separate subtotal as first report of the night,100,16816,>98%,>98% reported,edison,4,unknown,,2208,,,13755,2779,180,35,36,34,0,0,0,0,0,0,2020-11-11T03:25:52Z,65.25953,R+65,Trump +65,republican,65.25953,16140,64,15362,44.53,missouri,2020-11-14T00:42:37.072005Z
29107,Lafayette,17083,0,14,14,Released as a precinct as first report of the night,100,17083,>98%,>98% reported,edison,6,all,,2230,,,12262,4470,240,36,45,30,0,0,0,0,0,0,2020-11-11T03:25:53Z,45.6126,R+46,Trump +46,republican,45.6126,15975,43.4,15795,26.26,missouri,2020-11-14T00:42:37.072005Z
29109,Lawrence,17930,2912,20,20,Released as a precinct as first report of the night,100,17930,>98%,>98% reported,edison,6,all,,2240,,,14421,3214,202,39,30,24,1978,904,22,4,2,2,2020-11-11T03:25:54Z,62.50418,R+63,Trump +63,republican,62.50418,16811,60.6,15755,46.99,missouri,2020-11-14T00:42:37.072005Z
29111,Lewis,4607,0,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,4669,>98%,>98% reported,edison,4,all,,421,,,3541,984,61,6,10,5,0,0,0,0,0,0,2020-11-11T03:25:54Z,55.5025,R+56,Trump +56,republican,55.5025,4480,53.8,4279,27.32,missouri,2020-11-14T00:42:37.072005Z
29113,Lincoln,28814,0,22,22,None,100,26151,>98%,>98% reported,edison,2,unknown,,2926,,,21702,6553,447,68,,44,0,0,0,0,,0,2020-11-11T03:25:27Z,52.57514,R+53,Trump +53,republican,52.57514,25114,50.1,22652,29.13,missouri,2020-11-14T00:42:37.072005Z
29115,Linn,5700,0,19,21,"As a precinct in the FIRST cumulative report, along with regular precincts",97,5854,97%,97% reported,edison,2,unknown,,907,,,4344,1274,68,12,,2,0,0,0,0,,0,2020-11-11T03:25:28Z,53.85965,R+54,Trump +54,republican,53.85965,5587,51,5550,23.48,missouri,2020-11-14T00:42:37.072005Z
29117,Livingston,6755,0,12,13,Released as a precinct as first report of the night,100,6727,>98%,>98% reported,edison,2,unknown,,1254,,,5266,1409,57,13,,10,0,0,0,0,,0,2020-11-11T03:25:29Z,57.09845,R+57,Trump +57,republican,57.09845,6421,56.3,6054,34.69,missouri,2020-11-14T00:42:37.072005Z
29121,Macon,7834,0,12,13,None,100,7834,>98%,>98% reported,edison,6,unknown,,1174,,,6075,1661,78,11,,9,0,0,0,0,,0,2020-11-11T03:25:33Z,56.34414,R+56,Trump +56,republican,56.34414,7631,55.7,7160,33.41,missouri,2020-11-14T00:42:37.072005Z
29123,Madison,5671,0,8,8,None,100,5671,>98%,>98% reported,edison,6,all,,1022,,,4581,1017,53,13,0,7,0,0,0,0,0,0,2020-11-11T03:25:34Z,62.84606,R+63,Trump +63,republican,62.84606,5321,58.2,4930,33.25,missouri,2020-11-14T00:42:37.072005Z
29125,Maries,4774,709,11,11,Released as a precinct as first report of the night,100,4774,>98%,>98% reported,edison,6,all,,731,,,3890,814,50,10,5,5,483,216,8,1,1,0,2020-11-11T03:25:37Z,64.43234,R+64,Trump +64,republican,64.43234,4500,61.5,4538,41.12,missouri,2020-11-14T00:42:37.072005Z
29127,Marion,13370,0,16,17,None,100,13370,>98%,>98% reported,edison,6,all,,1762,,,9910,3201,190,28,31,10,0,0,0,0,0,0,2020-11-11T03:25:20Z,50.17951,R+50,Trump +50,republican,50.17951,12938,49.7,12158,32.01,missouri,2020-11-14T00:42:37.072005Z
29119,McDonald,9050,1737,19,19,Released as a precinct as first report of the night,100,8966,>98%,>98% reported,edison,6,all,,1387,,,7465,1437,114,19,,15,1270,449,13,2,,3,2020-11-11T03:25:32Z,66.60773,R+67,Trump +67,republican,66.60773,8302,63.5,7817,48.28,missouri,2020-11-14T00:42:37.072005Z
29129,Mercer,1779,0,5,5,Released separately AFTER election night,97,1829,97%,97% reported,edison,2,unknown,,302,,,1541,222,13,1,,2,0,0,0,0,,0,2020-11-11T03:25:21Z,74.14278,R+74,Trump +74,republican,74.14278,1745,72.8,1655,54.5,missouri,2020-11-14T00:42:37.072005Z
29131,Miller,12379,0,13,13,None,100,11960,>98%,>98% reported,edison,2,unknown,,1491,,,10175,2038,133,19,,14,0,0,0,0,,0,2020-11-11T03:25:21Z,65.73229,R+66,Trump +66,republican,65.73229,11482,65.6,11019,49.44,missouri,2020-11-14T00:42:37.072005Z
29133,Mississippi,4756,0,8,9,Released as a precinct as first report of the night,100,4756,>98%,>98% reported,edison,6,all,,568,,,3537,1178,30,7,0,4,0,0,0,0,0,0,2020-11-11T03:25:22Z,49.6005,R+50,Trump +50,republican,49.6005,5169,41.4,4920,23.15,missouri,2020-11-14T00:42:37.072005Z
29135,Moniteau,7150,0,10,11,None,100,7155,>98%,>98% reported,edison,2,unknown,,664,,,5738,1307,88,8,,9,0,0,0,0,,0,2020-11-11T03:25:23Z,61.97203,R+62,Trump +62,republican,61.97203,6830,60.2,6443,48.05,missouri,2020-11-14T00:42:37.072005Z
29137,Monroe,4467,0,9,9,Released as a precinct as first report of the night,100,4354,>98%,>98% reported,edison,2,unknown,,592,,,3466,931,56,8,,6,0,0,0,0,,0,2020-11-11T03:25:24Z,56.7495,R+57,Trump +57,republican,56.7495,4156,55.5,4057,28.74,missouri,2020-11-14T00:42:37.072005Z
29139,Montgomery,5770,749,10,10,Released as a precinct at the end of tabulation,100,5770,>98%,>98% reported,edison,6,all,,530,,,4457,1206,84,12,8,3,462,277,7,1,0,2,2020-11-11T03:25:28Z,56.34315,R+56,Trump +56,republican,56.34315,5429,55.4,5327,32.85,missouri,2020-11-14T00:42:37.072005Z
29141,Morgan,9484,0,11,11,None,100,9241,>98%,>98% reported,edison,2,unknown,,1498,,,7439,1924,98,10,,13,0,0,0,0,,0,2020-11-11T03:25:29Z,58.15057,R+58,Trump +58,republican,58.15057,8821,56.6,8688,34.07,missouri,2020-11-14T00:42:37.072005Z
29143,New Madrid,7248,0,17,19,Released separately AFTER election night,94,7708,94%,94% reported,edison,2,unknown,,581,,,5447,1748,43,7,,3,0,0,0,0,,0,2020-11-11T03:25:30Z,51.03477,R+51,Trump +51,republican,51.03477,7357,45.4,7250,20.28,missouri,2020-11-14T00:42:37.072005Z
29145,Newton,28396,6197,23,24,Released as a precinct as first report of the night,100,27874,>98%,>98% reported,edison,4,all,,4181,,,22090,5793,383,51,64,15,4097,2041,40,5,11,3,2020-11-11T03:25:32Z,57.39189,R+57,Trump +57,republican,57.39189,26807,58.1,25083,46.87,missouri,2020-11-14T00:42:37.072005Z
29147,Nodaway,9874,0,19,20,None,97,10208,97%,97% reported,edison,2,unknown,,1334,,,6855,2849,131,25,,14,0,0,0,0,,0,2020-11-11T03:25:33Z,40.5712,R+41,Trump +41,republican,40.5712,9458,40.7,8976,26.97,missouri,2020-11-14T00:42:37.072005Z
29149,Oregon,4742,0,7,8,None,97,4891,97%,97% reported,edison,2,unknown,,634,,,3847,823,58,2,3,9,0,0,0,0,0,0,2020-11-11T03:25:35Z,63.77056,R+64,Trump +64,republican,63.77056,4668,60.1,4421,33.18,missouri,2020-11-14T00:42:37.072005Z
29151,Osage,7449,0,11,12,Released as a precinct as first report of the night,100,7428,>98%,>98% reported,edison,2,unknown,,688,,,6341,1031,67,4,,6,0,0,0,0,,0,2020-11-11T03:25:36Z,71.28474,R+71,Trump +71,republican,71.28474,7090,68.5,6919,55.73,missouri,2020-11-14T00:42:37.072005Z
29153,Ozark,4870,0,11,11,Released as a precinct as first report of the night,100,4720,>98%,>98% reported,edison,2,unknown,,795,,,4064,752,32,7,6,9,0,0,0,0,0,0,2020-11-11T03:25:37Z,68.00821,R+68,Trump +68,republican,68.00821,4505,64.7,4453,40.85,missouri,2020-11-14T00:42:37.072005Z
29155,Pemiscot,5727,0,23,27,Released as a precinct as first report of the night,86,6637,86%,86% reported,edison,2,unknown,,834,,,4116,1556,45,6,,4,0,0,0,0,,0,2020-11-11T03:25:38Z,44.70054,R+45,Trump +45,republican,44.70054,6043,33.4,6335,14.63,missouri,2020-11-14T00:42:37.072005Z
29157,Perry,9429,1649,19,19,Released as a separate subtotal as first report of the night,100,9156,>98%,>98% reported,edison,4,all,,1120,,,7634,1661,101,18,9,6,1127,495,20,5,2,0,2020-11-11T03:25:40Z,63.34712,R+63,Trump +63,republican,63.34712,8740,61.6,7987,43.63,missouri,2020-11-14T00:42:37.072005Z
29159,Pettis,19069,0,30,31,None,100,18974,>98%,>98% reported,edison,2,unknown,,3571,,,13835,4776,380,57,,21,0,0,0,0,,0,2020-11-11T03:25:41Z,47.50642,R+48,Trump +48,republican,47.50642,18204,46.6,17175,28.75,missouri,2020-11-14T00:42:37.072005Z
29161,Phelps,19495,0,19,20,None,97,20023,97%,97% reported,edison,2,unknown,,3112,,,13438,5619,365,54,,19,0,0,0,0,,0,2020-11-11T03:25:42Z,40.10772,R+40,Trump +40,republican,40.10772,18713,42.4,18190,33.52,missouri,2020-11-14T00:42:37.072005Z
29163,Pike,7686,0,13,14,Released as a precinct as first report of the night,99,7734,>98%,>98% reported,edison,2,unknown,,1005,,,5856,1717,92,19,,2,0,0,0,0,,0,2020-11-11T03:25:44Z,53.85116,R+54,Trump +54,republican,53.85116,7428,46.7,7321,27.25,missouri,2020-11-14T00:42:37.072005Z
29165,Platte,58523,0,28,28,Released as a precinct as first report of the night,100,58523,>98%,>98% reported,edison,6,all,,7942,,,29251,28111,907,168,0,86,0,0,0,0,0,0,2020-11-11T03:25:45Z,1.94795,R+1.9,Trump +1.9,republican,1.94795,49608,11.8,45552,14.14,missouri,2020-11-14T00:42:37.072005Z
29167,Polk,15059,0,23,23,Released separately AFTER election night,100,14854,>98%,>98% reported,edison,2,unknown,,2693,,,11849,2883,278,20,,29,0,0,0,0,,0,2020-11-11T03:25:45Z,59.53915,R+60,Trump +60,republican,59.53915,13763,56.7,13119,43.24,missouri,2020-11-14T00:42:37.072005Z
29169,Pulaski,14405,0,9,9,Released as a precinct as first report of the night,98,14647,98%,98% reported,edison,2,none,,3624,,,10326,3735,285,36,,23,0,0,0,0,,0,2020-11-11T03:25:46Z,45.75495,R+46,Trump +46,republican,45.75495,13582,51.2,13571,36.05,missouri,2020-11-14T00:42:37.072005Z
