fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_millerm,results_weavere,results_absentee_millerm,results_absentee_weavere,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17047,Edwards,3201,0,10,12,Merged into voters' home precincts and released with cumulative results,86,3713,86%,86% reported,edison,4,all,874,2743,458,0,0,2020-11-16T15:48:03Z,71.38394,R+71,Miller +71,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17049,Effingham,18420,0,35,37,Merged into voters' home precincts and released with cumulative results,94,19557,94%,94% reported,edison,4,all,5338,14847,3573,0,0,2020-11-16T15:48:10Z,61.20521,R+61,Miller +61,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17051,Fayette,9808,0,26,28,Merged into voters' home precincts and released with cumulative results,100,9808,>98%,>98% reported,edison,6,some,1970,7940,1868,0,0,2020-11-16T15:48:10Z,61.90865,R+62,Miller +62,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17053,Ford,2962,0,9,10,Merged into voters' home precincts and released with cumulative results,95,3134,95%,95% reported,edison,4,some,1058,2304,658,0,0,2020-11-16T15:48:04Z,55.57056,R+56,Miller +56,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17059,Gallatin,2426,235,9,11,Merged into voters' home precincts and released with cumulative results,80,3015,80%,80% reported,edison,4,all,1011,1764,662,163,72,2020-11-16T15:48:04Z,45.42457,R+45,Miller +45,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17065,Hamilton,4091,0,14,16,None,88,4644,88%,88% reported,edison,4,none,1330,3188,903,0,0,2020-11-16T15:48:11Z,55.85431,R+56,Miller +56,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17069,Hardin,0,0,0,6,Merged into voters' home precincts and released with cumulative results,0,2393,0%,0% reported,edison,,unknown,1520,0,0,0,0,2020-11-16T15:48:11Z,,–,–,"",IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17079,Jasper,5291,0,15,16,Merged into voters' home precincts and released with cumulative results,93,5719,93%,93% reported,edison,2,some,2270,4311,980,0,0,2020-11-16T15:48:11Z,62.95596,R+63,Miller +63,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17087,Johnson,6230,0,15,16,Released as a precinct at the end of tabulation,100,6230,>98%,>98% reported,edison,6,some,3610,4961,1269,0,0,2020-11-16T15:48:12Z,59.26164,R+59,Miller +59,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
17101,Lawrence,6011,0,20,22,None,89,6772,89%,89% reported,edison,4,none,920,4562,1449,0,0,2020-11-16T15:48:05Z,51.78839,R+52,Miller +52,republican,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322360,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,703,789,89% reporting,89%,90,359000,edison,90%,90% reported,edison,republican,FALSE,2020-11-18T17:18:23Z,FALSE,43.29011,139550,R+43,Miller +43,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604463077372
