fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08053,Hinsdale,632,0,1,1,Other,100,632,>98%,>98% reported,edison,8,unknown,,,,,255,353,10,1,4,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:18Z,15.50633,R+16,Trump +16,republican,15.50633,589,24.1,600,20.67,colorado,2020-11-26T00:50:24.363563Z
08055,Huerfano,4406,0,11,11,Other,100,4406,>98%,>98% reported,edison,8,all,,,,,2076,2203,71,12,10,9,2,5,3,0,2,2,1,0,3,0,0,1,2,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:20Z,2.88243,R+3,Trump +3,republican,2.88243,3783,6.6,3714,-8.27,colorado,2020-11-26T00:50:24.363563Z
08057,Jackson,876,0,4,5,Other,100,876,>98%,>98% reported,edison,8,all,,,,,175,681,12,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:21Z,57.76256,R+58,Trump +58,republican,57.76256,861,53.2,848,45.28,colorado,2020-11-26T00:50:24.363563Z
08059,Jefferson,377357,0,300,309,Other,100,377351,>98%,>98% reported,edison,8,all,,,,,218396,148417,6394,1089,900,631,318,231,309,101,84,63,76,82,64,51,35,39,40,16,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:22Z,18.54451,D+19,Biden +19,democrat,-18.54451,328883,-6.9,311052,-4.85,colorado,2020-11-26T00:50:24.363563Z
08061,Kiowa,903,0,4,4,Other,100,903,>98%,>98% reported,edison,8,unknown,,,,,98,795,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:22Z,77.18715,R+77,Trump +77,republican,77.18715,855,74.5,821,68.09,colorado,2020-11-26T00:50:24.363563Z
08063,Kit Carson,3871,0,12,13,Other,100,3870,>98%,>98% reported,edison,8,unknown,,,,,662,3144,34,2,4,11,2,1,2,1,0,0,2,2,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T20:00:47Z,64.1178,R+64,Trump +64,republican,64.1178,3702,65.7,3702,52.59,colorado,2020-11-26T00:50:24.363563Z
08067,La Plata,35667,0,31,32,Other,100,35667,>98%,>98% reported,edison,8,all,,,,,20548,14233,530,128,79,37,23,29,11,9,5,8,5,2,5,4,2,4,3,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:25Z,17.70544,D+18,Biden +18,democrat,-17.70544,31150,-9.4,29184,-9.23,colorado,2020-11-26T00:50:24.363563Z
08065,Lake,3961,0,6,6,Other,100,3961,>98%,>98% reported,edison,8,unknown,,,,,2303,1497,101,23,17,4,4,0,1,1,1,3,0,0,2,0,3,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:24Z,20.3484,D+20,Biden +20,democrat,-20.3484,3199,-10.8,3040,-24.38,colorado,2020-11-26T00:50:24.363563Z
08069,Larimer,224338,0,272,280,Other,100,224333,>98%,>98% reported,edison,8,some,,,,,126120,91489,4089,727,549,372,195,136,258,48,60,55,45,33,36,29,33,20,24,8,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:25Z,15.43697,D+15,Biden +15,democrat,-15.43697,195981,-4.9,180180,-5.76,colorado,2020-11-26T00:50:24.363563Z
08071,Las Animas,7961,0,16,16,Other,100,7961,>98%,>98% reported,edison,8,unknown,,,,,3497,4284,86,17,21,19,5,7,5,6,1,1,3,0,5,2,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:26Z,9.88569,R+10,Trump +10,republican,9.88569,6793,15.6,6862,-2.65,colorado,2020-11-26T00:50:24.363563Z
