fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,state,retrieved_time
02922,ED 22,5001,1061,4,7,Released as a separate subtotal as first report of the night,52,9628,52%,52% reported,edison,2,unknown,,4000,,,3079,1776,113,18,5,8,2,0,493,542,17,4,0,4,1,0,2020-11-11T03:25:39Z,26.05479,R+26,Trump +26,republican,26.05479,alaska,2020-11-11T12:16:58.940656Z
02923,ED 23,6516,3239,7,8,Released as a separate subtotal as first report of the night,82,7963,82%,82% reported,edison,2,unknown,,4000,,,3052,3249,132,40,18,13,12,0,1065,2094,46,19,7,3,5,0,2020-11-11T03:25:40Z,3.02333,D+3,Biden +3,democrat,-3.02333,alaska,2020-11-11T12:16:58.940656Z
02924,ED 24,5443,1345,4,7,Released as a separate subtotal as first report of the night,51,10684,51%,51% reported,edison,2,unknown,,4000,,,3455,1831,118,20,6,10,3,0,628,693,20,2,1,1,0,0,2020-11-11T03:25:18Z,29.83649,R+30,Trump +30,republican,29.83649,alaska,2020-11-11T12:16:58.940656Z
02925,ED 25,7239,3533,5,7,Released as a separate subtotal as first report of the night,77,9346,77%,77% reported,edison,2,unknown,,4000,,,3662,3337,157,52,13,11,7,0,1260,2175,67,18,5,3,5,0,2020-11-11T03:25:20Z,4.48957,R+4,Trump +4,republican,4.48957,alaska,2020-11-11T12:16:58.940656Z
02926,ED 26,5715,1835,4,8,Released as a separate subtotal as first report of the night,56,10241,56%,56% reported,edison,2,unknown,,4000,,,3595,1938,128,28,9,16,1,0,979,819,29,5,1,2,0,0,2020-11-11T03:25:22Z,28.99388,R+29,Trump +29,republican,28.99388,alaska,2020-11-11T12:16:58.940656Z
02927,ED 27,5198,1481,4,8,Released as a separate subtotal as first report of the night,51,10100,51%,51% reported,edison,2,unknown,,4000,,,3000,1986,155,33,8,13,3,0,682,757,31,8,0,3,0,0,2020-11-11T03:25:24Z,19.5075,R+20,Trump +20,republican,19.5075,alaska,2020-11-11T12:16:58.940656Z
02928,ED 28,6410,1569,4,9,Released as a separate subtotal as first report of the night,49,13141,49%,49% reported,edison,2,unknown,,4000,,,3870,2362,125,39,8,5,1,0,746,799,13,9,2,0,0,0,2020-11-11T03:25:28Z,23.52574,R+24,Trump +24,republican,23.52574,alaska,2020-11-11T12:16:58.940656Z
02929,ED 29,7671,1971,8,11,Released as a separate subtotal as first report of the night,71,10803,71%,71% reported,edison,2,unknown,,4000,,,5521,1939,132,44,23,9,3,0,992,950,13,8,7,0,1,0,2020-11-11T03:25:29Z,46.69535,R+47,Trump +47,republican,46.69535,alaska,2020-11-11T12:16:58.940656Z
02903,ED 3,7960,2983,5,5,Released as a separate subtotal as first report of the night,91,8755,91%,91% reported,edison,2,unknown,,4000,,,5776,1813,287,40,26,13,5,0,1708,1131,114,17,8,3,2,0,2020-11-11T03:25:54Z,49.78643,R+50,Trump +50,republican,49.78643,alaska,2020-11-11T12:16:58.940656Z
02930,ED 30,4718,0,3,6,Released as a separate subtotal as first report of the night,46,10293,46%,46% reported,edison,2,unknown,,4000,,,3804,714,143,28,19,10,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:03Z,65.49385,R+65,Trump +65,republican,65.49385,alaska,2020-11-11T12:16:58.940656Z
02931,ED 31,5381,1,4,9,Released as a separate subtotal as first report of the night,46,11709,46%,46% reported,edison,2,unknown,,4000,,,3913,1261,131,52,11,10,3,0,0,1,0,0,0,0,0,0,2020-11-11T03:25:05Z,49.28452,R+49,Trump +49,republican,49.28452,alaska,2020-11-11T12:16:58.940656Z
02932,ED 32,4045,0,7,14,Released as a separate subtotal as first report of the night,47,8593,47%,47% reported,edison,2,unknown,,4000,,,2548,1286,127,58,11,12,3,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:06Z,31.19901,R+31,Trump +31,republican,31.19901,alaska,2020-11-11T12:16:58.940656Z
02933,ED 33,4988,2054,5,11,Released as a separate subtotal as first report of the night,44,11424,44%,44% reported,edison,2,unknown,,4000,,,1765,3038,102,49,14,15,5,0,454,1565,19,11,1,2,2,0,2020-11-11T03:25:09Z,25.52125,D+26,Biden +26,democrat,-25.52125,alaska,2020-11-11T12:16:58.940656Z
02934,ED 34,9650,7198,6,7,Released as a separate subtotal as first report of the night,89,10846,89%,89% reported,edison,2,unknown,,4000,,,4037,5267,231,53,29,28,5,0,2531,4455,131,38,20,22,1,0,2020-11-11T03:25:12Z,12.74611,D+13,Biden +13,democrat,-12.74611,alaska,2020-11-11T12:16:58.940656Z
02935,ED 35,4090,15,6,14,Released as a separate subtotal as first report of the night,39,10398,39%,39% reported,edison,2,unknown,,4000,,,2429,1514,70,49,14,8,6,0,10,5,0,0,0,0,0,0,2020-11-11T03:25:14Z,22.37164,R+22,Trump +22,republican,22.37164,alaska,2020-11-11T12:16:58.940656Z
02936,ED 36,5117,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3251,1642,131,58,18,11,6,0,0,1,0,0,0,0,0,0,2020-11-11T03:26:15Z,31.44421,R+31,Trump +31,republican,31.44421,alaska,2020-11-11T12:16:58.940656Z
02937,ED 37,3123,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1492,1486,45,37,37,14,12,0,0,0,0,0,0,0,0,0,2020-11-11T03:24:51Z,0.19212,R+0.19,Trump +0.19,republican,0.19212,alaska,2020-11-11T12:16:58.940656Z
02938,ED 38,3800,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1327,2176,77,99,47,50,24,0,0,0,0,0,0,0,0,0,2020-11-11T03:24:56Z,22.34211,D+22,Biden +22,democrat,-22.34211,alaska,2020-11-11T12:16:58.940656Z
02939,ED 39,4812,282,24,33,Released as a separate subtotal as first report of the night,74,6485,74%,74% reported,edison,2,unknown,,4000,,,1553,2939,99,90,68,44,19,0,93,176,6,2,2,3,0,0,2020-11-11T03:25:01Z,28.80299,D+29,Biden +29,democrat,-28.80299,alaska,2020-11-11T12:16:58.940656Z
02904,ED 4,9184,4522,6,7,Released as a separate subtotal as first report of the night,84,10949,84%,84% reported,edison,2,unknown,,4000,,,4245,4534,268,81,26,26,4,0,1457,2922,104,25,6,8,0,0,2020-11-11T03:25:55Z,3.14678,D+3,Biden +3,democrat,-3.14678,alaska,2020-11-11T12:16:58.940656Z
02940,ED 40,3249,0,14,23,Released as a separate subtotal as first report of the night,61,5302,61%,61% reported,edison,2,unknown,,4000,,,1506,1508,72,63,41,37,22,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:02Z,0.06156,D+0.06,Biden +0.06,democrat,-0.06156,alaska,2020-11-11T12:16:58.940656Z
02905,ED 5,7384,3502,7,9,Released as a separate subtotal as first report of the night,81,9092,81%,81% reported,edison,2,unknown,,4000,,,3631,3442,210,61,17,15,8,0,1200,2187,81,21,5,4,4,0,2020-11-11T03:25:56Z,2.55959,R+3,Trump +3,republican,2.55959,alaska,2020-11-11T12:16:58.940656Z
02906,ED 6,5778,5,20,33,Released as a separate subtotal as first report of the night,59,9729,59%,59% reported,edison,2,unknown,,4000,,,3820,1689,164,55,21,24,5,0,2,2,0,1,0,0,0,0,2020-11-11T03:25:53Z,36.88127,R+37,Trump +37,republican,36.88127,alaska,2020-11-11T12:16:58.940656Z
02907,ED 7,8773,5090,6,7,Released as a separate subtotal as first report of the night,92,9538,92%,92% reported,edison,2,unknown,,4000,,,6416,2029,233,46,34,11,4,0,3421,1502,113,21,22,8,3,0,2020-11-11T03:25:54Z,50.0057,R+50,Trump +50,republican,50.0057,alaska,2020-11-11T12:16:58.940656Z
02908,ED 8,7222,2196,5,6,Released as a separate subtotal as first report of the night,78,9284,78%,78% reported,edison,2,unknown,,4000,,,5920,1049,183,30,23,14,3,0,1682,466,38,5,5,0,0,0,2020-11-11T03:25:55Z,67.44669,R+67,Trump +67,republican,67.44669,alaska,2020-11-11T12:16:58.940656Z
02909,ED 9,7277,4,8,11,Released as a separate subtotal as first report of the night,71,10297,71%,71% reported,edison,2,unknown,,4000,,,5639,1342,213,48,21,12,2,0,2,2,0,0,0,0,0,0,2020-11-11T03:25:56Z,59.04906,R+59,Trump +59,republican,59.04906,alaska,2020-11-11T12:16:58.940656Z
