fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13183,Long,5656,4102,7,7,Released as a precinct as first report of the night,100,5656,>98%,>98% reported,edison,6,unknown,,2792,,,3528,2033,95,0,2392,1648,62,0,2020-11-11T03:26:52Z,26.43211,R+26,Trump +26,republican,26.43211,4117,30.8,3802,22.72,georgia,2020-11-11T12:17:47.978392Z
13185,Lowndes,46355,37491,13,13,Merged into voters' home precincts and released with cumulative results,100,46355,>98%,>98% reported,edison,10,unknown,,37909,,,25691,20117,547,0,20174,16946,371,0,2020-11-11T03:26:52Z,12.02459,R+12,Trump +12,republican,12.02459,37805,17.4,39137,9.86,georgia,2020-11-11T12:17:47.978392Z
13187,Lumpkin,15531,13133,1,1,Merged into voters' home precincts and released with cumulative results,100,15531,>98%,>98% reported,edison,6,unknown,,9491,,,12163,3126,242,0,10160,2794,179,0,2020-11-11T03:26:53Z,58.18685,R+58,Trump +58,republican,58.18685,12517,59.1,10905,60.45,georgia,2020-11-11T12:17:47.978392Z
13193,Macon,4662,3612,4,5,Other,100,4662,>98%,>98% reported,edison,10,unknown,,4178,,,1783,2857,22,0,1435,2165,12,0,2020-11-11T03:27:00Z,23.03732,D+23,Biden +23,democrat,-23.03732,4287,-27.2,4781,-34.85,georgia,2020-11-11T12:17:47.978392Z
13195,Madison,14937,10610,12,12,Other,100,14937,>98%,>98% reported,edison,10,some,,8483,,,11326,3411,200,0,7823,2670,117,0,2020-11-11T03:27:00Z,52.98922,R+53,Trump +53,republican,52.98922,12081,56.1,11104,53.58,georgia,2020-11-11T12:17:47.978392Z
13197,Marion,3624,2633,4,5,Merged into voters' home precincts AFTER election night,100,3624,>98%,>98% reported,edison,6,unknown,,2134,,,2275,1311,38,0,1516,1091,26,0,2020-11-11T03:27:00Z,26.60044,R+27,Trump +27,republican,26.60044,3190,22.2,3170,10.13,georgia,2020-11-11T12:17:47.978392Z
13189,McDuffie,10456,8990,9,9,Released as a separate subtotal as first report of the night,100,10455,>98%,>98% reported,edison,6,unknown,,8941,,,6169,4168,118,1,5343,3568,78,1,2020-11-11T03:26:53Z,19.13734,R+19,Trump +19,republican,19.13734,9268,18.7,9592,14.92,georgia,2020-11-11T12:17:47.978392Z
13191,McIntosh,6700,5409,6,6,Merged into voters' home precincts and released with cumulative results,100,6696,>98%,>98% reported,edison,6,unknown,,6114,,,4016,2612,68,4,3205,2170,34,0,2020-11-11T03:26:54Z,20.95522,R+21,Trump +21,republican,20.95522,5903,20.1,6341,8.59,georgia,2020-11-11T12:17:47.978392Z
13199,Meriwether,10877,7426,14,14,Released as a precinct as first report of the night,100,10877,>98%,>98% reported,edison,10,unknown,,5128,,,6524,4287,66,0,4292,3093,41,0,2020-11-11T03:27:00Z,20.56633,R+21,Trump +21,republican,20.56633,9217,15.4,9264,5.67,georgia,2020-11-11T12:17:47.978392Z
13201,Miller,2835,2121,1,1,Released as a separate subtotal in the middle of the tabulation,100,2835,>98%,>98% reported,edison,6,unknown,,2251,,,2066,749,20,0,1533,575,13,0,2020-11-11T03:27:00Z,46.45503,R+46,Trump +46,republican,46.45503,2544,49.8,2775,37.95,georgia,2020-11-11T12:17:47.978392Z
13205,Mitchell,8963,6570,11,11,Other,100,8963,>98%,>98% reported,edison,6,unknown,,6909,,,4935,3995,33,0,3382,3172,16,0,2020-11-11T03:27:01Z,10.48756,R+10,Trump +10,republican,10.48756,7880,10,8275,0.89,georgia,2020-11-11T12:17:47.978392Z
13207,Monroe,15592,11740,14,14,Released as a separate subtotal as first report of the night,100,15592,>98%,>98% reported,edison,10,unknown,,9966,,,11060,4384,148,0,7952,3692,96,0,2020-11-11T03:26:58Z,42.81683,R+43,Trump +43,republican,42.81683,12687,41.5,12277,37.27,georgia,2020-11-11T12:17:47.978392Z
13209,Montgomery,3966,2595,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3966,>98%,>98% reported,edison,10,all,,2408,,,2960,979,27,0,1851,729,15,0,2020-11-11T03:26:58Z,49.94957,R+50,Trump +50,republican,49.94957,3576,51,3832,39.85,georgia,2020-11-11T12:17:47.978392Z
13211,Morgan,11707,9291,7,7,Merged into voters' home precincts and released with cumulative results,100,11707,>98%,>98% reported,edison,6,all,,7670,,,8230,3355,122,0,6362,2857,72,0,2020-11-11T03:26:59Z,41.64175,R+42,Trump +42,republican,41.64175,9475,41.1,9027,38.03,georgia,2020-11-11T12:17:47.978392Z
13213,Murray,15389,10916,7,7,Merged into voters' home precincts and released with cumulative results,100,15389,>98%,>98% reported,edison,10,all,,6982,,,12943,2302,144,0,9050,1772,94,0,2020-11-11T03:26:59Z,69.14679,R+69,Trump +69,republican,69.14679,12458,68.6,11217,52.61,georgia,2020-11-11T12:17:47.978392Z
